#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
ath01100	Metabolic pathways	164	2275	0.4	2.13e-24	3702.AT1G01610.1,3702.AT1G04180.1,3702.AT1G04920.1,3702.AT1G05260.1,3702.AT1G07110.1,3702.AT1G07230.1,3702.AT1G08520.1,3702.AT1G13440.1,3702.AT1G13560.1,3702.AT1G16350.1,3702.AT1G17420.1,3702.AT1G17650.1,3702.AT1G20630.1,3702.AT1G22620.1,3702.AT1G23320.1,3702.AT1G23820.1,3702.AT1G27680.1,3702.AT1G29900.1,3702.AT1G29930.1,3702.AT1G32900.1,3702.AT1G35910.1,3702.AT1G43670.1,3702.AT1G44446.1,3702.AT1G53310.3,3702.AT1G55120.1,3702.AT1G59900.1,3702.AT1G63000.1,3702.AT1G63290.1,3702.AT1G64970.1,3702.AT1G67090.1,3702.AT1G69500.1,3702.AT1G72810.1,3702.AT1G75330.1,3702.AT1G76690.1,3702.AT1G78050.1,3702.AT1G78580.1,3702.AT1G78900.2,3702.AT1G79470.1,3702.AT2G01140.1,3702.AT2G01880.1,3702.AT2G05320.1,3702.AT2G06050.2,3702.AT2G14170.1,3702.AT2G15620.1,3702.AT2G16570.1,3702.AT2G18150.1,3702.AT2G18950.1,3702.AT2G18960.1,3702.AT2G19450.1,3702.AT2G19860.1,3702.AT2G22240.1,3702.AT2G22480.1,3702.AT2G25080.1,3702.AT2G30870.1,3702.AT2G33040.1,3702.AT2G34430.1,3702.AT2G37250.1,3702.AT2G38110.1,3702.AT2G38280.2,3702.AT2G40840.1,3702.AT2G40890.1,3702.AT2G41480.1,3702.AT2G41490.1,3702.AT2G41530.1,3702.AT2G42490.1,3702.AT2G42600.1,3702.AT2G45670.1,3702.AT3G01180.1,3702.AT3G02630.1,3702.AT3G04790.1,3702.AT3G05610.1,3702.AT3G08590.2,3702.AT3G10550.1,3702.AT3G11670.1,3702.AT3G12500.1,3702.AT3G12780.1,3702.AT3G16990.1,3702.AT3G21070.1,3702.AT3G23490.1,3702.AT3G23580.1,3702.AT3G24090.1,3702.AT3G25400.1,3702.AT3G25760.1,3702.AT3G27190.1,3702.AT3G27740.1,3702.AT3G29320.1,3702.AT3G46970.1,3702.AT3G48560.1,3702.AT3G49160.1,3702.AT3G51520.1,3702.AT3G55410.1,3702.AT3G57560.1,3702.AT3G63410.1,3702.AT4G02280.1,3702.AT4G04040.1,3702.AT4G04640.1,3702.AT4G08170.2,3702.AT4G09650.1,3702.AT4G11010.1,3702.AT4G11600.1,3702.AT4G11820.2,3702.AT4G12290.1,3702.AT4G13260.1,3702.AT4G15560.1,3702.AT4G17260.1,3702.AT4G17690.1,3702.AT4G20070.1,3702.AT4G22330.1,3702.AT4G24620.1,3702.AT4G25000.1,3702.AT4G25420.1,3702.AT4G26850.1,3702.AT4G27070.1,3702.AT4G27270.1,3702.AT4G28320.1,3702.AT4G29890.1,3702.AT4G33010.1,3702.AT4G34240.1,3702.AT4G34640.1,3702.AT4G34840.1,3702.AT4G34890.1,3702.AT4G36430.1,3702.AT4G36480.1,3702.AT4G37550.1,3702.AT4G37560.1,3702.AT5G04590.1,3702.AT5G07990.1,3702.AT5G08100.1,3702.AT5G08570.1,3702.AT5G11540.1,3702.AT5G13050.1,3702.AT5G13420.1,3702.AT5G13630.1,3702.AT5G13930.1,3702.AT5G16240.1,3702.AT5G17330.1,3702.AT5G17920.1,3702.AT5G19220.1,3702.AT5G19730.1,3702.AT5G24300.1,3702.AT5G34940.2,3702.AT5G39580.1,3702.AT5G41480.1,3702.AT5G42650.1,3702.AT5G42810.1,3702.AT5G43860.1,3702.AT5G48300.1,3702.AT5G51810.1,3702.AT5G51820.1,3702.AT5G51830.1,3702.AT5G51890.1,3702.AT5G54190.1,3702.AT5G54570.1,3702.AT5G54770.1,3702.AT5G54960.1,3702.AT5G56630.1,3702.AT5G56760.1,3702.AT5G57655.2,3702.AT5G58330.1,3702.AT5G60540.1,3702.AT5G60600.1,3702.AT5G63310.1,3702.AT5G64120.1,3702.AT5G65750.1	GPAT4,YUC9,SPS3F,RCI3,F2KP,NPC1,ALB1,GAPC2,AAPT1,AT1G16350,LOX3,GLYR2,CAT1,ATSAC1,TAR1,SPDS1,APL2,CARB,CAB1,GBSS1,TPPD,FBP,CH1,PPC1,FRUCT5,At1g59900,NRS/ER,AT1G63290,G-TMT,RBCS1A,CYP704B1,AT1G72810,OTC,OPR2,At1g78050,TPS1,VHA-A,AT1G79470,PDE345,PAP7,AT2G05320,OPR3,ALDH6B2,NIR1,ASE1,AT2G18150,HPT1,HA1,TAG1,HXK2,MIPS2,PFK5,GPX1,GSTF10,ATP3,LHB1B1,ADK,GPAT6,FAC1,DPE2,CYP98A3,AT2G41480,GPT,SFGH,AT2G42490,PPC2,AT2G45670,At3g01180,AT3G02630,EMB3119,AT3G05610,iPGAM2,AT3G10550,DGD1,HCHIB,PGK1,AT3G16990,NADK1,CYN,RNR2A,GFAT,AT3G25400,AOC1,UKL2,CARA,AT3G29320,PHS2,CSR1,AT3G49160,DGAT2,AT3G55410,NAGK,APG1,SUS3,MEE51,ATPC1,AT4G08170,ATPD,NDPK3,GPX6,HMGS,AT4G12290,YUC2,CLA1,AT4G17260,AT4G17690,AAH,ATCES1,PGI1,AMY1,GA20OX1,VTC2,TSB2,AT4G27270,MAN5,AT4G29890,GLDP1,ALDH3I1,SQS1,MTN2,XDH1,AT4G36430,LCB1,AT4G37550,AT4G37560,SIR,TT7,ASPGA1,AT5G08570,GulLO3,5-FCL,TRA2,GUN5,TT4,AT5G16240,GAD,ATMS1,APL1,AT5G19730,SS1,GUS3,AT5G39580,GLA1,AOS,IPK1,CLH2,ADG1,GA20OX2,PGMP,AT5G51830,AT5G51890,PORA,BGLU41,THI1,PDC2,PFK7,SERAT1;1,AT5G57655,AT5G58330,PDX2,HDS,NDPK2,AT5G64120,AT5G65750
ath01110	Biosynthesis of secondary metabolites	104	1216	0.48	1.31e-19	3702.AT1G01610.1,3702.AT1G04920.1,3702.AT1G05260.1,3702.AT1G07230.1,3702.AT1G08520.1,3702.AT1G13440.1,3702.AT1G13560.1,3702.AT1G15080.1,3702.AT1G16350.1,3702.AT1G17420.1,3702.AT1G20630.1,3702.AT1G27680.1,3702.AT1G32900.1,3702.AT1G35910.1,3702.AT1G43670.1,3702.AT1G44446.1,3702.AT1G55120.1,3702.AT1G59900.1,3702.AT1G63000.1,3702.AT1G63290.1,3702.AT1G64970.1,3702.AT1G67090.1,3702.AT1G72810.1,3702.AT1G75330.1,3702.AT1G76690.1,3702.AT1G78050.1,3702.AT1G78580.1,3702.AT1G79470.1,3702.AT2G01140.1,3702.AT2G06050.2,3702.AT2G16570.1,3702.AT2G18150.1,3702.AT2G18950.1,3702.AT2G19860.1,3702.AT2G22240.1,3702.AT2G22480.1,3702.AT2G37250.1,3702.AT2G38110.1,3702.AT2G38280.2,3702.AT2G40840.1,3702.AT2G40890.1,3702.AT2G41480.1,3702.AT2G42490.1,3702.AT3G01180.1,3702.AT3G04790.1,3702.AT3G08590.2,3702.AT3G12780.1,3702.AT3G25760.1,3702.AT3G29320.1,3702.AT3G46970.1,3702.AT3G48560.1,3702.AT3G49160.1,3702.AT3G55410.1,3702.AT3G57560.1,3702.AT3G63410.1,3702.AT4G01320.1,3702.AT4G02280.1,3702.AT4G04040.1,3702.AT4G11010.1,3702.AT4G11820.2,3702.AT4G12290.1,3702.AT4G13010.1,3702.AT4G15560.1,3702.AT4G17260.1,3702.AT4G17690.1,3702.AT4G24620.1,3702.AT4G25000.1,3702.AT4G25420.1,3702.AT4G26850.1,3702.AT4G27070.1,3702.AT4G27270.1,3702.AT4G33010.1,3702.AT4G34240.1,3702.AT4G34640.1,3702.AT4G34890.1,3702.AT4G36430.1,3702.AT4G37000.1,3702.AT5G07990.1,3702.AT5G08100.1,3702.AT5G08570.1,3702.AT5G13420.1,3702.AT5G13630.1,3702.AT5G13930.1,3702.AT5G17330.1,3702.AT5G17920.1,3702.AT5G19220.1,3702.AT5G24300.1,3702.AT5G39580.1,3702.AT5G42650.1,3702.AT5G43860.1,3702.AT5G48300.1,3702.AT5G51810.1,3702.AT5G51820.1,3702.AT5G51830.1,3702.AT5G51890.1,3702.AT5G54190.1,3702.AT5G54570.1,3702.AT5G54960.1,3702.AT5G56630.1,3702.AT5G56760.1,3702.AT5G60600.1,3702.AT5G63310.1,3702.AT5G64120.1,3702.AT5G65750.1	GPAT4,SPS3F,RCI3,NPC1,ALB1,GAPC2,AAPT1,LPP2,AT1G16350,LOX3,CAT1,APL2,GBSS1,TPPD,FBP,CH1,FRUCT5,At1g59900,NRS/ER,AT1G63290,G-TMT,RBCS1A,AT1G72810,OTC,OPR2,At1g78050,TPS1,AT1G79470,PDE345,OPR3,ASE1,AT2G18150,HPT1,HXK2,MIPS2,PFK5,ADK,GPAT6,FAC1,DPE2,CYP98A3,AT2G41480,AT2G42490,At3g01180,EMB3119,iPGAM2,PGK1,AOC1,AT3G29320,PHS2,CSR1,AT3G49160,AT3G55410,NAGK,APG1,ATSTE24,SUS3,MEE51,NDPK3,HMGS,AT4G12290,AT4G13010,CLA1,AT4G17260,AT4G17690,PGI1,AMY1,GA20OX1,VTC2,TSB2,AT4G27270,GLDP1,ALDH3I1,SQS1,XDH1,AT4G36430,ACD2,TT7,ASPGA1,AT5G08570,TRA2,GUN5,TT4,GAD,ATMS1,APL1,SS1,AT5G39580,AOS,CLH2,ADG1,GA20OX2,PGMP,AT5G51830,AT5G51890,PORA,BGLU41,PDC2,PFK7,SERAT1;1,HDS,NDPK2,AT5G64120,AT5G65750
ath01200	Carbon metabolism	30	268	0.59	2.21e-07	3702.AT1G13440.1,3702.AT1G17650.1,3702.AT1G20630.1,3702.AT1G43670.1,3702.AT1G53310.3,3702.AT1G59900.1,3702.AT1G63290.1,3702.AT1G67090.1,3702.AT1G78050.1,3702.AT2G01140.1,3702.AT2G14170.1,3702.AT2G19860.1,3702.AT2G22480.1,3702.AT2G41530.1,3702.AT2G42600.1,3702.AT3G04790.1,3702.AT3G08590.2,3702.AT3G12780.1,3702.AT3G49160.1,3702.AT3G55410.1,3702.AT4G24620.1,3702.AT4G33010.1,3702.AT4G37550.1,3702.AT4G37560.1,3702.AT5G08570.1,3702.AT5G13420.1,3702.AT5G56630.1,3702.AT5G56760.1,3702.AT5G58330.1,3702.AT5G65750.1	GAPC2,GLYR2,CAT1,FBP,PPC1,At1g59900,AT1G63290,RBCS1A,At1g78050,PDE345,ALDH6B2,HXK2,PFK5,SFGH,PPC2,EMB3119,iPGAM2,PGK1,AT3G49160,AT3G55410,PGI1,GLDP1,AT4G37550,AT4G37560,AT5G08570,TRA2,PFK7,SERAT1;1,AT5G58330,AT5G65750
ath00010	Glycolysis / Gluconeogenesis	18	116	0.74	4.07e-06	3702.AT1G13440.1,3702.AT1G43670.1,3702.AT1G59900.1,3702.AT1G78050.1,3702.AT2G01140.1,3702.AT2G19860.1,3702.AT2G22480.1,3702.AT3G08590.2,3702.AT3G12780.1,3702.AT3G49160.1,3702.AT4G04040.1,3702.AT4G17260.1,3702.AT4G24620.1,3702.AT4G34240.1,3702.AT5G08570.1,3702.AT5G51820.1,3702.AT5G54960.1,3702.AT5G56630.1	GAPC2,FBP,At1g59900,At1g78050,PDE345,HXK2,PFK5,iPGAM2,PGK1,AT3G49160,MEE51,AT4G17260,PGI1,ALDH3I1,AT5G08570,PGMP,PDC2,PFK7
ath00500	Starch and sucrose metabolism	20	170	0.61	3.48e-05	3702.AT1G04920.1,3702.AT1G27680.1,3702.AT1G32900.1,3702.AT1G35910.1,3702.AT1G55120.1,3702.AT1G78580.1,3702.AT2G19860.1,3702.AT2G40840.1,3702.AT3G01180.1,3702.AT3G29320.1,3702.AT3G46970.1,3702.AT4G02280.1,3702.AT4G24620.1,3702.AT4G25000.1,3702.AT5G19220.1,3702.AT5G24300.1,3702.AT5G48300.1,3702.AT5G51820.1,3702.AT5G51830.1,3702.AT5G54570.1	SPS3F,APL2,GBSS1,TPPD,FRUCT5,TPS1,HXK2,DPE2,At3g01180,AT3G29320,PHS2,SUS3,PGI1,AMY1,APL1,SS1,ADG1,PGMP,AT5G51830,BGLU41
ath00230	Purine metabolism	13	98	0.67	0.00098	3702.AT1G16350.1,3702.AT1G79470.1,3702.AT2G16570.1,3702.AT2G37250.1,3702.AT2G38280.2,3702.AT3G23580.1,3702.AT3G49160.1,3702.AT4G11010.1,3702.AT4G20070.1,3702.AT4G34890.1,3702.AT5G08570.1,3702.AT5G51820.1,3702.AT5G63310.1	AT1G16350,AT1G79470,ASE1,ADK,FAC1,RNR2A,AT3G49160,NDPK3,AAH,XDH1,AT5G08570,PGMP,NDPK2
ath00030	Pentose phosphate pathway	10	58	0.78	0.0011	3702.AT1G43670.1,3702.AT1G63290.1,3702.AT2G01140.1,3702.AT2G22480.1,3702.AT3G04790.1,3702.AT4G04040.1,3702.AT4G24620.1,3702.AT5G13420.1,3702.AT5G51820.1,3702.AT5G56630.1	FBP,AT1G63290,PDE345,PFK5,EMB3119,MEE51,PGI1,TRA2,PGMP,PFK7
ath00051	Fructose and mannose metabolism	10	64	0.74	0.0021	3702.AT1G07110.1,3702.AT1G43670.1,3702.AT2G01140.1,3702.AT2G19860.1,3702.AT2G22480.1,3702.AT4G04040.1,3702.AT4G28320.1,3702.AT5G51830.1,3702.AT5G56630.1,3702.AT5G57655.2	F2KP,FBP,PDE345,HXK2,PFK5,MEE51,MAN5,AT5G51830,PFK7,AT5G57655
ath00710	Carbon fixation in photosynthetic organisms	10	69	0.71	0.0033	3702.AT1G13440.1,3702.AT1G43670.1,3702.AT1G53310.3,3702.AT1G63290.1,3702.AT1G67090.1,3702.AT2G01140.1,3702.AT2G42600.1,3702.AT3G04790.1,3702.AT3G12780.1,3702.AT5G58330.1	GAPC2,FBP,PPC1,AT1G63290,RBCS1A,PDE345,PPC2,EMB3119,PGK1,AT5G58330
ath01230	Biosynthesis of amino acids	19	240	0.44	0.0058	3702.AT1G13440.1,3702.AT1G63290.1,3702.AT1G72810.1,3702.AT1G75330.1,3702.AT1G78050.1,3702.AT2G01140.1,3702.AT2G22480.1,3702.AT3G04790.1,3702.AT3G08590.2,3702.AT3G12780.1,3702.AT3G48560.1,3702.AT3G49160.1,3702.AT3G57560.1,3702.AT4G27070.1,3702.AT5G08570.1,3702.AT5G13420.1,3702.AT5G17920.1,3702.AT5G56630.1,3702.AT5G56760.1	GAPC2,AT1G63290,AT1G72810,OTC,At1g78050,PDE345,PFK5,EMB3119,iPGAM2,PGK1,CSR1,AT3G49160,NAGK,TSB2,AT5G08570,TRA2,ATMS1,PFK7,SERAT1;1
