#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
ath01100	Metabolic pathways	200	2275	0.35	9.58e-23	3702.AT1G01710.1,3702.AT1G02800.1,3702.AT1G02880.3,3702.AT1G07110.1,3702.AT1G07230.1,3702.AT1G08510.1,3702.AT1G09780.1,3702.AT1G13560.1,3702.AT1G15710.1,3702.AT1G17420.1,3702.AT1G19440.1,3702.AT1G23730.1,3702.AT1G26560.1,3702.AT1G26810.1,3702.AT1G30820.1,3702.AT1G31190.1,3702.AT1G31230.1,3702.AT1G32470.1,3702.AT1G36370.1,3702.AT1G43710.1,3702.AT1G48130.1,3702.AT1G48430.1,3702.AT1G50480.1,3702.AT1G52760.1,3702.AT1G53310.3,3702.AT1G55880.1,3702.AT1G63000.1,3702.AT1G63050.1,3702.AT1G63660.1,3702.AT1G63710.1,3702.AT1G63770.5,3702.AT1G65930.1,3702.AT1G65960.2,3702.AT1G66430.1,3702.AT1G67090.1,3702.AT1G67280.1,3702.AT1G69500.1,3702.AT1G69770.1,3702.AT1G72880.1,3702.AT1G74030.1,3702.AT1G74260.1,3702.AT1G74960.2,3702.AT1G78900.2,3702.AT1G79550.2,3702.AT2G01140.1,3702.AT2G01630.1,3702.AT2G01890.1,3702.AT2G02970.1,3702.AT2G05100.1,3702.AT2G05320.1,3702.AT2G16280.1,3702.AT2G18450.1,3702.AT2G18950.1,3702.AT2G18960.1,3702.AT2G19800.1,3702.AT2G19860.1,3702.AT2G21170.1,3702.AT2G22480.1,3702.AT2G22780.1,3702.AT2G26640.1,3702.AT2G26830.1,3702.AT2G30660.1,3702.AT2G33220.1,3702.AT2G34420.1,3702.AT2G37790.1,3702.AT2G38110.1,3702.AT2G38670.1,3702.AT2G38680.1,3702.AT2G39770.1,3702.AT2G40890.1,3702.AT2G41480.1,3702.AT2G42010.1,3702.AT2G42490.1,3702.AT2G42600.1,3702.AT2G43020.1,3702.AT2G43980.1,3702.AT2G44050.1,3702.AT2G44350.2,3702.AT2G45670.1,3702.AT2G45790.1,3702.AT2G46750.1,3702.AT2G47630.1,3702.AT2G47690.1,3702.AT3G01910.1,3702.AT3G02570.1,3702.AT3G02720.1,3702.AT3G04790.1,3702.AT3G04870.2,3702.AT3G05610.1,3702.AT3G06830.1,3702.AT3G06860.1,3702.AT3G07800.1,3702.AT3G08590.2,3702.AT3G10050.1,3702.AT3G10160.1,3702.AT3G12500.1,3702.AT3G12780.1,3702.AT3G13560.2,3702.AT3G14390.1,3702.AT3G14440.1,3702.AT3G16990.1,3702.AT3G17070.1,3702.AT3G17810.1,3702.AT3G19820.2,3702.AT3G21070.1,3702.AT3G22740.1,3702.AT3G23490.1,3702.AT3G24170.1,3702.AT3G25860.1,3702.AT3G27060.1,3702.AT3G27190.1,3702.AT3G27325.2,3702.AT3G29320.1,3702.AT3G52940.1,3702.AT3G54250.1,3702.AT3G54690.1,3702.AT3G54890.1,3702.AT3G55870.1,3702.AT3G57650.1,3702.AT3G59970.3,3702.AT4G00490.1,3702.AT4G02280.1,3702.AT4G04040.1,3702.AT4G04640.1,3702.AT4G09010.1,3702.AT4G11150.1,3702.AT4G11290.1,3702.AT4G12110.1,3702.AT4G16130.1,3702.AT4G16155.1,3702.AT4G19750.1,3702.AT4G19860.1,3702.AT4G20460.1,3702.AT4G23920.1,3702.AT4G24040.1,3702.AT4G24620.1,3702.AT4G25420.1,3702.AT4G26200.1,3702.AT4G26910.1,3702.AT4G27270.1,3702.AT4G28320.1,3702.AT4G30440.1,3702.AT4G31140.1,3702.AT4G34240.1,3702.AT4G36380.1,3702.AT4G37830.1,3702.AT4G39080.1,3702.AT4G39120.1,3702.AT5G02790.1,3702.AT5G03370.1,3702.AT5G06730.1,3702.AT5G07990.1,3702.AT5G08280.1,3702.AT5G08340.1,3702.AT5G08380.1,3702.AT5G08570.1,3702.AT5G09230.7,3702.AT5G13110.1,3702.AT5G13930.1,3702.AT5G14800.1,3702.AT5G14950.1,3702.AT5G17250.1,3702.AT5G17330.1,3702.AT5G18800.1,3702.AT5G19200.1,3702.AT5G19730.1,3702.AT5G20950.1,3702.AT5G20990.1,3702.AT5G21105.1,3702.AT5G25450.1,3702.AT5G27380.1,3702.AT5G27730.1,3702.AT5G34930.1,3702.AT5G34940.2,3702.AT5G38420.1,3702.AT5G38530.1,3702.AT5G38710.1,3702.AT5G40810.1,3702.AT5G42650.1,3702.AT5G42740.1,3702.AT5G46180.1,3702.AT5G48930.1,3702.AT5G49460.1,3702.AT5G49650.1,3702.AT5G49720.1,3702.AT5G50850.1,3702.AT5G51810.1,3702.AT5G52920.1,3702.AT5G54390.1,3702.AT5G55760.1,3702.AT5G58240.1,3702.AT5G58330.1,3702.AT5G60600.1,3702.AT5G60620.1,3702.AT5G63400.1,3702.AT5G64120.1,3702.AT5G64860.1,3702.AT5G65720.1,3702.AT5G65750.1,3702.AT5G67030.1	AT1G01710,CEL2,TPK1,F2KP,NPC1,FATB,iPGAM1,AAPT1,AT1G15710,LOX3,KCS4,BCA3,BGLU40,GALT1,AT1G30820,IMPL1,AKHSDH1,AT1G32470,SHM7,EMB1075,PER1,AT1G48430,THFS,LysoPL2,PPC1,AT1G55880,NRS/ER,LPLAT2,AT1G63660,CYP86A7,AT1G63770,cICDH,GAD2,AT1G66430,RBCS1A,AT1G67280,CYP704B1,CMT3,AT1G72880,ENO1,PUR4,FAB1,VHA-A,PGK,PDE345,AT2G01630,PAP8,AT2G02970,LHCB2.1,AT2G05320,KCS9,SDH1-2,HPT1,HA1,MIOX2,HXK2,TIM,PFK5,PMDH1,KCS11,emb1187,AT2G30660,AT2G33220,LHB1B2,AKR4C10,GPAT6,PECT1,AT2G38680,CYT1,CYP98A3,AT2G41480,PLDBETA1,AT2G42490,PPC2,PAO2,ITPK4,COS1,ATCS,AT2G45670,PMM,GulLO2,AT2G47630,AT2G47690,SOX,MEE31,DJ1D,EMB3119,ZDS,AT3G05610,AT3G06830,MFP2,TK1a,iPGAM2,OMR1,DFC,HCHIB,PGK1,AT3G13560,AT3G14390,NCED3,AT3G16990,AT3G17070,PYD1,DWF1,NADK1,HMT3,CYN,At3g24170,LTA2,TSO2,UKL2,AT3G27325,AT3G29320,FK,AT3G54250,SETH3,LHCA1,AT3G55870,LPAT2,MTHFR1,BMY9,SUS3,MEE51,ATPC1,TL29,TUF,AT4G11290,SMO1-1,ARA1,AT4G16155,AT4G19750,AT4G19860,AT4G20460,UGE2,TRE1,PGI1,GA20OX1,ACS7,AT4G26910,AT4G27270,MAN5,GAE1,AT4G31140,ALDH3I1,ROT3,AT4G37830,VHA-A3,IMPL2,GSTL3,AT5G03370,AT5G06730,TT7,HEMC,AT5G08340,AGAL1,AT5G08570,SRT2,G6PD2,TT4,P5CR,GMII,AT5G17250,GAD,AT5G18800,TSC10B,AT5G19730,AT5G20950,B73,AT5G21105,AT5G25450,GSH2,AT5G27730,AT5G34930,GUS3,RBCS2B,TSBtype2,AT5G38710,AT5G40810,AOS,AT5G42740,DELTA-OAT,HCT,ACLB-2,XK-2,GH9A1,MAB1,GA20OX2,PKP-BETA1,HL,SRT1,FHIT,AT5G58330,HDS,GPAT9,At5g63400,AT5G64120,DPE1,NFS1,AT5G65750,ABA1
ath01110	Biosynthesis of secondary metabolites	114	1216	0.38	5.91e-14	3702.AT1G01710.1,3702.AT1G07230.1,3702.AT1G09780.1,3702.AT1G13560.1,3702.AT1G15080.1,3702.AT1G15710.1,3702.AT1G17420.1,3702.AT1G19440.1,3702.AT1G26560.1,3702.AT1G31190.1,3702.AT1G31230.1,3702.AT1G32470.1,3702.AT1G36370.1,3702.AT1G43710.1,3702.AT1G48130.1,3702.AT1G52760.1,3702.AT1G55880.1,3702.AT1G63000.1,3702.AT1G63050.1,3702.AT1G65930.1,3702.AT1G65960.2,3702.AT1G66430.1,3702.AT1G67090.1,3702.AT1G72880.1,3702.AT1G74030.1,3702.AT1G74260.1,3702.AT1G79550.2,3702.AT2G01140.1,3702.AT2G16280.1,3702.AT2G18450.1,3702.AT2G18950.1,3702.AT2G19860.1,3702.AT2G21170.1,3702.AT2G22480.1,3702.AT2G22780.1,3702.AT2G26640.1,3702.AT2G37790.1,3702.AT2G38110.1,3702.AT2G38680.1,3702.AT2G39770.1,3702.AT2G40890.1,3702.AT2G41480.1,3702.AT2G42010.1,3702.AT2G42490.1,3702.AT2G44050.1,3702.AT2G44350.2,3702.AT2G45790.1,3702.AT2G47630.1,3702.AT3G02570.1,3702.AT3G04790.1,3702.AT3G04870.2,3702.AT3G06860.1,3702.AT3G08590.2,3702.AT3G10050.1,3702.AT3G12780.1,3702.AT3G14390.1,3702.AT3G14440.1,3702.AT3G17070.1,3702.AT3G19820.2,3702.AT3G22740.1,3702.AT3G25860.1,3702.AT3G29320.1,3702.AT3G52940.1,3702.AT3G54250.1,3702.AT3G55870.1,3702.AT3G57650.1,3702.AT4G00490.1,3702.AT4G01320.1,3702.AT4G02280.1,3702.AT4G04040.1,3702.AT4G11290.1,3702.AT4G12110.1,3702.AT4G13010.1,3702.AT4G16155.1,3702.AT4G19860.1,3702.AT4G24040.1,3702.AT4G24620.1,3702.AT4G25420.1,3702.AT4G26200.1,3702.AT4G26910.1,3702.AT4G27270.1,3702.AT4G34240.1,3702.AT4G36380.1,3702.AT4G39120.1,3702.AT5G06730.1,3702.AT5G07990.1,3702.AT5G08280.1,3702.AT5G08340.1,3702.AT5G08570.1,3702.AT5G13110.1,3702.AT5G13930.1,3702.AT5G14800.1,3702.AT5G17330.1,3702.AT5G20950.1,3702.AT5G34930.1,3702.AT5G38420.1,3702.AT5G38530.1,3702.AT5G38710.1,3702.AT5G40280.1,3702.AT5G42650.1,3702.AT5G42740.1,3702.AT5G46180.1,3702.AT5G48930.1,3702.AT5G49460.1,3702.AT5G50850.1,3702.AT5G51810.1,3702.AT5G52920.1,3702.AT5G60600.1,3702.AT5G60620.1,3702.AT5G63400.1,3702.AT5G64120.1,3702.AT5G64860.1,3702.AT5G65750.1,3702.AT5G67030.1	AT1G01710,NPC1,iPGAM1,AAPT1,LPP2,AT1G15710,LOX3,KCS4,BGLU40,IMPL1,AKHSDH1,AT1G32470,SHM7,EMB1075,PER1,LysoPL2,AT1G55880,NRS/ER,LPLAT2,cICDH,GAD2,AT1G66430,RBCS1A,AT1G72880,ENO1,PUR4,PGK,PDE345,KCS9,SDH1-2,HPT1,HXK2,TIM,PFK5,PMDH1,KCS11,AKR4C10,GPAT6,AT2G38680,CYT1,CYP98A3,AT2G41480,PLDBETA1,AT2G42490,COS1,ATCS,PMM,AT2G47630,MEE31,EMB3119,ZDS,MFP2,iPGAM2,OMR1,PGK1,AT3G14390,NCED3,AT3G17070,DWF1,HMT3,LTA2,AT3G29320,FK,AT3G54250,AT3G55870,LPAT2,BMY9,ATSTE24,SUS3,MEE51,AT4G11290,SMO1-1,AT4G13010,AT4G16155,AT4G19860,TRE1,PGI1,GA20OX1,ACS7,AT4G26910,AT4G27270,ALDH3I1,ROT3,IMPL2,AT5G06730,TT7,HEMC,AT5G08340,AT5G08570,G6PD2,TT4,P5CR,GAD,AT5G20950,AT5G34930,RBCS2B,TSBtype2,AT5G38710,ERA1,AOS,AT5G42740,DELTA-OAT,HCT,ACLB-2,MAB1,GA20OX2,PKP-BETA1,HDS,GPAT9,At5g63400,AT5G64120,DPE1,AT5G65750,ABA1
ath01200	Carbon metabolism	37	268	0.55	7.59e-08	3702.AT1G09780.1,3702.AT1G32470.1,3702.AT1G36370.1,3702.AT1G48430.1,3702.AT1G50480.1,3702.AT1G53310.3,3702.AT1G55880.1,3702.AT1G65930.1,3702.AT1G67090.1,3702.AT1G74030.1,3702.AT1G79550.2,3702.AT2G01140.1,3702.AT2G18450.1,3702.AT2G19860.1,3702.AT2G21170.1,3702.AT2G22480.1,3702.AT2G22780.1,3702.AT2G30660.1,3702.AT2G42600.1,3702.AT2G44350.2,3702.AT3G04790.1,3702.AT3G08590.2,3702.AT3G10050.1,3702.AT3G12780.1,3702.AT3G25860.1,3702.AT3G59970.3,3702.AT4G16155.1,3702.AT4G24620.1,3702.AT4G26910.1,3702.AT5G08570.1,3702.AT5G13110.1,3702.AT5G38420.1,3702.AT5G42740.1,3702.AT5G50850.1,3702.AT5G52920.1,3702.AT5G58330.1,3702.AT5G65750.1	iPGAM1,AT1G32470,SHM7,AT1G48430,THFS,PPC1,AT1G55880,cICDH,RBCS1A,ENO1,PGK,PDE345,SDH1-2,HXK2,TIM,PFK5,PMDH1,AT2G30660,PPC2,ATCS,EMB3119,iPGAM2,OMR1,PGK1,LTA2,MTHFR1,AT4G16155,PGI1,AT4G26910,AT5G08570,G6PD2,RBCS2B,AT5G42740,MAB1,PKP-BETA1,AT5G58330,AT5G65750
ath00010	Glycolysis / Gluconeogenesis	19	116	0.62	9.63e-05	3702.AT1G09780.1,3702.AT1G74030.1,3702.AT1G79550.2,3702.AT2G01140.1,3702.AT2G19860.1,3702.AT2G21170.1,3702.AT2G22480.1,3702.AT2G37790.1,3702.AT3G08590.2,3702.AT3G12780.1,3702.AT3G25860.1,3702.AT4G04040.1,3702.AT4G16155.1,3702.AT4G24620.1,3702.AT4G34240.1,3702.AT5G08570.1,3702.AT5G42740.1,3702.AT5G50850.1,3702.AT5G52920.1	iPGAM1,ENO1,PGK,PDE345,HXK2,TIM,PFK5,AKR4C10,iPGAM2,PGK1,LTA2,MEE51,AT4G16155,PGI1,ALDH3I1,AT5G08570,AT5G42740,MAB1,PKP-BETA1
ath00051	Fructose and mannose metabolism	12	64	0.68	0.0025	3702.AT1G07110.1,3702.AT1G48430.1,3702.AT1G66430.1,3702.AT2G01140.1,3702.AT2G19860.1,3702.AT2G21170.1,3702.AT2G22480.1,3702.AT2G39770.1,3702.AT2G45790.1,3702.AT3G02570.1,3702.AT4G04040.1,3702.AT4G28320.1	F2KP,AT1G48430,AT1G66430,PDE345,HXK2,TIM,PFK5,CYT1,PMM,MEE31,MEE51,MAN5
ath00620	Pyruvate metabolism	13	85	0.59	0.0056	3702.AT1G53310.3,3702.AT1G67280.1,3702.AT2G22780.1,3702.AT2G42600.1,3702.AT3G02720.1,3702.AT3G25860.1,3702.AT4G16155.1,3702.AT4G34240.1,3702.AT5G03370.1,3702.AT5G08570.1,3702.AT5G50850.1,3702.AT5G52920.1,3702.AT5G58330.1	PPC1,AT1G67280,PMDH1,PPC2,DJ1D,LTA2,AT4G16155,ALDH3I1,AT5G03370,AT5G08570,MAB1,PKP-BETA1,AT5G58330
ath01230	Biosynthesis of amino acids	24	240	0.4	0.0056	3702.AT1G09780.1,3702.AT1G15710.1,3702.AT1G31230.1,3702.AT1G36370.1,3702.AT1G55880.1,3702.AT1G65930.1,3702.AT1G74030.1,3702.AT1G79550.2,3702.AT2G01140.1,3702.AT2G21170.1,3702.AT2G22480.1,3702.AT2G44350.2,3702.AT3G04790.1,3702.AT3G08590.2,3702.AT3G10050.1,3702.AT3G12780.1,3702.AT3G14390.1,3702.AT3G55870.1,3702.AT4G39120.1,3702.AT5G08570.1,3702.AT5G14800.1,3702.AT5G34930.1,3702.AT5G38530.1,3702.AT5G52920.1	iPGAM1,AT1G15710,AKHSDH1,SHM7,AT1G55880,cICDH,ENO1,PGK,PDE345,TIM,PFK5,ATCS,EMB3119,iPGAM2,OMR1,PGK1,AT3G14390,AT3G55870,IMPL2,AT5G08570,P5CR,AT5G34930,TSBtype2,PKP-BETA1
ath00710	Carbon fixation in photosynthetic organisms	11	69	0.61	0.0119	3702.AT1G53310.3,3702.AT1G67090.1,3702.AT1G79550.2,3702.AT2G01140.1,3702.AT2G21170.1,3702.AT2G22780.1,3702.AT2G42600.1,3702.AT3G04790.1,3702.AT3G12780.1,3702.AT5G38420.1,3702.AT5G58330.1	PPC1,RBCS1A,PGK,PDE345,TIM,PMDH1,PPC2,EMB3119,PGK1,RBCS2B,AT5G58330
ath00020	Citrate cycle (TCA cycle)	10	61	0.62	0.0166	3702.AT1G65930.1,3702.AT2G18450.1,3702.AT2G22780.1,3702.AT2G44350.2,3702.AT3G25860.1,3702.AT4G16155.1,3702.AT4G26910.1,3702.AT5G49460.1,3702.AT5G50850.1,3702.AT5G65750.1	cICDH,SDH1-2,PMDH1,ATCS,LTA2,AT4G16155,AT4G26910,ACLB-2,MAB1,AT5G65750
ath04141	Protein processing in endoplasmic reticulum	20	206	0.39	0.0169	3702.AT1G19310.1,3702.AT1G35620.1,3702.AT1G52260.1,3702.AT1G56340.1,3702.AT1G75950.1,3702.AT3G07370.1,3702.AT3G12580.1,3702.AT3G16090.1,3702.AT3G46230.1,3702.AT4G24190.1,3702.AT4G24280.1,3702.AT4G27670.1,3702.AT5G02490.1,3702.AT5G12030.1,3702.AT5G22060.1,3702.AT5G35080.1,3702.AT5G49910.1,3702.AT5G59720.1,3702.AT5G60640.1,3702.AT5G61790.1	AT1G19310,PDIL5-2,PDIL1-5,CRT1a,SKP1,CHIP,HSP70,Hrd1A,HSP17.4,SHD,cpHsc70-1,HSP21,Hsp70-2,HSP17.6A,J2,OS9,cpHsc70-2,HSP18.2,PDIL1-4,CNX1
