#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
ath01100	Metabolic pathways	195	2275	0.39	2.98e-27	3702.AT1G01120.1,3702.AT1G01610.1,3702.AT1G03475.1,3702.AT1G04410.1,3702.AT1G04610.1,3702.AT1G05260.1,3702.AT1G06820.1,3702.AT1G07110.1,3702.AT1G08250.1,3702.AT1G08510.1,3702.AT1G08520.1,3702.AT1G08750.1,3702.AT1G09830.1,3702.AT1G12050.1,3702.AT1G12840.1,3702.AT1G15110.2,3702.AT1G15820.1,3702.AT1G17420.1,3702.AT1G17650.1,3702.AT1G19910.1,3702.AT1G20480.1,3702.AT1G20630.1,3702.AT1G22410.1,3702.AT1G22620.1,3702.AT1G22880.1,3702.AT1G24180.1,3702.AT1G25230.1,3702.AT1G26640.1,3702.AT1G31330.1,3702.AT1G31800.1,3702.AT1G32070.2,3702.AT1G32210.1,3702.AT1G34430.1,3702.AT1G37130.1,3702.AT1G48930.1,3702.AT1G49820.1,3702.AT1G50510.1,3702.AT1G53580.1,3702.AT1G55120.1,3702.AT1G62640.1,3702.AT1G62660.1,3702.AT1G63110.1,3702.AT1G63710.1,3702.AT1G64200.1,3702.AT1G64390.1,3702.AT1G65060.1,3702.AT1G67090.1,3702.AT1G67280.1,3702.AT1G67750.1,3702.AT1G69500.1,3702.AT1G69770.1,3702.AT1G74040.1,3702.AT1G74910.1,3702.AT1G75330.1,3702.AT1G77590.1,3702.AT1G79440.1,3702.AT1G80360.1,3702.AT2G01140.1,3702.AT2G05100.1,3702.AT2G13560.1,3702.AT2G20680.1,3702.AT2G21170.1,3702.AT2G21790.1,3702.AT2G22420.1,3702.AT2G22450.1,3702.AT2G22480.1,3702.AT2G25080.1,3702.AT2G26640.1,3702.AT2G30860.1,3702.AT2G33220.1,3702.AT2G34420.1,3702.AT2G37040.1,3702.AT2G37790.1,3702.AT2G38010.2,3702.AT2G38110.1,3702.AT2G38280.2,3702.AT2G40890.1,3702.AT2G41480.1,3702.AT2G44040.1,3702.AT2G44520.1,3702.AT2G44660.1,3702.AT2G44750.2,3702.AT2G47510.1,3702.AT2G47630.1,3702.AT3G02360.2,3702.AT3G02870.1,3702.AT3G04790.1,3702.AT3G05610.1,3702.AT3G06830.1,3702.AT3G08590.2,3702.AT3G10340.1,3702.AT3G10740.1,3702.AT3G12780.1,3702.AT3G13560.2,3702.AT3G14310.1,3702.AT3G14390.1,3702.AT3G16950.2,3702.AT3G17070.1,3702.AT3G17810.1,3702.AT3G19420.1,3702.AT3G19820.2,3702.AT3G22740.1,3702.AT3G24090.1,3702.AT3G24230.1,3702.AT3G25760.1,3702.AT3G27540.1,3702.AT3G27820.1,3702.AT3G45770.1,3702.AT3G48990.1,3702.AT3G51520.1,3702.AT3G52930.1,3702.AT3G53260.1,3702.AT3G54050.1,3702.AT3G54470.1,3702.AT3G55360.1,3702.AT3G55800.1,3702.AT3G57170.1,3702.AT3G57520.1,3702.AT3G57560.1,3702.AT3G59970.3,3702.AT4G02290.1,3702.AT4G02580.1,3702.AT4G04640.1,3702.AT4G05090.1,3702.AT4G09010.1,3702.AT4G11030.1,3702.AT4G12110.1,3702.AT4G13260.1,3702.AT4G15560.1,3702.AT4G16130.1,3702.AT4G16700.1,3702.AT4G16710.1,3702.AT4G17260.1,3702.AT4G20930.1,3702.AT4G22330.1,3702.AT4G23850.1,3702.AT4G23920.1,3702.AT4G24040.1,3702.AT4G25000.1,3702.AT4G25420.1,3702.AT4G25840.1,3702.AT4G27070.1,3702.AT4G28320.1,3702.AT4G32520.1,3702.AT4G34240.1,3702.AT4G34640.1,3702.AT4G34700.1,3702.AT4G36430.1,3702.AT4G37830.1,3702.AT4G37870.1,3702.AT4G37930.1,3702.AT4G39080.1,3702.AT5G01530.1,3702.AT5G06580.1,3702.AT5G06730.1,3702.AT5G07440.1,3702.AT5G07990.1,3702.AT5G09730.1,3702.AT5G11770.1,3702.AT5G13050.1,3702.AT5G13930.1,3702.AT5G13960.1,3702.AT5G15180.1,3702.AT5G15770.1,3702.AT5G16120.2,3702.AT5G16390.1,3702.AT5G17250.1,3702.AT5G17310.2,3702.AT5G17920.1,3702.AT5G18800.1,3702.AT5G19200.1,3702.AT5G19220.1,3702.AT5G19730.1,3702.AT5G34940.2,3702.AT5G38420.1,3702.AT5G38710.1,3702.AT5G42810.1,3702.AT5G48930.1,3702.AT5G51810.1,3702.AT5G51830.1,3702.AT5G52560.1,3702.AT5G52840.1,3702.AT5G54190.1,3702.AT5G54770.1,3702.AT5G54960.1,3702.AT5G57330.1,3702.AT5G59770.1,3702.AT5G63400.1,3702.AT5G64120.1,3702.AT5G64860.1,3702.AT5G65110.1,3702.AT5G65140.1,3702.AT5G66280.1,3702.AT5G66390.1,3702.AT5G66460.1	KCS1,GPAT4,LIN2,c-NAD-MDH1,YUC3,RCI3,CRTISO,F2KP,ADT6,FATB,ALB1,AT1G08750,PUR2,AT1G12050,DET3,PSS1,LHCB6,LOX3,GLYR2,AVA-P2,AT1G20480,CAT1,AT1G22410,ATSAC1,CEL5,IAR4,AT1G25230,AT1G26640,PSAF,CYP97A3,NSI,ATDAD1,EMB3003,NIA2,GH9C1,MTK,AT1G50510,GLY3,FRUCT5,T3P18.20,AT1G62660,AT1G63110,CYP86A7,VHA-E3,GH9C2,4CL3,RBCS1A,AT1G67280,AT1G67750,CYP704B1,CMT3,IMS1,AT1G74910,OTC,LACS9,ALDH5F1,AT1G80360,PDE345,LHCB2.1,NAD-ME1,MAN2,TIM,RNR1,AT2G22420,RIBA2,PFK5,GPX1,KCS11,GSTF9,AT2G33220,LHB1B2,PAL1,AKR4C10,AT2G38010,GPAT6,FAC1,CYP98A3,AT2G41480,AT2G44040,COX10,AT2G44660,TPK2,FUM1,AT2G47630,AT3G02360,VTC4,EMB3119,AT3G05610,AT3G06830,iPGAM2,PAL4,ASD1,PGK1,AT3G13560,PME3,AT3G14390,LPD1,AT3G17070,PYD1,PTEN2A,DWF1,HMT3,GFAT,AT3G24230,AOC1,AT3G27540,MDAR4,AT3G45770,AAE3,DGAT2,FBA8,PAL2,HCEF1,AT3G54470,CER10,SBPASE,AT3G57170,SIP2,NAGK,MTHFR1,GH9B13,AT4G02580,ATPC1,AT4G05090,TL29,AT4G11030,SMO1-1,YUC2,CLA1,ARA1,PSD1,AT4G16710,AT4G17260,AT4G20930,ATCES1,LACS4,UGE2,TRE1,AMY1,GA20OX1,GPP1,TSB2,MAN5,SHM3,ALDH3I1,SQS1,CIB22,AT4G36430,AT4G37830,PCK1,SHM1,VHA-A3,LHCB4.1,AT5G06580,AT5G06730,GDH2,TT7,BXL3,AT5G11770,5-FCL,TT4,SUVH4,AT5G15180,GNA1,AT5G16120,CAC1,AT5G17250,UGP2,ATMS1,AT5G18800,TSC10B,APL1,AT5G19730,GUS3,RBCS2B,AT5G38710,IPK1,HCT,GA20OX2,AT5G51830,USP,AT5G52840,PORA,THI1,PDC2,AT5G57330,AT5G59770,At5g63400,AT5G64120,DPE1,ACX2,TPPJ,GMD1,AT5G66390,MAN7
ath01110	Biosynthesis of secondary metabolites	100	1216	0.37	6.85e-12	3702.AT1G01120.1,3702.AT1G01610.1,3702.AT1G03475.1,3702.AT1G04410.1,3702.AT1G05260.1,3702.AT1G06820.1,3702.AT1G08250.1,3702.AT1G08520.1,3702.AT1G09830.1,3702.AT1G15110.2,3702.AT1G17420.1,3702.AT1G20480.1,3702.AT1G20630.1,3702.AT1G22400.1,3702.AT1G22410.1,3702.AT1G24180.1,3702.AT1G26640.1,3702.AT1G31800.1,3702.AT1G34430.1,3702.AT1G55120.1,3702.AT1G62660.1,3702.AT1G65060.1,3702.AT1G67090.1,3702.AT1G74040.1,3702.AT1G74910.1,3702.AT1G75330.1,3702.AT2G01140.1,3702.AT2G21170.1,3702.AT2G22420.1,3702.AT2G22450.1,3702.AT2G22480.1,3702.AT2G26640.1,3702.AT2G37040.1,3702.AT2G37790.1,3702.AT2G38110.1,3702.AT2G38280.2,3702.AT2G40690.1,3702.AT2G40890.1,3702.AT2G41480.1,3702.AT2G44040.1,3702.AT2G44520.1,3702.AT2G47510.1,3702.AT2G47630.1,3702.AT3G02360.2,3702.AT3G02870.1,3702.AT3G04790.1,3702.AT3G08590.2,3702.AT3G10340.1,3702.AT3G12780.1,3702.AT3G14390.1,3702.AT3G16950.2,3702.AT3G17070.1,3702.AT3G19820.2,3702.AT3G22740.1,3702.AT3G25760.1,3702.AT3G52930.1,3702.AT3G53260.1,3702.AT3G54050.1,3702.AT3G55360.1,3702.AT3G57560.1,3702.AT4G12110.1,3702.AT4G13010.1,3702.AT4G15560.1,3702.AT4G16700.1,3702.AT4G17260.1,3702.AT4G24040.1,3702.AT4G25000.1,3702.AT4G25420.1,3702.AT4G27070.1,3702.AT4G32520.1,3702.AT4G34240.1,3702.AT4G34640.1,3702.AT4G36430.1,3702.AT4G37870.1,3702.AT4G37930.1,3702.AT5G06730.1,3702.AT5G07990.1,3702.AT5G13930.1,3702.AT5G15180.1,3702.AT5G16120.2,3702.AT5G16390.1,3702.AT5G17310.2,3702.AT5G17920.1,3702.AT5G19220.1,3702.AT5G38420.1,3702.AT5G38710.1,3702.AT5G48930.1,3702.AT5G51810.1,3702.AT5G51830.1,3702.AT5G52560.1,3702.AT5G54190.1,3702.AT5G54960.1,3702.AT5G57330.1,3702.AT5G59770.1,3702.AT5G63400.1,3702.AT5G64120.1,3702.AT5G64860.1,3702.AT5G65110.1,3702.AT5G65140.1,3702.AT5G66390.1	KCS1,GPAT4,LIN2,c-NAD-MDH1,RCI3,CRTISO,ADT6,ALB1,PUR2,PSS1,LOX3,AT1G20480,CAT1,UGT85A1,AT1G22410,IAR4,AT1G26640,CYP97A3,EMB3003,FRUCT5,AT1G62660,4CL3,RBCS1A,IMS1,AT1G74910,OTC,PDE345,TIM,AT2G22420,RIBA2,PFK5,KCS11,PAL1,AKR4C10,GPAT6,FAC1,GLY1,CYP98A3,AT2G41480,AT2G44040,COX10,FUM1,AT2G47630,AT3G02360,VTC4,EMB3119,iPGAM2,PAL4,PGK1,AT3G14390,LPD1,AT3G17070,DWF1,HMT3,AOC1,FBA8,PAL2,HCEF1,CER10,NAGK,SMO1-1,AT4G13010,CLA1,PSD1,AT4G17260,TRE1,AMY1,GA20OX1,TSB2,SHM3,ALDH3I1,SQS1,AT4G36430,PCK1,SHM1,AT5G06730,TT7,TT4,AT5G15180,AT5G16120,CAC1,UGP2,ATMS1,APL1,RBCS2B,AT5G38710,HCT,GA20OX2,AT5G51830,USP,PORA,PDC2,AT5G57330,AT5G59770,At5g63400,AT5G64120,DPE1,ACX2,TPPJ,AT5G66390
ath01200	Carbon metabolism	28	268	0.48	0.00017	3702.AT1G04410.1,3702.AT1G17650.1,3702.AT1G20630.1,3702.AT1G24180.1,3702.AT1G34430.1,3702.AT1G67090.1,3702.AT2G01140.1,3702.AT2G13560.1,3702.AT2G21170.1,3702.AT2G22480.1,3702.AT2G47510.1,3702.AT3G02360.2,3702.AT3G04790.1,3702.AT3G08590.2,3702.AT3G12780.1,3702.AT3G16950.2,3702.AT3G52930.1,3702.AT3G54050.1,3702.AT3G55800.1,3702.AT3G59970.3,3702.AT4G20930.1,3702.AT4G32520.1,3702.AT4G37870.1,3702.AT4G37930.1,3702.AT5G07440.1,3702.AT5G16390.1,3702.AT5G38420.1,3702.AT5G65110.1	c-NAD-MDH1,GLYR2,CAT1,IAR4,EMB3003,RBCS1A,PDE345,NAD-ME1,TIM,PFK5,FUM1,AT3G02360,EMB3119,iPGAM2,PGK1,LPD1,FBA8,HCEF1,SBPASE,MTHFR1,AT4G20930,SHM3,PCK1,SHM1,GDH2,CAC1,RBCS2B,ACX2
ath00010	Glycolysis / Gluconeogenesis	16	116	0.6	0.00100	3702.AT1G24180.1,3702.AT1G34430.1,3702.AT2G01140.1,3702.AT2G21170.1,3702.AT2G22480.1,3702.AT2G37790.1,3702.AT3G08590.2,3702.AT3G12780.1,3702.AT3G16950.2,3702.AT3G52930.1,3702.AT3G54050.1,3702.AT4G17260.1,3702.AT4G34240.1,3702.AT4G37870.1,3702.AT5G54960.1,3702.AT5G57330.1	IAR4,EMB3003,PDE345,TIM,PFK5,AKR4C10,iPGAM2,PGK1,LPD1,FBA8,HCEF1,AT4G17260,ALDH3I1,PCK1,PDC2,AT5G57330
ath00051	Fructose and mannose metabolism	12	64	0.73	0.00100	3702.AT1G07110.1,3702.AT1G74910.1,3702.AT2G01140.1,3702.AT2G20680.1,3702.AT2G21170.1,3702.AT2G22480.1,3702.AT3G52930.1,3702.AT3G54050.1,3702.AT4G28320.1,3702.AT5G51830.1,3702.AT5G66280.1,3702.AT5G66460.1	F2KP,AT1G74910,PDE345,MAN2,TIM,PFK5,FBA8,HCEF1,MAN5,AT5G51830,GMD1,MAN7
ath00710	Carbon fixation in photosynthetic organisms	12	69	0.7	0.0013	3702.AT1G04410.1,3702.AT1G67090.1,3702.AT2G01140.1,3702.AT2G13560.1,3702.AT2G21170.1,3702.AT3G04790.1,3702.AT3G12780.1,3702.AT3G52930.1,3702.AT3G54050.1,3702.AT3G55800.1,3702.AT4G37870.1,3702.AT5G38420.1	c-NAD-MDH1,RBCS1A,PDE345,NAD-ME1,TIM,EMB3119,PGK1,FBA8,HCEF1,SBPASE,PCK1,RBCS2B
ath00620	Pyruvate metabolism	13	85	0.64	0.0017	3702.AT1G04410.1,3702.AT1G24180.1,3702.AT1G34430.1,3702.AT1G67280.1,3702.AT1G74040.1,3702.AT2G13560.1,3702.AT2G47510.1,3702.AT3G16950.2,3702.AT4G17260.1,3702.AT4G34240.1,3702.AT4G37870.1,3702.AT5G06580.1,3702.AT5G16390.1	c-NAD-MDH1,IAR4,EMB3003,AT1G67280,IMS1,NAD-ME1,FUM1,LPD1,AT4G17260,ALDH3I1,PCK1,AT5G06580,CAC1
ath03010	Ribosome	27	318	0.39	0.0030	3702.AT1G07320.1,3702.AT1G08360.1,3702.AT1G15250.1,3702.AT1G29070.1,3702.AT1G48350.1,3702.AT1G70600.1,3702.AT1G71720.1,3702.AT2G19730.3,3702.AT2G24090.1,3702.AT2G37600.2,3702.AT2G40010.1,3702.AT3G09630.1,3702.AT3G48930.1,3702.AT3G54210.1,3702.AT3G57490.1,3702.AT3G62870.1,3702.AT3G63490.1,3702.AT4G02230.1,3702.AT4G18100.1,3702.AT4G35490.1,3702.AT4G39880.1,3702.AT5G02870.1,3702.AT5G10360.1,3702.AT5G39850.1,3702.AT5G58420.1,3702.AT5G59240.1,3702.AT5G61170.1	RPL4,AT1G08360,AT1G15250,AT1G29070,EMB3105,AT1G70600,PDE338,AT2G19730,PRPL35,AT2G37600,AT2G40010,AT3G09630,EMB1080,AT3G54210,AT3G57490,AT3G62870,EMB3126,AT4G02230,AT4G18100,MRPL11,AT4G39880,AT5G02870,EMB3010,AT5G39850,AT5G58420,AT5G59240,AT5G61170
ath00940	Phenylpropanoid biosynthesis	17	176	0.44	0.0161	3702.AT1G05260.1,3702.AT1G65060.1,3702.AT2G22420.1,3702.AT2G37040.1,3702.AT2G40890.1,3702.AT2G41480.1,3702.AT2G47630.1,3702.AT3G10340.1,3702.AT3G17070.1,3702.AT3G53260.1,3702.AT4G36430.1,3702.AT5G06730.1,3702.AT5G15180.1,3702.AT5G16120.2,3702.AT5G48930.1,3702.AT5G64120.1,3702.AT5G66390.1	RCI3,4CL3,AT2G22420,PAL1,CYP98A3,AT2G41480,AT2G47630,PAL4,AT3G17070,PAL2,AT4G36430,AT5G06730,AT5G15180,AT5G16120,HCT,AT5G64120,AT5G66390
ath01212	Fatty acid metabolism	10	70	0.61	0.0163	3702.AT1G08510.1,3702.AT1G62640.1,3702.AT1G77590.1,3702.AT3G45770.1,3702.AT3G55360.1,3702.AT4G11030.1,3702.AT4G23850.1,3702.AT5G16390.1,3702.AT5G59770.1,3702.AT5G65110.1	FATB,T3P18.20,LACS9,AT3G45770,CER10,AT4G11030,LACS4,CAC1,AT5G59770,ACX2
