#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0003824	catalytic activity	133	6726	0.23	9.37e-08	3702.AT1G01280.1,3702.AT1G01510.1,3702.AT1G01610.1,3702.AT1G02560.1,3702.AT1G07180.1,3702.AT1G11860.3,3702.AT1G11910.1,3702.AT1G13440.1,3702.AT1G17840.1,3702.AT1G17870.1,3702.AT1G22360.1,3702.AT1G23010.1,3702.AT1G48930.1,3702.AT1G49210.1,3702.AT1G50240.2,3702.AT1G52260.1,3702.AT1G54780.1,3702.AT1G59870.1,3702.AT1G62660.1,3702.AT1G64390.1,3702.AT1G67090.1,3702.AT1G67750.1,3702.AT1G69500.1,3702.AT1G70170.1,3702.AT1G74380.1,3702.AT1G75690.1,3702.AT1G76690.1,3702.AT2G15390.2,3702.AT2G20370.1,3702.AT2G20680.1,3702.AT2G21170.1,3702.AT2G22610.1,3702.AT2G25940.1,3702.AT2G26140.1,3702.AT2G26640.1,3702.AT2G33220.1,3702.AT2G35390.2,3702.AT2G37040.1,3702.AT2G38050.1,3702.AT2G40890.1,3702.AT2G45270.1,3702.AT2G47510.1,3702.AT3G02000.1,3702.AT3G02720.1,3702.AT3G02870.1,3702.AT3G02910.1,3702.AT3G06830.1,3702.AT3G08550.1,3702.AT3G10740.1,3702.AT3G11170.1,3702.AT3G11630.1,3702.AT3G13920.2,3702.AT3G14390.1,3702.AT3G16910.1,3702.AT3G17070.1,3702.AT3G17820.1,3702.AT3G19420.1,3702.AT3G22740.1,3702.AT3G24670.1,3702.AT3G25780.1,3702.AT3G45770.1,3702.AT3G47340.1,3702.AT3G52300.1,3702.AT3G53620.1,3702.AT3G54050.1,3702.AT3G54900.1,3702.AT3G55550.1,3702.AT3G55800.1,3702.AT3G58560.1,3702.AT3G61530.2,3702.AT3G63140.1,3702.AT4G01070.1,3702.AT4G01130.1,3702.AT4G02290.1,3702.AT4G03210.1,3702.AT4G03520.1,3702.AT4G04640.1,3702.AT4G09010.1,3702.AT4G09670.1,3702.AT4G11910.1,3702.AT4G12110.1,3702.AT4G14150.1,3702.AT4G16566.1,3702.AT4G18820.1,3702.AT4G23850.1,3702.AT4G24040.1,3702.AT4G25420.1,3702.AT4G27270.1,3702.AT4G28320.1,3702.AT4G30400.1,3702.AT4G34640.1,3702.AT4G34980.1,3702.AT4G36380.1,3702.AT5G01410.1,3702.AT5G01930.1,3702.AT5G03340.1,3702.AT5G03455.1,3702.AT5G03610.1,3702.AT5G05130.1,3702.AT5G06050.1,3702.AT5G06730.1,3702.AT5G07990.1,3702.AT5G08170.1,3702.AT5G09650.1,3702.AT5G10720.1,3702.AT5G13870.1,3702.AT5G13930.1,3702.AT5G19730.1,3702.AT5G20010.1,3702.AT5G20070.1,3702.AT5G20350.1,3702.AT5G22750.1,3702.AT5G23860.1,3702.AT5G38420.1,3702.AT5G39040.1,3702.AT5G45340.1,3702.AT5G45900.1,3702.AT5G46210.1,3702.AT5G48840.1,3702.AT5G48950.1,3702.AT5G53370.1,3702.AT5G54770.1,3702.AT5G55190.1,3702.AT5G56760.1,3702.AT5G57800.1,3702.AT5G59180.1,3702.AT5G60540.1,3702.AT5G63310.1,3702.AT5G64120.1,3702.AT5G64840.1,3702.AT5G66140.1,3702.AT5G66280.1,3702.AT5G66570.1	CYP703A2,AN,GPAT4,CLPP5,NDA1,AT1G11860,APA1,GAPC2,ABCG11,EGY3,UGT85A2,LPR1,GH9C1,AT1G49210,FU,PDIL1-5,TLP18.3,ABCG36,AT1G62660,GH9C2,RBCS1A,AT1G67750,CYP704B1,MMP,XXT5,LQY1,OPR2,FUT4,MUR3,MAN2,TIM,AT2G22610,ALPHA-VPE,ftsh4,KCS11,AT2G33220,AT2G35390,PAL1,DET2,CYP98A3,GCP1,FUM1,ROXY1,DJ1D,VTC4,AT3G02910,AT3G06830,KOB1,ASD1,FAD7,AT3G11630,EIF4A1,AT3G14390,AAE7,AT3G17070,GLN1.3,PTEN2A,HMT3,AT3G24670,AOC3,AT3G45770,ASN1,ATPQ,PPa4,HCEF1,CXIP1,AT3G55550,SBPASE,AT3G58560,PANB2,CSP41A,GT72B1,AT4G01130,GH9B13,XTH9,ATHM2,ATPC1,TL29,AT4G09670,AT4G11910,SMO1-1,PAKRP1,HINT4,AT4G18820,LACS4,TRE1,GA20OX1,AT4G27270,MAN5,AT4G30400,SQS1,SBT1.6,ROT3,RSR4,MAN6,AtCDC48C,CDC25,AT5G03610,AT5G05130,AT5G06050,AT5G06730,TT7,EMB1873,PPa6,HK5,XTH5,TT4,AT5G19730,RAN-1,NUDX19,TIP1,RAD5,TUB8,RBCS2B,ABCB27,CYP707A3,APG7,CUL4,PANC,DHNAT2,PMEPCRF,THI1,RAN3,SERAT1;1,CER3,NRPB7,PDX2,NDPK2,AT5G64120,ABCF5,PAD2,GMD1,PSBO1
GO:0019904	protein domain specific binding	11	59	1.2	1.21e-06	3702.AT1G06680.1,3702.AT2G05100.1,3702.AT2G28900.1,3702.AT3G54890.1,3702.AT3G61470.1,3702.AT4G02770.1,3702.AT4G10340.1,3702.AT4G12800.1,3702.AT5G38420.1,3702.AT5G54270.1,3702.AT5G54770.1	PSBP-1,LHCB2.1,OEP16-1,LHCA1,LHCA2,PSAD-1,LHCB5,PSAL,RBCS2B,LHCB3,THI1
GO:0046906	tetrapyrrole binding	17	297	0.69	0.00029	3702.AT1G01280.1,3702.AT1G69500.1,3702.AT2G05100.1,3702.AT2G40890.1,3702.AT2G47770.1,3702.AT3G17070.1,3702.AT3G27690.1,3702.AT3G54890.1,3702.AT3G61470.1,3702.AT4G09010.1,3702.AT4G10340.1,3702.AT4G36380.1,3702.AT5G06730.1,3702.AT5G07990.1,3702.AT5G45340.1,3702.AT5G54270.1,3702.AT5G64120.1	CYP703A2,CYP704B1,LHCB2.1,CYP98A3,TSPO,AT3G17070,LHCB2.3,LHCA1,LHCA2,TL29,LHCB5,ROT3,AT5G06730,TT7,CYP707A3,LHCB3,AT5G64120
GO:0005198	structural molecule activity	19	412	0.6	0.00096	3702.AT1G08360.1,3702.AT1G14850.1,3702.AT1G48350.1,3702.AT1G70600.1,3702.AT1G79850.1,3702.AT2G33450.1,3702.AT2G33800.1,3702.AT2G43030.1,3702.AT3G04400.1,3702.AT3G06700.1,3702.AT3G17820.1,3702.AT3G52300.1,3702.AT3G63490.1,3702.AT4G37130.1,3702.AT5G15200.1,3702.AT5G23860.1,3702.AT5G27700.1,3702.AT5G27770.1,3702.AT5G45775.2	AT1G08360,NUP155,EMB3105,AT1G70600,RPS17,PRPL28,EMB3113,AT2G43030,emb2171,AT3G06700,GLN1.3,ATPQ,EMB3126,AT4G37130,AT5G15200,TUB8,AT5G27700,AT5G27770,AT3G58700
GO:0003735	structural constituent of ribosome	16	308	0.65	0.0014	3702.AT1G08360.1,3702.AT1G48350.1,3702.AT1G70600.1,3702.AT1G79850.1,3702.AT2G33450.1,3702.AT2G33800.1,3702.AT2G43030.1,3702.AT3G04400.1,3702.AT3G06700.1,3702.AT3G17820.1,3702.AT3G52300.1,3702.AT3G63490.1,3702.AT5G15200.1,3702.AT5G27700.1,3702.AT5G27770.1,3702.AT5G45775.2	AT1G08360,EMB3105,AT1G70600,RPS17,PRPL28,EMB3113,AT2G43030,emb2171,AT3G06700,GLN1.3,ATPQ,EMB3126,AT5G15200,AT5G27700,AT5G27770,AT3G58700
GO:0016787	hydrolase activity	54	2363	0.29	0.0015	3702.AT1G01610.1,3702.AT1G02560.1,3702.AT1G11910.1,3702.AT1G17840.1,3702.AT1G17870.1,3702.AT1G48930.1,3702.AT1G54780.1,3702.AT1G59870.1,3702.AT1G62660.1,3702.AT1G64390.1,3702.AT1G70170.1,3702.AT2G20680.1,3702.AT2G22610.1,3702.AT2G25940.1,3702.AT2G26140.1,3702.AT2G45270.1,3702.AT3G02870.1,3702.AT3G06830.1,3702.AT3G10740.1,3702.AT3G13920.2,3702.AT3G19420.1,3702.AT3G52300.1,3702.AT3G53620.1,3702.AT3G54050.1,3702.AT3G55800.1,3702.AT3G58560.1,3702.AT4G01130.1,3702.AT4G02290.1,3702.AT4G03210.1,3702.AT4G14150.1,3702.AT4G16566.1,3702.AT4G24040.1,3702.AT4G28320.1,3702.AT4G34980.1,3702.AT5G01930.1,3702.AT5G03340.1,3702.AT5G03455.1,3702.AT5G03610.1,3702.AT5G05130.1,3702.AT5G08170.1,3702.AT5G09650.1,3702.AT5G13870.1,3702.AT5G19730.1,3702.AT5G20010.1,3702.AT5G20070.1,3702.AT5G22750.1,3702.AT5G23860.1,3702.AT5G39040.1,3702.AT5G48950.1,3702.AT5G53370.1,3702.AT5G55190.1,3702.AT5G60540.1,3702.AT5G64840.1,3702.AT5G66140.1	GPAT4,CLPP5,APA1,ABCG11,EGY3,GH9C1,TLP18.3,ABCG36,AT1G62660,GH9C2,MMP,MAN2,AT2G22610,ALPHA-VPE,ftsh4,GCP1,VTC4,AT3G06830,ASD1,EIF4A1,PTEN2A,ATPQ,PPa4,HCEF1,SBPASE,AT3G58560,AT4G01130,GH9B13,XTH9,PAKRP1,HINT4,TRE1,MAN5,SBT1.6,MAN6,AtCDC48C,CDC25,AT5G03610,AT5G05130,EMB1873,PPa6,XTH5,AT5G19730,RAN-1,NUDX19,RAD5,TUB8,ABCB27,DHNAT2,PMEPCRF,RAN3,PDX2,ABCF5,PAD2
GO:0005488	binding	138	8453	0.15	0.0017	3702.AT1G01280.1,3702.AT1G01510.1,3702.AT1G02560.1,3702.AT1G06680.1,3702.AT1G07090.1,3702.AT1G08360.1,3702.AT1G11250.1,3702.AT1G13440.1,3702.AT1G15130.1,3702.AT1G17840.1,3702.AT1G21910.1,3702.AT1G23010.1,3702.AT1G24020.2,3702.AT1G24620.1,3702.AT1G31812.1,3702.AT1G48350.1,3702.AT1G48930.1,3702.AT1G49210.1,3702.AT1G50240.2,3702.AT1G51060.1,3702.AT1G59870.1,3702.AT1G64390.1,3702.AT1G65290.1,3702.AT1G67090.1,3702.AT1G67750.1,3702.AT1G69500.1,3702.AT1G70170.1,3702.AT1G71440.1,3702.AT1G75690.1,3702.AT1G75950.1,3702.AT1G76690.1,3702.AT1G78700.1,3702.AT1G79090.2,3702.AT1G79850.1,3702.AT2G05100.1,3702.AT2G15290.1,3702.AT2G21870.1,3702.AT2G22610.1,3702.AT2G25180.1,3702.AT2G26140.1,3702.AT2G28900.1,3702.AT2G33800.1,3702.AT2G35390.2,3702.AT2G38120.1,3702.AT2G40890.1,3702.AT2G43030.1,3702.AT2G44100.1,3702.AT2G45270.1,3702.AT2G47770.1,3702.AT3G02870.1,3702.AT3G04400.1,3702.AT3G13920.2,3702.AT3G17070.1,3702.AT3G17820.1,3702.AT3G19420.1,3702.AT3G22740.1,3702.AT3G24670.1,3702.AT3G27310.1,3702.AT3G27690.1,3702.AT3G45770.1,3702.AT3G47340.1,3702.AT3G52300.1,3702.AT3G53620.1,3702.AT3G54050.1,3702.AT3G54890.1,3702.AT3G54900.1,3702.AT3G55550.1,3702.AT3G55620.1,3702.AT3G55800.1,3702.AT3G58560.1,3702.AT3G61470.1,3702.AT3G61530.2,3702.AT3G62020.1,3702.AT3G62410.1,3702.AT3G62770.1,3702.AT3G63140.1,3702.AT3G63490.1,3702.AT4G02770.1,3702.AT4G03540.1,3702.AT4G04885.1,3702.AT4G09010.1,3702.AT4G10340.1,3702.AT4G12110.1,3702.AT4G12800.1,3702.AT4G14150.1,3702.AT4G15510.1,3702.AT4G16566.1,3702.AT4G17570.2,3702.AT4G18820.1,3702.AT4G23850.1,3702.AT4G24250.1,3702.AT4G25420.1,3702.AT4G26840.1,3702.AT4G27270.1,3702.AT4G29170.1,3702.AT4G30400.1,3702.AT4G33260.1,3702.AT4G36380.1,3702.AT4G36860.1,3702.AT4G37130.1,3702.AT4G37640.1,3702.AT4G37790.1,3702.AT5G01410.1,3702.AT5G03340.1,3702.AT5G03455.1,3702.AT5G05130.1,3702.AT5G06730.1,3702.AT5G07990.1,3702.AT5G09650.1,3702.AT5G10720.1,3702.AT5G15200.1,3702.AT5G18580.1,3702.AT5G20010.1,3702.AT5G20070.1,3702.AT5G20350.1,3702.AT5G20510.1,3702.AT5G22750.1,3702.AT5G23860.1,3702.AT5G27770.1,3702.AT5G38420.1,3702.AT5G38480.1,3702.AT5G39040.1,3702.AT5G45340.1,3702.AT5G45420.1,3702.AT5G45775.2,3702.AT5G46210.1,3702.AT5G48840.1,3702.AT5G54270.1,3702.AT5G54770.1,3702.AT5G55190.1,3702.AT5G57800.1,3702.AT5G59180.1,3702.AT5G60440.1,3702.AT5G60540.1,3702.AT5G63310.1,3702.AT5G64120.1,3702.AT5G64840.1,3702.AT5G66570.1	CYP703A2,AN,CLPP5,PSBP-1,LSH6,AT1G08360,SYP125,GAPC2,AT1G15130,ABCG11,DREB26,LPR1,MLP423,AT1G24620,ACBP6,EMB3105,GH9C1,AT1G49210,FU,HTA10,ABCG36,GH9C2,mtACP2,RBCS1A,AT1G67750,CYP704B1,MMP,PFI,LQY1,SKP1,OPR2,BEH4,AT1G79090,RPS17,LHCB2.1,TIC21,MGP1,AT2G22610,RR12,ftsh4,OEP16-1,EMB3113,AT2G35390,AUX1,CYP98A3,AT2G43030,GDI1,GCP1,TSPO,VTC4,emb2171,EIF4A1,AT3G17070,GLN1.3,PTEN2A,HMT3,AT3G24670,PUX1,LHCB2.3,AT3G45770,ASN1,ATPQ,PPa4,HCEF1,LHCA1,CXIP1,AT3G55550,eIF6A,SBPASE,AT3G58560,LHCA2,PANB2,GLP10,CP12-2,AtATG18a,CSP41A,EMB3126,PSAD-1,AT4G03540,PCFS4,TL29,LHCB5,SMO1-1,PSAL,PAKRP1,AT4G15510,HINT4,GATA26,AT4G18820,LACS4,MLO13,GA20OX1,SUMO1,AT4G27270,ATMND1,AT4G30400,CDC20.2,ROT3,AT4G36860,AT4G37130,At4g37640,HAT22,RSR4,AtCDC48C,CDC25,AT5G05130,AT5G06730,TT7,PPa6,HK5,AT5G15200,FASS,RAN-1,NUDX19,TIP1,AL5,RAD5,TUB8,AT5G27770,RBCS2B,RCI1A,ABCB27,CYP707A3,maMYB,AT3G58700,CUL4,PANC,LHCB3,THI1,RAN3,CER3,NRPB7,AGL62,PDX2,NDPK2,AT5G64120,ABCF5,PSBO1
GO:0016168	chlorophyll binding	6	30	1.24	0.0021	3702.AT2G05100.1,3702.AT3G27690.1,3702.AT3G54890.1,3702.AT3G61470.1,3702.AT4G10340.1,3702.AT5G54270.1	LHCB2.1,LHCB2.3,LHCA1,LHCA2,LHCB5,LHCB3
GO:0043169	cation binding	63	3039	0.25	0.0029	3702.AT1G01280.1,3702.AT1G06680.1,3702.AT1G13440.1,3702.AT1G23010.1,3702.AT1G24620.1,3702.AT1G31812.1,3702.AT1G49210.1,3702.AT1G65290.1,3702.AT1G67090.1,3702.AT1G67750.1,3702.AT1G69500.1,3702.AT1G70170.1,3702.AT1G75690.1,3702.AT2G05100.1,3702.AT2G21870.1,3702.AT2G26140.1,3702.AT2G35390.2,3702.AT2G40890.1,3702.AT2G45270.1,3702.AT3G02870.1,3702.AT3G17070.1,3702.AT3G17820.1,3702.AT3G22740.1,3702.AT3G24670.1,3702.AT3G27690.1,3702.AT3G45770.1,3702.AT3G52300.1,3702.AT3G53620.1,3702.AT3G54050.1,3702.AT3G54890.1,3702.AT3G54900.1,3702.AT3G55800.1,3702.AT3G58560.1,3702.AT3G61470.1,3702.AT3G61530.2,3702.AT3G62020.1,3702.AT3G62410.1,3702.AT4G04885.1,3702.AT4G10340.1,3702.AT4G12110.1,3702.AT4G15510.1,3702.AT4G17570.2,3702.AT4G25420.1,3702.AT4G30400.1,3702.AT4G36380.1,3702.AT4G36860.1,3702.AT4G37640.1,3702.AT5G03455.1,3702.AT5G05130.1,3702.AT5G06730.1,3702.AT5G07990.1,3702.AT5G09650.1,3702.AT5G10720.1,3702.AT5G18580.1,3702.AT5G20070.1,3702.AT5G20510.1,3702.AT5G22750.1,3702.AT5G45340.1,3702.AT5G54270.1,3702.AT5G54770.1,3702.AT5G57800.1,3702.AT5G63310.1,3702.AT5G64120.1	CYP703A2,PSBP-1,GAPC2,LPR1,AT1G24620,ACBP6,AT1G49210,mtACP2,RBCS1A,AT1G67750,CYP704B1,MMP,LQY1,LHCB2.1,MGP1,ftsh4,AT2G35390,CYP98A3,GCP1,VTC4,AT3G17070,GLN1.3,HMT3,AT3G24670,LHCB2.3,AT3G45770,ATPQ,PPa4,HCEF1,LHCA1,CXIP1,SBPASE,AT3G58560,LHCA2,PANB2,GLP10,CP12-2,PCFS4,LHCB5,SMO1-1,AT4G15510,GATA26,GA20OX1,AT4G30400,ROT3,AT4G36860,At4g37640,CDC25,AT5G05130,AT5G06730,TT7,PPa6,HK5,FASS,NUDX19,AL5,RAD5,CYP707A3,LHCB3,THI1,CER3,NDPK2,AT5G64120
GO:0019843	rRNA binding	9	104	0.87	0.0034	3702.AT1G48350.1,3702.AT1G79850.1,3702.AT2G33800.1,3702.AT2G43030.1,3702.AT3G04400.1,3702.AT3G63140.1,3702.AT3G63490.1,3702.AT5G15200.1,3702.AT5G45775.2	EMB3105,RPS17,EMB3113,AT2G43030,emb2171,CSP41A,EMB3126,AT5G15200,AT3G58700
