#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0016021	integral component of membrane	38	3505	0.43	1.10e-05	3702.AT1G01020.1,3702.AT1G03370.1,3702.AT1G10130.1,3702.AT1G15500.1,3702.AT1G28340.1,3702.AT1G30450.2,3702.AT1G54350.1,3702.AT1G63710.1,3702.AT1G67640.1,3702.AT1G72960.1,3702.AT2G03220.1,3702.AT2G19080.1,3702.AT2G29940.1,3702.AT2G33570.1,3702.AT2G38290.1,3702.AT2G45670.1,3702.AT3G11170.1,3702.AT3G11320.1,3702.AT3G14360.1,3702.AT3G14810.1,3702.AT3G16090.1,3702.AT3G17440.1,3702.AT3G20000.1,3702.AT3G22840.1,3702.AT3G23430.1,3702.AT3G48820.1,3702.AT3G48850.1,3702.AT3G51520.1,3702.AT3G58170.1,3702.AT4G14240.1,3702.AT4G23400.1,3702.AT4G24530.1,3702.AT4G25230.1,3702.AT4G28620.1,3702.AT4G30950.1,3702.AT5G40380.1,3702.AT5G50200.2,3702.AT5G60770.1	ARV1,AT1G03370,ECA3,ATNTT2,RLP4,CCC1,ABCD2,CYP86A7,AT1G67640,AT1G72960,FT1,AT2G19080,ABCG31,GALS1,AMT2,AT2G45670,FAD7,AT3G11320,AT3G14360,MSL5,Hrd1A,NPSN13,TOM40,ELIP1,PHO1,AT3G48820,PHT3;2,DGAT2,BS14A,AT4G14240,PIP1;5,AT4G24530,RIN2,ABCB24,FAD6,CRK42,WR3,NRT2.4
GO:0016020	membrane	48	5659	0.33	4.06e-05	3702.AT1G01020.1,3702.AT1G02660.1,3702.AT1G03370.1,3702.AT1G10130.1,3702.AT1G15500.1,3702.AT1G28340.1,3702.AT1G30450.2,3702.AT1G54350.1,3702.AT1G63710.1,3702.AT1G67640.1,3702.AT1G72960.1,3702.AT2G03220.1,3702.AT2G19080.1,3702.AT2G29940.1,3702.AT2G33040.1,3702.AT2G33570.1,3702.AT2G38290.1,3702.AT2G45670.1,3702.AT3G08560.1,3702.AT3G11130.1,3702.AT3G11170.1,3702.AT3G11320.1,3702.AT3G14360.1,3702.AT3G14810.1,3702.AT3G16090.1,3702.AT3G17440.1,3702.AT3G20000.1,3702.AT3G22840.1,3702.AT3G23430.1,3702.AT3G48820.1,3702.AT3G48850.1,3702.AT3G51520.1,3702.AT3G58170.1,3702.AT3G58730.1,3702.AT4G11030.1,3702.AT4G14240.1,3702.AT4G17170.1,3702.AT4G23400.1,3702.AT4G24530.1,3702.AT4G25230.1,3702.AT4G28620.1,3702.AT4G30950.1,3702.AT4G34980.1,3702.AT4G35985.1,3702.AT5G40380.1,3702.AT5G50200.2,3702.AT5G60770.1,3702.AT5G64330.1	ARV1,AT1G02660,AT1G03370,ECA3,ATNTT2,RLP4,CCC1,ABCD2,CYP86A7,AT1G67640,AT1G72960,FT1,AT2G19080,ABCG31,ATP3,GALS1,AMT2,AT2G45670,VHA-E2,AT3G11130,FAD7,AT3G11320,AT3G14360,MSL5,Hrd1A,NPSN13,TOM40,ELIP1,PHO1,AT3G48820,PHT3;2,DGAT2,BS14A,AT3G58730,AT4G11030,AT4G14240,RABB1C,PIP1;5,AT4G24530,RIN2,ABCB24,FAD6,SBT1.6,AT4G35985,CRK42,WR3,NRT2.4,NPH3
GO:0005737	cytoplasm	58	7911	0.26	8.20e-05	3702.AT1G01020.1,3702.AT1G02660.1,3702.AT1G03780.3,3702.AT1G10130.1,3702.AT1G15500.1,3702.AT1G20630.1,3702.AT1G24620.1,3702.AT1G28340.1,3702.AT1G30450.2,3702.AT1G44170.2,3702.AT1G54350.1,3702.AT1G68560.1,3702.AT1G72960.1,3702.AT1G78670.1,3702.AT2G03220.1,3702.AT2G13560.1,3702.AT2G19080.1,3702.AT2G22480.1,3702.AT2G27100.1,3702.AT2G32950.1,3702.AT2G33040.1,3702.AT2G33570.1,3702.AT2G40290.1,3702.AT3G08560.1,3702.AT3G11130.1,3702.AT3G11170.1,3702.AT3G11320.1,3702.AT3G14390.1,3702.AT3G17440.1,3702.AT3G19050.1,3702.AT3G20000.1,3702.AT3G22840.1,3702.AT3G23430.1,3702.AT3G23790.1,3702.AT3G48820.1,3702.AT3G48850.1,3702.AT3G58170.1,3702.AT3G58730.1,3702.AT4G09510.1,3702.AT4G11030.1,3702.AT4G14240.1,3702.AT4G17170.1,3702.AT4G21990.1,3702.AT4G23400.1,3702.AT4G24530.1,3702.AT4G25230.1,3702.AT4G25630.1,3702.AT4G28620.1,3702.AT4G30950.1,3702.AT4G35985.1,3702.AT4G37470.1,3702.AT5G17330.1,3702.AT5G19730.1,3702.AT5G45775.2,3702.AT5G59180.1,3702.AT5G60340.1,3702.AT5G60770.1,3702.ATMG00860.1	ARV1,AT1G02660,At1g03780,ECA3,ATNTT2,CAT1,AT1G24620,RLP4,CCC1,ALDH3H1,ABCD2,XYL1,AT1G72960,GGH3,FT1,NAD-ME1,AT2G19080,PFK5,SE,COP1,ATP3,GALS1,AT2G40290,VHA-E2,AT3G11130,FAD7,AT3G11320,AT3G14390,NPSN13,POK2,TOM40,ELIP1,PHO1,AAE16,AT3G48820,PHT3;2,BS14A,AT3G58730,CINV2,AT4G11030,AT4G14240,RABB1C,APR3,PIP1;5,AT4G24530,RIN2,FIB2,ABCB24,FAD6,AT4G35985,KAI2,GAD,AT5G19730,AT3G58700,NRPB7,AAK6,NRT2.4,ORF158
GO:0043226	organelle	67	9930	0.23	8.20e-05	3702.AT1G01020.1,3702.AT1G02660.1,3702.AT1G03780.3,3702.AT1G10130.1,3702.AT1G13330.1,3702.AT1G15500.1,3702.AT1G20630.1,3702.AT1G21700.1,3702.AT1G24620.1,3702.AT1G28340.1,3702.AT1G30450.2,3702.AT1G44170.2,3702.AT1G52500.2,3702.AT1G54350.1,3702.AT1G68560.1,3702.AT1G72960.1,3702.AT1G77980.1,3702.AT1G78670.1,3702.AT2G03220.1,3702.AT2G13560.1,3702.AT2G19080.1,3702.AT2G22480.1,3702.AT2G27100.1,3702.AT2G32950.1,3702.AT2G33040.1,3702.AT2G33570.1,3702.AT2G40290.1,3702.AT3G08560.1,3702.AT3G11020.1,3702.AT3G11130.1,3702.AT3G11170.1,3702.AT3G11320.1,3702.AT3G14360.1,3702.AT3G14390.1,3702.AT3G16090.1,3702.AT3G17440.1,3702.AT3G19050.1,3702.AT3G20000.1,3702.AT3G22840.1,3702.AT3G23430.1,3702.AT3G23790.1,3702.AT3G48820.1,3702.AT3G48850.1,3702.AT3G50670.1,3702.AT3G51520.1,3702.AT3G58170.1,3702.AT3G58730.1,3702.AT3G60660.1,3702.AT4G09510.1,3702.AT4G11030.1,3702.AT4G14240.1,3702.AT4G17170.1,3702.AT4G21990.1,3702.AT4G23400.1,3702.AT4G24530.1,3702.AT4G25230.1,3702.AT4G25630.1,3702.AT4G28620.1,3702.AT4G30950.1,3702.AT4G35985.1,3702.AT4G37470.1,3702.AT5G28770.2,3702.AT5G45775.2,3702.AT5G59180.1,3702.AT5G60340.1,3702.AT5G60770.1,3702.ATMG00860.1	ARV1,AT1G02660,At1g03780,ECA3,HOP2,ATNTT2,CAT1,SWI3C,AT1G24620,RLP4,CCC1,ALDH3H1,MMH-1,ABCD2,XYL1,AT1G72960,AGL66,GGH3,FT1,NAD-ME1,AT2G19080,PFK5,SE,COP1,ATP3,GALS1,AT2G40290,VHA-E2,DREB2B,AT3G11130,FAD7,AT3G11320,AT3G14360,AT3G14390,Hrd1A,NPSN13,POK2,TOM40,ELIP1,PHO1,AAE16,AT3G48820,PHT3;2,U1-70K,DGAT2,BS14A,AT3G58730,AT3G60660,CINV2,AT4G11030,AT4G14240,RABB1C,APR3,PIP1;5,AT4G24530,RIN2,FIB2,ABCB24,FAD6,AT4G35985,KAI2,BZO2H3,AT3G58700,NRPB7,AAK6,NRT2.4,ORF158
GO:0043229	intracellular organelle	66	9831	0.22	9.79e-05	3702.AT1G01020.1,3702.AT1G02660.1,3702.AT1G03780.3,3702.AT1G10130.1,3702.AT1G13330.1,3702.AT1G15500.1,3702.AT1G20630.1,3702.AT1G21700.1,3702.AT1G24620.1,3702.AT1G28340.1,3702.AT1G30450.2,3702.AT1G44170.2,3702.AT1G52500.2,3702.AT1G54350.1,3702.AT1G68560.1,3702.AT1G72960.1,3702.AT1G77980.1,3702.AT1G78670.1,3702.AT2G03220.1,3702.AT2G13560.1,3702.AT2G19080.1,3702.AT2G22480.1,3702.AT2G27100.1,3702.AT2G32950.1,3702.AT2G33040.1,3702.AT2G33570.1,3702.AT2G40290.1,3702.AT3G08560.1,3702.AT3G11020.1,3702.AT3G11130.1,3702.AT3G11170.1,3702.AT3G11320.1,3702.AT3G14360.1,3702.AT3G14390.1,3702.AT3G17440.1,3702.AT3G19050.1,3702.AT3G20000.1,3702.AT3G22840.1,3702.AT3G23430.1,3702.AT3G23790.1,3702.AT3G48820.1,3702.AT3G48850.1,3702.AT3G50670.1,3702.AT3G51520.1,3702.AT3G58170.1,3702.AT3G58730.1,3702.AT3G60660.1,3702.AT4G09510.1,3702.AT4G11030.1,3702.AT4G14240.1,3702.AT4G17170.1,3702.AT4G21990.1,3702.AT4G23400.1,3702.AT4G24530.1,3702.AT4G25230.1,3702.AT4G25630.1,3702.AT4G28620.1,3702.AT4G30950.1,3702.AT4G35985.1,3702.AT4G37470.1,3702.AT5G28770.2,3702.AT5G45775.2,3702.AT5G59180.1,3702.AT5G60340.1,3702.AT5G60770.1,3702.ATMG00860.1	ARV1,AT1G02660,At1g03780,ECA3,HOP2,ATNTT2,CAT1,SWI3C,AT1G24620,RLP4,CCC1,ALDH3H1,MMH-1,ABCD2,XYL1,AT1G72960,AGL66,GGH3,FT1,NAD-ME1,AT2G19080,PFK5,SE,COP1,ATP3,GALS1,AT2G40290,VHA-E2,DREB2B,AT3G11130,FAD7,AT3G11320,AT3G14360,AT3G14390,NPSN13,POK2,TOM40,ELIP1,PHO1,AAE16,AT3G48820,PHT3;2,U1-70K,DGAT2,BS14A,AT3G58730,AT3G60660,CINV2,AT4G11030,AT4G14240,RABB1C,APR3,PIP1;5,AT4G24530,RIN2,FIB2,ABCB24,FAD6,AT4G35985,KAI2,BZO2H3,AT3G58700,NRPB7,AAK6,NRT2.4,ORF158
GO:0005794	Golgi apparatus	17	979	0.64	0.00016	3702.AT1G01020.1,3702.AT1G10130.1,3702.AT1G28340.1,3702.AT1G30450.2,3702.AT1G44170.2,3702.AT2G03220.1,3702.AT2G33570.1,3702.AT2G40290.1,3702.AT3G11130.1,3702.AT3G11320.1,3702.AT3G17440.1,3702.AT3G23430.1,3702.AT3G48820.1,3702.AT3G58170.1,3702.AT3G58730.1,3702.AT4G17170.1,3702.AT4G24530.1	ARV1,ECA3,RLP4,CCC1,ALDH3H1,FT1,GALS1,AT2G40290,AT3G11130,AT3G11320,NPSN13,PHO1,AT3G48820,BS14A,AT3G58730,RABB1C,AT4G24530
GO:0110165	cellular anatomical entity	81	13776	0.17	0.00016	3702.AT1G01020.1,3702.AT1G02660.1,3702.AT1G03370.1,3702.AT1G03780.3,3702.AT1G10130.1,3702.AT1G13330.1,3702.AT1G15500.1,3702.AT1G20630.1,3702.AT1G21700.1,3702.AT1G24620.1,3702.AT1G28340.1,3702.AT1G30450.2,3702.AT1G44170.2,3702.AT1G52500.2,3702.AT1G54350.1,3702.AT1G63710.1,3702.AT1G67640.1,3702.AT1G68560.1,3702.AT1G72960.1,3702.AT1G77980.1,3702.AT1G78670.1,3702.AT2G03220.1,3702.AT2G13560.1,3702.AT2G19080.1,3702.AT2G22480.1,3702.AT2G27100.1,3702.AT2G29940.1,3702.AT2G32950.1,3702.AT2G33040.1,3702.AT2G33570.1,3702.AT2G38290.1,3702.AT2G40290.1,3702.AT2G45670.1,3702.AT3G08560.1,3702.AT3G11020.1,3702.AT3G11130.1,3702.AT3G11170.1,3702.AT3G11320.1,3702.AT3G14360.1,3702.AT3G14390.1,3702.AT3G14810.1,3702.AT3G16090.1,3702.AT3G17440.1,3702.AT3G19050.1,3702.AT3G20000.1,3702.AT3G22840.1,3702.AT3G23430.1,3702.AT3G23790.1,3702.AT3G48820.1,3702.AT3G48850.1,3702.AT3G50670.1,3702.AT3G51520.1,3702.AT3G58170.1,3702.AT3G58730.1,3702.AT3G60660.1,3702.AT4G09510.1,3702.AT4G11030.1,3702.AT4G14240.1,3702.AT4G17170.1,3702.AT4G21990.1,3702.AT4G23400.1,3702.AT4G24530.1,3702.AT4G25230.1,3702.AT4G25630.1,3702.AT4G28620.1,3702.AT4G30950.1,3702.AT4G34980.1,3702.AT4G35985.1,3702.AT4G37470.1,3702.AT5G15180.1,3702.AT5G17330.1,3702.AT5G19730.1,3702.AT5G28770.2,3702.AT5G40380.1,3702.AT5G45775.2,3702.AT5G50200.2,3702.AT5G59180.1,3702.AT5G60340.1,3702.AT5G60770.1,3702.AT5G64330.1,3702.ATMG00860.1	ARV1,AT1G02660,AT1G03370,At1g03780,ECA3,HOP2,ATNTT2,CAT1,SWI3C,AT1G24620,RLP4,CCC1,ALDH3H1,MMH-1,ABCD2,CYP86A7,AT1G67640,XYL1,AT1G72960,AGL66,GGH3,FT1,NAD-ME1,AT2G19080,PFK5,SE,ABCG31,COP1,ATP3,GALS1,AMT2,AT2G40290,AT2G45670,VHA-E2,DREB2B,AT3G11130,FAD7,AT3G11320,AT3G14360,AT3G14390,MSL5,Hrd1A,NPSN13,POK2,TOM40,ELIP1,PHO1,AAE16,AT3G48820,PHT3;2,U1-70K,DGAT2,BS14A,AT3G58730,AT3G60660,CINV2,AT4G11030,AT4G14240,RABB1C,APR3,PIP1;5,AT4G24530,RIN2,FIB2,ABCB24,FAD6,SBT1.6,AT4G35985,KAI2,AT5G15180,GAD,AT5G19730,BZO2H3,CRK42,AT3G58700,WR3,NRPB7,AAK6,NRT2.4,NPH3,ORF158
GO:0031090	organelle membrane	25	2072	0.48	0.00017	3702.AT1G01020.1,3702.AT1G02660.1,3702.AT1G10130.1,3702.AT1G15500.1,3702.AT1G72960.1,3702.AT2G03220.1,3702.AT2G19080.1,3702.AT2G33040.1,3702.AT2G33570.1,3702.AT3G08560.1,3702.AT3G11130.1,3702.AT3G11170.1,3702.AT3G16090.1,3702.AT3G17440.1,3702.AT3G20000.1,3702.AT3G23430.1,3702.AT3G48820.1,3702.AT3G48850.1,3702.AT3G51520.1,3702.AT3G58170.1,3702.AT3G58730.1,3702.AT4G25230.1,3702.AT4G28620.1,3702.AT4G30950.1,3702.AT5G60770.1	ARV1,AT1G02660,ECA3,ATNTT2,AT1G72960,FT1,AT2G19080,ATP3,GALS1,VHA-E2,AT3G11130,FAD7,Hrd1A,NPSN13,TOM40,PHO1,AT3G48820,PHT3;2,DGAT2,BS14A,AT3G58730,RIN2,ABCB24,FAD6,NRT2.4
GO:0043227	membrane-bounded organelle	64	9634	0.22	0.00018	3702.AT1G01020.1,3702.AT1G02660.1,3702.AT1G03780.3,3702.AT1G10130.1,3702.AT1G13330.1,3702.AT1G15500.1,3702.AT1G20630.1,3702.AT1G21700.1,3702.AT1G24620.1,3702.AT1G28340.1,3702.AT1G30450.2,3702.AT1G44170.2,3702.AT1G52500.2,3702.AT1G54350.1,3702.AT1G68560.1,3702.AT1G72960.1,3702.AT1G77980.1,3702.AT1G78670.1,3702.AT2G03220.1,3702.AT2G13560.1,3702.AT2G19080.1,3702.AT2G22480.1,3702.AT2G27100.1,3702.AT2G32950.1,3702.AT2G33040.1,3702.AT2G33570.1,3702.AT2G40290.1,3702.AT3G08560.1,3702.AT3G11020.1,3702.AT3G11130.1,3702.AT3G11170.1,3702.AT3G11320.1,3702.AT3G14390.1,3702.AT3G16090.1,3702.AT3G17440.1,3702.AT3G20000.1,3702.AT3G22840.1,3702.AT3G23430.1,3702.AT3G23790.1,3702.AT3G48820.1,3702.AT3G48850.1,3702.AT3G50670.1,3702.AT3G51520.1,3702.AT3G58170.1,3702.AT3G58730.1,3702.AT4G09510.1,3702.AT4G11030.1,3702.AT4G14240.1,3702.AT4G17170.1,3702.AT4G21990.1,3702.AT4G23400.1,3702.AT4G24530.1,3702.AT4G25230.1,3702.AT4G25630.1,3702.AT4G28620.1,3702.AT4G30950.1,3702.AT4G35985.1,3702.AT4G37470.1,3702.AT5G28770.2,3702.AT5G45775.2,3702.AT5G59180.1,3702.AT5G60340.1,3702.AT5G60770.1,3702.ATMG00860.1	ARV1,AT1G02660,At1g03780,ECA3,HOP2,ATNTT2,CAT1,SWI3C,AT1G24620,RLP4,CCC1,ALDH3H1,MMH-1,ABCD2,XYL1,AT1G72960,AGL66,GGH3,FT1,NAD-ME1,AT2G19080,PFK5,SE,COP1,ATP3,GALS1,AT2G40290,VHA-E2,DREB2B,AT3G11130,FAD7,AT3G11320,AT3G14390,Hrd1A,NPSN13,TOM40,ELIP1,PHO1,AAE16,AT3G48820,PHT3;2,U1-70K,DGAT2,BS14A,AT3G58730,CINV2,AT4G11030,AT4G14240,RABB1C,APR3,PIP1;5,AT4G24530,RIN2,FIB2,ABCB24,FAD6,AT4G35985,KAI2,BZO2H3,AT3G58700,NRPB7,AAK6,NRT2.4,ORF158
GO:0043231	intracellular membrane-bounded organelle	62	9376	0.22	0.00038	3702.AT1G01020.1,3702.AT1G02660.1,3702.AT1G03780.3,3702.AT1G10130.1,3702.AT1G13330.1,3702.AT1G15500.1,3702.AT1G20630.1,3702.AT1G21700.1,3702.AT1G24620.1,3702.AT1G28340.1,3702.AT1G30450.2,3702.AT1G44170.2,3702.AT1G52500.2,3702.AT1G54350.1,3702.AT1G68560.1,3702.AT1G72960.1,3702.AT1G77980.1,3702.AT1G78670.1,3702.AT2G03220.1,3702.AT2G13560.1,3702.AT2G19080.1,3702.AT2G22480.1,3702.AT2G27100.1,3702.AT2G32950.1,3702.AT2G33040.1,3702.AT2G33570.1,3702.AT2G40290.1,3702.AT3G08560.1,3702.AT3G11020.1,3702.AT3G11130.1,3702.AT3G11170.1,3702.AT3G11320.1,3702.AT3G14390.1,3702.AT3G17440.1,3702.AT3G20000.1,3702.AT3G22840.1,3702.AT3G23430.1,3702.AT3G23790.1,3702.AT3G48820.1,3702.AT3G48850.1,3702.AT3G50670.1,3702.AT3G58170.1,3702.AT3G58730.1,3702.AT4G09510.1,3702.AT4G11030.1,3702.AT4G14240.1,3702.AT4G17170.1,3702.AT4G21990.1,3702.AT4G23400.1,3702.AT4G24530.1,3702.AT4G25230.1,3702.AT4G25630.1,3702.AT4G28620.1,3702.AT4G30950.1,3702.AT4G35985.1,3702.AT4G37470.1,3702.AT5G28770.2,3702.AT5G45775.2,3702.AT5G59180.1,3702.AT5G60340.1,3702.AT5G60770.1,3702.ATMG00860.1	ARV1,AT1G02660,At1g03780,ECA3,HOP2,ATNTT2,CAT1,SWI3C,AT1G24620,RLP4,CCC1,ALDH3H1,MMH-1,ABCD2,XYL1,AT1G72960,AGL66,GGH3,FT1,NAD-ME1,AT2G19080,PFK5,SE,COP1,ATP3,GALS1,AT2G40290,VHA-E2,DREB2B,AT3G11130,FAD7,AT3G11320,AT3G14390,NPSN13,TOM40,ELIP1,PHO1,AAE16,AT3G48820,PHT3;2,U1-70K,BS14A,AT3G58730,CINV2,AT4G11030,AT4G14240,RABB1C,APR3,PIP1;5,AT4G24530,RIN2,FIB2,ABCB24,FAD6,AT4G35985,KAI2,BZO2H3,AT3G58700,NRPB7,AAK6,NRT2.4,ORF158
