#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
ath01100	Metabolic pathways	223	2275	0.41	1.35e-34	3702.AT1G04180.1,3702.AT1G04920.1,3702.AT1G05260.1,3702.AT1G07110.1,3702.AT1G07230.1,3702.AT1G08490.1,3702.AT1G08520.1,3702.AT1G09780.1,3702.AT1G11860.3,3702.AT1G12840.1,3702.AT1G13440.1,3702.AT1G13560.1,3702.AT1G16350.1,3702.AT1G17420.1,3702.AT1G17650.1,3702.AT1G20630.1,3702.AT1G23730.1,3702.AT1G23820.1,3702.AT1G27680.1,3702.AT1G29900.1,3702.AT1G29930.1,3702.AT1G30510.2,3702.AT1G32060.1,3702.AT1G32900.1,3702.AT1G35910.1,3702.AT1G43670.1,3702.AT1G44446.1,3702.AT1G48130.1,3702.AT1G48320.1,3702.AT1G50110.1,3702.AT1G51650.1,3702.AT1G53240.1,3702.AT1G53310.3,3702.AT1G55120.1,3702.AT1G61520.1,3702.AT1G63050.1,3702.AT1G63290.1,3702.AT1G64970.1,3702.AT1G65290.1,3702.AT1G65960.2,3702.AT1G67090.1,3702.AT1G67280.1,3702.AT1G72810.1,3702.AT1G74910.1,3702.AT1G75330.1,3702.AT1G76400.1,3702.AT1G78050.1,3702.AT1G78580.1,3702.AT1G78900.2,3702.AT1G79470.1,3702.AT1G80380.2,3702.AT1G80460.1,3702.AT2G01140.1,3702.AT2G01880.1,3702.AT2G05320.1,3702.AT2G06050.2,3702.AT2G14170.1,3702.AT2G15620.1,3702.AT2G16570.1,3702.AT2G17265.1,3702.AT2G18150.1,3702.AT2G18950.1,3702.AT2G18960.1,3702.AT2G21170.1,3702.AT2G22240.1,3702.AT2G22450.1,3702.AT2G22480.1,3702.AT2G29630.2,3702.AT2G30490.1,3702.AT2G30860.1,3702.AT2G33150.1,3702.AT2G34500.1,3702.AT2G35040.1,3702.AT2G37040.1,3702.AT2G37250.1,3702.AT2G38280.2,3702.AT2G38670.1,3702.AT2G40840.1,3702.AT2G40890.1,3702.AT2G41490.1,3702.AT2G41530.1,3702.AT2G42490.1,3702.AT2G42600.1,3702.AT2G45670.1,3702.AT3G01180.1,3702.AT3G01910.1,3702.AT3G02630.1,3702.AT3G02720.1,3702.AT3G03190.1,3702.AT3G04790.1,3702.AT3G05610.1,3702.AT3G08560.1,3702.AT3G10340.1,3702.AT3G10550.1,3702.AT3G10850.1,3702.AT3G12500.1,3702.AT3G12780.1,3702.AT3G14390.1,3702.AT3G15352.1,3702.AT3G16910.1,3702.AT3G16990.1,3702.AT3G17070.1,3702.AT3G17820.1,3702.AT3G19820.2,3702.AT3G21070.1,3702.AT3G21160.1,3702.AT3G23490.1,3702.AT3G23580.1,3702.AT3G23790.1,3702.AT3G24170.1,3702.AT3G25660.1,3702.AT3G27190.1,3702.AT3G27740.1,3702.AT3G29090.1,3702.AT3G29320.1,3702.AT3G48000.1,3702.AT3G49160.1,3702.AT3G51520.1,3702.AT3G51820.1,3702.AT3G52930.1,3702.AT3G54050.1,3702.AT3G54640.1,3702.AT3G54890.1,3702.AT3G55030.1,3702.AT3G55410.1,3702.AT3G55800.1,3702.AT3G57560.1,3702.AT3G57610.1,3702.AT3G60750.1,3702.AT3G61470.1,3702.AT3G63410.1,3702.AT4G02280.1,3702.AT4G02290.1,3702.AT4G03280.1,3702.AT4G04040.1,3702.AT4G04640.1,3702.AT4G05160.1,3702.AT4G08170.2,3702.AT4G09650.1,3702.AT4G10340.1,3702.AT4G10960.1,3702.AT4G11010.1,3702.AT4G12290.1,3702.AT4G13260.1,3702.AT4G13430.1,3702.AT4G13930.1,3702.AT4G17050.1,3702.AT4G17260.1,3702.AT4G20070.1,3702.AT4G21990.1,3702.AT4G24040.1,3702.AT4G24620.1,3702.AT4G25000.1,3702.AT4G26850.1,3702.AT4G27070.1,3702.AT4G32180.1,3702.AT4G32520.1,3702.AT4G33010.1,3702.AT4G33510.1,3702.AT4G34200.1,3702.AT4G34840.1,3702.AT4G34890.1,3702.AT4G35090.1,3702.AT4G36430.1,3702.AT4G36480.1,3702.AT4G37550.1,3702.AT4G37560.1,3702.AT4G37930.1,3702.AT4G39120.1,3702.AT5G01410.1,3702.AT5G01930.1,3702.AT5G03290.1,3702.AT5G03650.1,3702.AT5G07990.1,3702.AT5G08100.1,3702.AT5G08170.1,3702.AT5G08280.1,3702.AT5G08680.1,3702.AT5G10920.1,3702.AT5G11540.1,3702.AT5G11770.1,3702.AT5G12200.1,3702.AT5G13420.1,3702.AT5G13440.1,3702.AT5G13930.1,3702.AT5G13960.1,3702.AT5G16390.1,3702.AT5G16710.1,3702.AT5G16760.1,3702.AT5G17920.1,3702.AT5G19220.1,3702.AT5G22300.1,3702.AT5G23300.1,3702.AT5G24400.1,3702.AT5G26220.1,3702.AT5G38420.1,3702.AT5G39580.1,3702.AT5G41210.1,3702.AT5G41480.1,3702.AT5G41670.2,3702.AT5G42650.1,3702.AT5G43860.1,3702.AT5G47030.1,3702.AT5G48300.1,3702.AT5G48950.1,3702.AT5G49720.1,3702.AT5G50850.1,3702.AT5G51810.1,3702.AT5G51820.1,3702.AT5G51830.1,3702.AT5G54190.1,3702.AT5G54770.1,3702.AT5G54810.1,3702.AT5G56490.1,3702.AT5G56630.1,3702.AT5G56760.1,3702.AT5G58330.1,3702.AT5G60540.1,3702.AT5G60600.1,3702.AT5G63310.1,3702.AT5G63980.1,3702.AT5G64860.1,3702.AT5G67030.1	YUC9,SPS3F,RCI3,F2KP,NPC1,CPNIFS,ALB1,iPGAM1,AT1G11860,DET3,GAPC2,AAPT1,AT1G16350,LOX3,GLYR2,CAT1,BCA3,SPDS1,APL2,CARB,CAB1,RFNR2,PRK,GBSS1,TPPD,FBP,CH1,PER1,DHNAT1,AT1G50110,AT1G51650,mMDH1,PPC1,FRUCT5,LHCA3,LPLAT2,AT1G63290,G-TMT,mtACP2,GAD2,RBCS1A,AT1G67280,AT1G72810,AT1G74910,OTC,AT1G76400,At1g78050,TPS1,VHA-A,AT1G79470,AT1G80380,NHO1,PDE345,PAP7,AT2G05320,OPR3,ALDH6B2,NIR1,ASE1,HSK,AT2G18150,HPT1,HA1,TIM,MIPS2,RIBA2,PFK5,THIC,C4H,GSTF9,PKT3,CYP710A1,AT2G35040,PAL1,ADK,FAC1,PECT1,DPE2,CYP98A3,GPT,SFGH,AT2G42490,PPC2,AT2G45670,At3g01180,SOX,AT3G02630,DJ1D,GSTF11,EMB3119,AT3G05610,VHA-E2,PAL4,AT3G10550,GLY2,HCHIB,PGK1,AT3G14390,COX17,AAE7,AT3G16990,AT3G17070,GLN1.3,DWF1,NADK1,MNS2,CYN,RNR2A,AAE16,At3g24170,AT3G25660,UKL2,CARA,PME31,AT3G29320,ALDH2B4,AT3G49160,DGAT2,G4,FBA8,HCEF1,TSA2,LHCA1,PGPS2,AT3G55410,SBPASE,NAGK,ADSS,AT3G60750,LHCA2,APG1,SUS3,GH9B13,PETC,MEE51,ATPC1,AT4G05160,AT4G08170,ATPD,LHCB5,UGE5,NDPK3,AT4G12290,YUC2,IIL1,SHM4,UGLYAH,AT4G17260,AAH,APR3,TRE1,PGI1,AMY1,VTC2,TSB2,PANK2,SHM3,GLDP1,DHS2,EDA9,MTN2,XDH1,CAT,AT4G36430,LCB1,AT4G37550,AT4G37560,SHM1,IMPL2,RSR4,MAN6,IDH-V,SBE2.2,TT7,ASPGA1,EMB1873,HEMC,AT5G08680,AT5G10920,GulLO3,AT5G11770,PYD2,TRA2,AT5G13440,TT4,SUVH4,CAC1,DHAR3,ITPK1,ATMS1,APL1,NIT4,PYRD,EMB2024,AT5G26220,RBCS2B,AT5G39580,GSTT1,GLA1,AT5G41670,AOS,CLH2,AT5G47030,ADG1,DHNAT2,GH9A1,MAB1,GA20OX2,PGMP,AT5G51830,PORA,THI1,TSB1,GulLO4,PFK7,SERAT1;1,AT5G58330,PDX2,HDS,NDPK2,SAL1,DPE1,ABA1
ath01110	Biosynthesis of secondary metabolites	130	1216	0.45	5.11e-22	3702.AT1G04920.1,3702.AT1G05260.1,3702.AT1G07230.1,3702.AT1G08520.1,3702.AT1G09780.1,3702.AT1G11860.3,3702.AT1G13440.1,3702.AT1G13560.1,3702.AT1G16350.1,3702.AT1G17420.1,3702.AT1G20630.1,3702.AT1G27680.1,3702.AT1G32900.1,3702.AT1G35910.1,3702.AT1G43670.1,3702.AT1G44446.1,3702.AT1G48130.1,3702.AT1G48320.1,3702.AT1G50110.1,3702.AT1G53240.1,3702.AT1G55120.1,3702.AT1G63050.1,3702.AT1G63290.1,3702.AT1G64970.1,3702.AT1G65960.2,3702.AT1G67090.1,3702.AT1G72810.1,3702.AT1G74910.1,3702.AT1G75330.1,3702.AT1G78050.1,3702.AT1G78510.1,3702.AT1G78580.1,3702.AT1G79470.1,3702.AT1G80380.2,3702.AT2G01140.1,3702.AT2G06050.2,3702.AT2G16570.1,3702.AT2G17265.1,3702.AT2G18150.1,3702.AT2G18950.1,3702.AT2G21170.1,3702.AT2G22240.1,3702.AT2G22450.1,3702.AT2G22480.1,3702.AT2G30490.1,3702.AT2G33150.1,3702.AT2G34500.1,3702.AT2G35040.1,3702.AT2G37040.1,3702.AT2G37250.1,3702.AT2G38280.2,3702.AT2G40840.1,3702.AT2G40890.1,3702.AT2G42490.1,3702.AT3G01180.1,3702.AT3G04790.1,3702.AT3G10340.1,3702.AT3G12780.1,3702.AT3G14390.1,3702.AT3G16910.1,3702.AT3G17070.1,3702.AT3G19820.2,3702.AT3G29320.1,3702.AT3G48000.1,3702.AT3G49160.1,3702.AT3G51820.1,3702.AT3G52930.1,3702.AT3G54050.1,3702.AT3G54640.1,3702.AT3G55410.1,3702.AT3G57560.1,3702.AT3G59380.1,3702.AT3G60750.1,3702.AT3G63410.1,3702.AT4G01320.1,3702.AT4G02280.1,3702.AT4G04040.1,3702.AT4G05160.1,3702.AT4G11010.1,3702.AT4G12290.1,3702.AT4G13430.1,3702.AT4G13930.1,3702.AT4G17260.1,3702.AT4G24040.1,3702.AT4G24620.1,3702.AT4G25000.1,3702.AT4G26850.1,3702.AT4G27070.1,3702.AT4G32520.1,3702.AT4G33010.1,3702.AT4G33510.1,3702.AT4G34200.1,3702.AT4G34890.1,3702.AT4G35090.1,3702.AT4G36430.1,3702.AT4G37930.1,3702.AT4G39120.1,3702.AT5G03290.1,3702.AT5G03650.1,3702.AT5G07990.1,3702.AT5G08100.1,3702.AT5G08280.1,3702.AT5G08335.1,3702.AT5G10920.1,3702.AT5G13420.1,3702.AT5G13930.1,3702.AT5G16390.1,3702.AT5G17920.1,3702.AT5G19220.1,3702.AT5G22300.1,3702.AT5G24400.1,3702.AT5G38420.1,3702.AT5G39580.1,3702.AT5G41670.2,3702.AT5G42650.1,3702.AT5G43860.1,3702.AT5G48300.1,3702.AT5G48950.1,3702.AT5G50850.1,3702.AT5G51810.1,3702.AT5G51820.1,3702.AT5G51830.1,3702.AT5G54190.1,3702.AT5G54810.1,3702.AT5G56630.1,3702.AT5G56760.1,3702.AT5G60600.1,3702.AT5G63310.1,3702.AT5G64860.1,3702.AT5G67030.1	SPS3F,RCI3,NPC1,ALB1,iPGAM1,AT1G11860,GAPC2,AAPT1,AT1G16350,LOX3,CAT1,APL2,GBSS1,TPPD,FBP,CH1,PER1,DHNAT1,AT1G50110,mMDH1,FRUCT5,LPLAT2,AT1G63290,G-TMT,GAD2,RBCS1A,AT1G72810,AT1G74910,OTC,At1g78050,SPS1,TPS1,AT1G79470,AT1G80380,PDE345,OPR3,ASE1,HSK,AT2G18150,HPT1,TIM,MIPS2,RIBA2,PFK5,C4H,PKT3,CYP710A1,AT2G35040,PAL1,ADK,FAC1,DPE2,CYP98A3,AT2G42490,At3g01180,EMB3119,PAL4,PGK1,AT3G14390,AAE7,AT3G17070,DWF1,AT3G29320,ALDH2B4,AT3G49160,G4,FBA8,HCEF1,TSA2,AT3G55410,NAGK,FTA,AT3G60750,APG1,ATSTE24,SUS3,MEE51,AT4G05160,NDPK3,AT4G12290,IIL1,SHM4,AT4G17260,TRE1,PGI1,AMY1,VTC2,TSB2,SHM3,GLDP1,DHS2,EDA9,XDH1,CAT,AT4G36430,SHM1,IMPL2,IDH-V,SBE2.2,TT7,ASPGA1,HEMC,ATSTE14B,AT5G10920,TRA2,TT4,CAC1,ATMS1,APL1,NIT4,EMB2024,RBCS2B,AT5G39580,AT5G41670,AOS,CLH2,ADG1,DHNAT2,MAB1,GA20OX2,PGMP,AT5G51830,PORA,TSB1,PFK7,SERAT1;1,HDS,NDPK2,DPE1,ABA1
ath03010	Ribosome	53	318	0.64	3.10e-15	3702.AT1G05190.1,3702.AT1G26910.1,3702.AT1G52300.1,3702.AT1G67430.1,3702.AT1G70190.1,3702.AT1G70600.1,3702.AT1G71720.1,3702.AT1G74050.1,3702.AT1G74270.1,3702.AT1G74970.1,3702.AT1G77940.1,3702.AT1G79850.1,3702.AT2G18020.1,3702.AT2G19730.3,3702.AT2G34480.1,3702.AT2G37270.2,3702.AT2G47110.1,3702.AT3G02560.2,3702.AT3G04840.1,3702.AT3G04920.1,3702.AT3G05590.1,3702.AT3G09630.1,3702.AT3G10610.1,3702.AT3G25920.1,3702.AT3G27850.1,3702.AT3G48930.1,3702.AT3G52580.1,3702.AT3G57490.1,3702.AT3G60245.1,3702.AT3G61110.1,3702.AT3G62870.1,3702.AT3G63490.1,3702.AT4G02230.1,3702.AT4G15000.1,3702.AT4G17390.1,3702.AT4G18100.1,3702.AT4G27090.1,3702.AT4G31985.1,3702.AT4G34670.1,3702.AT5G02870.1,3702.AT5G02960.1,3702.AT5G10360.1,3702.AT5G14320.1,3702.AT5G15200.1,3702.AT5G24510.1,3702.AT5G27700.1,3702.AT5G27770.1,3702.AT5G35530.1,3702.AT5G52650.1,3702.AT5G56710.1,3702.AT5G58420.1,3702.AT5G59240.1,3702.AT5G61170.1	emb2394,RPL10B,AT1G52300,AT1G67430,AT1G70190,AT1G70600,PDE338,AT1G74050,AT1G74270,RPS9,AT1G77940,RPS17,EMB2296,AT2G19730,AT2G34480,RPS5B,UBQ6,AT3G02560,AT3G04840,AT3G04920,RPL18,AT3G09630,AT3G10610,RPL15,RPL12-C,EMB1080,AT3G52580,AT3G57490,AT3G60245,RS27A,AT3G62870,EMB3126,AT4G02230,AT4G15000,AT4G17390,AT4G18100,AT4G27090,AT4G31985,AT4G34670,AT5G02870,AT5G02960,EMB3010,EMB3137,AT5G15200,AT5G24510,AT5G27700,AT5G27770,AT5G35530,AT5G52650,AT5G56710,AT5G58420,AT5G59240,AT5G61170
ath01200	Carbon metabolism	47	268	0.66	2.79e-14	3702.AT1G09780.1,3702.AT1G11860.3,3702.AT1G13440.1,3702.AT1G17650.1,3702.AT1G20630.1,3702.AT1G32060.1,3702.AT1G43670.1,3702.AT1G53240.1,3702.AT1G53310.3,3702.AT1G63290.1,3702.AT1G67090.1,3702.AT1G78050.1,3702.AT1G80380.2,3702.AT2G01140.1,3702.AT2G14170.1,3702.AT2G21170.1,3702.AT2G22480.1,3702.AT2G41530.1,3702.AT2G42600.1,3702.AT3G04790.1,3702.AT3G12780.1,3702.AT3G16910.1,3702.AT3G49160.1,3702.AT3G52930.1,3702.AT3G54050.1,3702.AT3G55410.1,3702.AT3G55800.1,3702.AT3G60750.1,3702.AT4G13930.1,3702.AT4G24620.1,3702.AT4G32520.1,3702.AT4G33010.1,3702.AT4G34200.1,3702.AT4G35090.1,3702.AT4G37550.1,3702.AT4G37560.1,3702.AT4G37930.1,3702.AT5G03290.1,3702.AT5G13420.1,3702.AT5G16390.1,3702.AT5G24400.1,3702.AT5G38420.1,3702.AT5G41670.2,3702.AT5G50850.1,3702.AT5G56630.1,3702.AT5G56760.1,3702.AT5G58330.1	iPGAM1,AT1G11860,GAPC2,GLYR2,CAT1,PRK,FBP,mMDH1,PPC1,AT1G63290,RBCS1A,At1g78050,AT1G80380,PDE345,ALDH6B2,TIM,PFK5,SFGH,PPC2,EMB3119,PGK1,AAE7,AT3G49160,FBA8,HCEF1,AT3G55410,SBPASE,AT3G60750,SHM4,PGI1,SHM3,GLDP1,EDA9,CAT,AT4G37550,AT4G37560,SHM1,IDH-V,TRA2,CAC1,EMB2024,RBCS2B,AT5G41670,MAB1,PFK7,SERAT1;1,AT5G58330
ath01230	Biosynthesis of amino acids	35	240	0.58	1.42e-08	3702.AT1G09780.1,3702.AT1G13440.1,3702.AT1G50110.1,3702.AT1G63290.1,3702.AT1G72810.1,3702.AT1G75330.1,3702.AT1G78050.1,3702.AT2G01140.1,3702.AT2G17265.1,3702.AT2G21170.1,3702.AT2G22480.1,3702.AT3G04790.1,3702.AT3G12780.1,3702.AT3G14390.1,3702.AT3G17820.1,3702.AT3G49160.1,3702.AT3G52930.1,3702.AT3G54640.1,3702.AT3G57560.1,3702.AT3G60750.1,3702.AT4G13430.1,3702.AT4G13930.1,3702.AT4G27070.1,3702.AT4G32520.1,3702.AT4G33510.1,3702.AT4G34200.1,3702.AT4G37930.1,3702.AT4G39120.1,3702.AT5G03290.1,3702.AT5G10920.1,3702.AT5G13420.1,3702.AT5G17920.1,3702.AT5G54810.1,3702.AT5G56630.1,3702.AT5G56760.1	iPGAM1,GAPC2,AT1G50110,AT1G63290,AT1G72810,OTC,At1g78050,PDE345,HSK,TIM,PFK5,EMB3119,PGK1,AT3G14390,GLN1.3,AT3G49160,FBA8,TSA2,NAGK,AT3G60750,IIL1,SHM4,TSB2,SHM3,DHS2,EDA9,SHM1,IMPL2,IDH-V,AT5G10920,TRA2,ATMS1,TSB1,PFK7,SERAT1;1
ath00710	Carbon fixation in photosynthetic organisms	18	69	0.84	1.58e-07	3702.AT1G13440.1,3702.AT1G32060.1,3702.AT1G43670.1,3702.AT1G53240.1,3702.AT1G53310.3,3702.AT1G63290.1,3702.AT1G67090.1,3702.AT2G01140.1,3702.AT2G21170.1,3702.AT2G42600.1,3702.AT3G04790.1,3702.AT3G12780.1,3702.AT3G52930.1,3702.AT3G54050.1,3702.AT3G55800.1,3702.AT3G60750.1,3702.AT5G38420.1,3702.AT5G58330.1	GAPC2,PRK,FBP,mMDH1,PPC1,AT1G63290,RBCS1A,PDE345,TIM,PPC2,EMB3119,PGK1,FBA8,HCEF1,SBPASE,AT3G60750,RBCS2B,AT5G58330
ath00030	Pentose phosphate pathway	15	58	0.83	3.26e-06	3702.AT1G43670.1,3702.AT1G63290.1,3702.AT2G01140.1,3702.AT2G22480.1,3702.AT3G04790.1,3702.AT3G52930.1,3702.AT3G54050.1,3702.AT3G60750.1,3702.AT4G04040.1,3702.AT4G24620.1,3702.AT5G13420.1,3702.AT5G24400.1,3702.AT5G41670.2,3702.AT5G51820.1,3702.AT5G56630.1	FBP,AT1G63290,PDE345,PFK5,EMB3119,FBA8,HCEF1,AT3G60750,MEE51,PGI1,TRA2,EMB2024,AT5G41670,PGMP,PFK7
ath00260	Glycine, serine and threonine metabolism	16	70	0.78	4.49e-06	3702.AT1G09780.1,3702.AT1G11860.3,3702.AT1G72810.1,3702.AT1G78050.1,3702.AT1G80380.2,3702.AT2G17265.1,3702.AT2G42490.1,3702.AT3G54640.1,3702.AT4G12290.1,3702.AT4G13930.1,3702.AT4G27070.1,3702.AT4G32520.1,3702.AT4G33010.1,3702.AT4G34200.1,3702.AT4G37930.1,3702.AT5G54810.1	iPGAM1,AT1G11860,AT1G72810,At1g78050,AT1G80380,HSK,AT2G42490,TSA2,AT4G12290,SHM4,TSB2,SHM3,GLDP1,EDA9,SHM1,TSB1
ath00630	Glyoxylate and dicarboxylate metabolism	16	77	0.74	1.24e-05	3702.AT1G11860.3,3702.AT1G17650.1,3702.AT1G20630.1,3702.AT1G53240.1,3702.AT1G67090.1,3702.AT1G80380.2,3702.AT3G16910.1,3702.AT3G17820.1,3702.AT4G13930.1,3702.AT4G32520.1,3702.AT4G33010.1,3702.AT4G35090.1,3702.AT4G37550.1,3702.AT4G37560.1,3702.AT4G37930.1,3702.AT5G38420.1	AT1G11860,GLYR2,CAT1,mMDH1,RBCS1A,AT1G80380,AAE7,GLN1.3,SHM4,SHM3,GLDP1,CAT,AT4G37550,AT4G37560,SHM1,RBCS2B
ath00010	Glycolysis / Gluconeogenesis	19	116	0.64	2.27e-05	3702.AT1G09780.1,3702.AT1G13440.1,3702.AT1G43670.1,3702.AT1G78050.1,3702.AT2G01140.1,3702.AT2G21170.1,3702.AT2G22480.1,3702.AT3G12780.1,3702.AT3G16910.1,3702.AT3G48000.1,3702.AT3G49160.1,3702.AT3G52930.1,3702.AT3G54050.1,3702.AT4G04040.1,3702.AT4G17260.1,3702.AT4G24620.1,3702.AT5G50850.1,3702.AT5G51820.1,3702.AT5G56630.1	iPGAM1,GAPC2,FBP,At1g78050,PDE345,TIM,PFK5,PGK1,AAE7,ALDH2B4,AT3G49160,FBA8,HCEF1,MEE51,AT4G17260,PGI1,MAB1,PGMP,PFK7
