#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
CL:1091	ribosomal subunit	45	197	0.78	8.40e-13	3702.AT1G26910.1,3702.AT1G48630.1,3702.AT1G52300.1,3702.AT1G57860.1,3702.AT1G67430.1,3702.AT1G70600.1,3702.AT1G74050.1,3702.AT1G77940.1,3702.AT2G18020.1,3702.AT2G19730.3,3702.AT2G34480.1,3702.AT2G37270.2,3702.AT2G47110.1,3702.AT3G02560.2,3702.AT3G04840.1,3702.AT3G04920.1,3702.AT3G05590.1,3702.AT3G09630.1,3702.AT3G10610.1,3702.AT3G48930.1,3702.AT3G52580.1,3702.AT3G57490.1,3702.AT3G60245.1,3702.AT3G61110.1,3702.AT3G62870.1,3702.AT4G02230.1,3702.AT4G15000.1,3702.AT4G17390.1,3702.AT4G18100.1,3702.AT4G27090.1,3702.AT4G31985.1,3702.AT4G34670.1,3702.AT5G02960.1,3702.AT5G10360.1,3702.AT5G15200.1,3702.AT5G24510.1,3702.AT5G27700.1,3702.AT5G27770.1,3702.AT5G35530.1,3702.AT5G45775.2,3702.AT5G52650.1,3702.AT5G56710.1,3702.AT5G58420.1,3702.AT5G59240.1,3702.AT5G61170.1	RPL10B,RACK1B_AT,AT1G52300,AT1G57860.1,AT1G67430,AT1G70600,AT1G74050,AT1G77940,EMB2296,AT2G19730,AT2G34480,RPS5B,UBQ6,AT3G02560,AT3G04840,AT3G04920,RPL18,AT3G09630,AT3G10610,EMB1080,AT3G52580,AT3G57490,AT3G60245,RS27A,AT3G62870,AT4G02230,AT4G15000,AT4G17390,AT4G18100,AT4G27090,AT4G31985,AT4G34670,AT5G02960,EMB3010,AT5G15200,AT5G24510,AT5G27700,AT5G27770,AT5G35530,AT3G58700,AT5G52650,AT5G56710,AT5G58420,AT5G59240,AT5G61170
CL:13024	Thylakoid, and stromule	35	171	0.73	7.01e-08	3702.AT1G06680.1,3702.AT1G08380.1,3702.AT1G12250.1,3702.AT1G20340.1,3702.AT1G29930.1,3702.AT1G32060.1,3702.AT1G32080.1,3702.AT1G44575.1,3702.AT1G54780.1,3702.AT1G55670.1,3702.AT1G60950.1,3702.AT1G61520.1,3702.AT1G74730.1,3702.AT1G79040.1,3702.AT2G35260.1,3702.AT3G47860.1,3702.AT3G48420.1,3702.AT3G50820.1,3702.AT3G54890.1,3702.AT3G61470.1,3702.AT3G61870.1,3702.AT3G62410.1,3702.AT3G63140.1,3702.AT4G01150.1,3702.AT4G10340.1,3702.AT4G12800.1,3702.AT4G34190.1,3702.AT4G37925.1,3702.AT5G07020.1,3702.AT5G13410.1,3702.AT5G27560.1,3702.AT5G43750.1,3702.AT5G45680.1,3702.AT5G58260.1,3702.AT5G66570.1	PSBP-1,PSAO,AT1G12250,DRT112,CAB1,PRK,LrgB,NPQ4,TLP18.3,PSAG,FD2,LHCA3,AT1G74730,PSBR,AT2G35260,CHL,AT3G48420,PSBO2,LHCA1,LHCA2,AT3G61870,CP12-2,CSP41A,AT4G01150,LHCB5,PSAL,At4g34190,NdhM,AT5G07020,AT5G13410,AT5G27560,PnsB5,FKBP13,NdhN,PSBO1
CL:13027	photosystem, and Thylakoid	34	160	0.75	7.01e-08	3702.AT1G06680.1,3702.AT1G08380.1,3702.AT1G12250.1,3702.AT1G20340.1,3702.AT1G29930.1,3702.AT1G32060.1,3702.AT1G32080.1,3702.AT1G44575.1,3702.AT1G54780.1,3702.AT1G55670.1,3702.AT1G60950.1,3702.AT1G61520.1,3702.AT1G74730.1,3702.AT1G79040.1,3702.AT3G47860.1,3702.AT3G48420.1,3702.AT3G50820.1,3702.AT3G54890.1,3702.AT3G61470.1,3702.AT3G61870.1,3702.AT3G62410.1,3702.AT3G63140.1,3702.AT4G01150.1,3702.AT4G10340.1,3702.AT4G12800.1,3702.AT4G34190.1,3702.AT4G37925.1,3702.AT5G07020.1,3702.AT5G13410.1,3702.AT5G27560.1,3702.AT5G43750.1,3702.AT5G45680.1,3702.AT5G58260.1,3702.AT5G66570.1	PSBP-1,PSAO,AT1G12250,DRT112,CAB1,PRK,LrgB,NPQ4,TLP18.3,PSAG,FD2,LHCA3,AT1G74730,PSBR,CHL,AT3G48420,PSBO2,LHCA1,LHCA2,AT3G61870,CP12-2,CSP41A,AT4G01150,LHCB5,PSAL,At4g34190,NdhM,AT5G07020,AT5G13410,AT5G27560,PnsB5,FKBP13,NdhN,PSBO1
CL:1092	cytosolic large ribosomal subunit, and Ribosomal protein P1/P2, N-terminal domain	25	111	0.77	2.43e-05	3702.AT1G26910.1,3702.AT1G52300.1,3702.AT1G57860.1,3702.AT1G67430.1,3702.AT1G70600.1,3702.AT1G74050.1,3702.AT1G77940.1,3702.AT2G19730.3,3702.AT3G04840.1,3702.AT3G05590.1,3702.AT3G09630.1,3702.AT3G48930.1,3702.AT3G52580.1,3702.AT3G60245.1,3702.AT3G62870.1,3702.AT4G02230.1,3702.AT4G15000.1,3702.AT4G17390.1,3702.AT4G18100.1,3702.AT4G27090.1,3702.AT4G31985.1,3702.AT5G24510.1,3702.AT5G27770.1,3702.AT5G45775.2,3702.AT5G56710.1	RPL10B,AT1G52300,AT1G57860.1,AT1G67430,AT1G70600,AT1G74050,AT1G77940,AT2G19730,AT3G04840,RPL18,AT3G09630,EMB1080,AT3G52580,AT3G60245,AT3G62870,AT4G02230,AT4G15000,AT4G17390,AT4G18100,AT4G27090,AT4G31985,AT5G24510,AT5G27770,AT3G58700,AT5G56710
CL:1093	cytosolic large ribosomal subunit, and Ribosomal protein S13/S18	22	85	0.83	3.19e-05	3702.AT1G26910.1,3702.AT1G52300.1,3702.AT1G57860.1,3702.AT1G67430.1,3702.AT1G74050.1,3702.AT1G77940.1,3702.AT2G19730.3,3702.AT3G04840.1,3702.AT3G05590.1,3702.AT3G09630.1,3702.AT3G48930.1,3702.AT3G52580.1,3702.AT3G60245.1,3702.AT3G62870.1,3702.AT4G15000.1,3702.AT4G17390.1,3702.AT4G18100.1,3702.AT4G27090.1,3702.AT4G31985.1,3702.AT5G27770.1,3702.AT5G45775.2,3702.AT5G56710.1	RPL10B,AT1G52300,AT1G57860.1,AT1G67430,AT1G74050,AT1G77940,AT2G19730,AT3G04840,RPL18,AT3G09630,EMB1080,AT3G52580,AT3G60245,AT3G62870,AT4G15000,AT4G17390,AT4G18100,AT4G27090,AT4G31985,AT5G27770,AT3G58700,AT5G56710
CL:9682	Carbon metabolism, and branched-chain amino acid catabolic process	31	191	0.63	0.00012	3702.AT1G07110.1,3702.AT1G09780.1,3702.AT1G13440.1,3702.AT1G43670.1,3702.AT1G53240.1,3702.AT1G53310.3,3702.AT1G63290.1,3702.AT1G78050.1,3702.AT2G01140.1,3702.AT2G21170.1,3702.AT2G22480.1,3702.AT2G42600.1,3702.AT3G04790.1,3702.AT3G04880.1,3702.AT3G12780.1,3702.AT3G52200.2,3702.AT3G52930.1,3702.AT3G54050.1,3702.AT3G55410.1,3702.AT3G55800.1,3702.AT3G60750.1,3702.AT4G04040.1,3702.AT4G17260.1,3702.AT4G24620.1,3702.AT5G03290.1,3702.AT5G13420.1,3702.AT5G24400.1,3702.AT5G41670.2,3702.AT5G50850.1,3702.AT5G56630.1,3702.AT5G58330.1	F2KP,iPGAM1,GAPC2,FBP,mMDH1,PPC1,AT1G63290,At1g78050,PDE345,TIM,PFK5,PPC2,EMB3119,DRT102,PGK1,LTA3,FBA8,HCEF1,AT3G55410,SBPASE,AT3G60750,MEE51,AT4G17260,PGI1,IDH-V,TRA2,EMB2024,AT5G41670,MAB1,PFK7,AT5G58330
CL:13211	Photosystem I, and Photosynthesis	19	68	0.87	0.00017	3702.AT1G06680.1,3702.AT1G08380.1,3702.AT1G20340.1,3702.AT1G29930.1,3702.AT1G32060.1,3702.AT1G44575.1,3702.AT1G54780.1,3702.AT1G55670.1,3702.AT1G60950.1,3702.AT1G61520.1,3702.AT1G79040.1,3702.AT3G50820.1,3702.AT3G54890.1,3702.AT3G61470.1,3702.AT3G62410.1,3702.AT4G01150.1,3702.AT4G10340.1,3702.AT4G12800.1,3702.AT5G66570.1	PSBP-1,PSAO,DRT112,CAB1,PRK,NPQ4,TLP18.3,PSAG,FD2,LHCA3,PSBR,PSBO2,LHCA1,LHCA2,CP12-2,AT4G01150,LHCB5,PSAL,PSBO1
CL:13215	Photosystem I, and Photosynthesis	17	52	0.94	0.00018	3702.AT1G06680.1,3702.AT1G08380.1,3702.AT1G20340.1,3702.AT1G29930.1,3702.AT1G44575.1,3702.AT1G54780.1,3702.AT1G55670.1,3702.AT1G60950.1,3702.AT1G61520.1,3702.AT1G79040.1,3702.AT3G50820.1,3702.AT3G54890.1,3702.AT3G61470.1,3702.AT4G01150.1,3702.AT4G10340.1,3702.AT4G12800.1,3702.AT5G66570.1	PSBP-1,PSAO,DRT112,CAB1,NPQ4,TLP18.3,PSAG,FD2,LHCA3,PSBR,PSBO2,LHCA1,LHCA2,AT4G01150,LHCB5,PSAL,PSBO1
CL:9684	Pentose phosphate pathway, and Glycolysis	22	99	0.77	0.00021	3702.AT1G07110.1,3702.AT1G09780.1,3702.AT1G13440.1,3702.AT1G43670.1,3702.AT1G63290.1,3702.AT1G78050.1,3702.AT2G01140.1,3702.AT2G21170.1,3702.AT2G22480.1,3702.AT3G04790.1,3702.AT3G04880.1,3702.AT3G12780.1,3702.AT3G52930.1,3702.AT3G54050.1,3702.AT3G55800.1,3702.AT3G60750.1,3702.AT4G04040.1,3702.AT4G24620.1,3702.AT5G13420.1,3702.AT5G24400.1,3702.AT5G41670.2,3702.AT5G56630.1	F2KP,iPGAM1,GAPC2,FBP,AT1G63290,At1g78050,PDE345,TIM,PFK5,EMB3119,DRT102,PGK1,FBA8,HCEF1,SBPASE,AT3G60750,MEE51,PGI1,TRA2,EMB2024,AT5G41670,PFK7
CL:1314	cytosolic small ribosomal subunit	20	86	0.79	0.00061	3702.AT1G48630.1,3702.AT2G18020.1,3702.AT2G34480.1,3702.AT2G37270.2,3702.AT2G47110.1,3702.AT3G02560.2,3702.AT3G04920.1,3702.AT3G10610.1,3702.AT3G57490.1,3702.AT3G61110.1,3702.AT4G34670.1,3702.AT5G02960.1,3702.AT5G10360.1,3702.AT5G15200.1,3702.AT5G27700.1,3702.AT5G35530.1,3702.AT5G52650.1,3702.AT5G58420.1,3702.AT5G59240.1,3702.AT5G61170.1	RACK1B_AT,EMB2296,AT2G34480,RPS5B,UBQ6,AT3G02560,AT3G04920,AT3G10610,AT3G57490,RS27A,AT4G34670,AT5G02960,EMB3010,AT5G15200,AT5G27700,AT5G35530,AT5G52650,AT5G58420,AT5G59240,AT5G61170
