#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
ath01100	Metabolic pathways	249	2275	0.31	5.80e-23	3702.AT1G01290.1,3702.AT1G01610.1,3702.AT1G01710.1,3702.AT1G02410.1,3702.AT1G02800.1,3702.AT1G02880.3,3702.AT1G04610.1,3702.AT1G07230.1,3702.AT1G08510.1,3702.AT1G08750.1,3702.AT1G09780.1,3702.AT1G09830.1,3702.AT1G12780.1,3702.AT1G14290.1,3702.AT1G15710.1,3702.AT1G15820.1,3702.AT1G16040.1,3702.AT1G17420.1,3702.AT1G19910.1,3702.AT1G20330.1,3702.AT1G20480.1,3702.AT1G22620.1,3702.AT1G23360.1,3702.AT1G23730.1,3702.AT1G26560.1,3702.AT1G26640.1,3702.AT1G27980.1,3702.AT1G30000.1,3702.AT1G31190.1,3702.AT1G31220.1,3702.AT1G31230.1,3702.AT1G32470.1,3702.AT1G34430.1,3702.AT1G36370.1,3702.AT1G37130.1,3702.AT1G48930.1,3702.AT1G49820.1,3702.AT1G53310.3,3702.AT1G55880.1,3702.AT1G62660.1,3702.AT1G63050.1,3702.AT1G63110.1,3702.AT1G63660.1,3702.AT1G63710.1,3702.AT1G63770.5,3702.AT1G64390.1,3702.AT1G65060.1,3702.AT1G66430.1,3702.AT1G67090.1,3702.AT1G67490.1,3702.AT1G67750.1,3702.AT1G68890.1,3702.AT1G69500.1,3702.AT1G69770.1,3702.AT1G72880.1,3702.AT1G74260.1,3702.AT1G74470.1,3702.AT1G78050.1,3702.AT1G79010.1,3702.AT1G79550.2,3702.AT1G79870.1,3702.AT1G80360.1,3702.AT2G01630.1,3702.AT2G01890.1,3702.AT2G02970.1,3702.AT2G05100.1,3702.AT2G05990.2,3702.AT2G16280.1,3702.AT2G18450.1,3702.AT2G18950.1,3702.AT2G19800.1,3702.AT2G19860.1,3702.AT2G20360.1,3702.AT2G20680.1,3702.AT2G20810.1,3702.AT2G20900.1,3702.AT2G22780.1,3702.AT2G23380.1,3702.AT2G26640.1,3702.AT2G26830.1,3702.AT2G30490.1,3702.AT2G30870.1,3702.AT2G33150.1,3702.AT2G33220.1,3702.AT2G34420.1,3702.AT2G34430.1,3702.AT2G37040.1,3702.AT2G37500.1,3702.AT2G37790.1,3702.AT2G38110.1,3702.AT2G38280.2,3702.AT2G38670.1,3702.AT2G38680.1,3702.AT2G39770.1,3702.AT2G40890.1,3702.AT2G41480.1,3702.AT2G43080.1,3702.AT2G43090.1,3702.AT2G43360.1,3702.AT2G43980.1,3702.AT2G44050.1,3702.AT2G44350.2,3702.AT2G44660.1,3702.AT2G45670.1,3702.AT2G46750.1,3702.AT2G47510.1,3702.AT2G47630.1,3702.AT2G47690.1,3702.AT3G01120.1,3702.AT3G01910.1,3702.AT3G02580.1,3702.AT3G02720.1,3702.AT3G02870.1,3702.AT3G04790.1,3702.AT3G04870.2,3702.AT3G05610.1,3702.AT3G06860.1,3702.AT3G08590.2,3702.AT3G10160.1,3702.AT3G10700.1,3702.AT3G10740.1,3702.AT3G12500.1,3702.AT3G13560.2,3702.AT3G14310.1,3702.AT3G14390.1,3702.AT3G14440.1,3702.AT3G15352.1,3702.AT3G16990.1,3702.AT3G17070.1,3702.AT3G19820.2,3702.AT3G20440.2,3702.AT3G21160.1,3702.AT3G22740.1,3702.AT3G22890.1,3702.AT3G23490.1,3702.AT3G23580.1,3702.AT3G23920.1,3702.AT3G24170.1,3702.AT3G25530.1,3702.AT3G25760.1,3702.AT3G25860.1,3702.AT3G27060.1,3702.AT3G27190.1,3702.AT3G27325.2,3702.AT3G29090.1,3702.AT3G29320.1,3702.AT3G48170.1,3702.AT3G51520.1,3702.AT3G52940.1,3702.AT3G54250.1,3702.AT3G54420.1,3702.AT3G54890.1,3702.AT3G57650.1,3702.AT3G59760.1,3702.AT3G61130.1,3702.AT4G02280.1,3702.AT4G03280.1,3702.AT4G04040.1,3702.AT4G11290.1,3702.AT4G11820.2,3702.AT4G12110.1,3702.AT4G15180.1,3702.AT4G15560.1,3702.AT4G16130.1,3702.AT4G16155.1,3702.AT4G19710.2,3702.AT4G19860.1,3702.AT4G20930.1,3702.AT4G23920.1,3702.AT4G24040.1,3702.AT4G24620.1,3702.AT4G26200.1,3702.AT4G28320.1,3702.AT4G30440.1,3702.AT4G31140.1,3702.AT4G33510.1,3702.AT4G34050.1,3702.AT4G34240.1,3702.AT4G34640.1,3702.AT4G34700.1,3702.AT4G35260.1,3702.AT4G37830.1,3702.AT4G39080.1,3702.AT5G01220.1,3702.AT5G02790.1,3702.AT5G03290.1,3702.AT5G03370.1,3702.AT5G04040.1,3702.AT5G04620.2,3702.AT5G06730.1,3702.AT5G07440.1,3702.AT5G07990.1,3702.AT5G08280.1,3702.AT5G08570.1,3702.AT5G09230.7,3702.AT5G11670.1,3702.AT5G12040.1,3702.AT5G13280.1,3702.AT5G13430.1,3702.AT5G13690.1,3702.AT5G13930.1,3702.AT5G14800.1,3702.AT5G14950.1,3702.AT5G15180.1,3702.AT5G16760.1,3702.AT5G17250.1,3702.AT5G17330.1,3702.AT5G18800.1,3702.AT5G19200.1,3702.AT5G19730.1,3702.AT5G20950.1,3702.AT5G25450.1,3702.AT5G34930.1,3702.AT5G34940.2,3702.AT5G36160.1,3702.AT5G38420.1,3702.AT5G38710.1,3702.AT5G40810.1,3702.AT5G41210.1,3702.AT5G41480.1,3702.AT5G42650.1,3702.AT5G42740.1,3702.AT5G47890.1,3702.AT5G48930.1,3702.AT5G49460.1,3702.AT5G49650.1,3702.AT5G49720.1,3702.AT5G51810.1,3702.AT5G51820.1,3702.AT5G52840.1,3702.AT5G52920.1,3702.AT5G53460.1,3702.AT5G53850.2,3702.AT5G54390.1,3702.AT5G55590.1,3702.AT5G55760.1,3702.AT5G58330.1,3702.AT5G58700.1,3702.AT5G60600.1,3702.AT5G60620.1,3702.AT5G63400.1,3702.AT5G64120.1,3702.AT5G64300.1,3702.AT5G64380.1,3702.AT5G64860.1,3702.AT5G65110.1,3702.AT5G65140.1,3702.AT5G66280.1,3702.AT5G66460.1	CNX3,GPAT4,AT1G01710,AT1G02410,CEL2,TPK1,YUC3,NPC1,FATB,AT1G08750,iPGAM1,PUR2,UGE1,SBH2,AT1G15710,LHCB6,AT1G16040,LOX3,AVA-P2,SMT2,AT1G20480,ATSAC1,MENG,BCA3,BGLU40,AT1G26640,DPL1,MNS3,IMPL1,AT1G31220,AKHSDH1,AT1G32470,EMB3003,SHM7,NIA2,GH9C1,MTK,PPC1,AT1G55880,AT1G62660,LPLAT2,AT1G63110,AT1G63660,CYP86A7,AT1G63770,GH9C2,4CL3,AT1G66430,RBCS1A,GCS1,AT1G67750,PHYLLO,CYP704B1,CMT3,AT1G72880,PUR4,AT1G74470,At1g78050,AT1G79010,PGK,AT1G79870,AT1G80360,AT2G01630,PAP8,AT2G02970,LHCB2.1,MOD1,KCS9,SDH1-2,HPT1,MIOX2,HXK2,AT2G20360,MAN2,GAUT10,DGK5,PMDH1,CLF,KCS11,emb1187,C4H,GSTF10,PKT3,AT2G33220,LHB1B2,LHB1B1,PAL1,AT2G37500,AKR4C10,GPAT6,FAC1,PECT1,AT2G38680,CYT1,CYP98A3,AT2G41480,AT-P4H-1,AT2G43090,BIO2,ITPK4,COS1,ATCS,AT2G44660,AT2G45670,GulLO2,FUM1,AT2G47630,AT2G47690,MTO1,SOX,STE1,DJ1D,VTC4,EMB3119,ZDS,AT3G05610,MFP2,iPGAM2,DFC,GalAK,ASD1,HCHIB,AT3G13560,PME3,AT3G14390,NCED3,COX17,AT3G16990,AT3G17070,DWF1,EMB2729,MNS2,HMT3,APS1,CYN,RNR2A,TRBAMY,At3g24170,GLYR1,AOC1,LTA2,TSO2,UKL2,AT3G27325,PME31,AT3G29320,ALDH10A9,DGAT2,FK,AT3G54250,EP3,LHCA1,LPAT2,OASC,GAUT1,SUS3,PETC,MEE51,AT4G11290,HMGS,SMO1-1,SDG2,CLA1,ARA1,AT4G16155,AKHSDH2,AT4G19860,AT4G20930,UGE2,TRE1,PGI1,ACS7,MAN5,GAE1,AT4G31140,DHS2,CCoAOMT1,ALDH3I1,SQS1,CIB22,IDH1,AT4G37830,VHA-A3,SQD2,GSTL3,IDH-V,AT5G03370,SDP1,BIOF,AT5G06730,GDH2,TT7,HEMC,AT5G08570,SRT2,NADP-ME2,AT5G12040,AK-LYS1,AT5G13430,CYL1,TT4,P5CR,GMII,AT5G15180,ITPK1,AT5G17250,GAD,AT5G18800,TSC10B,AT5G19730,AT5G20950,AT5G25450,AT5G34930,GUS3,AT5G36160,RBCS2B,AT5G38710,AT5G40810,GSTT1,GLA1,AOS,AT5G42740,AT5G47890,HCT,ACLB-2,XK-2,GH9A1,GA20OX2,PGMP,AT5G52840,PKP-BETA1,GLT1,AT5G53850,HL,QRT1,SRT1,AT5G58330,PLC4,HDS,GPAT9,At5g63400,AT5G64120,GCH,AT5G64380,DPE1,ACX2,TPPJ,GMD1,MAN7
ath01110	Biosynthesis of secondary metabolites	131	1216	0.31	8.51e-11	3702.AT1G01610.1,3702.AT1G01710.1,3702.AT1G07230.1,3702.AT1G09780.1,3702.AT1G09830.1,3702.AT1G15710.1,3702.AT1G17420.1,3702.AT1G20330.1,3702.AT1G20480.1,3702.AT1G23360.1,3702.AT1G26560.1,3702.AT1G26640.1,3702.AT1G31190.1,3702.AT1G31220.1,3702.AT1G31230.1,3702.AT1G32470.1,3702.AT1G34430.1,3702.AT1G36370.1,3702.AT1G55880.1,3702.AT1G62660.1,3702.AT1G63050.1,3702.AT1G65060.1,3702.AT1G66430.1,3702.AT1G67090.1,3702.AT1G68890.1,3702.AT1G72880.1,3702.AT1G74260.1,3702.AT1G74470.1,3702.AT1G78050.1,3702.AT1G79550.2,3702.AT1G79870.1,3702.AT2G05990.2,3702.AT2G16280.1,3702.AT2G18450.1,3702.AT2G18950.1,3702.AT2G19860.1,3702.AT2G20900.1,3702.AT2G22780.1,3702.AT2G26640.1,3702.AT2G30490.1,3702.AT2G33150.1,3702.AT2G37040.1,3702.AT2G37500.1,3702.AT2G37790.1,3702.AT2G38110.1,3702.AT2G38280.2,3702.AT2G38680.1,3702.AT2G39770.1,3702.AT2G40890.1,3702.AT2G41480.1,3702.AT2G43090.1,3702.AT2G44050.1,3702.AT2G44350.2,3702.AT2G44990.1,3702.AT2G47510.1,3702.AT2G47630.1,3702.AT3G01120.1,3702.AT3G02580.1,3702.AT3G02870.1,3702.AT3G04790.1,3702.AT3G04870.2,3702.AT3G06860.1,3702.AT3G08590.2,3702.AT3G14390.1,3702.AT3G14440.1,3702.AT3G17070.1,3702.AT3G19820.2,3702.AT3G20440.2,3702.AT3G22740.1,3702.AT3G22890.1,3702.AT3G23920.1,3702.AT3G25760.1,3702.AT3G25860.1,3702.AT3G29320.1,3702.AT3G52940.1,3702.AT3G54250.1,3702.AT3G57650.1,3702.AT3G59760.1,3702.AT4G02280.1,3702.AT4G04040.1,3702.AT4G11290.1,3702.AT4G11820.2,3702.AT4G12110.1,3702.AT4G13010.1,3702.AT4G15560.1,3702.AT4G16155.1,3702.AT4G19710.2,3702.AT4G19860.1,3702.AT4G21200.1,3702.AT4G24040.1,3702.AT4G24620.1,3702.AT4G26200.1,3702.AT4G32810.1,3702.AT4G33510.1,3702.AT4G34050.1,3702.AT4G34240.1,3702.AT4G34640.1,3702.AT4G35260.1,3702.AT5G03290.1,3702.AT5G04040.1,3702.AT5G06730.1,3702.AT5G07990.1,3702.AT5G08280.1,3702.AT5G08570.1,3702.AT5G13280.1,3702.AT5G13930.1,3702.AT5G14800.1,3702.AT5G15180.1,3702.AT5G17330.1,3702.AT5G20950.1,3702.AT5G34930.1,3702.AT5G36160.1,3702.AT5G38420.1,3702.AT5G38710.1,3702.AT5G42650.1,3702.AT5G42740.1,3702.AT5G48930.1,3702.AT5G49460.1,3702.AT5G51810.1,3702.AT5G51820.1,3702.AT5G52920.1,3702.AT5G53460.1,3702.AT5G60600.1,3702.AT5G60620.1,3702.AT5G63400.1,3702.AT5G64120.1,3702.AT5G64300.1,3702.AT5G64380.1,3702.AT5G64860.1,3702.AT5G65110.1,3702.AT5G65140.1	GPAT4,AT1G01710,NPC1,iPGAM1,PUR2,AT1G15710,LOX3,SMT2,AT1G20480,MENG,BGLU40,AT1G26640,IMPL1,AT1G31220,AKHSDH1,AT1G32470,EMB3003,SHM7,AT1G55880,AT1G62660,LPLAT2,4CL3,AT1G66430,RBCS1A,PHYLLO,AT1G72880,PUR4,AT1G74470,At1g78050,PGK,AT1G79870,MOD1,KCS9,SDH1-2,HPT1,HXK2,DGK5,PMDH1,KCS11,C4H,PKT3,PAL1,AT2G37500,AKR4C10,GPAT6,FAC1,AT2G38680,CYT1,CYP98A3,AT2G41480,AT2G43090,COS1,ATCS,CCD7,FUM1,AT2G47630,MTO1,STE1,VTC4,EMB3119,ZDS,MFP2,iPGAM2,AT3G14390,NCED3,AT3G17070,DWF1,EMB2729,HMT3,APS1,TRBAMY,AOC1,LTA2,AT3G29320,FK,AT3G54250,LPAT2,OASC,SUS3,MEE51,AT4G11290,HMGS,SMO1-1,AT4G13010,CLA1,AT4G16155,AKHSDH2,AT4G19860,GA2OX8,TRE1,PGI1,ACS7,CCD8,DHS2,CCoAOMT1,ALDH3I1,SQS1,IDH1,IDH-V,SDP1,AT5G06730,TT7,HEMC,AT5G08570,AK-LYS1,TT4,P5CR,AT5G15180,GAD,AT5G20950,AT5G34930,AT5G36160,RBCS2B,AT5G38710,AOS,AT5G42740,HCT,ACLB-2,GA20OX2,PGMP,PKP-BETA1,GLT1,HDS,GPAT9,At5g63400,AT5G64120,GCH,AT5G64380,DPE1,ACX2,TPPJ
ath01200	Carbon metabolism	34	268	0.38	0.0017	3702.AT1G09780.1,3702.AT1G32470.1,3702.AT1G34430.1,3702.AT1G36370.1,3702.AT1G53310.3,3702.AT1G55880.1,3702.AT1G67090.1,3702.AT1G78050.1,3702.AT1G79550.2,3702.AT1G79870.1,3702.AT2G18450.1,3702.AT2G19860.1,3702.AT2G22780.1,3702.AT2G44350.2,3702.AT2G47510.1,3702.AT3G04790.1,3702.AT3G08590.2,3702.AT3G25530.1,3702.AT3G25860.1,3702.AT3G59760.1,3702.AT4G16155.1,3702.AT4G20930.1,3702.AT4G24620.1,3702.AT4G35260.1,3702.AT5G03290.1,3702.AT5G07440.1,3702.AT5G08570.1,3702.AT5G11670.1,3702.AT5G38420.1,3702.AT5G42740.1,3702.AT5G52920.1,3702.AT5G58330.1,3702.AT5G64380.1,3702.AT5G65110.1	iPGAM1,AT1G32470,EMB3003,SHM7,PPC1,AT1G55880,RBCS1A,At1g78050,PGK,AT1G79870,SDH1-2,HXK2,PMDH1,ATCS,FUM1,EMB3119,iPGAM2,GLYR1,LTA2,OASC,AT4G16155,AT4G20930,PGI1,IDH1,IDH-V,GDH2,AT5G08570,NADP-ME2,RBCS2B,AT5G42740,PKP-BETA1,AT5G58330,AT5G64380,ACX2
ath00500	Starch and sucrose metabolism	22	170	0.39	0.0251	3702.AT1G02800.1,3702.AT1G26560.1,3702.AT1G48930.1,3702.AT1G62660.1,3702.AT1G64390.1,3702.AT1G66430.1,3702.AT2G01630.1,3702.AT2G19860.1,3702.AT3G13560.2,3702.AT3G20440.2,3702.AT3G23920.1,3702.AT3G29320.1,3702.AT4G02280.1,3702.AT4G24040.1,3702.AT4G24620.1,3702.AT4G31140.1,3702.AT5G20950.1,3702.AT5G42740.1,3702.AT5G49720.1,3702.AT5G51820.1,3702.AT5G64860.1,3702.AT5G65140.1	CEL2,BGLU40,GH9C1,AT1G62660,GH9C2,AT1G66430,AT2G01630,HXK2,AT3G13560,EMB2729,TRBAMY,AT3G29320,SUS3,TRE1,PGI1,AT4G31140,AT5G20950,AT5G42740,GH9A1,PGMP,DPE1,TPPJ
ath00592	alpha-Linolenic acid metabolism	10	42	0.65	0.0251	3702.AT1G17420.1,3702.AT1G20480.1,3702.AT2G33150.1,3702.AT3G06860.1,3702.AT3G25760.1,3702.AT4G13010.1,3702.AT4G19860.1,3702.AT5G04040.1,3702.AT5G42650.1,3702.AT5G65110.1	LOX3,AT1G20480,PKT3,MFP2,AOC1,AT4G13010,AT4G19860,SDP1,AOS,ACX2
ath04120	Ubiquitin mediated proteolysis	20	143	0.42	0.0251	3702.AT1G06590.1,3702.AT1G26830.1,3702.AT1G50490.1,3702.AT1G75440.1,3702.AT2G04660.1,3702.AT2G20000.1,3702.AT2G32950.1,3702.AT3G07370.1,3702.AT3G13550.1,3702.AT3G58040.1,3702.AT4G02570.4,3702.AT4G11920.1,3702.AT4G33260.1,3702.AT4G36800.1,3702.AT4G38600.1,3702.AT5G06460.1,3702.AT5G19180.1,3702.AT5G22920.1,3702.AT5G37870.1,3702.AT5G46210.1	AT1G06590,CUL3,UBC20,UBC16,At2g04660,HBT,COP1,CHIP,FUS9,SINAT2,CUL1,CCS52A2,CDC20.2,RCE1,KAK,UBA2,ECR1,AT5G22920,AT5G37870,CUL4
ath00010	Glycolysis / Gluconeogenesis	17	116	0.44	0.0256	3702.AT1G09780.1,3702.AT1G34430.1,3702.AT1G78050.1,3702.AT1G79550.2,3702.AT2G19860.1,3702.AT2G37790.1,3702.AT3G08590.2,3702.AT3G25860.1,3702.AT4G04040.1,3702.AT4G16155.1,3702.AT4G24620.1,3702.AT4G34240.1,3702.AT5G08570.1,3702.AT5G42740.1,3702.AT5G51820.1,3702.AT5G52920.1,3702.AT5G64380.1	iPGAM1,EMB3003,At1g78050,PGK,HXK2,AKR4C10,iPGAM2,LTA2,MEE51,AT4G16155,PGI1,ALDH3I1,AT5G08570,AT5G42740,PGMP,PKP-BETA1,AT5G64380
ath00790	Folate biosynthesis	8	29	0.71	0.0256	3702.AT1G01290.1,3702.AT1G16540.1,3702.AT1G78670.1,3702.AT2G28880.1,3702.AT3G10160.1,3702.AT5G41480.1,3702.AT5G57850.1,3702.AT5G64300.1	CNX3,ABA3,GGH3,emb1997,DFC,GLA1,ADCL,GCH
ath00230	Purine metabolism	15	98	0.46	0.0286	3702.AT1G09830.1,3702.AT1G31220.1,3702.AT1G63660.1,3702.AT1G72880.1,3702.AT1G74260.1,3702.AT2G02970.1,3702.AT2G38280.2,3702.AT2G38680.1,3702.AT3G22890.1,3702.AT3G23580.1,3702.AT3G27060.1,3702.AT5G08570.1,3702.AT5G51820.1,3702.AT5G52920.1,3702.AT5G63400.1	PUR2,AT1G31220,AT1G63660,AT1G72880,PUR4,AT2G02970,FAC1,AT2G38680,APS1,RNR2A,TSO2,AT5G08570,PGMP,PKP-BETA1,At5g63400
ath03050	Proteasome	11	58	0.55	0.0292	3702.AT1G09100.1,3702.AT1G21720.1,3702.AT1G77440.1,3702.AT2G05840.1,3702.AT2G32730.1,3702.AT3G05530.1,3702.AT3G13330.1,3702.AT3G60820.1,3702.AT5G38650.1,3702.AT5G58290.1,3702.AT5G66140.1	RPT5B,PBC1,PBC2,At2g05840,AT2G32730,RPT5A,PA200,PBF1,AT5G38650,RPT3,PAD2
