#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
ath01100	Metabolic pathways	166	2275	0.36	1.77e-20	3702.AT1G01120.1,3702.AT1G03475.1,3702.AT1G05260.1,3702.AT1G06820.1,3702.AT1G08250.1,3702.AT1G08510.1,3702.AT1G08520.1,3702.AT1G12050.1,3702.AT1G12840.1,3702.AT1G17420.1,3702.AT1G17650.1,3702.AT1G20630.1,3702.AT1G22410.1,3702.AT1G22880.1,3702.AT1G24180.1,3702.AT1G25230.1,3702.AT1G26640.1,3702.AT1G26810.1,3702.AT1G31330.1,3702.AT1G31800.1,3702.AT1G32070.2,3702.AT1G43710.1,3702.AT1G50480.1,3702.AT1G50510.1,3702.AT1G55120.1,3702.AT1G62640.1,3702.AT1G62660.1,3702.AT1G63710.1,3702.AT1G63770.5,3702.AT1G64200.1,3702.AT1G64390.1,3702.AT1G65960.2,3702.AT1G66430.1,3702.AT1G67090.1,3702.AT1G67280.1,3702.AT1G69500.1,3702.AT1G69770.1,3702.AT1G74040.1,3702.AT1G74910.1,3702.AT1G74960.2,3702.AT1G75330.1,3702.AT1G79440.1,3702.AT2G01140.1,3702.AT2G05100.1,3702.AT2G13560.1,3702.AT2G16280.1,3702.AT2G18960.1,3702.AT2G21170.1,3702.AT2G21790.1,3702.AT2G22420.1,3702.AT2G22450.1,3702.AT2G22480.1,3702.AT2G25080.1,3702.AT2G26640.1,3702.AT2G29630.2,3702.AT2G35040.1,3702.AT2G37040.1,3702.AT2G38010.2,3702.AT2G38110.1,3702.AT2G41480.1,3702.AT2G42600.1,3702.AT2G43020.1,3702.AT2G44040.1,3702.AT2G44350.2,3702.AT2G44520.1,3702.AT2G44660.1,3702.AT2G44750.2,3702.AT2G47630.1,3702.AT3G02360.2,3702.AT3G04790.1,3702.AT3G06830.1,3702.AT3G08590.2,3702.AT3G10340.1,3702.AT3G10740.1,3702.AT3G12780.1,3702.AT3G13560.2,3702.AT3G16950.2,3702.AT3G17070.1,3702.AT3G19820.2,3702.AT3G24090.1,3702.AT3G24230.1,3702.AT3G27540.1,3702.AT3G27820.1,3702.AT3G45770.1,3702.AT3G48990.1,3702.AT3G51520.1,3702.AT3G51840.1,3702.AT3G52930.1,3702.AT3G53260.1,3702.AT3G54050.1,3702.AT3G54470.1,3702.AT3G55360.1,3702.AT3G55800.1,3702.AT3G57170.1,3702.AT3G57520.1,3702.AT3G57560.1,3702.AT3G59970.3,3702.AT4G00490.1,3702.AT4G02290.1,3702.AT4G02780.1,3702.AT4G09010.1,3702.AT4G11030.1,3702.AT4G13260.1,3702.AT4G15560.1,3702.AT4G16130.1,3702.AT4G16700.1,3702.AT4G16710.1,3702.AT4G17090.1,3702.AT4G20930.1,3702.AT4G22330.1,3702.AT4G23850.1,3702.AT4G23920.1,3702.AT4G24040.1,3702.AT4G25000.1,3702.AT4G25420.1,3702.AT4G25840.1,3702.AT4G26910.1,3702.AT4G27070.1,3702.AT4G28320.1,3702.AT4G30440.1,3702.AT4G32520.1,3702.AT4G34240.1,3702.AT4G34640.1,3702.AT4G36430.1,3702.AT4G37830.1,3702.AT4G37870.1,3702.AT4G39080.1,3702.AT5G06580.1,3702.AT5G06620.1,3702.AT5G06730.1,3702.AT5G07440.1,3702.AT5G07990.1,3702.AT5G09730.1,3702.AT5G11770.1,3702.AT5G13050.1,3702.AT5G13930.1,3702.AT5G13960.1,3702.AT5G15770.1,3702.AT5G16120.2,3702.AT5G16390.1,3702.AT5G17310.2,3702.AT5G17920.1,3702.AT5G18070.1,3702.AT5G18800.1,3702.AT5G19200.1,3702.AT5G19730.1,3702.AT5G34940.2,3702.AT5G38710.1,3702.AT5G42810.1,3702.AT5G48930.1,3702.AT5G51810.1,3702.AT5G51830.1,3702.AT5G52560.1,3702.AT5G54190.1,3702.AT5G54960.1,3702.AT5G57330.1,3702.AT5G57590.1,3702.AT5G58330.1,3702.AT5G62670.1,3702.AT5G63400.1,3702.AT5G64120.1,3702.AT5G64370.1,3702.AT5G65110.1,3702.AT5G66390.1,3702.AT5G66460.1,3702.AT5G67030.1	KCS1,LIN2,RCI3,CRTISO,ADT6,FATB,ALB1,AT1G12050,DET3,LOX3,GLYR2,CAT1,AT1G22410,CEL5,IAR4,AT1G25230,AT1G26640,GALT1,PSAF,CYP97A3,NSI,EMB1075,THFS,AT1G50510,FRUCT5,T3P18.20,AT1G62660,CYP86A7,AT1G63770,VHA-E3,GH9C2,GAD2,AT1G66430,RBCS1A,AT1G67280,CYP704B1,CMT3,IMS1,AT1G74910,FAB1,OTC,ALDH5F1,PDE345,LHCB2.1,NAD-ME1,KCS9,HA1,TIM,RNR1,AT2G22420,RIBA2,PFK5,GPX1,KCS11,THIC,AT2G35040,PAL1,AT2G38010,GPAT6,AT2G41480,PPC2,PAO2,AT2G44040,ATCS,COX10,AT2G44660,TPK2,AT2G47630,AT3G02360,EMB3119,AT3G06830,iPGAM2,PAL4,ASD1,PGK1,AT3G13560,LPD1,AT3G17070,DWF1,GFAT,AT3G24230,AT3G27540,MDAR4,AT3G45770,AAE3,DGAT2,ACX4,FBA8,PAL2,HCEF1,AT3G54470,CER10,SBPASE,AT3G57170,SIP2,NAGK,MTHFR1,BMY9,GH9B13,GA1,TL29,AT4G11030,YUC2,CLA1,ARA1,PSD1,AT4G16710,CT-BMY,AT4G20930,ATCES1,LACS4,UGE2,TRE1,AMY1,GA20OX1,GPP1,AT4G26910,TSB2,MAN5,GAE1,SHM3,ALDH3I1,SQS1,AT4G36430,AT4G37830,PCK1,VHA-A3,AT5G06580,SDG38,AT5G06730,GDH2,TT7,BXL3,AT5G11770,5-FCL,TT4,SUVH4,GNA1,AT5G16120,CAC1,UGP2,ATMS1,DRT101,AT5G18800,TSC10B,AT5G19730,GUS3,AT5G38710,IPK1,HCT,GA20OX2,AT5G51830,USP,PORA,PDC2,AT5G57330,BIO1,AT5G58330,HA11,At5g63400,AT5G64120,BETA-UP,ACX2,AT5G66390,MAN7,ABA1
ath01110	Biosynthesis of secondary metabolites	88	1216	0.36	7.19e-10	3702.AT1G01120.1,3702.AT1G03475.1,3702.AT1G05260.1,3702.AT1G06820.1,3702.AT1G08250.1,3702.AT1G08520.1,3702.AT1G17420.1,3702.AT1G20630.1,3702.AT1G22400.1,3702.AT1G22410.1,3702.AT1G24180.1,3702.AT1G26640.1,3702.AT1G31800.1,3702.AT1G43710.1,3702.AT1G55120.1,3702.AT1G62660.1,3702.AT1G65960.2,3702.AT1G66430.1,3702.AT1G67090.1,3702.AT1G74040.1,3702.AT1G74910.1,3702.AT1G75330.1,3702.AT2G01140.1,3702.AT2G16280.1,3702.AT2G21170.1,3702.AT2G22420.1,3702.AT2G22450.1,3702.AT2G22480.1,3702.AT2G26640.1,3702.AT2G35040.1,3702.AT2G37040.1,3702.AT2G38110.1,3702.AT2G40690.1,3702.AT2G41480.1,3702.AT2G44040.1,3702.AT2G44350.2,3702.AT2G44520.1,3702.AT2G47630.1,3702.AT3G02360.2,3702.AT3G04790.1,3702.AT3G08590.2,3702.AT3G10340.1,3702.AT3G12780.1,3702.AT3G16950.2,3702.AT3G17070.1,3702.AT3G19820.2,3702.AT3G51840.1,3702.AT3G52930.1,3702.AT3G53260.1,3702.AT3G54050.1,3702.AT3G55360.1,3702.AT3G57560.1,3702.AT4G00490.1,3702.AT4G02780.1,3702.AT4G13010.1,3702.AT4G15560.1,3702.AT4G16700.1,3702.AT4G17090.1,3702.AT4G24040.1,3702.AT4G25000.1,3702.AT4G25420.1,3702.AT4G26910.1,3702.AT4G27070.1,3702.AT4G32520.1,3702.AT4G34240.1,3702.AT4G34640.1,3702.AT4G36430.1,3702.AT4G37870.1,3702.AT5G06730.1,3702.AT5G07990.1,3702.AT5G13930.1,3702.AT5G16120.2,3702.AT5G16390.1,3702.AT5G17310.2,3702.AT5G17920.1,3702.AT5G38710.1,3702.AT5G48930.1,3702.AT5G51810.1,3702.AT5G51830.1,3702.AT5G52560.1,3702.AT5G54190.1,3702.AT5G54960.1,3702.AT5G57330.1,3702.AT5G63400.1,3702.AT5G64120.1,3702.AT5G65110.1,3702.AT5G66390.1,3702.AT5G67030.1	KCS1,LIN2,RCI3,CRTISO,ADT6,ALB1,LOX3,CAT1,UGT85A1,AT1G22410,IAR4,AT1G26640,CYP97A3,EMB1075,FRUCT5,AT1G62660,GAD2,AT1G66430,RBCS1A,IMS1,AT1G74910,OTC,PDE345,KCS9,TIM,AT2G22420,RIBA2,PFK5,KCS11,AT2G35040,PAL1,GPAT6,GLY1,AT2G41480,AT2G44040,ATCS,COX10,AT2G47630,AT3G02360,EMB3119,iPGAM2,PAL4,PGK1,LPD1,AT3G17070,DWF1,ACX4,FBA8,PAL2,HCEF1,CER10,NAGK,BMY9,GA1,AT4G13010,CLA1,PSD1,CT-BMY,TRE1,AMY1,GA20OX1,AT4G26910,TSB2,SHM3,ALDH3I1,SQS1,AT4G36430,PCK1,AT5G06730,TT7,TT4,AT5G16120,CAC1,UGP2,ATMS1,AT5G38710,HCT,GA20OX2,AT5G51830,USP,PORA,PDC2,AT5G57330,At5g63400,AT5G64120,ACX2,AT5G66390,ABA1
ath01200	Carbon metabolism	29	268	0.54	6.85e-06	3702.AT1G17650.1,3702.AT1G20630.1,3702.AT1G24180.1,3702.AT1G50480.1,3702.AT1G67090.1,3702.AT2G01140.1,3702.AT2G13560.1,3702.AT2G21170.1,3702.AT2G22480.1,3702.AT2G42600.1,3702.AT2G44350.2,3702.AT3G02360.2,3702.AT3G04790.1,3702.AT3G08590.2,3702.AT3G12780.1,3702.AT3G16950.2,3702.AT3G51840.1,3702.AT3G52930.1,3702.AT3G54050.1,3702.AT3G55800.1,3702.AT3G59970.3,3702.AT4G20930.1,3702.AT4G26910.1,3702.AT4G32520.1,3702.AT4G37870.1,3702.AT5G07440.1,3702.AT5G16390.1,3702.AT5G58330.1,3702.AT5G65110.1	GLYR2,CAT1,IAR4,THFS,RBCS1A,PDE345,NAD-ME1,TIM,PFK5,PPC2,ATCS,AT3G02360,EMB3119,iPGAM2,PGK1,LPD1,ACX4,FBA8,HCEF1,SBPASE,MTHFR1,AT4G20930,AT4G26910,SHM3,PCK1,GDH2,CAC1,AT5G58330,ACX2
ath00710	Carbon fixation in photosynthetic organisms	12	69	0.74	0.00072	3702.AT1G67090.1,3702.AT2G01140.1,3702.AT2G13560.1,3702.AT2G21170.1,3702.AT2G42600.1,3702.AT3G04790.1,3702.AT3G12780.1,3702.AT3G52930.1,3702.AT3G54050.1,3702.AT3G55800.1,3702.AT4G37870.1,3702.AT5G58330.1	RBCS1A,PDE345,NAD-ME1,TIM,PPC2,EMB3119,PGK1,FBA8,HCEF1,SBPASE,PCK1,AT5G58330
ath03010	Ribosome	25	318	0.4	0.0058	3702.AT1G07320.1,3702.AT1G08360.1,3702.AT1G70600.1,3702.AT1G71720.1,3702.AT2G18020.1,3702.AT2G19730.3,3702.AT2G24090.1,3702.AT2G37600.2,3702.AT3G09630.1,3702.AT3G54210.1,3702.AT3G57490.1,3702.AT3G61110.1,3702.AT3G62870.1,3702.AT3G63490.1,3702.AT4G01310.1,3702.AT4G17390.1,3702.AT4G18100.1,3702.AT4G35490.1,3702.AT4G39880.1,3702.AT5G10360.1,3702.AT5G24510.1,3702.AT5G39850.1,3702.AT5G48760.2,3702.AT5G59240.1,3702.AT5G61170.1	RPL4,AT1G08360,AT1G70600,PDE338,EMB2296,AT2G19730,PRPL35,AT2G37600,AT3G09630,AT3G54210,AT3G57490,RS27A,AT3G62870,EMB3126,AT4G01310,AT4G17390,AT4G18100,MRPL11,AT4G39880,EMB3010,AT5G24510,AT5G39850,AT5G48760,AT5G59240,AT5G61170
ath00051	Fructose and mannose metabolism	10	64	0.69	0.0063	3702.AT1G66430.1,3702.AT1G74910.1,3702.AT2G01140.1,3702.AT2G21170.1,3702.AT2G22480.1,3702.AT3G52930.1,3702.AT3G54050.1,3702.AT4G28320.1,3702.AT5G51830.1,3702.AT5G66460.1	AT1G66430,AT1G74910,PDE345,TIM,PFK5,FBA8,HCEF1,MAN5,AT5G51830,MAN7
ath00010	Glycolysis / Gluconeogenesis	13	116	0.55	0.0096	3702.AT1G24180.1,3702.AT2G01140.1,3702.AT2G21170.1,3702.AT2G22480.1,3702.AT3G08590.2,3702.AT3G12780.1,3702.AT3G16950.2,3702.AT3G52930.1,3702.AT3G54050.1,3702.AT4G34240.1,3702.AT4G37870.1,3702.AT5G54960.1,3702.AT5G57330.1	IAR4,PDE345,TIM,PFK5,iPGAM2,PGK1,LPD1,FBA8,HCEF1,ALDH3I1,PCK1,PDC2,AT5G57330
ath00061	Fatty acid biosynthesis	8	43	0.77	0.0096	3702.AT1G08510.1,3702.AT1G62640.1,3702.AT1G74960.2,3702.AT3G45770.1,3702.AT4G11030.1,3702.AT4G13050.1,3702.AT4G23850.1,3702.AT5G16390.1	FATB,T3P18.20,FAB1,AT3G45770,AT4G11030,AT4G13050,LACS4,CAC1
ath00620	Pyruvate metabolism	11	85	0.61	0.0096	3702.AT1G24180.1,3702.AT1G67280.1,3702.AT1G74040.1,3702.AT2G13560.1,3702.AT2G42600.1,3702.AT3G16950.2,3702.AT4G34240.1,3702.AT4G37870.1,3702.AT5G06580.1,3702.AT5G16390.1,3702.AT5G58330.1	IAR4,AT1G67280,IMS1,NAD-ME1,PPC2,LPD1,ALDH3I1,PCK1,AT5G06580,CAC1,AT5G58330
ath01212	Fatty acid metabolism	10	70	0.66	0.0096	3702.AT1G08510.1,3702.AT1G62640.1,3702.AT1G74960.2,3702.AT3G45770.1,3702.AT3G51840.1,3702.AT3G55360.1,3702.AT4G11030.1,3702.AT4G23850.1,3702.AT5G16390.1,3702.AT5G65110.1	FATB,T3P18.20,FAB1,AT3G45770,ACX4,CER10,AT4G11030,LACS4,CAC1,ACX2
