#term ID	term description	genes mapped	enrichment score	direction	false discovery rate	method	matching proteins in your input (IDs)	matching proteins in your input (labels)
KW-0689	Ribosomal protein	58	2.11908	top	1.13e-13	ks	3702.AT1G05190.1,3702.AT1G26910.1,3702.AT1G29040.1,3702.AT1G29970.2,3702.AT1G48630.1,3702.AT1G48830.1,3702.AT1G52300.1,3702.AT1G57860.1,3702.AT1G67430.1,3702.AT1G70600.1,3702.AT1G74050.1,3702.AT1G74270.1,3702.AT1G74970.1,3702.AT1G77940.1,3702.AT1G79850.1,3702.AT2G18020.1,3702.AT2G19730.3,3702.AT2G21580.1,3702.AT2G32060.1,3702.AT2G37270.2,3702.AT2G47110.1,3702.AT3G02560.2,3702.AT3G04770.1,3702.AT3G04840.1,3702.AT3G04920.1,3702.AT3G05590.1,3702.AT3G09630.1,3702.AT3G10610.1,3702.AT3G27850.1,3702.AT3G44590.1,3702.AT3G48930.1,3702.AT3G52580.1,3702.AT3G57490.1,3702.AT3G60245.1,3702.AT3G61110.1,3702.AT4G02230.1,3702.AT4G17390.1,3702.AT4G18100.1,3702.AT4G22380.1,3702.AT4G23620.2,3702.AT4G31985.1,3702.AT5G02870.1,3702.AT5G02960.1,3702.AT5G10360.1,3702.AT5G15200.1,3702.AT5G24510.1,3702.AT5G27700.1,3702.AT5G27770.1,3702.AT5G35530.1,3702.AT5G39740.2,3702.AT5G39850.1,3702.AT5G45775.2,3702.AT5G52650.1,3702.AT5G56710.1,3702.AT5G57290.1,3702.AT5G58420.1,3702.AT5G59240.1,3702.AT5G61170.1	emb2394,RPL10B,AT1G29040,RPL18AA,RACK1B_AT,AT1G48830,AT1G52300,AT1G57860.1,AT1G67430,AT1G70600,AT1G74050,AT1G74270,RPS9,AT1G77940,RPS17,EMB2296,AT2G19730,AT2G21580,AT2G32060,RPS5B,UBQ6,AT3G02560,RPSAb,AT3G04840,AT3G04920,RPL18,AT3G09630,AT3G10610,RPL12-C,AT3G44590,EMB1080,AT3G52580,AT3G57490,AT3G60245,RS27A,AT4G02230,AT4G17390,AT4G18100,AT4G22380,AT4G23620,AT4G31985,AT5G02870,AT5G02960,EMB3010,AT5G15200,AT5G24510,AT5G27700,AT5G27770,AT5G35530,RPL5B,AT5G39850,AT3G58700,AT5G52650,AT5G56710,AT5G57290,AT5G58420,AT5G59240,AT5G61170
KW-0687	Ribonucleoprotein	69	1.81162	top	4.10e-11	ks	3702.AT1G05190.1,3702.AT1G26910.1,3702.AT1G29040.1,3702.AT1G29970.2,3702.AT1G48410.2,3702.AT1G48630.1,3702.AT1G48830.1,3702.AT1G52300.1,3702.AT1G56110.1,3702.AT1G57860.1,3702.AT1G65700.3,3702.AT1G67430.1,3702.AT1G70600.1,3702.AT1G74050.1,3702.AT1G74270.1,3702.AT1G74970.1,3702.AT1G77940.1,3702.AT1G79850.1,3702.AT1G80070.1,3702.AT2G18020.1,3702.AT2G19730.3,3702.AT2G21580.1,3702.AT2G27880.1,3702.AT2G32060.1,3702.AT2G37220.1,3702.AT2G37270.2,3702.AT2G47110.1,3702.AT3G01370.1,3702.AT3G02560.2,3702.AT3G04770.1,3702.AT3G04840.1,3702.AT3G04920.1,3702.AT3G05590.1,3702.AT3G09630.1,3702.AT3G10610.1,3702.AT3G27850.1,3702.AT3G44590.1,3702.AT3G48930.1,3702.AT3G52580.1,3702.AT3G57490.1,3702.AT3G60245.1,3702.AT3G61110.1,3702.AT4G02230.1,3702.AT4G02400.1,3702.AT4G17390.1,3702.AT4G18100.1,3702.AT4G22380.1,3702.AT4G23620.2,3702.AT4G25630.1,3702.AT4G30330.1,3702.AT4G31985.1,3702.AT5G02870.1,3702.AT5G02960.1,3702.AT5G10360.1,3702.AT5G15200.1,3702.AT5G24510.1,3702.AT5G27700.1,3702.AT5G27770.1,3702.AT5G35530.1,3702.AT5G39740.2,3702.AT5G39850.1,3702.AT5G45775.2,3702.AT5G52470.1,3702.AT5G52650.1,3702.AT5G56710.1,3702.AT5G57290.1,3702.AT5G58420.1,3702.AT5G59240.1,3702.AT5G61170.1	emb2394,RPL10B,AT1G29040,RPL18AA,AGO1,RACK1B_AT,AT1G48830,AT1G52300,NOP56,AT1G57860.1,LSM8,AT1G67430,AT1G70600,AT1G74050,AT1G74270,RPS9,AT1G77940,RPS17,EMB14,EMB2296,AT2G19730,AT2G21580,AGO5,AT2G32060,AT2G37220,RPS5B,UBQ6,CFM2,AT3G02560,RPSAb,AT3G04840,AT3G04920,RPL18,AT3G09630,AT3G10610,RPL12-C,AT3G44590,EMB1080,AT3G52580,AT3G57490,AT3G60245,RS27A,AT4G02230,AT4G02400,AT4G17390,AT4G18100,AT4G22380,AT4G23620,FIB2,AT4G30330,AT4G31985,AT5G02870,AT5G02960,EMB3010,AT5G15200,AT5G24510,AT5G27700,AT5G27770,AT5G35530,RPL5B,AT5G39850,AT3G58700,FIB1,AT5G52650,AT5G56710,AT5G57290,AT5G58420,AT5G59240,AT5G61170
KW-0964	Secreted	101	0.923282	both ends	1.02e-07	ks	3702.AT1G05250.1,3702.AT1G05260.1,3702.AT1G05310.1,3702.AT1G07230.1,3702.AT1G09560.1,3702.AT1G11545.1,3702.AT1G22880.1,3702.AT1G22900.1,3702.AT1G26390.1,3702.AT1G26420.1,3702.AT1G26770.2,3702.AT1G29660.1,3702.AT1G32170.1,3702.AT1G47550.2,3702.AT1G47710.1,3702.AT1G48100.1,3702.AT1G55120.1,3702.AT1G64390.1,3702.AT1G68560.1,3702.AT1G69530.3,3702.AT1G71120.1,3702.AT1G71250.1,3702.AT1G78660.3,3702.AT2G01880.1,3702.AT2G01890.1,3702.AT2G04160.1,3702.AT2G15230.1,3702.AT2G17230.1,3702.AT2G20680.1,3702.AT2G20750.1,3702.AT2G22420.1,3702.AT2G29130.1,3702.AT2G31090.1,3702.AT2G32810.1,3702.AT2G35780.1,3702.AT2G36325.1,3702.AT2G36710.1,3702.AT2G41480.1,3702.AT3G02110.1,3702.AT3G04290.1,3702.AT3G05930.1,3702.AT3G06830.1,3702.AT3G12490.2,3702.AT3G13790.1,3702.AT3G14240.1,3702.AT3G14310.1,3702.AT3G16370.1,3702.AT3G17070.1,3702.AT3G20500.1,3702.AT3G51990.1,3702.AT3G55500.1,3702.AT4G01130.1,3702.AT4G02290.1,3702.AT4G03210.1,3702.AT4G08950.1,3702.AT4G11290.1,3702.AT4G13080.1,3702.AT4G14723.1,3702.AT4G17690.1,3702.AT4G18990.1,3702.AT4G20050.1,3702.AT4G24140.1,3702.AT4G25000.1,3702.AT4G25820.1,3702.AT4G28250.1,3702.AT4G28320.1,3702.AT4G28780.1,3702.AT4G30610.1,3702.AT4G36430.1,3702.AT4G37800.1,3702.AT5G02260.1,3702.AT5G03260.1,3702.AT5G03540.3,3702.AT5G03610.1,3702.AT5G03810.1,3702.AT5G03820.1,3702.AT5G04200.1,3702.AT5G05390.1,3702.AT5G08460.1,3702.AT5G09730.1,3702.AT5G09760.1,3702.AT5G15180.1,3702.AT5G15720.1,3702.AT5G19730.1,3702.AT5G33340.1,3702.AT5G34940.2,3702.AT5G39110.1,3702.AT5G39130.1,3702.AT5G39580.1,3702.AT5G47500.1,3702.AT5G49830.2,3702.AT5G50400.1,3702.AT5G51890.1,3702.AT5G55590.1,3702.AT5G56590.1,3702.AT5G60640.1,3702.AT5G64120.1,3702.AT5G64260.1,3702.AT5G66390.1,3702.AT5G66460.1,3702.AT5G67360.1	AT1G05240,RCI3,AT1G05310,NPC1,GLP5,XTH8,CEL5,AT1G22900,AT1G26390,AT1G26420,EXPA10,AT1G29660,XTH30,SEC3A,SERPIN1,AT1G48100,FRUCT5,GH9C2,XYL1,EXPA1,GLIP6,AT1G71250,GGH1,PAP7,PAP8,AIR3,At2g15230,EXL5,MAN2,EXPB1,AT2G22420,LAC2,AT2G31090,BGAL9,scpl26,AT2G36325,AT2G36710,AT2G41480,scpl25,LTL1,GLP8,AT3G06830,CYSB,ATBFRUCT1,AT3G14240,PME3,AT3G16370,AT3G17070,PAP18,AT3G51990,EXPA16,AT4G01130,GH9B13,XTH9,EXO,AT4G11290,XTH1,CLL2,AT4G17690,XTH29,QRT3,AT4G24140,AMY1,XTH14,EXPB3,MAN5,AT4G28780,BRS1,AT4G36430,XTH7,EXPA9,LAC11,EXO70A1,AT5G03610,AT5G03810,AT5G03820,MC9,LAC12,AT5G08460,BXL3,AT5G09760,AT5G15180,GLIP7,AT5G19730,CDR1,GUS3,AT5G39110,AT5G39130,AT5G39580,PME5,EXO84B,PAP27,AT5G51890,QRT1,AT5G56590,PDIL1-4,AT5G64120,EXL2,AT5G66390,MAN7,ARA12
KW-0793	Thylakoid	39	1.65999	top	9.73e-05	ks	3702.AT1G03160.1,3702.AT1G06680.1,3702.AT1G12250.1,3702.AT1G22700.1,3702.AT1G29930.1,3702.AT1G54780.1,3702.AT1G61520.1,3702.AT1G67700.2,3702.AT1G79040.1,3702.AT2G05100.1,3702.AT2G34420.1,3702.AT2G34430.1,3702.AT2G34860.2,3702.AT3G22840.1,3702.AT3G50820.1,3702.AT3G54890.1,3702.AT4G01150.1,3702.AT4G03280.1,3702.AT4G04640.1,3702.AT4G09650.1,3702.AT4G10340.1,3702.AT4G11010.1,3702.AT4G17600.1,3702.AT4G22260.1,3702.AT4G27990.1,3702.AT4G28660.2,3702.AT4G34190.1,3702.AT4G37925.1,3702.AT5G01500.1,3702.AT5G07020.1,3702.AT5G13410.1,3702.AT5G23310.1,3702.AT5G42270.1,3702.AT5G45680.1,3702.AT5G52440.1,3702.AT5G54290.2,3702.AT5G58260.1,3702.AT5G66570.1,3702.ATCG01040.1	FZL,PSBP-1,AT1G12250,AT1G22700,CAB1,TLP18.3,LHCA3,AT1G67700,PSBR,LHCB2.1,LHB1B2,LHB1B1,EDA3,ELIP1,PSBO2,LHCA1,AT4G01150,PETC,ATPC1,ATPD,LHCB5,NDPK3,LIL3:1,IM,YLMG1-2,PSB28,At4g34190,NdhM,TAAC,AT5G07020,AT5G13410,FSD3,VAR1,FKBP13,HCF106,CcdA,NdhN,PSBO1,YCF5
KW-0560	Oxidoreductase	156	0.679725	top	0.00015	ks	3702.AT1G01280.1,3702.AT1G03475.1,3702.AT1G04180.1,3702.AT1G04610.1,3702.AT1G05250.1,3702.AT1G05260.1,3702.AT1G07890.8,3702.AT1G08830.1,3702.AT1G13440.1,3702.AT1G15550.1,3702.AT1G16350.1,3702.AT1G17420.1,3702.AT1G20630.1,3702.AT1G23010.1,3702.AT1G26390.1,3702.AT1G26420.1,3702.AT1G30510.2,3702.AT1G31800.1,3702.AT1G34540.1,3702.AT1G37130.1,3702.AT1G48130.1,3702.AT1G49880.1,3702.AT1G51980.1,3702.AT1G53240.1,3702.AT1G54870.1,3702.AT1G60690.1,3702.AT1G60710.1,3702.AT1G63710.1,3702.AT1G64060.1,3702.AT1G65980.1,3702.AT1G67090.1,3702.AT1G68010.2,3702.AT1G69500.1,3702.AT1G73340.1,3702.AT1G74790.1,3702.AT1G75270.1,3702.AT1G76490.1,3702.AT1G76690.1,3702.AT1G79440.1,3702.AT1G79470.1,3702.AT2G04700.1,3702.AT2G06050.2,3702.AT2G14170.1,3702.AT2G22420.1,3702.AT2G22780.1,3702.AT2G24270.4,3702.AT2G25080.1,3702.AT2G29130.1,3702.AT2G29720.1,3702.AT2G30860.1,3702.AT2G33380.1,3702.AT2G34500.1,3702.AT2G37130.1,3702.AT2G37770.2,3702.AT2G37790.1,3702.AT2G40890.1,3702.AT2G41480.1,3702.AT2G42490.1,3702.AT2G43080.1,3702.AT2G44990.1,3702.AT3G01420.1,3702.AT3G01910.1,3702.AT3G02090.2,3702.AT3G02630.1,3702.AT3G06050.1,3702.AT3G06860.1,3702.AT3G10390.1,3702.AT3G11050.1,3702.AT3G11170.1,3702.AT3G11630.1,3702.AT3G11980.1,3702.AT3G12685.1,3702.AT3G14440.1,3702.AT3G17070.1,3702.AT3G19820.2,3702.AT3G21420.1,3702.AT3G23580.1,3702.AT3G26180.1,3702.AT3G27060.1,3702.AT3G45770.1,3702.AT3G47390.1,3702.AT3G48000.1,3702.AT3G52940.1,3702.AT3G52960.1,3702.AT3G55360.1,3702.AT3G56090.1,3702.AT3G58610.3,3702.AT3G63520.1,3702.AT4G00620.1,3702.AT4G11290.1,3702.AT4G12290.1,3702.AT4G13010.1,3702.AT4G13260.1,3702.AT4G14710.5,3702.AT4G16155.1,3702.AT4G17260.1,3702.AT4G17690.1,3702.AT4G19710.2,3702.AT4G20870.1,3702.AT4G21200.1,3702.AT4G21860.1,3702.AT4G21990.1,3702.AT4G22260.1,3702.AT4G24220.1,3702.AT4G25100.1,3702.AT4G25130.1,3702.AT4G25420.1,3702.AT4G27270.1,3702.AT4G30950.1,3702.AT4G32810.1,3702.AT4G33010.1,3702.AT4G34200.1,3702.AT4G34240.1,3702.AT4G35090.1,3702.AT4G35260.1,3702.AT4G36430.1,3702.AT4G37990.1,3702.AT5G01600.1,3702.AT5G03260.1,3702.AT5G03290.1,3702.AT5G03455.1,3702.AT5G05390.1,3702.AT5G05600.1,3702.AT5G07440.1,3702.AT5G07470.1,3702.AT5G07990.1,3702.AT5G09660.4,3702.AT5G11670.1,3702.AT5G15180.1,3702.AT5G16710.1,3702.AT5G19200.1,3702.AT5G21105.1,3702.AT5G23300.1,3702.AT5G23310.1,3702.AT5G38420.1,3702.AT5G38710.1,3702.AT5G39580.1,3702.AT5G40650.1,3702.AT5G41210.1,3702.AT5G41670.2,3702.AT5G43940.2,3702.AT5G49730.1,3702.AT5G49740.1,3702.AT5G50850.1,3702.AT5G51810.1,3702.AT5G51890.1,3702.AT5G53460.1,3702.AT5G56490.1,3702.AT5G58330.1,3702.AT5G60600.1,3702.AT5G62790.2,3702.AT5G64120.1,3702.AT5G64250.2,3702.AT5G65110.1,3702.AT5G66390.1,3702.AT5G67030.1	CYP703A2,LIN2,YUC9,YUC3,AT1G05240,RCI3,APX1,CSD1,GAPC2,GA3OX1,AT1G16350,LOX3,CAT1,LPR1,AT1G26390,AT1G26420,RFNR2,CYP97A3,CYP94D1,NIA2,PER1,Erv1,AT1G51980,mMDH1,AT1G54870,AT1G60690,ATB2,CYP86A7,RBOHF,TPX1,RBCS1A,HPR,CYP704B1,AT1G73340,AT1G74790,DHAR2,HMG1,OPR2,ALDH5F1,AT1G79470,AT2G04700,OPR3,ALDH6B2,AT2G22420,PMDH1,ALDH11A3,GPX1,LAC2,CTF2B,GSTF9,RD20,CYP710A1,AT2G37130,ChlAKR,AKR4C10,CYP98A3,AT2G41480,AT2G42490,AT-P4H-1,CCD7,DOX1,SOX,MPPBETA,AT3G02630,PRXIIF,MFP2,FLD,FER2,FAD7,AT3G11630,FAR2,AT3G12685,NCED3,AT3G17070,DWF1,LBO1,RNR2A,CYP71B20,TSO2,AT3G45770,At3g47390,ALDH2B4,FK,AT3G52960,CER10,FER3,AT3G58610,CCD1,EMB3127,AT4G11290,AT4G12290,AT4G13010,YUC2,ATARD2,AT4G16155,AT4G17260,AT4G17690,AKHSDH2,FAH2,GA2OX8,MSRB2,APR3,IM,VEP1,FSD1,PMSR4,GA20OX1,AT4G27270,FAD6,CCD8,GLDP1,EDA9,ALDH3I1,CAT,IDH1,AT4G36430,ELI3-2,FER1,LAC11,IDH-V,CDC25,LAC12,AT5G05600,GDH2,PMSR3,TT7,PMDH2,NADP-ME2,AT5G15180,DHAR3,TSC10B,AT5G21105,PYRD,FSD3,RBCS2B,AT5G38710,AT5G39580,SDH2-2,GSTT1,AT5G41670,HOT5,FRO6,FRO7,MAB1,GA20OX2,AT5G51890,GLT1,GulLO4,AT5G58330,HDS,DXR,AT5G64120,AT5G64250,ACX2,AT5G66390,ABA1
KW-0052	Apoplast	28	1.43255	both ends	0.00032	ks	3702.AT1G09560.1,3702.AT1G11545.1,3702.AT1G22900.1,3702.AT1G29660.1,3702.AT1G32170.1,3702.AT1G47710.1,3702.AT1G55120.1,3702.AT1G68560.1,3702.AT2G17230.1,3702.AT2G29130.1,3702.AT2G32810.1,3702.AT3G05930.1,3702.AT3G13790.1,3702.AT3G14310.1,3702.AT4G03210.1,3702.AT4G08950.1,3702.AT4G13080.1,3702.AT4G18990.1,3702.AT4G25000.1,3702.AT4G25820.1,3702.AT4G37800.1,3702.AT5G03260.1,3702.AT5G04200.1,3702.AT5G05390.1,3702.AT5G33340.1,3702.AT5G39110.1,3702.AT5G39130.1,3702.AT5G64260.1	GLP5,XTH8,AT1G22900,AT1G29660,XTH30,SERPIN1,FRUCT5,XYL1,EXL5,LAC2,BGAL9,GLP8,ATBFRUCT1,PME3,XTH9,EXO,XTH1,XTH29,AMY1,XTH14,XTH7,LAC11,MC9,LAC12,CDR1,AT5G39110,AT5G39130,EXL2
KW-0333	Golgi apparatus	83	0.698244	bottom	0.00039	ks	3702.AT1G01510.1,3702.AT1G04430.1,3702.AT1G08660.1,3702.AT1G10130.1,3702.AT1G13250.1,3702.AT1G14100.1,3702.AT1G14360.1,3702.AT1G14670.1,3702.AT1G15880.1,3702.AT1G19650.1,3702.AT1G22620.1,3702.AT1G23900.2,3702.AT1G26670.1,3702.AT1G26810.1,3702.AT1G49320.1,3702.AT1G60070.2,3702.AT1G62020.1,3702.AT1G63450.1,3702.AT1G68370.1,3702.AT1G70230.1,3702.AT1G71980.1,3702.AT1G74380.1,3702.AT1G76670.1,3702.AT1G77140.1,3702.AT1G79610.1,3702.AT1G79990.1,3702.AT2G14720.2,3702.AT2G15390.2,3702.AT2G20370.1,3702.AT2G20810.1,3702.AT2G28110.1,3702.AT2G29040.1,3702.AT2G29050.1,3702.AT2G30290.2,3702.AT2G33570.1,3702.AT2G35610.1,3702.AT2G39450.1,3702.AT2G40950.1,3702.AT2G47770.1,3702.AT3G01340.1,3702.AT3G03050.1,3702.AT3G15380.1,3702.AT3G16630.1,3702.AT3G18480.1,3702.AT3G21160.1,3702.AT3G23300.1,3702.AT3G23430.1,3702.AT3G24350.2,3702.AT3G26370.1,3702.AT3G42180.1,3702.AT3G48820.1,3702.AT3G59360.2,3702.AT3G61130.1,3702.AT3G62660.1,3702.AT3G62720.1,3702.AT4G02030.2,3702.AT4G02130.3,3702.AT4G02500.1,3702.AT4G08520.1,3702.AT4G09990.1,3702.AT4G23460.1,3702.AT4G30440.1,3702.AT4G31590.1,3702.AT4G34450.1,3702.AT4G36490.1,3702.AT4G36890.1,3702.AT4G38190.1,3702.AT4G39170.1,3702.AT5G03760.1,3702.AT5G03795.1,3702.AT5G06050.1,3702.AT5G07720.1,3702.AT5G10260.1,3702.AT5G11130.1,3702.AT5G13500.1,3702.AT5G19980.1,3702.AT5G22740.1,3702.AT5G39990.1,3702.AT5G57500.1,3702.AT5G60640.1,3702.AT5G62620.1,3702.AT5G64030.1,3702.AT5G66030.1	AN,AT1G04430,MGP2,ECA3,GATL3,FUT8,UTR3,AT1G14670,GOS11,AT1G19650,ATSAC1,GAMMA-ADR,VTI1B,GALT1,USPL1,AT1G60070,AT1G62020,RHS8,ARG1,TBL27,AT1G71980,XXT5,AT1G76670,VPS45,NHX6,AT1G79990,VSR4,FUT4,MUR3,GAUT10,FRA8,AT2G29040,RBL1,VSR2,GALS1,XEG113,MTP11,BZIP17,TSPO,AT3G01340,CSLD3,AT3G15380,KIN13A,CASP,MNS2,AT3G23300,PHO1,SYP32,AT3G26370,AT3G42180,AT3G48820,UTR6,GAUT1,GATL7,XT1,AT4G02030,GATL6,XT2,AT4G08520,GXM2,AT4G23460,GAE1,CSLC5,AT4G34450,SFH12,IRX14,CSLD4,AT4G39170,ATCSLA09,AT5G03795,AT5G06050,XXT3,RABH1e,AT5G11130,AT5G13500,GONST4,CSLA02,AT5G39990,AT5G57500,PDIL1-4,AT5G62620,AT5G64030,ATGRIP
KW-0131	Cell cycle	49	0.862724	bottom	0.00066	ks	3702.AT1G02970.1,3702.AT1G03780.3,3702.AT1G14830.1,3702.AT1G18040.1,3702.AT1G18370.1,3702.AT1G20610.1,3702.AT1G44110.1,3702.AT1G49910.1,3702.AT1G53140.1,3702.AT1G61000.1,3702.AT2G04660.1,3702.AT2G07690.1,3702.AT2G16440.1,3702.AT2G20190.1,3702.AT2G27170.2,3702.AT2G29680.1,3702.AT2G31970.1,3702.AT2G32590.1,3702.AT2G35630.1,3702.AT3G13530.1,3702.AT3G48210.1,3702.AT3G51280.1,3702.AT3G54180.1,3702.AT3G54630.1,3702.AT3G54670.3,3702.AT4G02570.4,3702.AT4G11920.1,3702.AT4G14310.2,3702.AT4G21270.1,3702.AT4G30870.1,3702.AT4G31400.1,3702.AT4G32700.2,3702.AT4G32830.1,3702.AT4G33260.1,3702.AT5G03415.1,3702.AT5G03455.1,3702.AT5G18700.1,3702.AT5G25380.1,3702.AT5G38880.1,3702.AT5G40740.1,3702.AT5G45190.2,3702.AT5G45550.1,3702.AT5G46280.1,3702.AT5G48600.2,3702.AT5G51600.1,3702.AT5G55230.2,3702.AT5G61210.1,3702.AT5G62410.1,3702.AT5G67270.1	WEE1,At1g03780,DL1C,CDKD1;3,HIK,CYCB2;3,CYCA1;1,BUB3.2,DRP5A,AT1G61000,At2g04660,MCM5,MCM4,CLASP,TTN7,CDC6,RAD50,EMB2795,MOR1,MAPKKK7,AT3G48210,AT3G51280,CDKB1;1,AT3G54630,TTN8,CUL1,CCS52A2,AT4G14310,ATK1,MUS81,CTF7,AT4G32700,AUR1,CDC20.2,DPB,CDC25,RUK,CYCA2;1,AUG5,AUG6,AT5G45190,MOB1-like,MCM3,SMC3,PLE,MAP65-1,SNAP33,SMC2,EB1C
KW-0493	Microtubule	36	0.938904	bottom	0.0012	ks	3702.AT1G01510.1,3702.AT1G01950.3,3702.AT1G03780.3,3702.AT1G14830.1,3702.AT1G18370.1,3702.AT1G18550.1,3702.AT1G20010.1,3702.AT1G21730.1,3702.AT1G24764.1,3702.AT1G53140.1,3702.AT1G55550.1,3702.AT1G59540.1,3702.AT1G68060.1,3702.AT2G20190.1,3702.AT2G35630.1,3702.AT3G16060.1,3702.AT3G16630.1,3702.AT3G19050.1,3702.AT3G23670.1,3702.AT3G44050.1,3702.AT3G45850.1,3702.AT3G49650.1,3702.AT3G61650.1,3702.AT4G01370.1,3702.AT4G21270.1,3702.AT4G27060.1,3702.AT4G27360.1,3702.AT4G32830.1,3702.AT5G17410.2,3702.AT5G18700.1,3702.AT5G38880.1,3702.AT5G40740.1,3702.AT5G51600.1,3702.AT5G55230.2,3702.AT5G60930.1,3702.AT5G67270.1	AN,ARK2,At1g03780,DL1C,HIK,AT1G18550,TUB5,AT1G21730,MAP70-2,DRP5A,AT1G55550,ZCF125,MAP70-1,CLASP,MOR1,AT3G16060,KIN13A,POK2,KIN12B,AT3G44050,AT3G45850,AT3G49650,TUBG1,MPK4,ATK1,TOR1,AT4G27360,AUR1,AT5G17410,RUK,AUG5,AUG6,PLE,MAP65-1,AT5G60930,EB1C
KW-0735	Signal-anchor	54	0.873799	bottom	0.0012	ks	3702.AT1G01430.1,3702.AT1G03860.3,3702.AT1G04430.1,3702.AT1G08660.1,3702.AT1G13250.1,3702.AT1G14100.1,3702.AT1G26810.1,3702.AT1G27980.1,3702.AT1G33170.1,3702.AT1G52630.1,3702.AT1G62660.1,3702.AT1G63450.1,3702.AT1G70230.1,3702.AT1G74380.1,3702.AT2G15390.2,3702.AT2G20370.1,3702.AT2G20810.1,3702.AT2G28110.1,3702.AT2G29040.1,3702.AT2G35610.1,3702.AT2G37980.1,3702.AT2G43080.1,3702.AT2G45750.1,3702.AT3G19820.2,3702.AT3G21160.1,3702.AT3G23300.1,3702.AT3G26370.1,3702.AT3G30300.1,3702.AT3G42180.1,3702.AT3G48820.1,3702.AT3G61130.1,3702.AT3G62660.1,3702.AT3G62720.1,3702.AT4G02130.3,3702.AT4G02500.1,3702.AT4G10440.1,3702.AT4G17430.1,3702.AT4G24530.1,3702.AT4G25360.2,3702.AT4G36890.1,3702.AT4G38390.1,3702.AT5G03795.1,3702.AT5G06050.1,3702.AT5G07720.1,3702.AT5G11130.1,3702.AT5G13500.1,3702.AT5G19160.1,3702.AT5G35570.1,3702.AT5G39990.1,3702.AT5G49720.1,3702.AT5G57500.1,3702.AT5G62620.1,3702.AT5G64030.1,3702.AT5G64470.2	TBL25,PHB2,AT1G04430,MGP2,GATL3,FUT8,GALT1,DPL1,AT1G33170,AT1G52630,AT1G62660,RHS8,TBL27,XXT5,FUT4,MUR3,GAUT10,FRA8,AT2G29040,XEG113,AT2G37980,AT-P4H-1,AT2G45750,DWF1,MNS2,AT3G23300,AT3G26370,AT3G30300,AT3G42180,AT3G48820,GAUT1,GATL7,XT1,GATL6,XT2,AT4G10440,AT4G17430,AT4G24530,TBL18,IRX14,RHS17,AT5G03795,AT5G06050,XXT3,AT5G11130,AT5G13500,TBL11,AT5G35570,AT5G39990,GH9A1,AT5G57500,AT5G62620,AT5G64030,TBL12
