#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
CL:6898	mixed, incl. DNA replication, and Mitosis	15	116	0.69	0.0026	3702.AT1G03780.3,3702.AT1G04730.1,3702.AT1G26840.1,3702.AT1G77320.1,3702.AT2G14050.1,3702.AT2G20980.1,3702.AT3G09660.1,3702.AT3G48210.1,3702.AT3G57060.2,3702.AT4G16970.1,3702.AT4G32830.1,3702.AT5G37630.1,3702.AT5G46280.1,3702.AT5G49010.1,3702.AT5G62410.1	At1g03780,CTF18,ORC6,MEI1,MCM9,MCM10,MCM8,AT3G48210,AT3G57060,AT4G16970,AUR1,EMB2656,MCM3,SLD5,SMC2
CL:10043	mixed, incl. Metabolism of nucleotides, and Nicotinate and nicotinamide metabolism	13	109	0.66	0.0062	3702.AT1G05620.1,3702.AT2G03590.1,3702.AT2G22450.1,3702.AT2G36310.1,3702.AT2G37250.1,3702.AT2G43360.1,3702.AT2G47490.1,3702.AT3G23580.1,3702.AT3G57610.1,3702.AT4G32180.1,3702.AT5G20070.1,3702.AT5G23300.1,3702.AT5G63400.1	URH2,UPS1,RIBA2,URH1,ADK,BIO2,NDT1,RNR2A,ADSS,PANK2,NUDX19,PYRD,At5g63400
CL:12520	mixed, incl. Nitrate assimilation, and Molybdenum cofactor biosynthesis	8	40	0.88	0.0085	3702.AT1G08090.1,3702.AT1G37130.1,3702.AT2G32720.1,3702.AT2G38290.1,3702.AT5G47120.1,3702.AT5G50200.2,3702.AT5G53560.1,3702.AT5G66950.1	NRT2:1,NIA2,CB5-B,AMT2,BI1,WR3,CB5-E,AT5G66950
CL:12521	mixed, incl. Nitrate assimilation, and Molybdenum cofactor biosynthesis	7	33	0.91	0.0168	3702.AT1G08090.1,3702.AT1G37130.1,3702.AT2G32720.1,3702.AT2G38290.1,3702.AT5G47120.1,3702.AT5G50200.2,3702.AT5G53560.1	NRT2:1,NIA2,CB5-B,AMT2,BI1,WR3,CB5-E
CL:11289	Amino sugar and nucleotide sugar metabolism, and disaccharide metabolic process	15	170	0.53	0.0200	3702.AT1G04920.1,3702.AT1G12780.1,3702.AT1G43670.1,3702.AT1G62660.1,3702.AT1G66430.1,3702.AT1G76130.1,3702.AT3G10700.1,3702.AT3G20440.2,3702.AT3G24090.1,3702.AT3G29320.1,3702.AT3G52180.1,3702.AT4G02280.1,3702.AT4G23920.1,3702.AT4G24040.1,3702.AT5G52560.1	SPS3F,UGE1,FBP,AT1G62660,AT1G66430,AMY2,GalAK,EMB2729,GFAT,AT3G29320,SEX4,SUS3,UGE2,TRE1,USP
CL:3316	mixed, incl. Chaperone, and HSP20-like chaperone	15	173	0.52	0.0200	3702.AT1G51730.1,3702.AT2G18465.1,3702.AT2G20560.1,3702.AT2G22360.1,3702.AT2G44990.1,3702.AT3G07090.1,3702.AT3G20050.1,3702.AT3G44110.1,3702.AT3G46230.1,3702.AT4G32810.1,3702.AT5G20720.3,3702.AT5G22060.1,3702.AT5G23240.1,3702.AT5G57710.1,3702.AT5G58110.1	AT1G51730,AT2G18465,AT2G20560,AT2G22360,CCD7,AT3G07090,TCP-1,J3,HSP17.4,CCD8,CPN20,J2,AT5G23240,AT5G57710,AT5G58110
CL:40794	mixed, incl. xylosyltransferase activity, and fucosylation	8	48	0.8	0.0200	3702.AT1G26810.1,3702.AT1G30000.1,3702.AT2G20370.1,3702.AT3G03050.1,3702.AT3G10320.1,3702.AT3G21310.1,3702.AT3G61130.1,3702.AT5G55500.1	GALT1,MNS3,MUR3,CSLD3,AT3G10320,AT3G21310,GAUT1,XYLT
CL:40859	mixed, incl. N-glycan processing, and GT10-like superfamily	5	15	1.1	0.0210	3702.AT1G26810.1,3702.AT1G30000.1,3702.AT3G10320.1,3702.AT3G21310.1,3702.AT5G55500.1	GALT1,MNS3,AT3G10320,AT3G21310,XYLT
CL:6907	DNA replication, and DNA polymerase III complex	9	69	0.7	0.0245	3702.AT1G04730.1,3702.AT1G26840.1,3702.AT1G77320.1,3702.AT2G14050.1,3702.AT2G20980.1,3702.AT3G09660.1,3702.AT4G16970.1,3702.AT5G46280.1,3702.AT5G49010.1	CTF18,ORC6,MEI1,MCM9,MCM10,MCM8,AT4G16970,MCM3,SLD5
CL:7064	mixed, incl. DNA condensation, and condensed nuclear chromosome, centromeric region	6	27	0.93	0.0245	3702.AT1G03780.3,3702.AT3G48210.1,3702.AT3G57060.2,3702.AT4G32830.1,3702.AT5G37630.1,3702.AT5G62410.1	At1g03780,AT3G48210,AT3G57060,AUR1,EMB2656,SMC2
