#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0003824	catalytic activity	154	7239	0.19	3.31e-07	3702.AT1G02660.1,3702.AT1G08080.1,3702.AT1G08510.1,3702.AT1G09160.1,3702.AT1G09630.1,3702.AT1G09780.1,3702.AT1G10130.1,3702.AT1G12760.1,3702.AT1G14110.1,3702.AT1G22840.1,3702.AT1G26560.1,3702.AT1G30580.1,3702.AT1G30950.1,3702.AT1G31770.1,3702.AT1G33170.1,3702.AT1G43710.1,3702.AT1G44170.2,3702.AT1G44900.1,3702.AT1G47250.1,3702.AT1G48900.1,3702.AT1G49050.1,3702.AT1G50490.1,3702.AT1G52260.1,3702.AT1G52500.2,3702.AT1G54350.1,3702.AT1G59870.1,3702.AT1G59900.1,3702.AT1G62400.1,3702.AT1G63180.1,3702.AT1G63450.1,3702.AT1G67090.1,3702.AT1G67720.1,3702.AT1G68540.1,3702.AT1G68560.1,3702.AT1G71696.2,3702.AT1G72960.1,3702.AT1G73500.1,3702.AT1G74470.1,3702.AT1G75660.1,3702.AT1G75840.1,3702.AT1G77680.1,3702.AT1G79340.1,3702.AT1G80600.1,3702.AT2G03220.1,3702.AT2G15390.2,3702.AT2G15820.1,3702.AT2G17820.1,3702.AT2G23070.1,3702.AT2G24000.1,3702.AT2G24360.1,3702.AT2G25300.1,3702.AT2G26450.1,3702.AT2G26640.1,3702.AT2G29940.1,3702.AT2G30320.1,3702.AT2G30490.1,3702.AT2G30860.1,3702.AT2G33040.1,3702.AT2G33570.1,3702.AT2G33580.1,3702.AT2G35710.1,3702.AT2G36850.1,3702.AT2G38910.1,3702.AT2G39220.1,3702.AT2G39960.1,3702.AT2G40690.1,3702.AT2G42010.1,3702.AT2G43130.1,3702.AT2G43400.1,3702.AT2G43940.1,3702.AT2G44680.1,3702.AT2G45670.1,3702.AT3G06860.1,3702.AT3G08560.1,3702.AT3G09320.1,3702.AT3G09930.1,3702.AT3G10340.1,3702.AT3G12810.1,3702.AT3G14390.1,3702.AT3G16740.1,3702.AT3G19050.1,3702.AT3G19420.1,3702.AT3G19720.1,3702.AT3G19980.1,3702.AT3G22400.1,3702.AT3G24800.1,3702.AT3G26935.1,3702.AT3G27120.1,3702.AT3G48560.1,3702.AT3G51430.1,3702.AT3G52960.1,3702.AT3G54640.1,3702.AT3G54660.1,3702.AT3G54690.1,3702.AT3G54900.1,3702.AT3G55360.1,3702.AT3G58140.1,3702.AT3G58560.1,3702.AT3G58730.1,3702.AT3G59700.1,3702.AT3G60190.1,3702.AT3G61130.1,3702.AT4G08170.2,3702.AT4G09320.1,3702.AT4G11030.1,3702.AT4G11150.1,3702.AT4G12440.2,3702.AT4G13780.1,3702.AT4G20460.1,3702.AT4G20850.1,3702.AT4G22550.1,3702.AT4G25130.1,3702.AT4G25420.1,3702.AT4G25630.1,3702.AT4G25960.1,3702.AT4G29040.1,3702.AT4G30440.1,3702.AT4G30580.1,3702.AT4G32915.1,3702.AT4G33950.1,3702.AT4G34850.1,3702.AT4G34890.1,3702.AT4G34980.1,3702.AT4G36800.1,3702.AT4G37470.1,3702.AT4G37930.1,3702.AT5G03520.1,3702.AT5G03610.1,3702.AT5G07720.1,3702.AT5G13630.1,3702.AT5G13640.1,3702.AT5G15180.1,3702.AT5G15720.1,3702.AT5G17770.1,3702.AT5G19730.1,3702.AT5G26710.1,3702.AT5G32470.1,3702.AT5G34940.2,3702.AT5G36110.1,3702.AT5G40870.1,3702.AT5G41370.1,3702.AT5G47960.1,3702.AT5G49740.1,3702.AT5G49810.1,3702.AT5G54910.1,3702.AT5G56760.1,3702.AT5G59180.1,3702.AT5G60340.1,3702.AT5G64070.1,3702.AT5G64440.1,3702.AT5G65280.1,3702.AT5G65720.1,3702.AT5G66280.1,3702.AT5G67380.1	AT1G02660,At1g08080,FATB,AT1G09160,RAB11c,iPGAM1,ECA3,AT1G12760,FUT9,CYTC-1,BGLU40,AT1G30580,UFO,ABCG14,AT1G33170,EMB1075,ALDH3H1,MCM2,PAF2,AT1G48900,AT1G49050,UBC20,PDIL1-5,MMH-1,ABCD2,ABCG36,At1g59900,HT1,UGE3,RHS8,RBCS1A,AT1G67720,TKPR2,XYL1,F26A9.4,AT1G72960,MKK9,AT1G74470,XRN3,ARAC5,AT1G77680,MC4,WIN1,FT1,FUT4,OTP51,HK1,AT2G23070,scpl22,AT2G24360,AT2G25300,AT2G26450,KCS11,ABCG31,AT2G30320,C4H,GSTF9,ATP3,GALS1,LYK5,PGSIP7,GSL8,CPK20,PLP6,AT2G39960,GLY1,PLDBETA1,ARA4,ETFQO,HOL3,CKB4,AT2G45670,MFP2,VHA-E2,AT3G09320,AT3G09930,PAL4,PIE1,AT3G14390,AT3G16740,POK2,PTEN2,ARC5,FYPP3,LOX5,PRT1,AT3G26935,AT3G27120,CSR1,YLS2,AT3G52960,TSA2,GR,SETH3,CXIP1,CER10,AT3G58140,AT3G58560,AT3G58730,HLECRK,DL1E,GAUT1,AT4G08170,NDPK1,AT4G11030,TUF,APT4,AT4G13780,AT4G20460,TPP2,LPPbeta,PMSR4,GA20OX1,FIB2,ABCB2,RPT2a,GAE1,ATS2,AT4G32915,OST1,LAP5,XDH1,SBT1.6,RCE1,KAI2,SHM1,RAB8C,AT5G03610,XXT3,GUN5,PDAT,AT5G15180,GLIP7,CBR,AT5G19730,AT5G26710,AT5G32470,GUS3,CYP716A1,UK/UPRT1,XPB1,RABA4C,FRO7,MMT,AT5G54910,SERAT1;1,NRPB7,AAK6,PI-4KBETA1,FAAH,GCL1,NFS1,GMD1,CKA1
GO:0022857	transmembrane transporter activity	37	1047	0.41	7.37e-05	3702.AT1G08090.1,3702.AT1G10130.1,3702.AT1G15500.1,3702.AT1G19450.1,3702.AT1G30450.2,3702.AT1G31770.1,3702.AT1G54350.1,3702.AT1G59870.1,3702.AT1G71870.1,3702.AT1G78610.1,3702.AT1G80310.1,3702.AT1G80760.1,3702.AT2G01170.1,3702.AT2G01770.1,3702.AT2G21340.1,3702.AT2G29940.1,3702.AT2G33040.1,3702.AT2G34190.1,3702.AT2G38290.1,3702.AT2G42210.2,3702.AT3G02050.1,3702.AT3G08560.1,3702.AT3G14810.1,3702.AT3G53720.1,3702.AT3G54900.1,3702.AT3G58730.1,3702.AT3G61320.1,3702.AT4G04850.2,3702.AT4G11150.1,3702.AT4G22310.1,3702.AT4G23400.1,3702.AT4G25960.1,3702.AT5G11800.1,3702.AT5G26340.1,3702.AT5G26820.1,3702.AT5G50200.2,3702.AT5G60770.1	NRT2:1,ECA3,ATNTT2,AT1G19450,CCC1,ABCG14,ABCD2,ABCG36,AT1G71870,MSL6,MOT2,NIP6;1,GABP,VIT1,AT2G21340,ABCG31,ATP3,AT2G34190,AMT2,OEP16-3,KUP3,VHA-E2,MSL5,CHX20,CXIP1,AT3G58730,AT3G61320,KEA3,TUF,AT4G22310,PIP1;5,ABCB2,KEA6,MSS1,IREG3,WR3,NRT2.4
GO:0005215	transporter activity	38	1138	0.39	0.00013	3702.AT1G08090.1,3702.AT1G10130.1,3702.AT1G15500.1,3702.AT1G19450.1,3702.AT1G30450.2,3702.AT1G31770.1,3702.AT1G54350.1,3702.AT1G59870.1,3702.AT1G71870.1,3702.AT1G78610.1,3702.AT1G80310.1,3702.AT1G80760.1,3702.AT2G01170.1,3702.AT2G01770.1,3702.AT2G21340.1,3702.AT2G29940.1,3702.AT2G33040.1,3702.AT2G34190.1,3702.AT2G38290.1,3702.AT2G42210.2,3702.AT3G02050.1,3702.AT3G08560.1,3702.AT3G14810.1,3702.AT3G53720.1,3702.AT3G54900.1,3702.AT3G58730.1,3702.AT3G61320.1,3702.AT4G04850.2,3702.AT4G11150.1,3702.AT4G22310.1,3702.AT4G23400.1,3702.AT4G25960.1,3702.AT4G38360.2,3702.AT5G11800.1,3702.AT5G26340.1,3702.AT5G26820.1,3702.AT5G50200.2,3702.AT5G60770.1	NRT2:1,ECA3,ATNTT2,AT1G19450,CCC1,ABCG14,ABCD2,ABCG36,AT1G71870,MSL6,MOT2,NIP6;1,GABP,VIT1,AT2G21340,ABCG31,ATP3,AT2G34190,AMT2,OEP16-3,KUP3,VHA-E2,MSL5,CHX20,CXIP1,AT3G58730,AT3G61320,KEA3,TUF,AT4G22310,PIP1;5,ABCB2,LAZ1,KEA6,MSS1,IREG3,WR3,NRT2.4
GO:0005488	binding	162	8611	0.14	0.00016	3702.AT1G03130.1,3702.AT1G08080.1,3702.AT1G08510.1,3702.AT1G09160.1,3702.AT1G09560.1,3702.AT1G09630.1,3702.AT1G09780.1,3702.AT1G10130.1,3702.AT1G12760.1,3702.AT1G15440.1,3702.AT1G15500.1,3702.AT1G18210.1,3702.AT1G21190.1,3702.AT1G21700.1,3702.AT1G22840.1,3702.AT1G24620.1,3702.AT1G26090.1,3702.AT1G26480.1,3702.AT1G28490.1,3702.AT1G30580.1,3702.AT1G30950.1,3702.AT1G31770.1,3702.AT1G43710.1,3702.AT1G44900.1,3702.AT1G48900.1,3702.AT1G50300.1,3702.AT1G50490.1,3702.AT1G52500.2,3702.AT1G52740.1,3702.AT1G54350.1,3702.AT1G55580.1,3702.AT1G59870.1,3702.AT1G60660.1,3702.AT1G62400.1,3702.AT1G67090.1,3702.AT1G67720.1,3702.AT1G68370.1,3702.AT1G68540.1,3702.AT1G68560.1,3702.AT1G70600.1,3702.AT1G71696.2,3702.AT1G72210.1,3702.AT1G72960.1,3702.AT1G73500.1,3702.AT1G75660.1,3702.AT1G75840.1,3702.AT1G77680.1,3702.AT1G77980.1,3702.AT1G78630.1,3702.AT1G79340.1,3702.AT1G80600.1,3702.AT2G01430.1,3702.AT2G03220.1,3702.AT2G15290.1,3702.AT2G15820.1,3702.AT2G18390.1,3702.AT2G23070.1,3702.AT2G24060.1,3702.AT2G24360.1,3702.AT2G24840.1,3702.AT2G28390.1,3702.AT2G29940.1,3702.AT2G30320.1,3702.AT2G30490.1,3702.AT2G30860.1,3702.AT2G33040.1,3702.AT2G33580.1,3702.AT2G35120.1,3702.AT2G35270.1,3702.AT2G35710.1,3702.AT2G37600.2,3702.AT2G38910.1,3702.AT2G40290.1,3702.AT2G40690.1,3702.AT2G42010.1,3702.AT2G42210.2,3702.AT2G43130.1,3702.AT2G43400.1,3702.AT2G45670.1,3702.AT2G47110.1,3702.AT3G04400.1,3702.AT3G04920.1,3702.AT3G05590.1,3702.AT3G07570.1,3702.AT3G11020.1,3702.AT3G11130.1,3702.AT3G11200.1,3702.AT3G12810.1,3702.AT3G19050.1,3702.AT3G19420.1,3702.AT3G19720.1,3702.AT3G19980.1,3702.AT3G22400.1,3702.AT3G23990.1,3702.AT3G24800.1,3702.AT3G27120.1,3702.AT3G28900.1,3702.AT3G43810.1,3702.AT3G44890.1,3702.AT3G48560.1,3702.AT3G54660.1,3702.AT3G54690.1,3702.AT3G54900.1,3702.AT3G58140.1,3702.AT3G58560.1,3702.AT3G59400.1,3702.AT3G59700.1,3702.AT3G60190.1,3702.AT3G60660.1,3702.AT3G61110.1,3702.AT4G02080.1,3702.AT4G02570.4,3702.AT4G02770.1,3702.AT4G08170.2,3702.AT4G09320.1,3702.AT4G11030.1,3702.AT4G13040.3,3702.AT4G13780.1,3702.AT4G17500.1,3702.AT4G18040.1,3702.AT4G22910.1,3702.AT4G24660.1,3702.AT4G25420.1,3702.AT4G25630.1,3702.AT4G25960.1,3702.AT4G26110.1,3702.AT4G27670.1,3702.AT4G29040.1,3702.AT4G30220.2,3702.AT4G32915.1,3702.AT4G33950.1,3702.AT4G34890.1,3702.AT4G36800.1,3702.AT4G36860.1,3702.AT4G37010.2,3702.AT4G37930.1,3702.AT5G03520.1,3702.AT5G10860.1,3702.AT5G13300.1,3702.AT5G13630.1,3702.AT5G15180.1,3702.AT5G15800.2,3702.AT5G16820.2,3702.AT5G24930.1,3702.AT5G26710.1,3702.AT5G28770.2,3702.AT5G36110.1,3702.AT5G37055.1,3702.AT5G40870.1,3702.AT5G41370.1,3702.AT5G45775.2,3702.AT5G47960.1,3702.AT5G48760.2,3702.AT5G49740.1,3702.AT5G49810.1,3702.AT5G54910.1,3702.AT5G58760.1,3702.AT5G59180.1,3702.AT5G60340.1,3702.AT5G64070.1,3702.AT5G65720.1,3702.AT5G67380.1	PSAD-2,At1g08080,FATB,AT1G09160,GLP5,RAB11c,iPGAM1,ECA3,AT1G12760,PWP2,ATNTT2,AT1G18210,LSM3A,SWI3C,CYTC-1,AT1G24620,AT1G26090,GRF12,SYP61,AT1G30580,UFO,ABCG14,EMB1075,MCM2,AT1G48900,TAF15,UBC20,MMH-1,HTA9,ABCD2,LAS,ABCG36,CB5LP,HT1,RBCS1A,AT1G67720,ARG1,TKPR2,XYL1,AT1G70600,F26A9.4,AT1G72210,AT1G72960,MKK9,XRN3,ARAC5,AT1G77680,AGL66,emb1473,MC4,WIN1,HB17,FT1,TIC21,OTP51,TTN5,AT2G23070,AT2G24060,AT2G24360,AGL61,AT2G28390,ABCG31,AT2G30320,C4H,GSTF9,ATP3,LYK5,AT2G35120,GIK,PGSIP7,AT2G37600,CPK20,AT2G40290,GLY1,PLDBETA1,OEP16-3,ARA4,ETFQO,AT2G45670,UBQ6,emb2171,AT3G04920,RPL18,AT3G07570,DREB2B,AT3G11130,AL2,PIE1,POK2,PTEN2,ARC5,FYPP3,LOX5,HSP60,PRT1,AT3G27120,AT3G28900,CAM7,RPL9,CSR1,GR,SETH3,CXIP1,AT3G58140,AT3G58560,GUN4,HLECRK,DL1E,AT3G60660,RS27A,SAR2,CUL1,PSAD-1,AT4G08170,NDPK1,AT4G11030,AT4G13040,AT4G13780,ERF-1,EIF4E,FZR2,MEE68,GA20OX1,FIB2,ABCB2,NAP1;1,HSP21,RPT2a,RUXF,AT4G32915,OST1,XDH1,RCE1,AT4G36860,CML19,SHM1,RAB8C,CBSX3,SFC,GUN5,AT5G15180,AGL2,HSF3,COL4,AT5G26710,BZO2H3,CYP716A1,SEF,UK/UPRT1,XPB1,AT3G58700,RABA4C,AT5G48760,FRO7,MMT,AT5G54910,DDB2,NRPB7,AAK6,PI-4KBETA1,NFS1,CKA1
GO:0022804	active transmembrane transporter activity	23	508	0.52	0.00016	3702.AT1G10130.1,3702.AT1G15500.1,3702.AT1G19450.1,3702.AT1G30450.2,3702.AT1G31770.1,3702.AT1G54350.1,3702.AT1G59870.1,3702.AT1G71870.1,3702.AT1G80760.1,3702.AT2G01170.1,3702.AT2G21340.1,3702.AT2G29940.1,3702.AT2G33040.1,3702.AT2G38290.1,3702.AT3G08560.1,3702.AT3G53720.1,3702.AT3G54900.1,3702.AT3G58730.1,3702.AT4G04850.2,3702.AT4G11150.1,3702.AT4G25960.1,3702.AT5G11800.1,3702.AT5G26340.1	ECA3,ATNTT2,AT1G19450,CCC1,ABCG14,ABCD2,ABCG36,AT1G71870,NIP6;1,GABP,AT2G21340,ABCG31,ATP3,AMT2,VHA-E2,CHX20,CXIP1,AT3G58730,KEA3,TUF,ABCB2,KEA6,MSS1
GO:0003735	structural constituent of ribosome	17	309	0.61	0.00024	3702.AT1G57860.1,3702.AT1G70600.1,3702.AT1G78630.1,3702.AT2G37600.2,3702.AT2G47110.1,3702.AT3G04400.1,3702.AT3G04920.1,3702.AT3G05590.1,3702.AT3G23990.1,3702.AT3G28900.1,3702.AT3G44890.1,3702.AT3G61110.1,3702.AT4G11150.1,3702.AT4G15000.1,3702.AT4G18100.1,3702.AT5G45775.2,3702.AT5G48760.2	AT1G57860.1,AT1G70600,emb1473,AT2G37600,UBQ6,emb2171,AT3G04920,RPL18,HSP60,AT3G28900,RPL9,RS27A,TUF,AT4G15000,AT4G18100,AT3G58700,AT5G48760
GO:0043167	ion binding	105	5070	0.18	0.00040	3702.AT1G08080.1,3702.AT1G09160.1,3702.AT1G09560.1,3702.AT1G09630.1,3702.AT1G09780.1,3702.AT1G10130.1,3702.AT1G12760.1,3702.AT1G15500.1,3702.AT1G18210.1,3702.AT1G22840.1,3702.AT1G24620.1,3702.AT1G26090.1,3702.AT1G30580.1,3702.AT1G31770.1,3702.AT1G43710.1,3702.AT1G44900.1,3702.AT1G48900.1,3702.AT1G50300.1,3702.AT1G50490.1,3702.AT1G52500.2,3702.AT1G54350.1,3702.AT1G59870.1,3702.AT1G60660.1,3702.AT1G62400.1,3702.AT1G67090.1,3702.AT1G67720.1,3702.AT1G71696.2,3702.AT1G72960.1,3702.AT1G73500.1,3702.AT1G75660.1,3702.AT1G75840.1,3702.AT1G77680.1,3702.AT1G80600.1,3702.AT2G18390.1,3702.AT2G23070.1,3702.AT2G24360.1,3702.AT2G29940.1,3702.AT2G30490.1,3702.AT2G30860.1,3702.AT2G33040.1,3702.AT2G33580.1,3702.AT2G35120.1,3702.AT2G35710.1,3702.AT2G38910.1,3702.AT2G42010.1,3702.AT2G43130.1,3702.AT2G43400.1,3702.AT2G45670.1,3702.AT2G47110.1,3702.AT3G07570.1,3702.AT3G11200.1,3702.AT3G12810.1,3702.AT3G19050.1,3702.AT3G19420.1,3702.AT3G19720.1,3702.AT3G19980.1,3702.AT3G22400.1,3702.AT3G23990.1,3702.AT3G24800.1,3702.AT3G27120.1,3702.AT3G43810.1,3702.AT3G48560.1,3702.AT3G54660.1,3702.AT3G54690.1,3702.AT3G54900.1,3702.AT3G58140.1,3702.AT3G58560.1,3702.AT3G59700.1,3702.AT3G60190.1,3702.AT3G61110.1,3702.AT4G02080.1,3702.AT4G08170.2,3702.AT4G09320.1,3702.AT4G11030.1,3702.AT4G13780.1,3702.AT4G24660.1,3702.AT4G25420.1,3702.AT4G25960.1,3702.AT4G29040.1,3702.AT4G32915.1,3702.AT4G33950.1,3702.AT4G34890.1,3702.AT4G36800.1,3702.AT4G36860.1,3702.AT4G37010.2,3702.AT4G37930.1,3702.AT5G03520.1,3702.AT5G10860.1,3702.AT5G13300.1,3702.AT5G13630.1,3702.AT5G15180.1,3702.AT5G24930.1,3702.AT5G26710.1,3702.AT5G36110.1,3702.AT5G37055.1,3702.AT5G40870.1,3702.AT5G41370.1,3702.AT5G47960.1,3702.AT5G49740.1,3702.AT5G49810.1,3702.AT5G54910.1,3702.AT5G58760.1,3702.AT5G60340.1,3702.AT5G65720.1,3702.AT5G67380.1	At1g08080,AT1G09160,GLP5,RAB11c,iPGAM1,ECA3,AT1G12760,ATNTT2,AT1G18210,CYTC-1,AT1G24620,AT1G26090,AT1G30580,ABCG14,EMB1075,MCM2,AT1G48900,TAF15,UBC20,MMH-1,ABCD2,ABCG36,CB5LP,HT1,RBCS1A,AT1G67720,F26A9.4,AT1G72960,MKK9,XRN3,ARAC5,AT1G77680,WIN1,TTN5,AT2G23070,AT2G24360,ABCG31,C4H,GSTF9,ATP3,LYK5,AT2G35120,PGSIP7,CPK20,PLDBETA1,ARA4,ETFQO,AT2G45670,UBQ6,AT3G07570,AL2,PIE1,POK2,PTEN2,ARC5,FYPP3,LOX5,HSP60,PRT1,AT3G27120,CAM7,CSR1,GR,SETH3,CXIP1,AT3G58140,AT3G58560,HLECRK,DL1E,RS27A,SAR2,AT4G08170,NDPK1,AT4G11030,AT4G13780,MEE68,GA20OX1,ABCB2,RPT2a,AT4G32915,OST1,XDH1,RCE1,AT4G36860,CML19,SHM1,RAB8C,CBSX3,SFC,GUN5,AT5G15180,COL4,AT5G26710,CYP716A1,SEF,UK/UPRT1,XPB1,RABA4C,FRO7,MMT,AT5G54910,DDB2,AAK6,NFS1,CKA1
GO:0043168	anion binding	64	2629	0.25	0.00040	3702.AT1G09630.1,3702.AT1G10130.1,3702.AT1G15500.1,3702.AT1G26090.1,3702.AT1G30580.1,3702.AT1G31770.1,3702.AT1G43710.1,3702.AT1G44900.1,3702.AT1G48900.1,3702.AT1G50490.1,3702.AT1G54350.1,3702.AT1G59870.1,3702.AT1G62400.1,3702.AT1G67720.1,3702.AT1G72960.1,3702.AT1G73500.1,3702.AT1G75840.1,3702.AT1G80600.1,3702.AT2G18390.1,3702.AT2G23070.1,3702.AT2G24360.1,3702.AT2G29940.1,3702.AT2G30860.1,3702.AT2G33580.1,3702.AT2G35120.1,3702.AT2G38910.1,3702.AT2G42010.1,3702.AT2G43130.1,3702.AT3G12810.1,3702.AT3G19050.1,3702.AT3G19420.1,3702.AT3G19720.1,3702.AT3G23990.1,3702.AT3G27120.1,3702.AT3G48560.1,3702.AT3G54660.1,3702.AT3G54690.1,3702.AT3G58140.1,3702.AT3G59700.1,3702.AT3G60190.1,3702.AT4G02080.1,3702.AT4G08170.2,3702.AT4G09320.1,3702.AT4G11030.1,3702.AT4G13780.1,3702.AT4G25960.1,3702.AT4G29040.1,3702.AT4G32915.1,3702.AT4G33950.1,3702.AT4G34890.1,3702.AT4G36800.1,3702.AT4G37930.1,3702.AT5G03520.1,3702.AT5G13300.1,3702.AT5G13630.1,3702.AT5G26710.1,3702.AT5G40870.1,3702.AT5G41370.1,3702.AT5G47960.1,3702.AT5G49810.1,3702.AT5G54910.1,3702.AT5G60340.1,3702.AT5G65720.1,3702.AT5G67380.1	RAB11c,ECA3,ATNTT2,AT1G26090,AT1G30580,ABCG14,EMB1075,MCM2,AT1G48900,UBC20,ABCD2,ABCG36,HT1,AT1G67720,AT1G72960,MKK9,ARAC5,WIN1,TTN5,AT2G23070,AT2G24360,ABCG31,GSTF9,LYK5,AT2G35120,CPK20,PLDBETA1,ARA4,PIE1,POK2,PTEN2,ARC5,HSP60,AT3G27120,CSR1,GR,SETH3,AT3G58140,HLECRK,DL1E,SAR2,AT4G08170,NDPK1,AT4G11030,AT4G13780,ABCB2,RPT2a,AT4G32915,OST1,XDH1,RCE1,SHM1,RAB8C,SFC,GUN5,AT5G26710,UK/UPRT1,XPB1,RABA4C,MMT,AT5G54910,AAK6,NFS1,CKA1
GO:0015075	ion transmembrane transporter activity	24	609	0.46	0.00041	3702.AT1G08090.1,3702.AT1G10130.1,3702.AT1G15500.1,3702.AT1G19450.1,3702.AT1G30450.2,3702.AT1G59870.1,3702.AT1G80310.1,3702.AT1G80760.1,3702.AT2G01170.1,3702.AT2G01770.1,3702.AT2G33040.1,3702.AT2G38290.1,3702.AT3G02050.1,3702.AT3G08560.1,3702.AT3G53720.1,3702.AT3G61320.1,3702.AT4G04850.2,3702.AT4G11150.1,3702.AT4G22310.1,3702.AT5G11800.1,3702.AT5G26340.1,3702.AT5G26820.1,3702.AT5G50200.2,3702.AT5G60770.1	NRT2:1,ECA3,ATNTT2,AT1G19450,CCC1,ABCG36,MOT2,NIP6;1,GABP,VIT1,ATP3,AMT2,KUP3,VHA-E2,CHX20,AT3G61320,KEA3,TUF,AT4G22310,KEA6,MSS1,IREG3,WR3,NRT2.4
GO:0015318	inorganic molecular entity transmembrane transporter activity	23	597	0.45	0.00078	3702.AT1G08090.1,3702.AT1G10130.1,3702.AT1G19450.1,3702.AT1G30450.2,3702.AT1G59870.1,3702.AT1G80310.1,3702.AT1G80760.1,3702.AT2G01170.1,3702.AT2G01770.1,3702.AT2G33040.1,3702.AT3G02050.1,3702.AT3G08560.1,3702.AT3G53720.1,3702.AT3G61320.1,3702.AT4G04850.2,3702.AT4G11150.1,3702.AT4G22310.1,3702.AT4G23400.1,3702.AT5G11800.1,3702.AT5G26340.1,3702.AT5G26820.1,3702.AT5G50200.2,3702.AT5G60770.1	NRT2:1,ECA3,AT1G19450,CCC1,ABCG36,MOT2,NIP6;1,GABP,VIT1,ATP3,KUP3,VHA-E2,CHX20,AT3G61320,KEA3,TUF,AT4G22310,PIP1;5,KEA6,MSS1,IREG3,WR3,NRT2.4
