gene_id (Stringtie_gtf)	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DG1	DG2	DG3	S1	S2	S3	S4
MSTRG.38000_jg11566	6271.99692	-9.498516862	0.30769219	-30.87019161	3.00E-209	8.87E-205	14600.24997	14716.25395	14506.614	20.63390258	28.85672097	19.70471568	11.66518663
MSTRG.38004_jg11570	5061.266999	-9.646086603	0.317136717	-30.41617731	3.36E-203	4.96E-199	11856.92572	11866.57039	11646.08278	18.05466476	20.30658142	12.44508359	8.483772092
MSTRG.38002_jg11568	7829.769302	-9.618207293	0.331733332	-28.99379219	7.88E-185	7.76E-181	18174.52316	18441.72678	18099.34562	21.92352149	36.33809307	20.74180598	13.78612965
MSTRG.1309_jg7652	1358.895437	-6.567308167	0.249553024	-26.3162837	1.25E-152	9.22E-149	3182.653713	2946.244941	3252.232834	25.79237823	29.92548841	41.48361195	33.93508837
MSTRG.592_jg15958	10248.14248	-8.319724237	0.319414962	-26.04675806	1.46E-149	8.65E-146	27292.10046	19566.77916	24580.77002	52.87437537	88.7076978	99.56066869	56.20499011
MSTRG.8832_jg7039	966.5820248	5.663550154	0.231896576	24.42274157	9.81E-132	4.83E-128	33.7945741	27.69590011	37.5487391	1606.865164	1741.022165	1793.129127	1526.018505
MSTRG.34860_jg17648	9580.065651	-8.360510203	0.346450305	-24.13191756	1.16E-128	4.88E-125	21379.04395	22745.07083	22664.07757	109.6176075	65.19481404	51.85451494	45.600275
MSTRG.34439_jg31556	4057.281909	9.509262678	0.395053292	24.0708352	5.05E-128	1.87E-124	9.939580616	7.485378408	11.94732608	6832.400992	6512.000032	9722.721552	5304.478501
MSTRG.27544_jg3754	5157.741989	-4.44808934	0.190907631	-23.29969373	4.47E-120	1.47E-116	10215.90096	11926.45342	11883.32254	530.0333726	521.5585124	594.2527412	432.6723767
MSTRG.10764_jg3137	979.2683487	-7.169537241	0.3099344	-23.13243458	2.18E-118	6.45E-115	2247.339177	2579.461399	1965.335139	14.18580802	19.23781398	16.59344478	12.72565814
MSTRG.10035_jg24623	10811.71391	-6.938389754	0.300960294	-23.05416993	1.34E-117	3.59E-114	19051.19417	32304.6476	23511.48434	257.9237823	195.5844421	208.4551501	152.7078977
MSTRG.29151_jg8926	1915.173833	-4.991384342	0.218862015	-22.80607866	3.99E-115	9.82E-112	4105.046795	4411.133496	4349.680072	159.912745	130.3896281	103.7090299	146.3450686
MSTRG.27688_genb_20217	1828.267055	-8.200738396	0.360446537	-22.75160824	1.38E-114	3.14E-111	4343.596729	4330.291409	4067.211148	5.158475645	14.96274421	20.74180598	15.90707267
MSTRG.28673_jg4833.1	7644.623299	-5.207864652	0.233566793	-22.29711078	3.94E-110	7.76E-107	14764.25305	16804.67453	20080.89499	388.1752923	470.2576751	430.392474	573.7150877
MSTRG.7921_jg6178	1795.43625	-4.572237797	0.205414696	-22.25857193	9.32E-110	1.72E-106	3706.469612	3991.203767	4202.045257	205.0494069	163.5214188	156.6006351	143.1636541
MSTRG.4007_jg25470	3408.03185	6.93754107	0.324607183	21.37211197	2.43E-101	4.22E-98	67.58914819	30.69005147	47.7893043	5066.912703	5397.275589	6178.984001	7066.982153
MSTRG.21364_jg27552	1930.647439	-5.867901684	0.279453782	-20.9977537	6.88E-98	1.13E-94	5653.633455	3616.934847	3941.764225	88.98370488	79.08879081	71.55923062	62.56781918
MSTRG.24679_jg35916	4348.100596	-7.904610155	0.394398509	-20.04219079	2.36E-89	3.67E-86	7792.631203	9620.20833	12855.32286	47.71589972	20.30658142	57.03996644	43.47933197
MSTRG.1308_jg7651	4006.191607	-5.321765216	0.268470392	-19.82254048	1.90E-87	2.81E-84	7686.277691	9537.869168	9915.427262	166.3608396	204.1345817	241.6420396	291.6296657
MSTRG.20199_jg32607	8338.696478	-6.470013253	0.335173829	-19.303456	5.02E-83	7.06E-80	14752.32555	19850.475	22903.87747	143.1476992	244.7477445	181.4908023	294.8110802
MSTRG.35279_jg18052	4077.254294	-3.832482938	0.202706746	-18.9065387	1.01E-79	1.35E-76	8510.268924	8861.939497	8726.668318	551.9568941	598.5097683	762.2613697	529.1752843
MSTRG.16121_jg2295	2967.913623	-6.575187121	0.348322243	-18.8767363	1.77E-79	2.28E-76	6003.506692	6697.9166	7786.24308	112.1968453	67.33234893	45.63197315	62.56781918
MSTRG.20914_jg33282	1133.824284	-6.707480907	0.357277076	-18.77389109	1.23E-78	1.52E-75	2566.399715	2759.859019	2511.498617	10.31695129	28.85672097	26.96434777	32.87461686
MSTRG.6545_jg15314	835.7196312	-4.456532099	0.237486518	-18.76541093	1.45E-78	1.71E-75	1782.166805	2064.467365	1669.212129	67.06018339	84.43262803	80.89304331	101.8052651
MSTRG.34206_jg31334	5094.717981	-4.218446597	0.22549008	-18.7079032	4.27E-78	4.82E-75	11578.61746	11010.99164	10688.58994	729.9243038	569.6530473	453.2084606	632.0410209
MSTRG.27032_jg17223	4228.992956	-4.34941613	0.232512609	-18.70615171	4.41E-78	4.82E-75	9415.764718	10433.12043	7937.291416	389.4649112	557.8966054	478.0986278	391.3139878
MSTRG.16019_jg2200	2932.956548	6.678871073	0.358015025	18.6552815	1.14E-77	1.21E-74	56.65560951	44.16373261	48.64268474	7282.477992	4756.015123	5220.712564	3122.02813
MSTRG.25673_jg36856	5363.980322	-6.516546634	0.349884295	-18.62486176	2.02E-77	2.06E-74	10677.0975	12913.02629	13417.70056	196.0220745	152.8337444	80.89304331	110.2890372
MSTRG.13594_jg21050	2741.399799	-3.351182944	0.181305761	-18.48359879	2.80E-76	2.76E-73	5736.131974	5879.76474	5354.962223	658.9952637	503.3894658	502.9887949	553.566129
MSTRG.20636_jg33018	6258.870076	-7.582291019	0.410502681	-18.47074666	3.55E-76	3.38E-73	10060.8435	13013.33036	20435.90125	42.55742407	67.33234893	86.0784948	106.0471512
MSTRG.33691_jg30845	22494.67959	-6.651577437	0.363046893	-18.32153798	5.57E-75	5.14E-72	48397.80594	53223.28609	53781.74171	279.8473038	443.538489	737.3712025	599.166404
MSTRG.7328_jg5604	9859.90154	7.8986938	0.431841331	18.29073143	9.81E-75	8.78E-72	89.45622555	61.38010295	65.71029342	8243.244081	17526.7173	26579.58727	16453.2155
MSTRG.36267_jg18943	579.0556723	-6.200502551	0.350320721	-17.69950271	4.23E-70	3.67E-67	1511.810212	1259.040648	1210.093455	20.63390258	25.65041864	15.55635448	10.60471512
MSTRG.20733_jg33113	2612.462908	-2.094643518	0.118898487	-17.61707464	1.82E-69	1.54E-66	4803.799312	4621.472629	4511.822354	1060.066745	1123.274583	1070.277188	1096.527543
MSTRG.34180_jg31308	5213.058624	-6.587105322	0.375138069	-17.55914918	5.06E-69	4.15E-66	13129.19204	11260.25474	11602.56038	145.726937	132.527163	162.8231769	58.32593313
MSTRG.35191_jg17967	8409.980273	-9.800941971	0.559340693	-17.5223117	9.68E-69	7.73E-66	27462.06729	14294.07861	17024.93966	47.71589972	12.82520932	17.63053508	10.60471512
