gene_id (Stringtie)	gene_id (Stringtie_gtf)	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	HG1	HG2	HG3	DG1	DG2	DG3	
MSTRG.14852	MSTRG.14852_jg22254	13440.10403	5.107538143	0.28003154	18.23915315	2.52E-74	6.63E-70	519.0078611	843.7377464	906.8107713	25114.82625	25555.38815	27700.85339	
MSTRG.30203	MSTRG.30203_jg9930	8289.681123	3.746731399	0.211996208	17.67357748	6.70E-70	8.80E-66	1071.902833	1165.284144	1209.761051	15019.12019	13471.27267	17800.74585	
MSTRG.22002	MSTRG.22002_jg28160	11375.42019	4.052491017	0.232992373	17.39323463	9.28E-68	8.13E-64	1417.908074	1215.445382	1247.502332	24278.24755	17224.86829	22868.54951	
MSTRG.15493	MSTRG.15493_jg1694	2572.848575	5.680112544	0.327154617	17.36216531	1.60E-67	1.05E-63	82.04247976	114.4705174	97.92332289	3643.221666	6691.439248	4807.994216	
MSTRG.24255	MSTRG.24255_jg35518	4520.76803	4.574588986	0.274851004	16.64388675	3.35E-62	1.76E-58	351.3558372	339.5529955	400.8736031	6331.101888	10291.60783	9410.116029	
MSTRG.7921	MSTRG.7921_jg6178	1845.900414	3.857499033	0.243267947	15.85699667	1.26E-56	5.50E-53	192.6214742	236.6581484	282.5495879	3256.369509	3366.555394	3740.648367	
MSTRG.20199	MSTRG.20199_jg32607	8834.01289	4.105068556	0.263890406	15.55595982	1.45E-54	5.44E-51	984.5097571	843.7377464	1082.256725	12960.85713	16743.75141	20388.96457	
MSTRG.21110	MSTRG.21110_jg33470	1548.28478	5.177235119	0.337726345	15.32967505	4.84E-53	1.59E-49	92.74367277	77.17113534	80.58273446	4035.313355	2942.894729	2061.003051	
MSTRG.24254	MSTRG.24254_jg35517	1685.037996	4.363608651	0.290366258	15.02794671	4.82E-51	1.41E-47	180.136749	131.1909301	158.1053651	2425.030337	3823.048183	3392.716411	
MSTRG.38019	MSTRG.38019_jg11584	885.7806685	5.621361029	0.384208995	14.63099797	1.78E-48	4.68E-45	44.58830421	37.29938208	25.50086533	1376.250562	2385.380023	1445.664875	
MSTRG.8948	MSTRG.8948_jg7151	3212.498699	4.208083154	0.287802747	14.62141415	2.05E-48	4.90E-45	428.0477205	312.5430981	251.9485495	7114.412012	5469.705435	5698.335379	
MSTRG.25913	MSTRG.25913_jg37088	1038.476517	4.684202763	0.326562973	14.34394942	1.16E-46	2.54E-43	87.39307626	66.88165063	79.56269985	2669.541858	1775.460197	1552.019621	
MSTRG.13283	MSTRG.13283_jg20758	536.1927842	5.507674586	0.390892979	14.08998085	4.38E-45	8.84E-42	21.40238602	21.86515501	25.50086533	836.5787047	1435.142613	876.6669813	
MSTRG.19624	MSTRG.19624_jg32069	863.7467835	3.567596076	0.25685014	13.88979612	7.30E-44	1.37E-40	128.4143161	137.621858	136.6846382	1293.291296	1789.35071	1697.117882	
MSTRG.15354	MSTRG.15354_jg1571	5598.062798	2.884029631	0.20872501	13.81736493	2.00E-43	3.51E-40	1146.811184	1372.360024	1485.170397	10657.2093	9300.96165	9625.864229	
MSTRG.27190	MSTRG.27190_jg17381	4237.038088	5.393349336	0.398279708	13.54161216	8.88E-42	1.46E-38	99.87780144	250.8061899	237.6680649	7140.609675	10672.33418	7020.932618	
MSTRG.30727	MSTRG.30727_jg496	1780.502855	3.679704063	0.278715464	13.20236777	8.50E-40	1.31E-36	208.6732637	273.9575305	288.6697956	3382.991547	2598.157436	3930.567557	
MSTRG.10061	MSTRG.10061_jg24648	459.6618281	4.740154682	0.359669208	13.17920628	1.16E-39	1.69E-36	39.23770771	36.01319649	25.50086533	697.7310909	847.3213315	1112.166777	
MSTRG.10043	MSTRG.10043_jg24628	2084.495285	4.349424856	0.332922113	13.0643916	5.26E-39	7.27E-36	124.8472518	218.6515501	238.6880995	3464.204302	4934.920661	3525.659844	
MSTRG.4516	MSTRG.4516_jg25961	1237.700175	2.542165927	0.203591921	12.48657568	8.84E-36	1.16E-32	387.0264806	340.8391811	361.0922531	2271.337381	1958.562422	2107.343333	
MSTRG.4510	MSTRG.4510_jg25955	878.6340819	3.813714951	0.306895217	12.42676567	1.87E-35	2.34E-32	94.52720494	151.7698995	103.023496	1460.956339	1979.398192	1482.129359	
MSTRG.16362	MSTRG.16362_jg2519	438.0006802	-5.365415059	0.43748094	-12.26434016	1.41E-34	1.68E-31	1055.851044	842.4515608	668.1226718	16.59185322	32.83212313	12.15482816	
MSTRG.34860	MSTRG.34860_jg17648	11800.00133	2.199901915	0.179625409	12.24716444	1.74E-34	1.99E-31	4260.858351	4542.807501	3852.670735	18782.85111	19185.32487	20175.4954	
MSTRG.11809	MSTRG.11809_jg34196	11373.52346	2.836821078	0.232663027	12.19283147	3.39E-34	3.71E-31	2807.279633	2816.74644	2755.113491	17560.2935	24695.43907	17606.2686	
MSTRG.15446	MSTRG.15446_jg1651	1513.414282	3.256797052	0.269782835	12.07192093	1.49E-33	1.56E-30	313.9016617	225.0824781	321.3109032	2266.971104	3093.796218	2859.423326	
MSTRG.30848	MSTRG.30848_jg617	211.8055042	5.291559495	0.438446107	12.06889378	1.54E-33	1.56E-30	12.48472518	12.86185589	7.140242294	466.3184012	402.8248953	369.2029055	
MSTRG.24787	MSTRG.24787_jg36017	24014.10518	2.810919055	0.23298465	12.06482509	1.62E-33	1.58E-30	6090.762356	5736.387727	6144.688511	32782.88221	46354.53815	46975.37215	
MSTRG.4115	MSTRG.4115_jg25572	1825.217947	3.814238335	0.31675874	12.04146202	2.15E-33	2.02E-30	165.8684917	284.2470152	274.389311	3541.924036	4013.095665	2671.783166	
MSTRG.35613	MSTRG.35613_jg18369	2614.999364	4.172873163	0.348914002	11.95960364	5.78E-33	5.24E-30	165.8684917	272.6713449	382.51298	4289.430686	5005.004616	5574.508067	
MSTRG.20417	MSTRG.20417_jg32806	1405.390049	5.322514115	0.449097182	11.85158655	2.11E-32	1.85E-29	32.10357903	78.45732093	92.82314982	1729.919013	3002.245105	3496.792127	
MSTRG.28673	MSTRG.28673_jg4833.1	8497.85013	2.915367253	0.246395899	11.83204456	2.67E-32	2.26E-29	1656.901385	2078.475912	2229.795665	12971.3362	14174.63777	17875.95385	
MSTRG.30912	MSTRG.30912_jg678	1702.685634	2.458360851	0.209459547	11.73668561	8.27E-32	6.78E-29	535.0596506	526.0499059	512.0573759	2563.004696	2814.091784	3265.850392	
MSTRG.2100	MSTRG.2100_jg8404	6967.511589	-5.157680596	0.441608474	-11.67930621	1.63E-31	1.29E-28	15003.0726	12935.16847	12726.97187	631.363678	327.6898443	180.8030689	
MSTRG.30854	MSTRG.30854_jg623	7689.676646	2.753638812	0.235994939	11.66821128	1.85E-31	1.43E-28	1728.242671	2093.910139	2133.912411	12977.44899	15868.64905	11335.89662	
MSTRG.30061	MSTRG.30061_jg9798	1579.62789	3.880090882	0.334920442	11.58511216	4.90E-31	3.68E-28	140.8990413	214.7929934	244.8083072	2287.055979	2759.161117	3831.049902	
MSTRG.36268	MSTRG.36268_jg18944	10065.15879	2.980890059	0.263445972	11.31499577	1.11E-29	8.07E-27	2901.806838	2038.604159	1852.382858	20073.52264	16741.85725	16782.77899	
MSTRG.30644	MSTRG.30644_jg418	849.6923905	4.331769263	0.384538179	11.26486133	1.96E-29	1.39E-26	76.69188325	101.6086615	63.24214603	1295.911062	2347.496804	1213.203786	
MSTRG.19491	MSTRG.19491_jg23820	1294.234712	5.198529547	0.464101675	11.20127297	4.02E-29	2.78E-26	41.02123988	63.02309386	99.96339211	1422.5331	3653.205085	2485.662359	
MSTRG.38240	MSTRG.38240_jg11801	3187.230372	3.776607952	0.339906977	11.11071031	1.11E-28	7.49E-26	629.5868555	293.2503143	380.4729108	5148.714032	6120.665415	6550.692704	
MSTRG.29139	MSTRG.29139_jg8915	7757.986929	2.555383203	0.231269073	11.0493944	2.21E-28	1.45E-25	1815.635748	2289.410349	2659.230237	12477.94688	13441.59749	13864.10087	
MSTRG.26413	MSTRG.26413_jg16625	1435.32087	3.336088133	0.302119303	11.04228727	2.39E-28	1.53E-25	201.5391351	255.9509322	316.2107302	2319.36643	2218.062472	3300.795523	
MSTRG.18176	MSTRG.18176_jg22565	680.9989311	3.653443368	0.331153018	11.03249305	2.66E-28	1.67E-25	73.12481891	99.03629036	126.4842921	1040.920476	1165.540371	1580.887338	
MSTRG.21192	MSTRG.21192_jg33549	6774.77422	4.509839836	0.417330644	10.80639513	3.21E-27	1.96E-24	866.7966339	415.4379453	429.4345722	11679.79141	18454.81013	8802.374621	
MSTRG.22974	MSTRG.22974_jg12962	6279.327947	2.685552017	0.248692143	10.79870069	3.49E-27	2.08E-24	1853.089923	1548.567449	1667.756593	12282.33766	8360.826432	11963.38962	
MSTRG.7415	MSTRG.7415_jg5695	1159.299076	3.870545554	0.358780364	10.78806408	3.92E-27	2.29E-24	133.7649126	145.3389716	165.2456074	1786.680616	1542.4784	3182.285949	
MSTRG.32823	MSTRG.32823_jg29891	247.2807885	6.148865981	0.570160085	10.78445535	4.08E-27	2.33E-24	0	6.430927945	12.24041536	395.5847111	550.5694494	518.8592272	
MSTRG.36983	MSTRG.36983_jg19632	1279.437887	2.479193841	0.230386805	10.76100623	5.26E-27	2.94E-24	370.9746911	400.0037182	395.77343	2115.024658	1861.328826	2533.521995	
MSTRG.25178	MSTRG.25178_jg36371	832.2494859	-2.237420168	0.209276298	-10.69122586	1.12E-26	6.12E-24	1216.368939	1454.675901	1448.449151	287.3010374	294.2263342	292.4755527	
MSTRG.20636	MSTRG.20636_jg33018	6653.408839	4.310828271	0.40493004	10.64585939	1.82E-26	9.77E-24	429.8312526	560.7769168	922.1112905	8839.091492	10976.6627	18191.97938	
MSTRG.11175	MSTRG.11175_jg3529	1977.805323	2.560464952	0.240647429	10.63990154	1.94E-26	1.02E-23	444.09951	616.0828972	656.902291	3395.217123	3292.683117	3461.846996	
