#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
ath01100	Metabolic pathways	84	1899	0.37	8.76e-11	3702.AT1G01610.1,3702.AT1G05250.1,3702.AT1G06570.1,3702.AT1G06680.1,3702.AT1G07230.1,3702.AT1G08260.1,3702.AT1G08520.1,3702.AT1G09870.1,3702.AT1G15710.1,3702.AT1G15950.1,3702.AT1G17290.1,3702.AT1G23320.1,3702.AT1G26560.1,3702.AT1G44446.1,3702.AT1G51680.1,3702.AT1G64200.1,3702.AT1G66430.1,3702.AT1G67090.1,3702.AT1G73740.1,3702.AT1G76690.1,3702.AT1G79040.1,3702.AT2G06050.2,3702.AT2G16570.1,3702.AT2G21170.1,3702.AT2G35390.2,3702.AT2G37130.1,3702.AT2G38110.1,3702.AT2G40840.1,3702.AT2G41480.1,3702.AT2G42600.1,3702.AT3G10340.1,3702.AT3G12260.1,3702.AT3G12500.1,3702.AT3G14390.1,3702.AT3G22740.1,3702.AT3G25780.1,3702.AT3G25940.1,3702.AT3G42050.1,3702.AT3G45770.1,3702.AT3G47340.1,3702.AT3G48540.1,3702.AT3G52300.1,3702.AT3G52990.1,3702.AT3G54050.1,3702.AT3G54420.1,3702.AT3G54690.1,3702.AT3G61530.2,3702.AT4G01850.1,3702.AT4G02780.1,3702.AT4G12800.1,3702.AT4G13260.1,3702.AT4G15560.1,3702.AT4G17690.1,3702.AT4G25700.1,3702.AT4G26530.2,3702.AT4G29130.1,3702.AT4G34350.1,3702.AT4G35260.1,3702.AT4G37990.1,3702.AT4G38240.2,3702.AT5G03770.1,3702.AT5G06720.1,3702.AT5G06730.1,3702.AT5G08570.1,3702.AT5G09920.1,3702.AT5G13450.1,3702.AT5G13930.1,3702.AT5G17330.1,3702.AT5G18170.1,3702.AT5G19220.1,3702.AT5G19730.1,3702.AT5G21105.1,3702.AT5G40850.1,3702.AT5G41880.1,3702.AT5G48840.1,3702.AT5G51810.1,3702.AT5G51820.1,3702.AT5G51830.1,3702.AT5G51890.1,3702.AT5G56760.1,3702.AT5G57030.1,3702.AT5G64120.1,3702.AT5G66280.1,3702.AT5G66680.1	GPAT4,AT1G05240,PDS1,PSBP-1,NPC1,TIL1,ALB1,AT1G09870,AT1G15710,IRX4,AlaAT1,TAR1,BGLU40,CH1,4CL1,VHA-E3,AT1G66430,RBCS1A,AT1G73740,OPR2,PSBR,OPR3,ASE1,TIM,AT2G35390,AT2G37130,GPAT6,DPE2,AT2G41480,PPC2,PAL4,AT3G12260,HCHIB,AT3G14390,HMT3,AOC3,AT3G25940,AT3G42050,AT3G45770,ASN1,AT3G48540,ATPQ,AT3G52990,HCEF1,EP3,SETH3,PANB2,SAM-2,GA1,PSAL,YUC2,CLA1,AT4G17690,At4g25700,FBA5,HXK1,HDR,IDH1,ELI3-2,CGL1,KDTA,PA2,AT5G06730,AT5G08570,NRPB4,ATP5,TT4,GAD,GDH1,APL1,AT5G19730,AT5G21105,UPM1,POLA3,PANC,GA20OX2,PGMP,AT5G51830,AT5G51890,SERAT1;1,LUT2,AT5G64120,GMD1,DGL1
ath01110	Biosynthesis of secondary metabolites	53	1063	0.42	2.11e-08	3702.AT1G01120.1,3702.AT1G01610.1,3702.AT1G05250.1,3702.AT1G07230.1,3702.AT1G08520.1,3702.AT1G15080.1,3702.AT1G15710.1,3702.AT1G15950.1,3702.AT1G19440.1,3702.AT1G26560.1,3702.AT1G44446.1,3702.AT1G51680.1,3702.AT1G76690.1,3702.AT2G06050.2,3702.AT2G16570.1,3702.AT2G21170.1,3702.AT2G35390.2,3702.AT2G37130.1,3702.AT2G38110.1,3702.AT2G41480.1,3702.AT3G10340.1,3702.AT3G14390.1,3702.AT3G22740.1,3702.AT3G25780.1,3702.AT3G47340.1,3702.AT3G52990.1,3702.AT3G54050.1,3702.AT3G61530.2,3702.AT4G01850.1,3702.AT4G02780.1,3702.AT4G15560.1,3702.AT4G17690.1,3702.AT4G25700.1,3702.AT4G26530.2,3702.AT4G29130.1,3702.AT4G34350.1,3702.AT4G35260.1,3702.AT4G37990.1,3702.AT5G06720.1,3702.AT5G06730.1,3702.AT5G08570.1,3702.AT5G13930.1,3702.AT5G17330.1,3702.AT5G19220.1,3702.AT5G40850.1,3702.AT5G48840.1,3702.AT5G51810.1,3702.AT5G51820.1,3702.AT5G51890.1,3702.AT5G56760.1,3702.AT5G57030.1,3702.AT5G58770.1,3702.AT5G64120.1	KCS1,GPAT4,AT1G05240,NPC1,ALB1,LPP2,AT1G15710,IRX4,KCS4,BGLU40,CH1,4CL1,OPR2,OPR3,ASE1,TIM,AT2G35390,AT2G37130,GPAT6,AT2G41480,PAL4,AT3G14390,HMT3,AOC3,ASN1,AT3G52990,HCEF1,PANB2,SAM-2,GA1,CLA1,AT4G17690,At4g25700,FBA5,HXK1,HDR,IDH1,ELI3-2,PA2,AT5G06730,AT5G08570,TT4,GAD,APL1,UPM1,PANC,GA20OX2,PGMP,AT5G51890,SERAT1;1,LUT2,cPT4,AT5G64120
ath00940	Phenylpropanoid biosynthesis	13	167	0.61	0.0010	3702.AT1G05250.1,3702.AT1G15950.1,3702.AT1G26560.1,3702.AT1G51680.1,3702.AT2G37130.1,3702.AT2G41480.1,3702.AT3G10340.1,3702.AT4G17690.1,3702.AT4G37990.1,3702.AT5G06720.1,3702.AT5G06730.1,3702.AT5G51890.1,3702.AT5G64120.1	AT1G05240,IRX4,BGLU40,4CL1,AT2G37130,AT2G41480,PAL4,AT4G17690,ELI3-2,PA2,AT5G06730,AT5G51890,AT5G64120
ath00051	Fructose and mannose metabolism	8	64	0.82	0.0012	3702.AT1G07110.1,3702.AT1G66430.1,3702.AT2G21170.1,3702.AT3G54050.1,3702.AT4G26530.2,3702.AT4G29130.1,3702.AT5G51830.1,3702.AT5G66280.1	F2KP,AT1G66430,TIM,HCEF1,FBA5,HXK1,AT5G51830,GMD1
ath00520	Amino sugar and nucleotide sugar metabolism	10	131	0.61	0.0055	3702.AT1G53500.1,3702.AT1G66430.1,3702.AT3G10740.1,3702.AT3G12500.1,3702.AT3G54420.1,3702.AT4G29130.1,3702.AT5G19220.1,3702.AT5G51820.1,3702.AT5G51830.1,3702.AT5G66280.1	MUM4,AT1G66430,ASD1,HCHIB,EP3,HXK1,APL1,PGMP,AT5G51830,GMD1
ath04626	Plant-pathogen interaction	11	165	0.55	0.0069	3702.AT1G01120.1,3702.AT1G24620.1,3702.AT1G50060.1,3702.AT1G64060.1,3702.AT3G21630.1,3702.AT4G11260.1,3702.AT4G23650.1,3702.AT4G33720.1,3702.AT5G04870.1,3702.AT5G12180.1,3702.AT5G19360.1	KCS1,AT1G24620,AT1G50060,RBOHF,CERK1,SGT1B,CDPK6,AT4G33720,CPK1,CPK17,CPK34
ath00230	Purine metabolism	10	158	0.52	0.0154	3702.AT1G08260.1,3702.AT2G16570.1,3702.AT2G35390.2,3702.AT3G25940.1,3702.AT3G52990.1,3702.AT4G20070.1,3702.AT5G08570.1,3702.AT5G09920.1,3702.AT5G41880.1,3702.AT5G51820.1	TIL1,ASE1,AT2G35390,AT3G25940,AT3G52990,AAH,AT5G08570,NRPB4,POLA3,PGMP
ath00010	Glycolysis / Gluconeogenesis	8	115	0.57	0.0209	3702.AT1G09870.1,3702.AT2G21170.1,3702.AT3G52990.1,3702.AT3G54050.1,3702.AT4G26530.2,3702.AT4G29130.1,3702.AT5G08570.1,3702.AT5G51820.1	AT1G09870,TIM,AT3G52990,HCEF1,FBA5,HXK1,AT5G08570,PGMP
ath00910	Nitrogen metabolism	5	43	0.79	0.0209	3702.AT1G08080.1,3702.AT1G08090.1,3702.AT2G15620.1,3702.AT5G18170.1,3702.AT5G60770.1	At1g08080,NRT2:1,NIR1,GDH1,NRT2.4
ath01200	Carbon metabolism	13	261	0.42	0.0209	3702.AT1G17290.1,3702.AT1G67090.1,3702.AT2G21170.1,3702.AT2G35390.2,3702.AT2G42600.1,3702.AT3G52990.1,3702.AT3G54050.1,3702.AT4G26530.2,3702.AT4G29130.1,3702.AT4G35260.1,3702.AT5G08570.1,3702.AT5G18170.1,3702.AT5G56760.1	AlaAT1,RBCS1A,TIM,AT2G35390,PPC2,AT3G52990,HCEF1,FBA5,HXK1,IDH1,AT5G08570,GDH1,SERAT1;1
