Gene stable ID	STRING ID
AT5G16970	3702.AT5G16970.1
AT4G32100	3702.AT4G32100.1
AT2G43120	
AT2G43120	3702.AT2G43120.1
AT1G30814	
AT1G30814	
AT1G30814	
AT1G30814	
AT3G18710	3702.AT3G18710.1
AT4G25880	
AT4G25880	
AT4G25880	3702.AT4G25880.1
AT4G25880	3702.AT4G25880.1
AT4G25880	
AT1G78930	3702.AT1G78930.1
AT3G07950	3702.AT3G07950.1
AT4G03450	
AT4G03450	3702.AT4G03450.1
AT1G71695	3702.AT1G71695.1
AT1G58983	3702.AT1G59359.1
AT1G12980	3702.AT1G12980.1
AT5G41480	3702.AT5G41480.1
AT5G15008	3702.AT5G15008.1
AT3G51870	3702.AT3G51870.1
AT4G29950	
AT4G29950	3702.AT4G29950.1
AT4G29950	
AT3G18310	
AT5G07360	3702.AT5G07360.1
AT5G07360	3702.AT5G07360.1
AT5G07360	
AT4G08535	
AT4G08535	
AT4G08535	
AT4G26490	
AT5G46240	3702.AT5G46240.1
AT5G62260	3702.AT5G62260.1
AT5G62260	3702.AT5G62260.1
AT5G62260	
AT4G16955	
AT3G25717	3702.AT3G25717.1
AT1G45223	3702.AT1G45223.1
AT5G35715	
AT5G41908	
AT2G21390	3702.AT2G21390.1
AT3G48330	3702.AT3G48330.1
AT3G48330	
AT3G48330	
AT3G48330	3702.AT3G48330.1
AT4G32710	3702.AT4G32710.1
AT3G46440	3702.AT3G46440.2
AT3G46440	3702.AT3G46440.2
AT2G21930	
AT2G21930	3702.AT2G21930.1
AT3G53910	3702.AT3G53910.1
AT4G25090	3702.AT4G25090.1
AT4G25090	
AT2G18870	3702.AT2G18870.1
AT1G56250	3702.AT1G56250.1
AT3G16830	3702.AT3G16830.1
AT5G20470	3702.AT5G20470.1
AT5G04950	3702.AT5G04950.1
AT4G13720	3702.AT4G13720.1
AT4G13720	
AT5G50110	3702.AT5G50110.1
AT5G50110	
AT3G03305	3702.AT3G03305.1
AT5G66670	3702.AT5G66670.2
AT5G66670	3702.AT5G66670.2
AT5G66670	3702.AT5G66670.2
AT5G66670	3702.AT5G66670.2
AT4G08039	
AT2G38310	3702.AT2G38310.1
AT2G26900	3702.AT2G26900.1
AT5G23000	3702.AT5G23000.1
AT1G66852	3702.AT1G66852.1
AT1G69810	
AT1G69810	3702.AT1G69810.1
AT1G72450	
AT1G72450	3702.AT1G72450.1
AT5G03560	3702.AT5G03560.2
AT5G03560	3702.AT5G03560.2
AT5G03560	
AT5G03560	3702.AT5G03560.2
AT4G27340	
AT4G27340	
AT4G27340	3702.AT4G27340.1
AT1G76280	
AT1G76280	
AT1G76280	
AT1G76280	
AT1G76280	
AT3G03272	
AT3G28960	3702.AT3G28960.1
AT3G28960	
AT3G28960	3702.AT3G28960.1
AT3G28960	3702.AT3G28960.1
AT3G28960	3702.AT3G28960.1
AT1G65630	3702.AT1G65630.1
AT3G10210	3702.AT3G10210.1
AT4G27830	
AT4G27830	3702.AT4G27830.1
AT1G71390	3702.AT1G71390.1
AT1G71390	
AT5G46260	3702.AT5G46260.1
AT2G32710	
AT2G32710	3702.AT2G32710.1
AT5G27680	3702.AT5G27680.1
AT5G27680	3702.AT5G27680.1
AT5G27680	
AT5G27680	3702.AT5G27680.1
AT5G27680	3702.AT5G27680.1
AT5G27680	
AT4G19380	3702.AT4G19380.1
AT4G19380	
AT5G61960	3702.AT5G61960.1
AT5G61960	3702.AT5G61960.1
AT5G61960	
AT5G61960	
AT5G61960	
AT5G61960	
AT5G61960	3702.AT5G61960.1
AT5G61960	3702.AT5G61960.1
AT5G61960	
AT5G61960	
AT5G61960	
AT4G29180	3702.AT4G29180.2
AT4G29180	
AT4G29180	
AT3G09680	3702.AT3G09680.1
AT1G56233	3702.AT1G56233.1
AT1G15210	3702.AT1G15210.1
AT3G63470	3702.AT3G63470.1
AT2G16970	
AT2G16970	
AT2G16970	
AT2G16970	
AT2G16970	
AT2G16970	
AT2G16970	3702.AT2G16970.1
AT2G16970	
AT1G15250	3702.AT1G15250.1
AT1G15250	3702.AT1G15250.1
AT1G79700	
AT1G79700	
AT1G79700	3702.AT1G79700.2
AT1G79700	
AT2G46620	3702.AT2G46620.1
AT3G46920	
AT3G46920	3702.AT3G46920.1
AT2G43750	3702.AT2G43750.1
AT2G43750	3702.AT2G43750.1
AT1G62895	
AT2G24490	3702.AT2G24490.2
AT2G24490	3702.AT2G24490.2
AT3G57080	3702.AT3G57080.1
AT3G13820	
AT2G15080	
AT2G15080	
AT1G73360	3702.AT1G73360.1
AT1G16360	3702.AT1G16360.1
AT1G16360	
AT1G16360	
AT1G16360	
AT1G16360	
AT1G10225	
AT3G49770	3702.AT3G49770.1
AT4G31660	3702.AT4G31660.1
AT1G26670	3702.AT1G26670.1
AT1G34855	
AT1G52200	3702.AT1G52200.1
AT1G52200	
AT1G57800	
AT1G57800	3702.AT1G57800.1
AT4G23200	3702.AT4G23200.1
AT4G23200	
AT1G69460	3702.AT1G69460.1
AT1G04310	3702.AT1G04310.1
AT1G04310	3702.AT1G04310.1
AT1G08080	3702.AT1G08080.1
AT2G37678	3702.AT2G37678.1
AT2G37678	
AT3G56070	3702.AT3G56070.1
AT3G56070	3702.AT3G56070.1
AT5G15420	
AT5G06020	3702.AT5G06020.1
AT3G15251	
AT1G75550	
AT1G75550	
AT1G71890	3702.AT1G71890.1
AT1G05430	
AT4G29810	
AT4G29810	3702.AT4G29810.2
AT4G29810	
AT3G02780	3702.AT3G02780.1
AT3G02780	
AT4G26560	3702.AT4G26560.1
AT1G80870	
AT4G23670	3702.AT4G23670.1
AT2G46225	
AT2G46225	
AT2G46225	3702.AT2G46225.2
AT5G18730	
AT5G67570	3702.AT5G67570.1
AT1G75310	
AT1G75310	
AT5G29054	3702.AT5G29054.1
AT2G27700	3702.AT2G27700.2
AT2G27700	
AT1G02010	
AT1G02010	
AT1G02010	3702.AT1G02010.1
AT1G02010	
AT1G02010	
AT1G02010	
AT1G47900	3702.AT1G47900.1
AT1G47900	3702.AT1G47900.1
AT1G47900	
AT5G57625	3702.AT5G57625.1
AT4G02725	3702.AT4G02725.1
AT4G02725	
AT1G14315	
AT1G14315	
AT5G66440	3702.AT5G66440.1
AT4G35440	
AT4G35440	3702.AT4G35440.2
AT3G52460	
AT4G26240	
AT3G55380	3702.AT3G55380.2
AT3G55380	
AT2G16953	
AT2G22320	
AT1G26760	3702.AT1G26760.1
AT1G05250	3702.AT1G05250.1
AT3G44560	3702.AT3G44560.1
AT3G44560	
AT3G44560	
AT1G67260	
AT1G67260	
AT1G67260	3702.AT1G67260.1
AT4G31950	3702.AT4G31950.1
AT5G51680	
AT4G10925	
AT4G10925	
AT4G10925	
AT4G10925	
AT4G10925	
AT3G56520	3702.AT3G56520.1
AT1G24575	
AT4G31690	
AT1G12790	3702.AT1G12790.1
AT4G34640	3702.AT4G34640.1
AT4G34640	
AT4G03340	
AT4G03340	
AT2G37260	3702.AT2G37260.1
AT2G37260	
AT2G37260	
AT5G54610	3702.AT5G54610.1
AT3G27970	3702.AT3G27970.1
AT4G13550	
AT4G13550	
AT4G13550	3702.AT4G13550.1
AT1G04850	3702.AT1G04850.1
AT1G04850	
AT5G20560	3702.AT5G20560.1
AT3G17420	3702.AT3G17420.1
AT3G08780	3702.AT3G08780.1
AT3G08780	
AT1G31760	3702.AT1G31760.1
AT5G65470	3702.AT5G65470.1
AT1G33250	3702.AT1G33250.1
AT1G74000	3702.AT1G74000.1
AT3G55660	3702.AT3G55660.1
AT3G55660	
AT4G15562	
AT3G48480	3702.AT3G48480.1
AT5G66420	
AT5G66420	
AT5G66420	3702.AT5G66420.2
AT3G02740	3702.AT3G02740.1
AT3G02740	
AT1G55580	3702.AT1G55580.1
AT1G53903	
AT3G63400	3702.AT3G63400.3
AT3G63400	3702.AT3G63400.3
AT3G63400	3702.AT3G63400.3
AT3G63400	
AT1G19715	
AT1G19715	
AT1G19715	3702.AT1G19715.3
AT5G62750	3702.AT5G62750.1
AT2G04031	3702.AT2G04031.1
AT3G06130	
AT3G06130	3702.AT3G06130.1
AT5G50000	
AT5G50000	3702.AT5G50000.1
AT1G69430	
AT1G53340	
AT1G53340	
AT1G53340	
ATCG00160	3702.ATCG00160.1
AT3G05660	3702.AT3G05660.1
AT2G16130	3702.AT2G16130.1
AT5G63820	
AT3G17140	3702.AT3G17140.1
AT3G24110	
AT3G24110	3702.AT3G24110.1
AT1G29890	
AT1G29890	
AT1G29890	
