#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
2A6	ACS2	3702.AT1G03410.1	3702.AT1G01480.1	0	0	0	0	0	0	0	0.458	0.458
5PTASE13	FKGP	3702.AT1G05630.1	3702.AT1G01220.1	0	0	0	0	0.044	0	0	0.535	0.537
5PTASE13	AT1G01570	3702.AT1G05630.1	3702.AT1G01570.1	0	0	0	0	0.043	0	0	0.465	0.466
5PTASE13	MAC3A	3702.AT1G05630.1	3702.AT1G04510.1	0	0	0	0	0	0.546	0	0	0.546
5PTASE13	AXR1	3702.AT1G05630.1	3702.AT1G05180.1	0	0	0	0	0	0	0	0.466	0.466
5PTASE13	SMO2-1	3702.AT1G05630.1	3702.AT1G07420.1	0	0	0	0	0	0.048	0	0.545	0.548
5PTASE13	AT1G07200	3702.AT1G05630.1	3702.AT1G07200.2	0	0	0	0	0	0	0	0.567	0.567
5PTASE13	AT1G10900	3702.AT1G05630.1	3702.AT1G10900.1	0	0	0	0	0.045	0.043	0	0.576	0.579
5PTASE13	AT1G19330	3702.AT1G05630.1	3702.AT1G19330.3	0	0	0	0	0	0	0	0.621	0.621
5PTASE13	ATSAC1	3702.AT1G05630.1	3702.AT1G22620.1	0	0	0	0	0.042	0.102	0	0.618	0.642
5PTASE13	PIP5K1	3702.AT1G05630.1	3702.AT1G21980.1	0	0	0	0	0.045	0.043	0	0.711	0.713
A/N-InvD	SPS3F	3702.AT1G22650.1	3702.AT1G04920.1	0	0	0.276	0	0	0	0	0.212	0.405
A/N-InvD	AT1G06500	3702.AT1G22650.1	3702.AT1G06500.3	0	0	0	0	0	0	0	0.867	0.867
A/N-InvD	SUT4	3702.AT1G22650.1	3702.AT1G09960.1	0	0	0	0	0	0	0	0.461	0.461
A/N-InvD	STP1	3702.AT1G22650.1	3702.AT1G11260.1	0	0	0	0	0	0	0	0.414	0.414
A/N-InvD	BFRUCT4	3702.AT1G22650.1	3702.AT1G12240.1	0	0	0	0	0	0	0	0.438	0.438
AAE1	PKT4	3702.AT1G20560.1	3702.AT1G04710.1	0.070	0	0	0	0.081	0	0	0.409	0.450
AAE1	ACX6	3702.AT1G20560.1	3702.AT1G06310.1	0.060	0	0	0	0.081	0	0	0.412	0.447
AAE1	ACD32.1	3702.AT1G20560.1	3702.AT1G06460.1	0	0	0	0	0	0	0	0.563	0.563
AAE1	BFRUCT4	3702.AT1G20560.1	3702.AT1G12240.1	0	0	0	0	0	0	0	0.410	0.410
AAE1	PIRL3	3702.AT1G20560.1	3702.AT1G12970.1	0	0	0	0	0	0	0	0.838	0.838
AAP8	PDS1	3702.AT1G10010.1	3702.AT1G06570.1	0	0	0	0	0	0	0	0.580	0.580
AAP8	AHA10	3702.AT1G10010.1	3702.AT1G17260.1	0	0	0	0	0	0.042	0	0.457	0.458
AAP8	PSP	3702.AT1G10010.1	3702.AT1G18640.2	0	0	0	0	0	0	0	0.464	0.463
AAPT1	AT1G05720	3702.AT1G13560.1	3702.AT1G05720.1	0	0	0	0	0	0	0	0.570	0.570
AAPT1	NPC1	3702.AT1G13560.1	3702.AT1G07230.1	0	0	0	0	0	0	0.650	0.511	0.821
AAPT1	FATB	3702.AT1G13560.1	3702.AT1G08510.1	0	0	0	0	0	0	0	0.530	0.530
AAPT1	LPLAT1	3702.AT1G13560.1	3702.AT1G12640.1	0	0	0	0	0.044	0	0.900	0.779	0.977
AAPT1	CYP87A2	3702.AT1G13560.1	3702.AT1G12740.2	0	0	0	0	0	0.081	0	0.434	0.457
AAPT1	AT1G19880	3702.AT1G13560.1	3702.AT1G19880.1	0	0	0	0	0.056	0	0	0.412	0.421
AAPT1	AT1G18460	3702.AT1G13560.1	3702.AT1G18460.1	0	0	0	0	0	0	0	0.486	0.485
AAPT1	LPP2	3702.AT1G13560.1	3702.AT1G15080.1	0	0	0	0	0	0.049	0.900	0.443	0.942
AAPT1	PSS1	3702.AT1G13560.1	3702.AT1G15110.2	0	0	0	0	0	0	0.900	0.634	0.961
ABA3	CNX3	3702.AT1G16540.1	3702.AT1G01290.1	0.190	0	0	0	0.045	0.156	0	0.732	0.801
ABA3	MPK11	3702.AT1G16540.1	3702.AT1G01560.2	0	0	0	0	0	0	0	0.475	0.475
ABA3	CPNIFS	3702.AT1G16540.1	3702.AT1G08490.1	0.182	0	0	0	0	0	0	0.760	0.795
ABA3	ERF1-2	3702.AT1G16540.1	3702.AT1G12920.1	0.123	0	0	0	0	0	0	0.436	0.484
ABA3	AT1G12990	3702.AT1G16540.1	3702.AT1G12990.1	0	0	0	0	0	0	0	0.477	0.477
ABA3	NHX8	3702.AT1G16540.1	3702.AT1G14660.1	0	0	0	0	0	0	0	0.551	0.551
ABA3	COX6B	3702.AT1G16540.1	3702.AT1G22450.1	0	0	0	0	0	0	0	0.495	0.495
ABCB11	PAPP2C	3702.AT1G02520.1	3702.AT1G22280.3	0	0	0	0	0	0	0	0.710	0.710
ABCB12	LHCB6	3702.AT1G02530.1	3702.AT1G15820.1	0	0	0	0	0	0	0	0.432	0.432
ABCC5	LPA1	3702.AT1G04120.1	3702.AT1G02910.1	0	0	0	0	0	0	0	0.524	0.524
ABCC5	ACLA-3	3702.AT1G04120.1	3702.AT1G09430.1	0	0	0	0	0	0	0	0.411	0.411
ABCC5	GGAT1	3702.AT1G04120.1	3702.AT1G23310.1	0	0	0.249	0	0	0	0	0.265	0.424
ABCC5	AT1G22100	3702.AT1G04120.1	3702.AT1G22100.1	0	0	0	0	0	0	0	0.438	0.438
ABCC5	AT1G21560	3702.AT1G04120.1	3702.AT1G21560.3	0	0	0	0	0	0	0	0.490	0.489
ABCC5	AT1G10050	3702.AT1G04120.1	3702.AT1G10050.1	0	0	0	0	0	0	0	0.645	0.645
ABCG11	CER1	3702.AT1G17840.1	3702.AT1G02205.3	0	0	0	0	0.142	0	0	0.564	0.610
ABCG11	AT1G09310	3702.AT1G17840.1	3702.AT1G09310.1	0	0	0	0	0.409	0	0	0	0.409
ABCG11	XTH33	3702.AT1G17840.1	3702.AT1G10550.1	0	0	0	0	0	0	0	0.592	0.592
ABCG11	SHN1	3702.AT1G17840.1	3702.AT1G15360.1	0	0	0	0	0	0	0	0.626	0.626
ABCG35	AT1G05240	3702.AT1G15210.1	3702.AT1G05250.1	0	0	0	0	0.413	0	0	0	0.412
ABCG35	RCI3	3702.AT1G15210.1	3702.AT1G05260.1	0	0	0	0	0.423	0	0	0	0.423
ABCG35	TGA9	3702.AT1G15210.1	3702.AT1G08320.3	0	0	0	0	0.410	0	0	0	0.410
ABCG35	PGSIP5	3702.AT1G15210.1	3702.AT1G08990.1	0	0	0	0	0.429	0	0	0	0.429
ABCG35	RBOHB	3702.AT1G15210.1	3702.AT1G09090.2	0	0	0	0	0.426	0	0	0	0.426
ABCG35	LRX1	3702.AT1G15210.1	3702.AT1G12040.1	0	0	0	0	0.422	0	0	0	0.422
ABCG35	EXPA7	3702.AT1G15210.1	3702.AT1G12560.1	0	0	0	0	0.421	0	0	0	0.420
ABCG35	NIGT1	3702.AT1G15210.1	3702.AT1G13300.1	0	0	0	0	0.420	0	0	0	0.420
ABCG35	ADAP	3702.AT1G15210.1	3702.AT1G16060.1	0	0	0	0	0	0	0	0.411	0.410
ABCG35	ESC	3702.AT1G15210.1	3702.AT1G20900.1	0	0	0	0	0.422	0	0	0	0.422
ABCG35	AT1G22440	3702.AT1G15210.1	3702.AT1G22440.1	0	0	0	0	0.426	0	0	0	0.426
ABCG35	NRAMP6	3702.AT1G15210.1	3702.AT1G15960.1	0	0	0	0	0	0	0	0.433	0.433
ABCG35	AT1G23720	3702.AT1G15210.1	3702.AT1G23720.1	0	0	0	0	0.436	0	0	0	0.436
ABCG35	RSZ21	3702.AT1G15210.1	3702.AT1G23860.1	0	0	0	0	0	0	0	0.478	0.478
ABCG35	AVP1	3702.AT1G15210.1	3702.AT1G15690.1	0	0	0	0	0	0	0	0.504	0.504
ABCG40	NRT1.1	3702.AT1G15520.1	3702.AT1G12110.1	0	0	0	0	0	0.048	0	0.530	0.533
ABCG40	JMT	3702.AT1G15520.1	3702.AT1G19640.1	0	0	0	0	0	0	0	0.400	0.400
ABCG40	FMO1	3702.AT1G15520.1	3702.AT1G19250.1	0	0	0	0	0.346	0	0	0.218	0.466
ABCI14	ABCI18	3702.AT1G19800.2	3702.AT1G03900.1	0	0	0	0	0	0	0	0.691	0.691
ABCI14	ABCI19	3702.AT1G19800.2	3702.AT1G03905.1	0	0	0	0	0	0	0	0.623	0.623
ABCI14	GPAT1	3702.AT1G19800.2	3702.AT1G06520.1	0	0	0	0	0	0	0	0.567	0.567
ABCI14	ATNTT2	3702.AT1G19800.2	3702.AT1G15500.1	0	0	0	0	0	0	0	0.667	0.667
ABCI18	HYL1	3702.AT1G03900.1	3702.AT1G09700.1	0	0	0	0	0	0.528	0	0	0.528
ABCI18	AT1G20760	3702.AT1G03900.1	3702.AT1G20760.1	0	0	0	0	0	0.133	0	0.571	0.612
ABCI18	AT1G21630	3702.AT1G03900.1	3702.AT1G21630.2	0	0	0	0	0	0.133	0	0.571	0.612
ABCI18	ABCI19	3702.AT1G03900.1	3702.AT1G03905.1	0	0.174	0	0	0	0	0	0.670	0.715
ABCI19	AT1G02080	3702.AT1G03905.1	3702.AT1G02080.1	0	0	0	0	0	0	0	0.581	0.581
ABCI19	UVR2	3702.AT1G03905.1	3702.AT1G12370.2	0	0	0	0	0	0	0	0.451	0.451
ABCI19	DRG1	3702.AT1G03905.1	3702.AT1G17470.1	0	0	0	0	0.048	0	0	0.465	0.468
ABCI19	AT1G07705	3702.AT1G03905.1	3702.AT1G07705.2	0	0	0	0	0.047	0	0	0.495	0.498
ABCI19	AT1G07700	3702.AT1G03905.1	3702.AT1G07700.3	0	0	0	0	0.047	0	0	0.495	0.498
ABCI19	BTF3	3702.AT1G03905.1	3702.AT1G17880.1	0	0	0	0	0.057	0	0	0.508	0.516
ACA.l	AT1G01230	3702.AT1G13210.1	3702.AT1G01230.1	0	0	0	0	0.113	0.047	0.900	0.090	0.912
ACA.l	MPK11	3702.AT1G13210.1	3702.AT1G01560.2	0	0	0	0	0.401	0.092	0	0.046	0.435
