AT1G08080	3702.AT1G08080.1
AT1G74240	3702.AT1G74240.1
AT3G12050	3702.AT3G12050.1
AT3G52590	3702.AT3G52590.1
AT1G29150	3702.AT1G29150.1
AT1G29150	3702.AT1G29150.1
AT1G06040	3702.AT1G06040.1
AT3G49100	3702.AT3G49100.1
AT3G49100	3702.AT3G49100.1
AT4G36210	3702.AT4G36210.3
AT5G56780	3702.AT5G56780.1
AT5G66460	3702.AT5G66460.1
AT1G75950	3702.AT1G75950.1
AT2G36710	3702.AT2G36710.1
AT4G01850	3702.AT4G01850.1
AT4G01850	3702.AT4G01850.1
AT1G50480	3702.AT1G50480.1
AT5G09860	3702.AT5G09860.1
AT5G41610	3702.AT5G41610.1
AT5G41610	3702.AT5G41610.1
AT5G11730	3702.AT5G11730.1
AT1G20370	3702.AT1G20370.1
AT5G06720	3702.AT5G06720.1
AT5G20910	3702.AT5G20910.1
AT5G23250	3702.AT5G23250.1
AT3G10530	3702.AT3G10530.1
AT3G49650	3702.AT3G49650.1
AT5G60930	3702.AT5G60930.1
AT1G75270	3702.AT1G75270.1
AT4G24690	3702.AT4G24690.1
AT1G11050	3702.AT1G11050.1
AT5G16010	3702.AT5G16010.1
AT5G56280	3702.AT5G56280.1
AT4G37790	3702.AT4G37790.1
AT3G26570	3702.AT3G26570.1
AT5G59910	3702.AT5G59910.1
AT2G40890	3702.AT2G40890.1
AT2G26640	3702.AT2G26640.1
AT3G20970	3702.AT3G20970.1
AT5G58290	3702.AT5G58290.1
AT1G06680	3702.AT1G06680.1
AT3G12500	3702.AT3G12500.1
AT5G67480	3702.AT5G67480.2
AT5G67480	3702.AT5G67480.2
AT5G58370	3702.AT5G58370.2
AT5G58370	3702.AT5G58370.2
AT3G22180	3702.AT3G22180.1
AT4G00490	3702.AT4G00490.1
AT5G01990	3702.AT5G01990.1
AT3G09570	3702.AT3G09570.1
AT4G00900	3702.AT4G00900.1
AT4G00900	3702.AT4G00900.1
AT1G23010	3702.AT1G23010.1
AT1G23820	3702.AT1G23820.1
AT3G53680	3702.AT3G53680.1
ATCG00740	3702.ATCG00740.1
AT2G20515	3702.AT2G20515.1
AT1G02660	3702.AT1G02660.1
AT4G34660	3702.AT4G34660.1
AT5G39320	3702.AT5G39320.1
AT1G30630	3702.AT1G30630.1
AT2G35360	3702.AT2G35360.1
AT1G27320	3702.AT1G27320.1
AT1G76880	3702.AT1G76880.1
AT1G33811	3702.AT1G33811.1
AT3G53950	3702.AT3G53950.1
AT1G06890	3702.AT1G06890.1
AT1G06890	3702.AT1G06890.1
AT5G50900	3702.AT5G50900.1
AT1G12390	3702.AT1G12390.1
AT5G04870	3702.AT5G04870.1
AT2G41790	3702.AT2G41790.1
AT2G41480	3702.AT2G41480.1
AT2G02860	3702.AT2G02860.1
AT2G27710	3702.AT2G27710.1
AT2G27710	3702.AT2G27710.1
AT2G27710	3702.AT2G27710.1
AT5G64330	3702.AT5G64330.1
AT3G62020	3702.AT3G62020.1
AT5G51720	3702.AT5G51720.1
AT5G36160	3702.AT5G36160.1
AT5G21326	3702.AT5G21326.1
AT5G26980	3702.AT5G26980.1
AT5G26980	3702.AT5G26980.1
AT5G26980	3702.AT5G26980.1
AT5G50970	3702.AT5G50970.1
AT2G43590	3702.AT2G43590.1
AT5G14620	3702.AT5G14620.1
AT5G26820	3702.AT5G26820.1
AT4G33600	3702.AT4G33600.1
AT5G16790	3702.AT5G16790.1
AT5G16790	3702.AT5G16790.1
AT5G19290	3702.AT5G19290.1
AT2G20750	3702.AT2G20750.1
AT3G07570	3702.AT3G07570.1
AT4G33260	3702.AT4G33260.1
AT5G06460	3702.AT5G06460.1
AT2G41700	3702.AT2G41700.1
AT5G19490	3702.AT5G19490.1
AT3G61470	3702.AT3G61470.1
AT3G46200	3702.AT3G46200.1
AT5G22350	3702.AT5G22350.1
AT1G68520	3702.AT1G68520.1
AT5G19730	3702.AT5G19730.1
AT3G12600	3702.AT3G12600.1
AT5G35700	3702.AT5G35700.1
AT1G73180	3702.AT1G73180.1
AT2G16630	3702.AT2G16630.1
AT5G16400	3702.AT5G16400.1
AT4G29590	3702.AT4G29590.1
AT1G15550	3702.AT1G15550.1
AT3G47000	3702.AT3G47000.1
AT1G59900	3702.AT1G59900.1
AT5G15180	3702.AT5G15180.1
AT2G26450	3702.AT2G26450.1
AT4G10340	3702.AT4G10340.1
AT1G19330	3702.AT1G19330.3
AT2G01430	3702.AT2G01430.1
AT5G13930	3702.AT5G13930.1
AT1G63000	3702.AT1G63000.1
AT3G47780	3702.AT3G47780.1
AT1G74310	3702.AT1G74310.1
AT1G49970	3702.AT1G49970.1
AT4G31540	3702.AT4G31540.1
AT1G66340	3702.AT1G66340.1
AT3G54690	3702.AT3G54690.1
AT5G03280	3702.AT5G03280.1
AT2G23540	3702.AT2G23540.1
AT1G73200	3702.AT1G73200.1
AT5G03610	3702.AT5G03610.1
AT1G31330	3702.AT1G31330.1
AT5G35530	3702.AT5G35530.1
AT2G45870	3702.AT2G45870.1
AT3G10870	3702.AT3G10870.1
AT3G55520	3702.AT3G55520.1
AT3G55520	3702.AT3G55520.1
AT3G55520	3702.AT3G55520.1
AT4G03210	3702.AT4G03210.1
AT1G50420	3702.AT1G50420.1
AT4G11350	3702.AT4G11350.1
AT2G36170	3702.AT3G52590.1
AT5G64960	3702.AT5G64960.1
AT3G30390	3702.AT3G30390.2
AT3G30390	3702.AT3G30390.2
AT3G30390	3702.AT3G30390.2
AT2G31660	3702.AT2G31660.1
AT1G63780	3702.AT1G63780.1
AT4G09670	3702.AT4G09670.1
AT5G04480	3702.AT5G04480.1
AT3G54940	3702.AT3G54940.2
AT4G05160	3702.AT4G05160.1
AT1G12930	3702.AT1G12930.1
AT4G10320	3702.AT4G10320.1
AT5G23040	3702.AT5G23040.1
AT5G23040	3702.AT5G23040.1
AT2G26830	3702.AT2G26830.1
AT4G09820	3702.AT4G09820.1
AT1G65420	3702.AT1G65420.1
AT1G26930	3702.AT1G26930.1
AT1G49330	3702.AT1G49330.1
AT1G01280	3702.AT1G01280.1
AT1G48900	3702.AT1G48900.1
AT1G78280	3702.AT1G78280.1
AT1G29680	3702.AT1G29680.1
AT4G17260	3702.AT4G17260.1
AT4G28250	3702.AT4G28250.1
AT1G51510	3702.AT1G51510.1
AT3G10620	3702.AT3G10620.1
AT1G10130	3702.AT1G10130.1
AT3G07650	3702.AT3G07650.1
AT3G07650	3702.AT3G07650.1
AT3G07650	3702.AT3G07650.1
AT3G07650	3702.AT3G07650.1
AT1G14000	3702.AT1G14000.1
AT2G37040	3702.AT2G37040.1
AT1G04560	3702.AT1G04560.1
AT5G18070	3702.AT5G18070.1
AT3G18040	3702.AT3G18040.1
AT1G07320	3702.AT1G07320.1
AT1G20610	3702.AT1G20610.1
AT3G28760	3702.AT3G28760.2
AT5G55180	3702.AT5G55180.2
AT5G64120	3702.AT5G64120.1
AT3G26140	3702.AT3G26140.1
AT5G19330	3702.AT5G19330.1
AT5G13780	3702.AT5G13780.1
AT5G51940	3702.AT5G51940.1
AT1G66170	3702.AT1G66170.1
AT5G03520	3702.AT5G03520.1
AT3G56900	3702.AT3G56900.1
AT5G06950	3702.AT5G06950.1
AT5G06950	3702.AT5G06950.1
AT5G06950	3702.AT5G06950.1
AT5G06950	3702.AT5G06950.1
AT5G06950	3702.AT5G06950.1
AT3G14920	3702.AT3G14920.1
AT5G11430	3702.AT5G11430.1
AT5G11430	3702.AT5G11430.1
