#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005737	cytoplasm	90	7481	0.29	6.01e-10	3702.AT1G06680.1,3702.AT1G06890.1,3702.AT1G07320.1,3702.AT1G08080.1,3702.AT1G10130.1,3702.AT1G15550.1,3702.AT1G23010.1,3702.AT1G26930.1,3702.AT1G27320.1,3702.AT1G29150.1,3702.AT1G30630.1,3702.AT1G31330.1,3702.AT1G48900.1,3702.AT1G49970.1,3702.AT1G50480.1,3702.AT1G51510.1,3702.AT1G59900.1,3702.AT1G63000.1,3702.AT1G65420.1,3702.AT1G66340.1,3702.AT1G74310.1,3702.AT1G75270.1,3702.AT1G75950.1,3702.AT1G78280.1,3702.AT2G02860.1,3702.AT2G27710.1,3702.AT2G31660.1,3702.AT2G37040.1,3702.AT2G40890.1,3702.AT2G41700.1,3702.AT2G41790.1,3702.AT2G45870.1,3702.AT3G10620.1,3702.AT3G12500.1,3702.AT3G12600.1,3702.AT3G18040.1,3702.AT3G20970.1,3702.AT3G22180.1,3702.AT3G26570.1,3702.AT3G30390.2,3702.AT3G46200.1,3702.AT3G49100.1,3702.AT3G52590.1,3702.AT3G54690.1,3702.AT3G54940.2,3702.AT3G55520.1,3702.AT3G56900.1,3702.AT3G61470.1,3702.AT4G00490.1,3702.AT4G00900.1,3702.AT4G01850.1,3702.AT4G05160.1,3702.AT4G09670.1,3702.AT4G10320.1,3702.AT4G10340.1,3702.AT4G24690.1,3702.AT4G34660.1,3702.AT5G01990.1,3702.AT5G03280.1,3702.AT5G03520.1,3702.AT5G04870.1,3702.AT5G06460.1,3702.AT5G06720.1,3702.AT5G06950.1,3702.AT5G13780.1,3702.AT5G13930.1,3702.AT5G16400.1,3702.AT5G18070.1,3702.AT5G19330.1,3702.AT5G19730.1,3702.AT5G20910.1,3702.AT5G21326.1,3702.AT5G22350.1,3702.AT5G23040.1,3702.AT5G23250.1,3702.AT5G26820.1,3702.AT5G26980.1,3702.AT5G35530.1,3702.AT5G35700.1,3702.AT5G36160.1,3702.AT5G39320.1,3702.AT5G41610.1,3702.AT5G51720.1,3702.AT5G56280.1,3702.AT5G56780.1,3702.AT5G58290.1,3702.AT5G59910.1,3702.AT5G64960.1,3702.AT5G67480.2,3702.ATCG00740.1	PSBP-1,AT1G06890,RPL4,At1g08080,ECA3,GA3OX1,LPR1,AT1G26930,HK3,ATS9,AT1G30630,PSAF,AT1G48900,CLPR1,THFS,Y14,At1g59900,NRS/ER,NPQ7,ETR1,HSP101,DHAR2,SKP1,AT1G78280,SUT2,AT2G27710,SAD2,PAL1,CYP98A3,ABCA1,AT2G41790,AT2G45870,NUDX26,HCHIB,NUDT16,MPK9,NFU4,AT3G22180,PHT2;1,AT3G30390,NUDT9,AT3G49100,UBQ1,SETH3,AT3G54940,AT3G55520,AT3G56900,LHCA2,BMY9,ECA2,SAM-2,AT4G05160,AT4G09670,AT4G10320,LHCB5,NBR1,AT4G34660,AT5G01990,EIN2,RAB8C,CPK1,UBA2,PA2,AHBP-1B,AT5G13780,TT4,TRXF2,DRT101,ARIA,AT5G19730,AIP2,CIPK26,ELM1,CPP1,AT5G23250,IREG3,SYP41,AT5G35530,FIM5,AT5G36160,UDG4,CHX18,NEET,CSN6A,ET2,RPT3,HTB4,CDKC2,BT4,RPOA
GO:0005623	cell	120	12120	0.2	7.84e-10	3702.AT1G06040.1,3702.AT1G06680.1,3702.AT1G06890.1,3702.AT1G07320.1,3702.AT1G08080.1,3702.AT1G10130.1,3702.AT1G11050.1,3702.AT1G15550.1,3702.AT1G20610.1,3702.AT1G23010.1,3702.AT1G26930.1,3702.AT1G27320.1,3702.AT1G29150.1,3702.AT1G30630.1,3702.AT1G31330.1,3702.AT1G48900.1,3702.AT1G49970.1,3702.AT1G50420.1,3702.AT1G50480.1,3702.AT1G51510.1,3702.AT1G59900.1,3702.AT1G63000.1,3702.AT1G65420.1,3702.AT1G66170.1,3702.AT1G66340.1,3702.AT1G68520.1,3702.AT1G74310.1,3702.AT1G75270.1,3702.AT1G75950.1,3702.AT1G78280.1,3702.AT2G01430.1,3702.AT2G02860.1,3702.AT2G20750.1,3702.AT2G26450.1,3702.AT2G26830.1,3702.AT2G27710.1,3702.AT2G31660.1,3702.AT2G36710.1,3702.AT2G37040.1,3702.AT2G40890.1,3702.AT2G41480.1,3702.AT2G41700.1,3702.AT2G41790.1,3702.AT2G45870.1,3702.AT3G07650.1,3702.AT3G10620.1,3702.AT3G12500.1,3702.AT3G12600.1,3702.AT3G18040.1,3702.AT3G20970.1,3702.AT3G22180.1,3702.AT3G26570.1,3702.AT3G30390.2,3702.AT3G46200.1,3702.AT3G47780.1,3702.AT3G49100.1,3702.AT3G49650.1,3702.AT3G52590.1,3702.AT3G54690.1,3702.AT3G54940.2,3702.AT3G55520.1,3702.AT3G56900.1,3702.AT3G61470.1,3702.AT3G62020.1,3702.AT4G00490.1,3702.AT4G00900.1,3702.AT4G01850.1,3702.AT4G03210.1,3702.AT4G05160.1,3702.AT4G09670.1,3702.AT4G09820.1,3702.AT4G10320.1,3702.AT4G10340.1,3702.AT4G24690.1,3702.AT4G28250.1,3702.AT4G33260.1,3702.AT4G34660.1,3702.AT4G37790.1,3702.AT5G01990.1,3702.AT5G03280.1,3702.AT5G03520.1,3702.AT5G04870.1,3702.AT5G06460.1,3702.AT5G06720.1,3702.AT5G06950.1,3702.AT5G09860.1,3702.AT5G13780.1,3702.AT5G13930.1,3702.AT5G14620.1,3702.AT5G15180.1,3702.AT5G16400.1,3702.AT5G16790.1,3702.AT5G18070.1,3702.AT5G19330.1,3702.AT5G19730.1,3702.AT5G20910.1,3702.AT5G21326.1,3702.AT5G22350.1,3702.AT5G23040.1,3702.AT5G23250.1,3702.AT5G26820.1,3702.AT5G26980.1,3702.AT5G35530.1,3702.AT5G35700.1,3702.AT5G36160.1,3702.AT5G39320.1,3702.AT5G41610.1,3702.AT5G51720.1,3702.AT5G51940.1,3702.AT5G56280.1,3702.AT5G56780.1,3702.AT5G58290.1,3702.AT5G59910.1,3702.AT5G60930.1,3702.AT5G64120.1,3702.AT5G64330.1,3702.AT5G64960.1,3702.AT5G66460.1,3702.AT5G67480.2,3702.ATCG00740.1	STO,PSBP-1,AT1G06890,RPL4,At1g08080,ECA3,AT1G11050,GA3OX1,CYCB2;3,LPR1,AT1G26930,HK3,ATS9,AT1G30630,PSAF,AT1G48900,CLPR1,SCL3,THFS,Y14,At1g59900,NRS/ER,NPQ7,MMD1,ETR1,BBX14,HSP101,DHAR2,SKP1,AT1G78280,HB17,SUT2,EXPB1,AT2G26450,emb1187,AT2G27710,SAD2,AT2G36710,PAL1,CYP98A3,AT2G41480,ABCA1,AT2G41790,AT2G45870,COL9,NUDX26,HCHIB,NUDT16,MPK9,NFU4,AT3G22180,PHT2;1,AT3G30390,NUDT9,ABCA7,AT3G49100,AT3G49650,UBQ1,SETH3,AT3G54940,AT3G55520,AT3G56900,LHCA2,GLP10,BMY9,ECA2,SAM-2,XTH9,AT4G05160,AT4G09670,TT8,AT4G10320,LHCB5,NBR1,EXPB3,CDC20.2,AT4G34660,HAT22,AT5G01990,EIN2,RAB8C,CPK1,UBA2,PA2,AHBP-1B,THO1,AT5G13780,TT4,DRM2,AT5G15180,TRXF2,THO7A,DRT101,ARIA,AT5G19730,AIP2,CIPK26,ELM1,CPP1,AT5G23250,IREG3,SYP41,AT5G35530,FIM5,AT5G36160,UDG4,CHX18,NEET,NRPB6A,CSN6A,ET2,RPT3,HTB4,AT5G60930,AT5G64120,NPH3,CDKC2,MAN7,BT4,RPOA
GO:0005622	intracellular	107	10570	0.21	1.58e-08	3702.AT1G06040.1,3702.AT1G06680.1,3702.AT1G06890.1,3702.AT1G07320.1,3702.AT1G08080.1,3702.AT1G10130.1,3702.AT1G15550.1,3702.AT1G20610.1,3702.AT1G23010.1,3702.AT1G26930.1,3702.AT1G27320.1,3702.AT1G29150.1,3702.AT1G30630.1,3702.AT1G31330.1,3702.AT1G48900.1,3702.AT1G49970.1,3702.AT1G50420.1,3702.AT1G50480.1,3702.AT1G51510.1,3702.AT1G59900.1,3702.AT1G63000.1,3702.AT1G65420.1,3702.AT1G66170.1,3702.AT1G66340.1,3702.AT1G68520.1,3702.AT1G74310.1,3702.AT1G75270.1,3702.AT1G75950.1,3702.AT1G78280.1,3702.AT2G01430.1,3702.AT2G02860.1,3702.AT2G27710.1,3702.AT2G31660.1,3702.AT2G37040.1,3702.AT2G40890.1,3702.AT2G41700.1,3702.AT2G41790.1,3702.AT2G45870.1,3702.AT3G07650.1,3702.AT3G10620.1,3702.AT3G12500.1,3702.AT3G12600.1,3702.AT3G18040.1,3702.AT3G20970.1,3702.AT3G22180.1,3702.AT3G26570.1,3702.AT3G30390.2,3702.AT3G46200.1,3702.AT3G47780.1,3702.AT3G49100.1,3702.AT3G49650.1,3702.AT3G52590.1,3702.AT3G54690.1,3702.AT3G54940.2,3702.AT3G55520.1,3702.AT3G56900.1,3702.AT3G61470.1,3702.AT4G00490.1,3702.AT4G00900.1,3702.AT4G01850.1,3702.AT4G05160.1,3702.AT4G09670.1,3702.AT4G09820.1,3702.AT4G10320.1,3702.AT4G10340.1,3702.AT4G24690.1,3702.AT4G33260.1,3702.AT4G34660.1,3702.AT4G37790.1,3702.AT5G01990.1,3702.AT5G03280.1,3702.AT5G03520.1,3702.AT5G04870.1,3702.AT5G06460.1,3702.AT5G06720.1,3702.AT5G06950.1,3702.AT5G09860.1,3702.AT5G13780.1,3702.AT5G13930.1,3702.AT5G14620.1,3702.AT5G16400.1,3702.AT5G16790.1,3702.AT5G18070.1,3702.AT5G19330.1,3702.AT5G19730.1,3702.AT5G20910.1,3702.AT5G21326.1,3702.AT5G22350.1,3702.AT5G23040.1,3702.AT5G23250.1,3702.AT5G26820.1,3702.AT5G26980.1,3702.AT5G35530.1,3702.AT5G35700.1,3702.AT5G36160.1,3702.AT5G39320.1,3702.AT5G41610.1,3702.AT5G51720.1,3702.AT5G51940.1,3702.AT5G56280.1,3702.AT5G56780.1,3702.AT5G58290.1,3702.AT5G59910.1,3702.AT5G60930.1,3702.AT5G64960.1,3702.AT5G67480.2,3702.ATCG00740.1	STO,PSBP-1,AT1G06890,RPL4,At1g08080,ECA3,GA3OX1,CYCB2;3,LPR1,AT1G26930,HK3,ATS9,AT1G30630,PSAF,AT1G48900,CLPR1,SCL3,THFS,Y14,At1g59900,NRS/ER,NPQ7,MMD1,ETR1,BBX14,HSP101,DHAR2,SKP1,AT1G78280,HB17,SUT2,AT2G27710,SAD2,PAL1,CYP98A3,ABCA1,AT2G41790,AT2G45870,COL9,NUDX26,HCHIB,NUDT16,MPK9,NFU4,AT3G22180,PHT2;1,AT3G30390,NUDT9,ABCA7,AT3G49100,AT3G49650,UBQ1,SETH3,AT3G54940,AT3G55520,AT3G56900,LHCA2,BMY9,ECA2,SAM-2,AT4G05160,AT4G09670,TT8,AT4G10320,LHCB5,NBR1,CDC20.2,AT4G34660,HAT22,AT5G01990,EIN2,RAB8C,CPK1,UBA2,PA2,AHBP-1B,THO1,AT5G13780,TT4,DRM2,TRXF2,THO7A,DRT101,ARIA,AT5G19730,AIP2,CIPK26,ELM1,CPP1,AT5G23250,IREG3,SYP41,AT5G35530,FIM5,AT5G36160,UDG4,CHX18,NEET,NRPB6A,CSN6A,ET2,RPT3,HTB4,AT5G60930,CDKC2,BT4,RPOA
GO:0005829	cytosol	32	1663	0.49	8.11e-07	3702.AT1G07320.1,3702.AT1G29150.1,3702.AT1G48900.1,3702.AT1G50480.1,3702.AT1G59900.1,3702.AT1G63000.1,3702.AT1G74310.1,3702.AT1G75270.1,3702.AT1G75950.1,3702.AT1G78280.1,3702.AT2G27710.1,3702.AT2G31660.1,3702.AT3G12500.1,3702.AT3G18040.1,3702.AT3G46200.1,3702.AT3G52590.1,3702.AT4G01850.1,3702.AT4G09670.1,3702.AT4G10320.1,3702.AT4G34660.1,3702.AT5G06460.1,3702.AT5G13780.1,3702.AT5G16400.1,3702.AT5G18070.1,3702.AT5G20910.1,3702.AT5G21326.1,3702.AT5G35530.1,3702.AT5G35700.1,3702.AT5G36160.1,3702.AT5G39320.1,3702.AT5G58290.1,3702.AT5G64960.1	RPL4,ATS9,AT1G48900,THFS,At1g59900,NRS/ER,HSP101,DHAR2,SKP1,AT1G78280,AT2G27710,SAD2,HCHIB,MPK9,NUDT9,UBQ1,SAM-2,AT4G09670,AT4G10320,AT4G34660,UBA2,AT5G13780,TRXF2,DRT101,AIP2,CIPK26,AT5G35530,FIM5,AT5G36160,UDG4,RPT3,CDKC2
GO:0043229	intracellular organelle	94	9362	0.21	9.63e-07	3702.AT1G06040.1,3702.AT1G06680.1,3702.AT1G06890.1,3702.AT1G07320.1,3702.AT1G08080.1,3702.AT1G10130.1,3702.AT1G20610.1,3702.AT1G23010.1,3702.AT1G26930.1,3702.AT1G27320.1,3702.AT1G29150.1,3702.AT1G30630.1,3702.AT1G31330.1,3702.AT1G49970.1,3702.AT1G50420.1,3702.AT1G50480.1,3702.AT1G51510.1,3702.AT1G59900.1,3702.AT1G65420.1,3702.AT1G66170.1,3702.AT1G66340.1,3702.AT1G68520.1,3702.AT1G74310.1,3702.AT1G75950.1,3702.AT2G01430.1,3702.AT2G02860.1,3702.AT2G27710.1,3702.AT2G31660.1,3702.AT2G40890.1,3702.AT2G41700.1,3702.AT2G41790.1,3702.AT2G45870.1,3702.AT3G07650.1,3702.AT3G10620.1,3702.AT3G12500.1,3702.AT3G12600.1,3702.AT3G18040.1,3702.AT3G20970.1,3702.AT3G22180.1,3702.AT3G26570.1,3702.AT3G30390.2,3702.AT3G47780.1,3702.AT3G49100.1,3702.AT3G49650.1,3702.AT3G52590.1,3702.AT3G54940.2,3702.AT3G56900.1,3702.AT3G61470.1,3702.AT4G00490.1,3702.AT4G00900.1,3702.AT4G01850.1,3702.AT4G05160.1,3702.AT4G09820.1,3702.AT4G10340.1,3702.AT4G24690.1,3702.AT4G33260.1,3702.AT4G34660.1,3702.AT4G37790.1,3702.AT5G01990.1,3702.AT5G03280.1,3702.AT5G03520.1,3702.AT5G04870.1,3702.AT5G06460.1,3702.AT5G06720.1,3702.AT5G06950.1,3702.AT5G09860.1,3702.AT5G13780.1,3702.AT5G13930.1,3702.AT5G14620.1,3702.AT5G16400.1,3702.AT5G16790.1,3702.AT5G18070.1,3702.AT5G19330.1,3702.AT5G20910.1,3702.AT5G21326.1,3702.AT5G22350.1,3702.AT5G23040.1,3702.AT5G23250.1,3702.AT5G26820.1,3702.AT5G26980.1,3702.AT5G35530.1,3702.AT5G35700.1,3702.AT5G39320.1,3702.AT5G41610.1,3702.AT5G51720.1,3702.AT5G51940.1,3702.AT5G56280.1,3702.AT5G56780.1,3702.AT5G58290.1,3702.AT5G59910.1,3702.AT5G60930.1,3702.AT5G64960.1,3702.AT5G67480.2,3702.ATCG00740.1	STO,PSBP-1,AT1G06890,RPL4,At1g08080,ECA3,CYCB2;3,LPR1,AT1G26930,HK3,ATS9,AT1G30630,PSAF,CLPR1,SCL3,THFS,Y14,At1g59900,NPQ7,MMD1,ETR1,BBX14,HSP101,SKP1,HB17,SUT2,AT2G27710,SAD2,CYP98A3,ABCA1,AT2G41790,AT2G45870,COL9,NUDX26,HCHIB,NUDT16,MPK9,NFU4,AT3G22180,PHT2;1,AT3G30390,ABCA7,AT3G49100,AT3G49650,UBQ1,AT3G54940,AT3G56900,LHCA2,BMY9,ECA2,SAM-2,AT4G05160,TT8,LHCB5,NBR1,CDC20.2,AT4G34660,HAT22,AT5G01990,EIN2,RAB8C,CPK1,UBA2,PA2,AHBP-1B,THO1,AT5G13780,TT4,DRM2,TRXF2,THO7A,DRT101,ARIA,AIP2,CIPK26,ELM1,CPP1,AT5G23250,IREG3,SYP41,AT5G35530,FIM5,UDG4,CHX18,NEET,NRPB6A,CSN6A,ET2,RPT3,HTB4,AT5G60930,CDKC2,BT4,RPOA
GO:0043227	membrane-bounded organelle	90	9036	0.2	3.12e-06	3702.AT1G06040.1,3702.AT1G06680.1,3702.AT1G06890.1,3702.AT1G07320.1,3702.AT1G08080.1,3702.AT1G10130.1,3702.AT1G20610.1,3702.AT1G23010.1,3702.AT1G26930.1,3702.AT1G27320.1,3702.AT1G29150.1,3702.AT1G30630.1,3702.AT1G31330.1,3702.AT1G49970.1,3702.AT1G50420.1,3702.AT1G50480.1,3702.AT1G51510.1,3702.AT1G59900.1,3702.AT1G65420.1,3702.AT1G66170.1,3702.AT1G66340.1,3702.AT1G68520.1,3702.AT1G74310.1,3702.AT1G75950.1,3702.AT2G01430.1,3702.AT2G02860.1,3702.AT2G27710.1,3702.AT2G31660.1,3702.AT2G40890.1,3702.AT2G41700.1,3702.AT2G41790.1,3702.AT2G45870.1,3702.AT3G07650.1,3702.AT3G10620.1,3702.AT3G12500.1,3702.AT3G12600.1,3702.AT3G18040.1,3702.AT3G20970.1,3702.AT3G22180.1,3702.AT3G26570.1,3702.AT3G30390.2,3702.AT3G47780.1,3702.AT3G49100.1,3702.AT3G52590.1,3702.AT3G54940.2,3702.AT3G56900.1,3702.AT3G61470.1,3702.AT4G00490.1,3702.AT4G00900.1,3702.AT4G01850.1,3702.AT4G05160.1,3702.AT4G09820.1,3702.AT4G10340.1,3702.AT4G24690.1,3702.AT4G33260.1,3702.AT4G34660.1,3702.AT4G37790.1,3702.AT5G01990.1,3702.AT5G03280.1,3702.AT5G03520.1,3702.AT5G04870.1,3702.AT5G06460.1,3702.AT5G06720.1,3702.AT5G06950.1,3702.AT5G09860.1,3702.AT5G13930.1,3702.AT5G14620.1,3702.AT5G16400.1,3702.AT5G16790.1,3702.AT5G18070.1,3702.AT5G19330.1,3702.AT5G20910.1,3702.AT5G21326.1,3702.AT5G22350.1,3702.AT5G23040.1,3702.AT5G23250.1,3702.AT5G26820.1,3702.AT5G26980.1,3702.AT5G35530.1,3702.AT5G39320.1,3702.AT5G41610.1,3702.AT5G51720.1,3702.AT5G51940.1,3702.AT5G56280.1,3702.AT5G56780.1,3702.AT5G58290.1,3702.AT5G59910.1,3702.AT5G64960.1,3702.AT5G67480.2,3702.ATCG00740.1	STO,PSBP-1,AT1G06890,RPL4,At1g08080,ECA3,CYCB2;3,LPR1,AT1G26930,HK3,ATS9,AT1G30630,PSAF,CLPR1,SCL3,THFS,Y14,At1g59900,NPQ7,MMD1,ETR1,BBX14,HSP101,SKP1,HB17,SUT2,AT2G27710,SAD2,CYP98A3,ABCA1,AT2G41790,AT2G45870,COL9,NUDX26,HCHIB,NUDT16,MPK9,NFU4,AT3G22180,PHT2;1,AT3G30390,ABCA7,AT3G49100,UBQ1,AT3G54940,AT3G56900,LHCA2,BMY9,ECA2,SAM-2,AT4G05160,TT8,LHCB5,NBR1,CDC20.2,AT4G34660,HAT22,AT5G01990,EIN2,RAB8C,CPK1,UBA2,PA2,AHBP-1B,THO1,TT4,DRM2,TRXF2,THO7A,DRT101,ARIA,AIP2,CIPK26,ELM1,CPP1,AT5G23250,IREG3,SYP41,AT5G35530,UDG4,CHX18,NEET,NRPB6A,CSN6A,ET2,RPT3,HTB4,CDKC2,BT4,RPOA
GO:0043231	intracellular membrane-bounded organelle	88	8914	0.2	7.05e-06	3702.AT1G06040.1,3702.AT1G06680.1,3702.AT1G06890.1,3702.AT1G07320.1,3702.AT1G08080.1,3702.AT1G10130.1,3702.AT1G20610.1,3702.AT1G23010.1,3702.AT1G26930.1,3702.AT1G27320.1,3702.AT1G29150.1,3702.AT1G30630.1,3702.AT1G31330.1,3702.AT1G49970.1,3702.AT1G50420.1,3702.AT1G50480.1,3702.AT1G51510.1,3702.AT1G59900.1,3702.AT1G65420.1,3702.AT1G66170.1,3702.AT1G66340.1,3702.AT1G68520.1,3702.AT1G74310.1,3702.AT1G75950.1,3702.AT2G01430.1,3702.AT2G02860.1,3702.AT2G27710.1,3702.AT2G31660.1,3702.AT2G40890.1,3702.AT2G41700.1,3702.AT2G41790.1,3702.AT2G45870.1,3702.AT3G07650.1,3702.AT3G10620.1,3702.AT3G12500.1,3702.AT3G12600.1,3702.AT3G18040.1,3702.AT3G20970.1,3702.AT3G26570.1,3702.AT3G30390.2,3702.AT3G47780.1,3702.AT3G49100.1,3702.AT3G52590.1,3702.AT3G54940.2,3702.AT3G56900.1,3702.AT3G61470.1,3702.AT4G00490.1,3702.AT4G00900.1,3702.AT4G01850.1,3702.AT4G05160.1,3702.AT4G09820.1,3702.AT4G10340.1,3702.AT4G24690.1,3702.AT4G33260.1,3702.AT4G34660.1,3702.AT4G37790.1,3702.AT5G01990.1,3702.AT5G03280.1,3702.AT5G03520.1,3702.AT5G04870.1,3702.AT5G06460.1,3702.AT5G06720.1,3702.AT5G06950.1,3702.AT5G09860.1,3702.AT5G13930.1,3702.AT5G14620.1,3702.AT5G16400.1,3702.AT5G16790.1,3702.AT5G18070.1,3702.AT5G19330.1,3702.AT5G20910.1,3702.AT5G21326.1,3702.AT5G22350.1,3702.AT5G23040.1,3702.AT5G23250.1,3702.AT5G26820.1,3702.AT5G26980.1,3702.AT5G35530.1,3702.AT5G39320.1,3702.AT5G51720.1,3702.AT5G51940.1,3702.AT5G56280.1,3702.AT5G56780.1,3702.AT5G58290.1,3702.AT5G59910.1,3702.AT5G64960.1,3702.AT5G67480.2,3702.ATCG00740.1	STO,PSBP-1,AT1G06890,RPL4,At1g08080,ECA3,CYCB2;3,LPR1,AT1G26930,HK3,ATS9,AT1G30630,PSAF,CLPR1,SCL3,THFS,Y14,At1g59900,NPQ7,MMD1,ETR1,BBX14,HSP101,SKP1,HB17,SUT2,AT2G27710,SAD2,CYP98A3,ABCA1,AT2G41790,AT2G45870,COL9,NUDX26,HCHIB,NUDT16,MPK9,NFU4,PHT2;1,AT3G30390,ABCA7,AT3G49100,UBQ1,AT3G54940,AT3G56900,LHCA2,BMY9,ECA2,SAM-2,AT4G05160,TT8,LHCB5,NBR1,CDC20.2,AT4G34660,HAT22,AT5G01990,EIN2,RAB8C,CPK1,UBA2,PA2,AHBP-1B,THO1,TT4,DRM2,TRXF2,THO7A,DRT101,ARIA,AIP2,CIPK26,ELM1,CPP1,AT5G23250,IREG3,SYP41,AT5G35530,UDG4,NEET,NRPB6A,CSN6A,ET2,RPT3,HTB4,CDKC2,BT4,RPOA
GO:0009570	chloroplast stroma	14	649	0.54	0.0017	3702.AT1G06680.1,3702.AT1G07320.1,3702.AT1G08080.1,3702.AT1G31330.1,3702.AT1G49970.1,3702.AT1G74310.1,3702.AT3G61470.1,3702.AT4G00490.1,3702.AT4G10340.1,3702.AT5G16400.1,3702.AT5G23040.1,3702.AT5G51720.1,3702.AT5G59910.1,3702.ATCG00740.1	PSBP-1,RPL4,At1g08080,PSAF,CLPR1,HSP101,LHCA2,BMY9,LHCB5,TRXF2,CPP1,NEET,HTB4,RPOA
GO:0016020	membrane	56	5592	0.21	0.0022	3702.AT1G01280.1,3702.AT1G02660.1,3702.AT1G06680.1,3702.AT1G06890.1,3702.AT1G07320.1,3702.AT1G10130.1,3702.AT1G11050.1,3702.AT1G12390.1,3702.AT1G23010.1,3702.AT1G27320.1,3702.AT1G30630.1,3702.AT1G31330.1,3702.AT1G50480.1,3702.AT1G63000.1,3702.AT1G65420.1,3702.AT1G66340.1,3702.AT1G75270.1,3702.AT1G75950.1,3702.AT2G02860.1,3702.AT2G20750.1,3702.AT2G26450.1,3702.AT2G26640.1,3702.AT2G26830.1,3702.AT2G27710.1,3702.AT2G40890.1,3702.AT2G41700.1,3702.AT2G45870.1,3702.AT3G07570.1,3702.AT3G12500.1,3702.AT3G22180.1,3702.AT3G26570.1,3702.AT3G30390.2,3702.AT3G47780.1,3702.AT3G49100.1,3702.AT3G61470.1,3702.AT4G00900.1,3702.AT4G10340.1,3702.AT4G28250.1,3702.AT4G34660.1,3702.AT5G01990.1,3702.AT5G03280.1,3702.AT5G03520.1,3702.AT5G04870.1,3702.AT5G13930.1,3702.AT5G19330.1,3702.AT5G21326.1,3702.AT5G22350.1,3702.AT5G23040.1,3702.AT5G26820.1,3702.AT5G26980.1,3702.AT5G35530.1,3702.AT5G41610.1,3702.AT5G58290.1,3702.AT5G64120.1,3702.AT5G64330.1,3702.AT5G67480.2	CYP703A2,AT1G02660,PSBP-1,AT1G06890,RPL4,ECA3,AT1G11050,AT1G12390,LPR1,HK3,AT1G30630,PSAF,THFS,NRS/ER,NPQ7,ETR1,DHAR2,SKP1,SUT2,EXPB1,AT2G26450,KCS11,emb1187,AT2G27710,CYP98A3,ABCA1,AT2G45870,AT3G07570,HCHIB,AT3G22180,PHT2;1,AT3G30390,ABCA7,AT3G49100,LHCA2,ECA2,LHCB5,EXPB3,AT4G34660,AT5G01990,EIN2,RAB8C,CPK1,TT4,ARIA,CIPK26,ELM1,CPP1,IREG3,SYP41,AT5G35530,CHX18,RPT3,AT5G64120,NPH3,BT4
GO:0032991	protein-containing complex	28	2105	0.33	0.0023	3702.AT1G06680.1,3702.AT1G07320.1,3702.AT1G26930.1,3702.AT1G29150.1,3702.AT1G30630.1,3702.AT1G31330.1,3702.AT1G48900.1,3702.AT1G49970.1,3702.AT1G51510.1,3702.AT2G27710.1,3702.AT3G49100.1,3702.AT3G49650.1,3702.AT3G52590.1,3702.AT3G56900.1,3702.AT3G61470.1,3702.AT4G10340.1,3702.AT4G33260.1,3702.AT5G09860.1,3702.AT5G13780.1,3702.AT5G16790.1,3702.AT5G26980.1,3702.AT5G35530.1,3702.AT5G51940.1,3702.AT5G56280.1,3702.AT5G58290.1,3702.AT5G59910.1,3702.AT5G60930.1,3702.AT5G67480.2	PSBP-1,RPL4,AT1G26930,ATS9,AT1G30630,PSAF,AT1G48900,CLPR1,Y14,AT2G27710,AT3G49100,AT3G49650,UBQ1,AT3G56900,LHCA2,LHCB5,CDC20.2,THO1,AT5G13780,THO7A,SYP41,AT5G35530,NRPB6A,CSN6A,RPT3,HTB4,AT5G60930,BT4
