#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ALDH6A	PP1S102_20V6.1	3218.PP1S27_198V6.1	3218.PP1S102_20V6.1	0	0	0	0	0.043	0	0	0.580	0.580
ALDH6A	PP1S104_73V6.1	3218.PP1S27_198V6.1	3218.PP1S104_73V6.1	0	0	0	0	0.041	0.804	0	0	0.804
ALDH6A	PP1S127_31V6.1	3218.PP1S27_198V6.1	3218.PP1S127_31V6.1	0	0	0	0	0	0	0	0.517	0.517
ALDH6A	PP1S403_39V6.1	3218.PP1S27_198V6.1	3218.PP1S403_39V6.1	0	0	0	0	0.047	0	0	0.436	0.439
ALDH6A	PP1S368_36V6.1	3218.PP1S27_198V6.1	3218.PP1S368_36V6.1	0	0	0	0	0.101	0	0	0.500	0.531
ALDH6A	PP1S92_53V6.2	3218.PP1S27_198V6.1	3218.PP1S92_53V6.2	0	0	0	0	0	0	0	0.600	0.600
ALDH6A	PP1S67_59V6.1	3218.PP1S27_198V6.1	3218.PP1S67_59V6.1	0	0	0	0	0.167	0	0.900	0.358	0.941
ArfA13	RabG11	3218.PP1S67_221V6.1	3218.PP1S398_18V6.1	0	0	0	0	0.049	0.143	0	0.351	0.424
ArfA13	PP1S43_137V6.1	3218.PP1S67_221V6.1	3218.PP1S43_137V6.1	0	0	0	0	0	0.633	0	0.046	0.634
ArfA13	PP1S543_3V6.2	3218.PP1S67_221V6.1	3218.PP1S543_3V6.2	0	0	0	0	0.048	0.155	0	0.336	0.419
ArfA13	RabG13	3218.PP1S67_221V6.1	3218.PP1S61_279V6.1	0	0	0	0	0.049	0.143	0	0.351	0.424
ArfM11	RabA32	3218.PP1S34_431V6.1	3218.PP1S10_243V6.1	0	0	0.281	0	0.055	0.185	0	0.205	0.500
ArfM11	PP1S84_180V6.1	3218.PP1S34_431V6.1	3218.PP1S84_180V6.1	0	0	0.271	0	0.055	0.185	0	0.205	0.493
ArfM11	PP1S543_3V6.2	3218.PP1S34_431V6.1	3218.PP1S543_3V6.2	0	0	0.245	0	0.048	0.155	0	0.336	0.542
ArfM11	RabG11	3218.PP1S34_431V6.1	3218.PP1S398_18V6.1	0	0	0.241	0	0.049	0.143	0	0.351	0.544
ArfM11	RabG13	3218.PP1S34_431V6.1	3218.PP1S61_279V6.1	0	0	0.244	0	0.049	0.143	0	0.351	0.546
ArfM11	PP1S43_137V6.1	3218.PP1S34_431V6.1	3218.PP1S43_137V6.1	0	0	0	0	0	0.633	0	0.046	0.634
CDKA	PP1S158_7V6.1	3218.PP1S281_23V6.1	3218.PP1S158_7V6.1	0	0	0	0	0.443	0.157	0	0.345	0.665
CDKA	PP1S169_153V6.1	3218.PP1S281_23V6.1	3218.PP1S169_153V6.1	0	0	0	0	0.055	0.160	0	0.335	0.426
CDKA	EF1Bgamma4	3218.PP1S281_23V6.1	3218.PP1S172_22V6.1	0	0	0	0	0.049	0.485	0	0	0.489
CDKA	PP1S197_115V6.1	3218.PP1S281_23V6.1	3218.PP1S197_115V6.1	0	0	0	0	0.055	0.488	0	0.049	0.499
CDKA	PP1S280_23V6.1	3218.PP1S281_23V6.1	3218.PP1S280_23V6.1	0	0	0	0	0.042	0.854	0	0	0.854
CDKA	PP1S50_83V6.1	3218.PP1S281_23V6.1	3218.PP1S50_83V6.1	0	0	0.434	0.625	0.133	0.179	0	0.237	0.419
CDKA	PP1S61_57V6.1	3218.PP1S281_23V6.1	3218.PP1S61_57V6.1	0	0	0	0	0.055	0	0	0.485	0.492
CDKA	PP1S3_191V6.2	3218.PP1S281_23V6.1	3218.PP1S3_191V6.2	0	0	0	0	0	0	0	0.522	0.522
CDKA	PP1S99_129V6.1	3218.PP1S281_23V6.1	3218.PP1S99_129V6.1	0	0	0	0	0.051	0.187	0	0.502	0.582
CDKA	PP1S400_12V6.1	3218.PP1S281_23V6.1	3218.PP1S400_12V6.1	0	0	0	0	0	0.192	0	0.514	0.590
CDKA	PP1S383_1V6.1	3218.PP1S281_23V6.1	3218.PP1S383_1V6.1	0	0	0	0	0.047	0.603	0	0.060	0.613
CDKA	PP1S43_121V6.1	3218.PP1S281_23V6.1	3218.PP1S43_121V6.1	0	0	0.427	0.930	0.043	0.594	0	0.529	0.620
CDKA	PP1S83_80V6.1	3218.PP1S281_23V6.1	3218.PP1S83_80V6.1	0	0	0	0	0.043	0.574	0	0.206	0.648
CIPK03	PP1S137_194V6.1	3218.PP1S58_13V6.1	3218.PP1S137_194V6.1	0	0	0	0	0	0.341	0	0.136	0.406
CIPK03	PP1S137_232V6.1	3218.PP1S58_13V6.1	3218.PP1S137_232V6.1	0	0	0	0	0	0.341	0	0.136	0.406
CIPK03	PP1S140_63V6.1	3218.PP1S58_13V6.1	3218.PP1S140_63V6.1	0	0	0	0	0	0.341	0	0.136	0.406
DES5	PP1S104_88V6.3	3218.PP1S83_225V6.2	3218.PP1S104_88V6.3	0	0	0	0	0	0	0	0.466	0.465
DES5	PP1S158_84V6.1	3218.PP1S83_225V6.2	3218.PP1S158_84V6.1	0.041	0	0	0	0	0	0	0.564	0.564
DES5	PSE1	3218.PP1S83_225V6.2	3218.PP1S277_79V6.1	0	0	0	0	0.047	0	0	0.500	0.503
DES5	PP1S311_79V6.2	3218.PP1S83_225V6.2	3218.PP1S311_79V6.2	0.042	0	0	0	0.043	0	0	0.468	0.469
DES5	PP1S89_161V6.1	3218.PP1S83_225V6.2	3218.PP1S89_161V6.1	0	0	0	0	0	0	0	0.466	0.465
EF1Bgamma4	PP1S107_181V6.1	3218.PP1S172_22V6.1	3218.PP1S107_181V6.1	0	0	0	0	0.885	0.059	0	0	0.887
EF1Bgamma4	PP1S10_102V6.1	3218.PP1S172_22V6.1	3218.PP1S10_102V6.1	0	0	0	0	0.885	0	0	0.355	0.922
EF1Bgamma4	PP1S10_369V6.1	3218.PP1S172_22V6.1	3218.PP1S10_369V6.1	0	0	0	0	0.885	0	0	0.355	0.922
EF1Bgamma4	PP1S116_56V6.2	3218.PP1S172_22V6.1	3218.PP1S116_56V6.2	0	0	0	0	0.098	0	0	0.572	0.597
EF1Bgamma4	Per1	3218.PP1S172_22V6.1	3218.PP1S12_126V6.1	0	0	0	0	0.161	0.115	0	0.265	0.406
EF1Bgamma4	PP1S138_83V6.1	3218.PP1S172_22V6.1	3218.PP1S138_83V6.1	0	0	0	0	0.885	0	0	0.066	0.887
EF1Bgamma4	PP1S144_37V6.1	3218.PP1S172_22V6.1	3218.PP1S144_37V6.1	0	0	0	0	0.885	0	0	0.182	0.901
EF1Bgamma4	PP1S145_173V6.1	3218.PP1S172_22V6.1	3218.PP1S145_173V6.1	0.043	0	0	0	0.164	0.638	0	0.063	0.692
EF1Bgamma4	PP1S14_31V6.1	3218.PP1S172_22V6.1	3218.PP1S14_31V6.1	0	0	0	0	0.885	0	0	0.067	0.888
EF1Bgamma4	PP1S152_133V6.1	3218.PP1S172_22V6.1	3218.PP1S152_133V6.1	0	0	0	0	0.591	0	0	0	0.591
EF1Bgamma4	PP1S152_7V6.1	3218.PP1S172_22V6.1	3218.PP1S152_7V6.1	0	0	0	0	0.885	0	0	0.556	0.946
EF1Bgamma4	PP1S154_69V6.1	3218.PP1S172_22V6.1	3218.PP1S154_69V6.1	0	0	0	0	0.885	0	0	0.398	0.927
EF1Bgamma4	PP1S159_5V6.2	3218.PP1S172_22V6.1	3218.PP1S159_5V6.2	0	0	0	0	0.042	0	0	0.472	0.472
