#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Arl15L	PP1S211_68V6.1	3218.PP1S78_167V6.1	3218.PP1S211_68V6.1	0	0	0	0	0	0.585	0	0.172	0.641
Arl15L	PP1S231_24V6.1	3218.PP1S78_167V6.1	3218.PP1S231_24V6.1	0	0	0	0	0.051	0.600	0	0.237	0.685
Arl15L	PP1S281_58V6.1	3218.PP1S78_167V6.1	3218.PP1S281_58V6.1	0	0	0	0	0	0.633	0	0.046	0.634
CBL01	PP1S113_117V6.2	3218.PP1S28_66V6.1	3218.PP1S113_117V6.2	0	0	0	0	0.051	0.191	0	0.427	0.521
CBL01	PP1S169_48V6.2	3218.PP1S28_66V6.1	3218.PP1S169_48V6.2	0	0	0	0	0.051	0.191	0	0.427	0.521
CBL01	CIPK05	3218.PP1S28_66V6.1	3218.PP1S186_77V6.1	0	0	0	0	0.048	0.194	0	0.527	0.605
CBL01	PP1S80_36V6.1	3218.PP1S28_66V6.1	3218.PP1S80_36V6.1	0	0	0	0	0	0.181	0	0.317	0.416
CBL01	CIPK02	3218.PP1S28_66V6.1	3218.PP1S30_102V6.1	0	0	0	0	0.048	0.194	0	0.527	0.605
CBL01	CIPK04	3218.PP1S28_66V6.1	3218.PP1S79_209V6.1	0	0	0	0	0.048	0.194	0	0.527	0.605
CIPK02	PP1S133_58V6.1	3218.PP1S30_102V6.1	3218.PP1S133_58V6.1	0	0	0	0	0	0.595	0	0.564	0.815
CIPK02	PP1S137_232V6.1	3218.PP1S30_102V6.1	3218.PP1S137_232V6.1	0	0	0	0	0	0.341	0	0.136	0.406
CIPK02	PP1S140_63V6.1	3218.PP1S30_102V6.1	3218.PP1S140_63V6.1	0	0	0	0	0	0.341	0	0.136	0.406
CIPK02	Nia1	3218.PP1S30_102V6.1	3218.PP1S58_252V6.1	0	0	0	0	0.065	0	0	0.468	0.481
CIPK02	PP1S31_147V6.1	3218.PP1S30_102V6.1	3218.PP1S31_147V6.1	0	0	0	0	0	0	0	0.509	0.509
CIPK02	PP1S90_101V6.1	3218.PP1S30_102V6.1	3218.PP1S90_101V6.1	0	0	0	0	0.043	0.585	0	0.243	0.673
CIPK04	PP1S133_58V6.1	3218.PP1S79_209V6.1	3218.PP1S133_58V6.1	0	0	0	0	0	0.595	0	0.564	0.815
CIPK04	PP1S137_232V6.1	3218.PP1S79_209V6.1	3218.PP1S137_232V6.1	0	0	0	0	0	0.341	0	0.136	0.406
CIPK04	PP1S140_63V6.1	3218.PP1S79_209V6.1	3218.PP1S140_63V6.1	0	0	0	0	0	0.341	0	0.136	0.406
CIPK04	PP1S31_147V6.1	3218.PP1S79_209V6.1	3218.PP1S31_147V6.1	0	0	0	0	0	0	0	0.509	0.509
CIPK04	Nia1	3218.PP1S79_209V6.1	3218.PP1S58_252V6.1	0	0	0	0	0.065	0	0	0.468	0.481
CIPK04	PP1S90_101V6.1	3218.PP1S79_209V6.1	3218.PP1S90_101V6.1	0	0	0	0	0.043	0.585	0	0.243	0.673
CIPK05	PP1S133_58V6.1	3218.PP1S186_77V6.1	3218.PP1S133_58V6.1	0	0	0	0	0	0.595	0	0.564	0.815
CIPK05	PP1S137_232V6.1	3218.PP1S186_77V6.1	3218.PP1S137_232V6.1	0	0	0	0	0	0.341	0	0.136	0.406
CIPK05	PP1S140_63V6.1	3218.PP1S186_77V6.1	3218.PP1S140_63V6.1	0	0	0	0	0	0.341	0	0.136	0.406
CIPK05	Nia1	3218.PP1S186_77V6.1	3218.PP1S58_252V6.1	0	0	0	0	0.065	0	0	0.468	0.481
CIPK05	PP1S31_147V6.1	3218.PP1S186_77V6.1	3218.PP1S31_147V6.1	0	0	0	0	0	0	0	0.509	0.509
CIPK05	PP1S90_101V6.1	3218.PP1S186_77V6.1	3218.PP1S90_101V6.1	0	0	0	0	0.043	0.585	0	0.243	0.673
CTU1	PP1S10_183V6.1	3218.PP1S54_267V6.1	3218.PP1S10_183V6.1	0.194	0	0	0	0.052	0	0	0.340	0.451
CTU1	PP1S169_104V6.1	3218.PP1S54_267V6.1	3218.PP1S169_104V6.1	0.043	0	0	0	0	0	0	0.508	0.509
CTU1	rpoA	3218.PP1S54_267V6.1	3218.PP1S169_65V6.1	0.043	0	0	0	0	0	0	0.508	0.509
CTU1	PP1S176_132V6.1	3218.PP1S54_267V6.1	3218.PP1S176_132V6.1	0.054	0	0	0	0.048	0	0	0.430	0.441
CTU1	PP1S427_22V6.1	3218.PP1S54_267V6.1	3218.PP1S427_22V6.1	0	0	0	0	0	0	0	0.550	0.550
CTU1	PP1S47_175V6.1	3218.PP1S54_267V6.1	3218.PP1S47_175V6.1	0	0	0	0	0	0	0	0.692	0.692
CTU1	PP1S8_124V6.1	3218.PP1S54_267V6.1	3218.PP1S8_124V6.1	0.182	0	0	0	0.052	0	0	0.521	0.596
DES6	PP1S222_40V6.1	3218.PP1S64_155V6.2	3218.PP1S222_40V6.1	0.098	0	0	0	0.054	0	0	0.587	0.616
EBP1505	NFC1501	3218.PP1S171_11V6.1	3218.PP1S12_351V6.1	0	0	0	0	0.042	0.338	0	0.244	0.478
EBP1505	PP1S427_22V6.1	3218.PP1S171_11V6.1	3218.PP1S427_22V6.1	0	0	0	0	0	0	0	0.436	0.436
EBP1505	PP1S3_594V6.1	3218.PP1S171_11V6.1	3218.PP1S3_594V6.1	0	0	0	0	0	0.844	0	0.233	0.875
EBP1506	NFC1501	3218.PP1S89_91V6.1	3218.PP1S12_351V6.1	0	0	0	0	0.042	0.338	0	0.244	0.478
EBP1506	PP1S3_594V6.1	3218.PP1S89_91V6.1	3218.PP1S3_594V6.1	0	0	0	0	0	0.844	0	0.233	0.875
EBP1506	PP1S427_22V6.1	3218.PP1S89_91V6.1	3218.PP1S427_22V6.1	0	0	0	0	0	0	0	0.436	0.436
GH3-2	PP1S52_101V6.1	3218.PP1S67_243V6.1	3218.PP1S52_101V6.1	0	0	0	0	0	0	0	0.523	0.523
GH3-2	HPL1	3218.PP1S67_243V6.1	3218.PP1S72_301V6.1	0	0	0	0	0	0	0	0.515	0.515
GOS1A1	PP1S148_79V6.1	3218.PP1S15_440V6.2	3218.PP1S148_79V6.1	0	0	0	0	0	0.579	0	0.232	0.662
GOS1A1	PP1S148_87V6.1	3218.PP1S15_440V6.2	3218.PP1S148_87V6.1	0	0	0	0	0	0.059	0	0.529	0.537
GOS1A1	RabH12	3218.PP1S15_440V6.2	3218.PP1S288_43V6.1	0	0	0	0	0.049	0.110	0	0.504	0.543
GOS1A1	RabH22	3218.PP1S15_440V6.2	3218.PP1S456_9V6.1	0	0	0	0	0.049	0.110	0	0.504	0.543
GOS1A1	SNAP30	3218.PP1S15_440V6.2	3218.PP1S237_9V6.1	0	0	0	0	0	0.188	0	0.525	0.597
GOS1A1	SNAP29	3218.PP1S15_440V6.2	3218.PP1S171_52V6.2	0	0	0	0	0	0.188	0	0.525	0.597
GOS1A1	SYP8	3218.PP1S15_440V6.2	3218.PP1S53_214V6.1	0	0	0	0	0.049	0.134	0	0.575	0.619
GOS1A1	SYP13A1	3218.PP1S15_440V6.2	3218.PP1S161_112V6.1	0	0	0	0	0	0.338	0	0.465	0.630
GOS1A1	SYP12A4	3218.PP1S15_440V6.2	3218.PP1S59_158V6.1	0	0	0	0	0	0.338	0	0.465	0.630
GOS1A1	SYP12A2	3218.PP1S15_440V6.2	3218.PP1S59_154V6.1	0	0	0	0	0	0.338	0	0.465	0.630
GOS1A1	PP1S3_335V6.1	3218.PP1S15_440V6.2	3218.PP1S3_335V6.1	0	0	0	0	0	0.579	0	0.232	0.662
GOS1A1	YKT6A1	3218.PP1S15_440V6.2	3218.PP1S197_20V6.1	0	0	0	0	0.139	0.846	0.800	0.595	0.987
GOS1A1	SYP3A1	3218.PP1S15_440V6.2	3218.PP1S47_13V6.1	0	0	0	0	0.084	0.846	0.800	0.595	0.987
GSTF3	PP1S10_102V6.1	3218.PP1S26_72V6.5	3218.PP1S10_102V6.1	0	0	0	0	0.460	0	0	0.062	0.471
GSTF3	PP1S10_369V6.1	3218.PP1S26_72V6.5	3218.PP1S10_369V6.1	0	0	0	0	0.460	0	0	0.062	0.471
GSTF3	PP1S116_56V6.2	3218.PP1S26_72V6.5	3218.PP1S116_56V6.2	0	0	0	0	0.098	0	0.650	0.464	0.816
GSTF3	PP1S126_52V6.1	3218.PP1S26_72V6.5	3218.PP1S126_52V6.1	0	0	0	0	0.535	0.059	0	0	0.543
GSTF3	PP1S145_172V6.1	3218.PP1S26_72V6.5	3218.PP1S145_172V6.1	0	0	0	0	0.280	0.611	0	0.351	0.802
GSTF3	PP1S8_124V6.1	3218.PP1S26_72V6.5	3218.PP1S8_124V6.1	0.043	0	0	0	0.386	0	0	0.083	0.414
GSTF3	PP1S292_14V6.1	3218.PP1S26_72V6.5	3218.PP1S292_14V6.1	0	0	0	0	0.411	0	0	0.143	0.473
GSTF3	PP1S2_197V6.1	3218.PP1S26_72V6.5	3218.PP1S2_197V6.1	0	0	0	0	0.541	0	0	0	0.541
GSTF3	PP1S347_24V6.2	3218.PP1S26_72V6.5	3218.PP1S347_24V6.2	0	0	0	0	0.541	0	0	0	0.541
HPL1	PP1S14_418V6.1	3218.PP1S72_301V6.1	3218.PP1S14_418V6.1	0	0	0	0	0	0	0	0.583	0.583
HPL1	PP1S211_145V6.1	3218.PP1S72_301V6.1	3218.PP1S211_145V6.1	0	0	0	0	0	0	0	0.680	0.680
HPL1	PP1S30_56V6.1	3218.PP1S72_301V6.1	3218.PP1S30_56V6.1	0	0	0	0	0	0	0	0.501	0.501
HPL1	PP1S52_101V6.1	3218.PP1S72_301V6.1	3218.PP1S52_101V6.1	0	0	0	0	0.081	0	0	0.615	0.631
HTA1504	PP1S211_145V6.1	3218.PP1S117_154V6.1	3218.PP1S211_145V6.1	0	0	0	0	0	0.484	0	0.073	0.501
HTA1504	PP1S148_71V6.1	3218.PP1S117_154V6.1	3218.PP1S148_71V6.1	0	0	0	0	0	0.590	0	0	0.590
HTA1504	PP1S34_302V6.1	3218.PP1S117_154V6.1	3218.PP1S34_302V6.1	0	0	0	0	0	0.587	0	0.228	0.667
HTA1504	NFA1501	3218.PP1S117_154V6.1	3218.PP1S340_43V6.2	0	0	0	0	0	0.477	0	0.506	0.730
HTA1504	NFC1501	3218.PP1S117_154V6.1	3218.PP1S12_351V6.1	0	0	0	0	0.052	0.807	0	0.343	0.869
HTA1504	SGA1501	3218.PP1S117_154V6.1	3218.PP1S335_80V6.1	0	0	0	0	0.082	0.810	0	0.500	0.905
HTA1504	SGA1504	3218.PP1S117_154V6.1	3218.PP1S319_51V6.1	0	0	0	0	0.082	0.810	0	0.500	0.905
HTA1504	PP1S3_594V6.1	3218.PP1S117_154V6.1	3218.PP1S3_594V6.1	0	0.003	0	0	0.499	0.590	0	0.751	0.944
HTA1504	HTB1507	3218.PP1S117_154V6.1	3218.PP1S37_236V6.1	0	0.001	0	0	0.565	0.623	0	0.784	0.961
HTA1504	HTB1501	3218.PP1S117_154V6.1	3218.PP1S117_2V6.1	0	0.001	0	0	0.565	0.623	0	0.784	0.961
