ID	DG3
MSTRG.5810	0
MSTRG.5918	0
MSTRG.20438	2221
MSTRG.19848	3831
MSTRG.19849	102
MSTRG.19846	0
MSTRG.19847	96
MSTRG.19844	0
MSTRG.19845	964
MSTRG.19842	1951
MSTRG.19843	0
MSTRG.19840	0
MSTRG.19841	27
MSTRG.15172	0
MSTRG.15173	113
MSTRG.15170	0
MSTRG.15171	0
MSTRG.15176	261
MSTRG.15177	1380
MSTRG.18312	0
MSTRG.15175	8
MSTRG.15178	33376
MSTRG.15179	11380
MSTRG.10522	16
MSTRG.10523	27
MSTRG.10520	0
MSTRG.10521	75
MSTRG.37305	4839
MSTRG.10527	167
MSTRG.37307	286
MSTRG.37306	718
MSTRG.37309	56
MSTRG.37308	1994
MSTRG.10528	540
MSTRG.10529	60
MSTRG.20435	1856
MSTRG.5660	0
MSTRG.5661	0
MSTRG.5662	415
MSTRG.5663	56
MSTRG.5664	0
MSTRG.5665	0
MSTRG.5666	6774
MSTRG.5667	1010
MSTRG.5668	59
MSTRG.5669	1099
MSTRG.38304	0
MSTRG.38305	0
MSTRG.38306	689
MSTRG.38307	10152
MSTRG.38300	0
MSTRG.38301	0
MSTRG.38302	18
MSTRG.38303	214
MSTRG.38308	0
MSTRG.38309	35
MSTRG.3848	1213
MSTRG.3849	99
MSTRG.3842	3259
MSTRG.3843	551
MSTRG.3840	8
MSTRG.3841	329
MSTRG.3846	0
MSTRG.3847	68
MSTRG.3844	8
MSTRG.3845	644
MSTRG.18719	0
MSTRG.18718	0
MSTRG.18715	72
MSTRG.18714	224
MSTRG.18717	391
MSTRG.18716	782
MSTRG.18711	265
MSTRG.18710	353
MSTRG.18713	4
MSTRG.18712	1567
MSTRG.28936	1
MSTRG.6310	1691
MSTRG.28934	684
MSTRG.28935	0
MSTRG.28932	13050
MSTRG.28933	1
MSTRG.28930	479
MSTRG.28931	111
MSTRG.6319	12
MSTRG.6318	42
MSTRG.28938	0
MSTRG.28939	0
MSTRG.33374	249
MSTRG.33375	148
MSTRG.33376	18
MSTRG.33377	471
MSTRG.33370	0
MSTRG.33371	934
MSTRG.33372	45
MSTRG.30938	227
MSTRG.30937	365
MSTRG.30936	3055
MSTRG.30935	0
MSTRG.30934	0
MSTRG.33378	374
MSTRG.33379	299
MSTRG.30931	0
MSTRG.30930	148
MSTRG.35439	3775
MSTRG.35438	0
MSTRG.32429	0
MSTRG.32428	3
MSTRG.35431	0
MSTRG.35430	0
MSTRG.35433	140
MSTRG.35432	928
MSTRG.35435	0
MSTRG.35434	9
MSTRG.35437	1448
MSTRG.35436	0
MSTRG.12877	1282
MSTRG.2701	0
MSTRG.208	627
MSTRG.209	46
MSTRG.204	50
MSTRG.205	96
MSTRG.206	0
MSTRG.207	18
MSTRG.200	1097
MSTRG.201	9464
MSTRG.202	0
MSTRG.203	605
MSTRG.9992	0
MSTRG.9993	39
MSTRG.9990	0
MSTRG.9991	0
MSTRG.9996	0
MSTRG.9997	0
MSTRG.9994	0
MSTRG.9995	198
MSTRG.9998	0
MSTRG.9999	37
MSTRG.34748	0
MSTRG.34749	0
MSTRG.11399	1300
MSTRG.8734	1554
MSTRG.34740	0
MSTRG.34741	10247
MSTRG.34742	0
MSTRG.34743	0
MSTRG.34744	0
MSTRG.34745	3
MSTRG.34746	3127
MSTRG.34747	0
MSTRG.23426	2119
MSTRG.26938	149
MSTRG.26939	355
MSTRG.26934	102
MSTRG.26935	36
MSTRG.26936	685
MSTRG.26937	2
MSTRG.26930	1428
MSTRG.26931	118
MSTRG.26932	0
MSTRG.26933	0
MSTRG.12339	47
MSTRG.18217	0
MSTRG.35939	827
MSTRG.32265	0
MSTRG.8738	5420
MSTRG.36427	0
MSTRG.36426	1282
MSTRG.36425	0
MSTRG.36424	0
MSTRG.36423	765
MSTRG.36422	0
MSTRG.36421	3701
MSTRG.36420	17
MSTRG.12337	5
MSTRG.36429	394
MSTRG.36428	26615
MSTRG.30119	7
MSTRG.30118	10
MSTRG.12336	0
MSTRG.15174	2369
MSTRG.30111	0
MSTRG.30110	0
MSTRG.30113	229
MSTRG.30112	2589
MSTRG.30115	310
MSTRG.30114	9
MSTRG.30117	1723
MSTRG.6905	0
MSTRG.6906	473
MSTRG.12332	0
MSTRG.20699	90
MSTRG.20698	0
MSTRG.20693	74
MSTRG.20692	0
MSTRG.20691	0
MSTRG.20690	0
MSTRG.20697	0
MSTRG.20696	0
MSTRG.20695	0
MSTRG.20694	0
MSTRG.37301	0
MSTRG.37300	0
MSTRG.37303	845
MSTRG.28091	8115
MSTRG.28090	343
MSTRG.28093	706
MSTRG.28092	1650
MSTRG.28095	2256
MSTRG.28094	376
MSTRG.28097	349
MSTRG.28096	3
MSTRG.28099	2
MSTRG.28098	13
MSTRG.37202	243
MSTRG.37304	18040
MSTRG.25521	0
MSTRG.20529	1635
MSTRG.10524	0
MSTRG.20525	15081
MSTRG.20524	10
MSTRG.20527	2574
MSTRG.10525	0
MSTRG.20521	0
MSTRG.20520	73
MSTRG.20523	166
MSTRG.20522	0
MSTRG.17321	1190
MSTRG.17320	54
MSTRG.17323	0
MSTRG.17322	902
MSTRG.17325	5092
MSTRG.25524	1996
MSTRG.17327	1567
MSTRG.17326	1362
MSTRG.17329	1706
MSTRG.17328	13
MSTRG.37207	1770
MSTRG.16050	0
MSTRG.16051	6616
MSTRG.16052	0
MSTRG.16053	6
MSTRG.16054	3
MSTRG.16055	0
MSTRG.16056	24
MSTRG.16057	39
MSTRG.16058	228
MSTRG.16059	992
MSTRG.37468	50
MSTRG.37469	833
MSTRG.25348	8245
MSTRG.25349	142
MSTRG.25342	0
MSTRG.25343	0
MSTRG.25340	1725
MSTRG.25341	4594
MSTRG.37464	0
MSTRG.37465	0
MSTRG.37466	5674
MSTRG.25345	32462
MSTRG.5509	2820
MSTRG.5508	6
MSTRG.7054	0
MSTRG.5501	712
MSTRG.5500	36
MSTRG.5503	2637
MSTRG.5502	39
MSTRG.5505	16
MSTRG.5504	68
MSTRG.5507	0
MSTRG.5506	0
MSTRG.7056	259
MSTRG.2023	462
MSTRG.7050	23
MSTRG.777	0
MSTRG.2021	0
MSTRG.2020	122
MSTRG.888	0
MSTRG.889	0
MSTRG.2704	0
MSTRG.22589	1760
MSTRG.22588	1190
MSTRG.11585	1258
MSTRG.11584	0
MSTRG.11583	0
MSTRG.880	0
MSTRG.11581	1
MSTRG.11580	146
MSTRG.22581	0
MSTRG.22580	2
MSTRG.22583	0
MSTRG.22582	0
MSTRG.22585	0
MSTRG.22584	0
MSTRG.11589	2712
MSTRG.11588	1155
MSTRG.26699	34
MSTRG.26698	64
MSTRG.26691	0
MSTRG.26690	542
MSTRG.26693	11189
MSTRG.26692	0
MSTRG.26695	85
MSTRG.26694	195
MSTRG.26697	708
MSTRG.26696	102
MSTRG.16588	0
MSTRG.16589	0
MSTRG.16582	139
MSTRG.16583	1550
MSTRG.16580	1181
MSTRG.16581	1382
MSTRG.16586	1638
MSTRG.16587	2857
MSTRG.16584	185
MSTRG.16585	26
MSTRG.11059	2053
MSTRG.11058	24
MSTRG.11051	122
MSTRG.11050	740
MSTRG.11053	92
MSTRG.11052	2241
MSTRG.11055	1586
MSTRG.11054	141
MSTRG.11057	89
MSTRG.11056	2513
MSTRG.9492	1175
MSTRG.23186	0
MSTRG.23187	172
MSTRG.23184	0
MSTRG.23185	0
MSTRG.23182	60
MSTRG.23183	784
MSTRG.23180	166
MSTRG.23181	124
MSTRG.23188	0
MSTRG.23189	985
MSTRG.27252	11
MSTRG.15771	1
MSTRG.27250	110
MSTRG.27251	0
MSTRG.27256	704
MSTRG.27257	0
MSTRG.27254	0
MSTRG.27255	240
MSTRG.15778	93
MSTRG.15779	168
MSTRG.27258	2891
MSTRG.27259	43
MSTRG.10720	3606
MSTRG.10721	707
MSTRG.10722	165
MSTRG.10723	1586
MSTRG.10724	5
MSTRG.10725	623
MSTRG.10726	550
MSTRG.10727	164
MSTRG.10728	438
MSTRG.10729	0
MSTRG.34195	1
MSTRG.11553	0
MSTRG.33696	14
MSTRG.12768	180
MSTRG.12769	1559
MSTRG.12762	25
MSTRG.12763	0
MSTRG.12760	2888
MSTRG.12761	251
MSTRG.12766	5
MSTRG.12767	8577
MSTRG.12764	21147
MSTRG.12765	2830
MSTRG.10898	91
MSTRG.38149	4456
MSTRG.10892	376
MSTRG.38143	0
MSTRG.10890	45
MSTRG.10891	462
MSTRG.38146	576
MSTRG.10897	1795
MSTRG.10894	5294
MSTRG.10895	0
MSTRG.17048	2292
MSTRG.17049	0
MSTRG.33178	7
MSTRG.33179	229
MSTRG.17040	0
MSTRG.33173	41
MSTRG.33170	432
MSTRG.33171	102
MSTRG.33176	192
MSTRG.17045	0
MSTRG.17046	0
MSTRG.33175	157
MSTRG.12498	80
MSTRG.12499	293
MSTRG.12494	1930
MSTRG.12495	459
MSTRG.12496	0
MSTRG.12497	254
MSTRG.12490	1233
MSTRG.12491	0
MSTRG.12492	0
MSTRG.12493	58
MSTRG.13541	2020
MSTRG.2508	5
MSTRG.2509	1185
MSTRG.2500	388
MSTRG.2501	82848
MSTRG.2502	1892
MSTRG.2503	108674
MSTRG.2504	15829
MSTRG.2505	2621
MSTRG.2506	101564
MSTRG.2507	99
MSTRG.3679	695
MSTRG.30368	2
MSTRG.38142	0
MSTRG.3671	0
MSTRG.3670	0
MSTRG.3673	14
MSTRG.3672	84
MSTRG.3675	9
MSTRG.3674	0
MSTRG.3677	2371
MSTRG.3676	3382
MSTRG.20811	7147
MSTRG.20810	0
MSTRG.34152	2
MSTRG.25865	641
MSTRG.4902	0
MSTRG.4903	0
MSTRG.4900	432
MSTRG.20812	784
MSTRG.4906	217
MSTRG.4907	0
MSTRG.4904	1
MSTRG.4905	59
MSTRG.20815	5563
MSTRG.4908	51
MSTRG.4909	676
MSTRG.20814	0
MSTRG.20817	0
MSTRG.20816	8
MSTRG.8591	2287
MSTRG.8590	952
MSTRG.8593	0
MSTRG.8592	0
MSTRG.8595	3788
MSTRG.771	0
MSTRG.8597	875
MSTRG.8596	1753
MSTRG.8599	22
MSTRG.8598	1461
MSTRG.778	4812
MSTRG.779	532
MSTRG.33522	0
MSTRG.18179	65
MSTRG.18178	0
MSTRG.18175	0
MSTRG.18174	1332
MSTRG.18177	159
MSTRG.18176	2081
MSTRG.18171	0
MSTRG.18170	2
MSTRG.18173	1490
MSTRG.18172	879
MSTRG.13547	2
MSTRG.1743	0
MSTRG.1742	1161
MSTRG.1741	101
MSTRG.1740	0
MSTRG.1747	800
MSTRG.1746	8
MSTRG.1745	1161
MSTRG.1744	0
MSTRG.1749	43
MSTRG.1748	0
MSTRG.21636	15
MSTRG.21637	389
MSTRG.21634	4377
MSTRG.21635	0
MSTRG.21632	37
MSTRG.21633	1441
MSTRG.21630	300
