ID	HG1
MSTRG.5810	0
MSTRG.5918	0
MSTRG.20438	1317
MSTRG.19848	1479
MSTRG.19849	14
MSTRG.19846	0
MSTRG.19847	133
MSTRG.19844	0
MSTRG.19845	363
MSTRG.19842	872
MSTRG.19843	0
MSTRG.19840	0
MSTRG.19841	35
MSTRG.15172	0
MSTRG.15173	0
MSTRG.15170	5
MSTRG.15171	0
MSTRG.15176	351
MSTRG.15177	2103
MSTRG.18312	0
MSTRG.15175	0
MSTRG.15178	88101
MSTRG.15179	19175
MSTRG.10522	0
MSTRG.10523	0
MSTRG.10520	0
MSTRG.10521	18
MSTRG.37305	6328
MSTRG.10527	70
MSTRG.37307	58
MSTRG.37306	89
MSTRG.37309	73
MSTRG.37308	619
MSTRG.10528	247
MSTRG.10529	0
MSTRG.20435	2463
MSTRG.5660	0
MSTRG.5661	0
MSTRG.5662	236
MSTRG.5663	0
MSTRG.5664	0
MSTRG.5665	0
MSTRG.5666	3704
MSTRG.5667	584
MSTRG.5668	21
MSTRG.5669	93
MSTRG.38304	0
MSTRG.38305	0
MSTRG.38306	55
MSTRG.38307	790
MSTRG.38300	0
MSTRG.38301	0
MSTRG.38302	15
MSTRG.38303	35
MSTRG.38308	0
MSTRG.38309	89
MSTRG.3848	1775
MSTRG.3849	13
MSTRG.3842	1169
MSTRG.3843	124
MSTRG.3840	0
MSTRG.3841	166
MSTRG.3846	0
MSTRG.3847	23
MSTRG.3844	0
MSTRG.3845	120
MSTRG.18719	0
MSTRG.18718	0
MSTRG.18715	118
MSTRG.18714	500
MSTRG.18717	91
MSTRG.18716	2281
MSTRG.18711	51
MSTRG.18710	409
MSTRG.18713	0
MSTRG.18712	193
MSTRG.28936	0
MSTRG.6310	849
MSTRG.28934	95
MSTRG.28935	0
MSTRG.28932	6487
MSTRG.28933	0
MSTRG.28930	113
MSTRG.28931	0
MSTRG.6319	0
MSTRG.6318	0
MSTRG.28938	0
MSTRG.28939	0
MSTRG.33374	72
MSTRG.33375	44
MSTRG.33376	28
MSTRG.33377	55
MSTRG.33370	0
MSTRG.33371	242
MSTRG.33372	0
MSTRG.30938	46
MSTRG.30937	156
MSTRG.30936	2493
MSTRG.30935	0
MSTRG.30934	0
MSTRG.33378	36
MSTRG.33379	0
MSTRG.30931	0
MSTRG.30930	156
MSTRG.35439	183
MSTRG.35438	2
MSTRG.32429	0
MSTRG.32428	5
MSTRG.35431	0
MSTRG.35430	18
MSTRG.35433	191
MSTRG.35432	876
MSTRG.35435	0
MSTRG.35434	0
MSTRG.35437	145
MSTRG.35436	8
MSTRG.12877	797
MSTRG.2701	0
MSTRG.208	22
MSTRG.209	17
MSTRG.204	15
MSTRG.205	29
MSTRG.206	0
MSTRG.207	0
MSTRG.200	541
MSTRG.201	20416
MSTRG.202	0
MSTRG.203	214
MSTRG.9992	0
MSTRG.9993	0
MSTRG.9990	0
MSTRG.9991	0
MSTRG.9996	0
MSTRG.9997	0
MSTRG.9994	0
MSTRG.9995	244
MSTRG.9998	0
MSTRG.9999	2
MSTRG.34748	0
MSTRG.34749	0
MSTRG.11399	472
MSTRG.8734	169
MSTRG.34740	6
MSTRG.34741	777
MSTRG.34742	0
MSTRG.34743	0
MSTRG.34744	0
MSTRG.34745	7
MSTRG.34746	6560
MSTRG.34747	0
MSTRG.23426	250
MSTRG.26938	29
MSTRG.26939	58
MSTRG.26934	154
MSTRG.26935	6
MSTRG.26936	46
MSTRG.26937	1
MSTRG.26930	199
MSTRG.26931	0
MSTRG.26932	0
MSTRG.26933	0
MSTRG.12339	7
MSTRG.18217	32
MSTRG.35939	131
MSTRG.32265	0
MSTRG.8738	544
MSTRG.36427	0
MSTRG.36426	848
MSTRG.36425	0
MSTRG.36424	0
MSTRG.36423	183
MSTRG.36422	0
MSTRG.36421	1578
MSTRG.36420	38
MSTRG.12337	3
MSTRG.36429	314
MSTRG.36428	76036
MSTRG.30119	4
MSTRG.30118	0
MSTRG.12336	0
MSTRG.15174	334
MSTRG.30111	0
MSTRG.30110	0
MSTRG.30113	54
MSTRG.30112	486
MSTRG.30115	219
MSTRG.30114	0
MSTRG.30117	166
MSTRG.6905	0
MSTRG.6906	265
MSTRG.12332	0
MSTRG.20699	195
MSTRG.20698	0
MSTRG.20693	53
MSTRG.20692	0
MSTRG.20691	0
MSTRG.20690	0
MSTRG.20697	0
MSTRG.20696	0
MSTRG.20695	0
MSTRG.20694	4
MSTRG.37301	0
MSTRG.37300	0
MSTRG.37303	137
MSTRG.28091	2186
MSTRG.28090	9
MSTRG.28093	237
MSTRG.28092	1104
MSTRG.28095	1448
MSTRG.28094	74
MSTRG.28097	101
MSTRG.28096	0
MSTRG.28099	0
MSTRG.28098	11
MSTRG.37202	441
MSTRG.37304	26310
MSTRG.25521	0
MSTRG.20529	135
MSTRG.10524	0
MSTRG.20525	567
MSTRG.20524	0
MSTRG.20527	450
MSTRG.10525	0
MSTRG.20521	0
MSTRG.20520	53
MSTRG.20523	38
MSTRG.20522	0
MSTRG.17321	446
MSTRG.17320	0
MSTRG.17323	0
MSTRG.17322	179
MSTRG.17325	8633
MSTRG.25524	172
MSTRG.17327	3233
MSTRG.17326	824
MSTRG.17329	131
MSTRG.17328	0
MSTRG.37207	645
MSTRG.16050	1460
MSTRG.16051	646
MSTRG.16052	0
MSTRG.16053	0
MSTRG.16054	0
MSTRG.16055	0
MSTRG.16056	0
MSTRG.16057	27
MSTRG.16058	276
MSTRG.16059	484
MSTRG.37468	3
MSTRG.37469	77
MSTRG.25348	688
MSTRG.25349	26
MSTRG.25342	0
MSTRG.25343	0
MSTRG.25340	423
MSTRG.25341	5254
MSTRG.37464	0
MSTRG.37465	0
MSTRG.37466	3330
MSTRG.25345	9299
MSTRG.5509	3349
MSTRG.5508	0
MSTRG.7054	0
MSTRG.5501	192
MSTRG.5500	13
MSTRG.5503	376
MSTRG.5502	6
MSTRG.5505	0
MSTRG.5504	0
MSTRG.5507	0
MSTRG.5506	0
MSTRG.7056	56
MSTRG.2023	135
MSTRG.7050	8
MSTRG.777	0
MSTRG.2021	0
MSTRG.2020	46
MSTRG.888	0
MSTRG.889	0
MSTRG.2704	0
MSTRG.22589	49809
MSTRG.22588	29217
MSTRG.11585	125
MSTRG.11584	0
MSTRG.11583	0
MSTRG.880	0
MSTRG.11581	0
MSTRG.11580	67
MSTRG.22581	0
MSTRG.22580	0
MSTRG.22583	17
MSTRG.22582	0
MSTRG.22585	0
MSTRG.22584	0
MSTRG.11589	3238
MSTRG.11588	898
MSTRG.26699	34
MSTRG.26698	34
MSTRG.26691	0
MSTRG.26690	127
MSTRG.26693	2486
MSTRG.26692	0
MSTRG.26695	20
MSTRG.26694	105
MSTRG.26697	266
MSTRG.26696	99
MSTRG.16588	0
MSTRG.16589	0
MSTRG.16582	88
MSTRG.16583	837
MSTRG.16580	893
MSTRG.16581	2351
MSTRG.16586	597
MSTRG.16587	2736
MSTRG.16584	125
MSTRG.16585	15
MSTRG.11059	915
MSTRG.11058	11
MSTRG.11051	57
MSTRG.11050	254
MSTRG.11053	33
MSTRG.11052	414
MSTRG.11055	821
MSTRG.11054	97
MSTRG.11057	118
MSTRG.11056	1546
MSTRG.9492	95
MSTRG.23186	0
MSTRG.23187	69
MSTRG.23184	0
MSTRG.23185	0
MSTRG.23182	51
MSTRG.23183	979
MSTRG.23180	154
MSTRG.23181	122
MSTRG.23188	0
MSTRG.23189	703
MSTRG.27252	21
MSTRG.15771	0
MSTRG.27250	0
MSTRG.27251	0
MSTRG.27256	496
MSTRG.27257	0
MSTRG.27254	0
MSTRG.27255	43
MSTRG.15778	54
MSTRG.15779	63
MSTRG.27258	5985
MSTRG.27259	0
MSTRG.10720	25
MSTRG.10721	248
MSTRG.10722	28
MSTRG.10723	3714
MSTRG.10724	1
MSTRG.10725	431
MSTRG.10726	210
MSTRG.10727	101
MSTRG.10728	261
MSTRG.10729	0
MSTRG.34195	0
MSTRG.11553	0
MSTRG.33696	32
MSTRG.12768	30
MSTRG.12769	2376
MSTRG.12762	23
MSTRG.12763	0
MSTRG.12760	415
MSTRG.12761	35
MSTRG.12766	0
MSTRG.12767	10703
MSTRG.12764	27106
MSTRG.12765	89
MSTRG.10898	48
MSTRG.38149	562
MSTRG.10892	107
MSTRG.38143	0
MSTRG.10890	16
MSTRG.10891	128
MSTRG.38146	806
MSTRG.10897	519
MSTRG.10894	6991
MSTRG.10895	0
MSTRG.17048	328
MSTRG.17049	0
MSTRG.33178	0
MSTRG.33179	144
MSTRG.17040	0
MSTRG.33173	29
MSTRG.33170	381
MSTRG.33171	243
MSTRG.33176	67
MSTRG.17045	0
MSTRG.17046	0
MSTRG.33175	98
MSTRG.12498	38
MSTRG.12499	101
MSTRG.12494	372
MSTRG.12495	147
MSTRG.12496	0
MSTRG.12497	2
MSTRG.12490	407
MSTRG.12491	0
MSTRG.12492	0
MSTRG.12493	6
MSTRG.13541	1140
MSTRG.2508	0
MSTRG.2509	42
MSTRG.2500	263
MSTRG.2501	92136
MSTRG.2502	3971
MSTRG.2503	257837
MSTRG.2504	1340
MSTRG.2505	518
MSTRG.2506	62249
MSTRG.2507	20
MSTRG.3679	490
MSTRG.30368	0
MSTRG.38142	0
MSTRG.3671	0
MSTRG.3670	0
MSTRG.3673	0
MSTRG.3672	0
MSTRG.3675	0
MSTRG.3674	0
MSTRG.3677	1835
MSTRG.3676	723
MSTRG.20811	552
MSTRG.20810	0
MSTRG.34152	0
MSTRG.25865	1086
MSTRG.4902	0
MSTRG.4903	0
MSTRG.4900	96
MSTRG.20812	399
MSTRG.4906	29
MSTRG.4907	0
MSTRG.4904	0
MSTRG.4905	38
MSTRG.20815	3371
MSTRG.4908	110
MSTRG.4909	62
MSTRG.20814	0
MSTRG.20817	0
MSTRG.20816	0
MSTRG.8591	329
MSTRG.8590	146
MSTRG.8593	0
MSTRG.8592	19
MSTRG.8595	3132
MSTRG.771	0
MSTRG.8597	2099
MSTRG.8596	133
MSTRG.8599	16
MSTRG.8598	1167
MSTRG.778	280
MSTRG.779	46
MSTRG.33522	0
MSTRG.18179	0
MSTRG.18178	0
MSTRG.18175	0
MSTRG.18174	315
MSTRG.18177	3
MSTRG.18176	41
MSTRG.18171	0
MSTRG.18170	0
MSTRG.18173	98
MSTRG.18172	112
MSTRG.13547	0
MSTRG.1743	0
MSTRG.1742	347
MSTRG.1741	16
MSTRG.1740	0
MSTRG.1747	1038
MSTRG.1746	1
MSTRG.1745	492
MSTRG.1744	0
MSTRG.1749	14
MSTRG.1748	0
MSTRG.21636	7
MSTRG.21637	138
MSTRG.21634	309
MSTRG.21635	0
MSTRG.21632	0
MSTRG.21633	924
MSTRG.21630	13
MSTRG.21631	4
MSTRG.21638	76
MSTRG.21639	121
MSTRG.9246	4694
MSTRG.9247	43
