"","x"
"1","jg24667"
"2","jg24721"
"3","jg24847"
"4","jg24915"
"5","jg24972"
"6","jg25004.1"
"7","jg16394"
"8","jg2958"
"9","jg2962"
"10","jg3034"
"11","jg3239"
"12","jg16435"
"13","jg3411"
"14","jg3521"
"15","jg3535"
"16","jg3622"
"17","jg33827"
"18","jg7499"
"19","jg7504"
"20","jg34027"
"21","jg34039"
"22","jg34121"
"23","jg34285"
"24","jg34395"
"25","jg7557"
"26","jg34537"
"27","jg34583"
"28","jg34657"
"29","jg34677"
"30","jg7604"
"31","jg35126"
"32","jg35127"
"33","jg7626"
"34","jg20397"
"35","jg20398"
"36","jg20524"
"37","jg20565"
"38","jg7668"
"39","jg21031"
"40","jg21069"
"41","jg21070"
"42","jg21084"
"43","jg21134"
"44","jg21135"
"45","jg21213"
"46","jg21329"
"47","jg21346"
"48","jg21404"
"49","jg21649"
"50","jg21929.3"
"51","jg21937"
"52","jg15536"
"53","jg22105"
"54","jg7802"
"55","jg22134"
"56","jg22210"
"57","jg22353"
"58","jg1402"
"59","jg1427"
"60","jg1447"
"61","jg1449"
"62","jg1452"
"63","jg1453"
"64","jg1468"
"65","jg7876"
"66","jg1796"
"67","jg1812"
"68","jg1880"
"69","jg1921"
"70","jg2054"
"71","jg2065"
"72","jg2230"
"73","jg2621"
"74","jg2666"
"75","jg10163"
"76","jg10173"
"77","jg10513"
"78","jg10559"
"79","jg10687"
"80","jg11017"
"81","jg22459"
"82","jg22807"
"83","jg22842"
"84","jg22868"
"85","jg23004"
"86","jg23009"
"87","jg23075"
"88","jg23229"
"89","jg23346"
"90","jg23483"
"91","jg23576"
"92","jg23633.2"
"93","jg23688"
"94","jg23769"
"95","jg8276"
"96","jg32120"
"97","jg8291"
"98","jg32248"
"99","jg32255"
"100","jg32378"
"101","jg32511.1"
"102","jg8325.2"
"103","jg32791"
"104","jg32937"
"105","jg33040"
"106","jg33354"
"107","jg33465"
"108","jg33469"
"109","jg33475"
"110","jg33521"
"111","jg33567"
"112","jg33588"
"113","jg33645.1"
"114","jg33672"
"115","jg33678"
"116","jg27567"
"117","jg27667"
"118","jg27673"
"119","jg27935"
"120","jg8478"
"121","jg28319"
"122","jg28370"
"123","jg28700"
"124","jg28701"
"125","jg12845"
"126","jg12908"
"127","jg13091"
"128","jg13284"
"129","jg13293"
"130","jg13392"
"131","jg13411"
"132","jg13427"
"133","jg13443"
"134","jg13477.2"
"135","jg13543"
"136","jg13707"
"137","jg13851"
"138","jg35319"
"139","jg35384.2"
"140","jg35417"
"141","jg35497"
"142","jg35500"
"143","jg35502"
"144","jg35524"
"145","jg35636"
"146","jg35817"
"147","jg36005"
"148","jg36030"
"149","jg36040"
"150","jg36101"
"151","jg36115"
"152","jg36145"
"153","jg36156"
"154","jg36186"
"155","jg36190"
"156","jg36346"
"157","jg36501"
"158","jg36585"
"159","jg36783"
"160","jg36795"
"161","jg36869"
"162","jg36876"
"163","jg26678"
"164","jg37048"
"165","jg37304"
"166","jg16834"
"167","jg16931"
"168","jg17030"
"169","jg17150"
"170","jg17160"
"171","jg17181"
"172","jg17220"
"173","jg17262"
"174","jg17486"
"175","jg17607"
"176","jg3727"
"177","jg3819"
"178","jg26867"
"179","jg26868"
"180","jg4095"
"181","jg4124"
"182","jg4243"
"183","jg4268"
"184","jg4609"
"185","jg4617"
"186","jg4870"
"187","jg26969"
"188","jg8832.2"
"189","jg8835"
"190","jg8917"
"191","jg9643"
"192","jg9724"
"193","jg9828"
"194","jg9833"
"195","jg9913"
"196","jg9956"
"197","jg10035"
"198","jg227"
"199","jg396"
"200","jg437"
"201","jg495"
"202","jg27149"
"203","jg591"
"204","jg718"
"205","jg798"
"206","jg817"
"207","jg1203"
"208","jg28822"
"209","jg28855"
"210","jg28919"
"211","jg28969"
"212","jg29014"
"213","jg29350"
"214","jg29366"
"215","jg29405"
"216","jg29552"
"217","jg29679"
"218","jg29823"
"219","jg30055"
"220","jg30147"
"221","jg30178"
"222","jg30241"
"223","jg27392"
"224","jg30541"
"225","jg30577"
"226","jg27451"
"227","jg31103"
"228","jg31214"
"229","jg31480"
"230","jg31666"
"231","jg31732"
"232","jg31742"
"233","jg31836"
"234","jg17786"
"235","jg18111"
"236","jg18176"
"237","jg18348"
"238","jg18352"
"239","jg18367"
"240","jg18466"
"241","jg18690"
"242","jg25099"
"243","jg18892"
"244","jg19041"
"245","jg19133"
"246","jg25131"
"247","jg25133"
"248","jg25134"
"249","jg25135"
"250","jg25136"
"251","jg25137"
"252","jg19255.1"
"253","jg19273"
"254","jg19286"
"255","jg19573"
"256","jg19577"
"257","jg19593"
"258","jg19757"
