ID	S4
MSTRG.5810	0
MSTRG.5918	0
MSTRG.20438	653
MSTRG.19848	1288
MSTRG.19849	1000
MSTRG.19846	88
MSTRG.19847	101
MSTRG.19844	0
MSTRG.19845	721
MSTRG.19842	345
MSTRG.19843	0
MSTRG.19840	0
MSTRG.19841	19
MSTRG.15172	17
MSTRG.15173	91
MSTRG.15170	11
MSTRG.15171	0
MSTRG.15176	173
MSTRG.15177	820
MSTRG.18312	273
MSTRG.15175	8
MSTRG.15178	22248
MSTRG.15179	10435
MSTRG.10522	76
MSTRG.10523	229
MSTRG.10520	0
MSTRG.10521	706
MSTRG.37305	718
MSTRG.10527	172
MSTRG.37307	1214
MSTRG.37306	6
MSTRG.37309	170
MSTRG.37308	1486
MSTRG.10528	187
MSTRG.10529	351
MSTRG.20435	1151
MSTRG.5660	0
MSTRG.5661	0
MSTRG.5662	0
MSTRG.5663	904
MSTRG.5664	0
MSTRG.5665	0
MSTRG.5666	2749
MSTRG.5667	603
MSTRG.5668	23
MSTRG.5669	518
MSTRG.38304	1
MSTRG.38305	0
MSTRG.38306	130
MSTRG.38307	2357
MSTRG.38300	0
MSTRG.38301	0
MSTRG.38302	1437
MSTRG.38303	42
MSTRG.38308	7
MSTRG.38309	537
MSTRG.3848	1273
MSTRG.3849	124
MSTRG.3842	1905
MSTRG.3843	692
MSTRG.3840	21
MSTRG.3841	209
MSTRG.3846	14
MSTRG.3847	580
MSTRG.3844	13
MSTRG.3845	804
MSTRG.18719	0
MSTRG.18718	0
MSTRG.18715	56
MSTRG.18714	13
MSTRG.18717	677
MSTRG.18716	963
MSTRG.18711	175
MSTRG.18710	1855
MSTRG.18713	8
MSTRG.18712	5427
MSTRG.28936	0
MSTRG.6310	482
MSTRG.28934	259
MSTRG.28935	0
MSTRG.28932	10169
MSTRG.28933	0
MSTRG.28930	463
MSTRG.28931	87
MSTRG.6319	45
MSTRG.6318	172
MSTRG.28938	0
MSTRG.28939	0
MSTRG.33374	190
MSTRG.33375	121
MSTRG.33376	29
MSTRG.33377	384
MSTRG.33370	0
MSTRG.33371	841
MSTRG.33372	30
MSTRG.30938	71
MSTRG.30937	277
MSTRG.30936	640
MSTRG.30935	0
MSTRG.30934	5
MSTRG.33378	248
MSTRG.33379	0
MSTRG.30931	0
MSTRG.30930	28
MSTRG.35439	3131
MSTRG.35438	3
MSTRG.32429	0
MSTRG.32428	12
MSTRG.35431	0
MSTRG.35430	0
MSTRG.35433	166
MSTRG.35432	415
MSTRG.35435	0
MSTRG.35434	524
MSTRG.35437	286
MSTRG.35436	106
MSTRG.12877	103
MSTRG.2701	0
MSTRG.208	11
MSTRG.209	9
MSTRG.204	60
MSTRG.205	532
MSTRG.206	87
MSTRG.207	237
MSTRG.200	732
MSTRG.201	2220
MSTRG.202	16
MSTRG.203	1044
MSTRG.9992	4
MSTRG.9993	0
MSTRG.9990	0
MSTRG.9991	0
MSTRG.9996	0
MSTRG.9997	7
MSTRG.9994	6
MSTRG.9995	73
MSTRG.9998	0
MSTRG.9999	7
MSTRG.34748	0
MSTRG.34749	0
MSTRG.11399	886
MSTRG.8734	997
MSTRG.34740	3
MSTRG.34741	44
MSTRG.34742	0
MSTRG.34743	0
MSTRG.34744	0
MSTRG.34745	3
MSTRG.34746	1018
MSTRG.34747	0
MSTRG.23426	1066
MSTRG.26938	332
MSTRG.26939	467
MSTRG.26934	125
MSTRG.26935	107
MSTRG.26936	784
MSTRG.26937	3
MSTRG.26930	2893
MSTRG.26931	199
MSTRG.26932	35
MSTRG.26933	0
MSTRG.12339	129
MSTRG.18217	8
MSTRG.35939	886
MSTRG.32265	0
MSTRG.8738	3945
MSTRG.36427	0
MSTRG.36426	707
MSTRG.36425	3
MSTRG.36424	6
MSTRG.36423	535
MSTRG.36422	0
MSTRG.36421	50
MSTRG.36420	144
MSTRG.12337	0
MSTRG.36429	2520
MSTRG.36428	19025
MSTRG.30119	8
MSTRG.30118	2927
MSTRG.12336	0
MSTRG.15174	1861
MSTRG.30111	0
MSTRG.30110	0
MSTRG.30113	93
MSTRG.30112	1535
MSTRG.30115	508
MSTRG.30114	0
MSTRG.30117	592
MSTRG.6905	0
MSTRG.6906	160
MSTRG.12332	0
MSTRG.20699	167
MSTRG.20698	372
MSTRG.20693	91
MSTRG.20692	9
MSTRG.20691	361
MSTRG.20690	0
MSTRG.20697	3647
MSTRG.20696	0
MSTRG.20695	0
MSTRG.20694	0
MSTRG.37301	0
MSTRG.37300	0
MSTRG.37303	945
MSTRG.28091	2241
MSTRG.28090	18
MSTRG.28093	95
MSTRG.28092	670
MSTRG.28095	1703
MSTRG.28094	53
MSTRG.28097	873
MSTRG.28096	0
MSTRG.28099	3
MSTRG.28098	20
MSTRG.37202	380
MSTRG.37304	7259
MSTRG.25521	820
MSTRG.20529	3442
MSTRG.10524	0
MSTRG.20525	3392
MSTRG.20524	10
MSTRG.20527	855
MSTRG.10525	0
MSTRG.20521	0
MSTRG.20520	22
MSTRG.20523	71
MSTRG.20522	0
MSTRG.17321	469
MSTRG.17320	52
MSTRG.17323	330
MSTRG.17322	620
MSTRG.17325	3605
MSTRG.25524	2726
MSTRG.17327	1401
MSTRG.17326	11042
MSTRG.17329	846
MSTRG.17328	6
MSTRG.37207	1175
MSTRG.16050	42
MSTRG.16051	75
MSTRG.16052	45
MSTRG.16053	12
MSTRG.16054	15
MSTRG.16055	0
MSTRG.16056	6
MSTRG.16057	13
MSTRG.16058	287
MSTRG.16059	2090
MSTRG.37468	72
MSTRG.37469	1923
MSTRG.25348	4048
MSTRG.25349	102
MSTRG.25342	3
MSTRG.25343	0
MSTRG.25340	1883
MSTRG.25341	2221
MSTRG.37464	1878
MSTRG.37465	44
MSTRG.37466	372
MSTRG.25345	1377
MSTRG.5509	2025
MSTRG.5508	21
MSTRG.7054	0
MSTRG.5501	289
MSTRG.5500	7
MSTRG.5503	1206
MSTRG.5502	18
MSTRG.5505	82
MSTRG.5504	1
MSTRG.5507	0
MSTRG.5506	77
MSTRG.7056	212
MSTRG.2023	134
MSTRG.7050	18
MSTRG.777	2170
MSTRG.2021	5
MSTRG.2020	46
MSTRG.888	2
MSTRG.889	0
MSTRG.2704	0
MSTRG.22589	30134
MSTRG.22588	11250
MSTRG.11585	844
MSTRG.11584	1
MSTRG.11583	3
MSTRG.880	0
MSTRG.11581	3
MSTRG.11580	208
MSTRG.22581	18
MSTRG.22580	0
MSTRG.22583	0
MSTRG.22582	0
MSTRG.22585	50
MSTRG.22584	0
MSTRG.11589	1889
MSTRG.11588	475
MSTRG.26699	34
MSTRG.26698	39
MSTRG.26691	7190
MSTRG.26690	280
MSTRG.26693	4623
MSTRG.26692	653
MSTRG.26695	31
MSTRG.26694	81
MSTRG.26697	338
MSTRG.26696	84
MSTRG.16588	8
MSTRG.16589	3
MSTRG.16582	107
MSTRG.16583	2400
MSTRG.16580	602
MSTRG.16581	792
MSTRG.16586	847
MSTRG.16587	238
MSTRG.16584	0
MSTRG.16585	10
MSTRG.11059	3223
MSTRG.11058	196
MSTRG.11051	58
MSTRG.11050	1858
MSTRG.11053	21
MSTRG.11052	1201
MSTRG.11055	2878
MSTRG.11054	211
MSTRG.11057	157
MSTRG.11056	2217
MSTRG.9492	1094
MSTRG.23186	58
MSTRG.23187	191
MSTRG.23184	31
MSTRG.23185	935
MSTRG.23182	113
MSTRG.23183	622
MSTRG.23180	169
MSTRG.23181	159
MSTRG.23188	0
MSTRG.23189	1397
MSTRG.27252	0
MSTRG.15771	44
MSTRG.27250	458
MSTRG.27251	3
MSTRG.27256	263
MSTRG.27257	20
MSTRG.27254	0
MSTRG.27255	139
MSTRG.15778	31
MSTRG.15779	279
MSTRG.27258	2922
MSTRG.27259	148
MSTRG.10720	10
MSTRG.10721	391
MSTRG.10722	82
MSTRG.10723	949
MSTRG.10724	1
MSTRG.10725	308
MSTRG.10726	343
MSTRG.10727	153
MSTRG.10728	682
MSTRG.10729	3
MSTRG.34195	1
MSTRG.11553	0
MSTRG.33696	256
MSTRG.12768	145
MSTRG.12769	845
MSTRG.12762	0
MSTRG.12763	0
MSTRG.12760	1367
MSTRG.12761	76
MSTRG.12766	0
MSTRG.12767	10505
MSTRG.12764	3575
MSTRG.12765	1193
MSTRG.10898	126
MSTRG.38149	946
MSTRG.10892	341
MSTRG.38143	2
MSTRG.10890	33
MSTRG.10891	370
MSTRG.38146	245
MSTRG.10897	1465
MSTRG.10894	3522
MSTRG.10895	0
MSTRG.17048	1548
MSTRG.17049	12
MSTRG.33178	17
MSTRG.33179	445
MSTRG.17040	10
MSTRG.33173	69
MSTRG.33170	986
MSTRG.33171	706
MSTRG.33176	602
MSTRG.17045	0
MSTRG.17046	0
MSTRG.33175	430
MSTRG.12498	83
MSTRG.12499	465
MSTRG.12494	3261
MSTRG.12495	141
MSTRG.12496	3
MSTRG.12497	351
MSTRG.12490	1352
MSTRG.12491	0
MSTRG.12492	204
MSTRG.12493	19
MSTRG.13541	1002
MSTRG.2508	14
MSTRG.2509	547
MSTRG.2500	584
MSTRG.2501	5059
MSTRG.2502	400
MSTRG.2503	31688
MSTRG.2504	8298
MSTRG.2505	1767
MSTRG.2506	262348
MSTRG.2507	98
MSTRG.3679	9342
MSTRG.30368	3
MSTRG.38142	0
MSTRG.3671	0
MSTRG.3670	0
MSTRG.3673	24
MSTRG.3672	269
MSTRG.3675	0
MSTRG.3674	0
MSTRG.3677	421
MSTRG.3676	2497
MSTRG.20811	30027
MSTRG.20810	8
MSTRG.34152	0
MSTRG.25865	412
MSTRG.4902	0
MSTRG.4903	0
MSTRG.4900	401
MSTRG.20812	1054
MSTRG.4906	22
MSTRG.4907	0
MSTRG.4904	2
MSTRG.4905	185
MSTRG.20815	17305
MSTRG.4908	25
MSTRG.4909	216
MSTRG.20814	0
MSTRG.20817	0
MSTRG.20816	78
MSTRG.8591	1879
MSTRG.8590	1022
MSTRG.8593	2
MSTRG.8592	31
MSTRG.8595	7645
MSTRG.771	0
MSTRG.8597	1230
MSTRG.8596	1782
MSTRG.8599	73
MSTRG.8598	566
MSTRG.778	2311
MSTRG.779	774
MSTRG.33522	0
MSTRG.18179	140
MSTRG.18178	11
MSTRG.18175	2
MSTRG.18174	1150
MSTRG.18177	13
MSTRG.18176	251
MSTRG.18171	9
MSTRG.18170	1
MSTRG.18173	1924
MSTRG.18172	901
MSTRG.13547	3
MSTRG.1743	0
MSTRG.1742	236
MSTRG.1741	9
MSTRG.1740	4
MSTRG.1747	1043
MSTRG.1746	7
MSTRG.1745	737
MSTRG.1744	5
MSTRG.1749	4
MSTRG.1748	0
MSTRG.21636	4
MSTRG.21637	141
MSTRG.21634	5935
MSTRG.21635	0
MSTRG.21632	39
MSTRG.21633	426
MSTRG.21630	383
MSTRG.21631	10
MSTRG.21638	283
