"","x"
"1","jg24648"
"2","jg24656"
"3","jg24677"
"4","jg24697"
"5","jg15496.1"
"6","jg24816"
"7","jg24820"
"8","jg24875"
"9","jg24886"
"10","jg24889"
"11","jg24901"
"12","jg24905"
"13","jg24906"
"14","jg24908"
"15","jg24909"
"16","jg24911"
"17","jg24913"
"18","jg24914"
"19","jg24955"
"20","jg24979"
"21","jg2875"
"22","jg2877"
"23","jg2886"
"24","jg2959"
"25","jg2961"
"26","jg15500.1"
"27","jg2979"
"28","jg2980"
"29","jg2983"
"30","jg2984"
"31","jg2985"
"32","jg2998"
"33","jg3045"
"34","jg3097"
"35","jg3099"
"36","jg16412"
"37","jg3197"
"38","jg3331"
"39","jg3332"
"40","jg3369"
"41","jg3421"
"42","jg3449"
"43","jg3460"
"44","jg3471"
"45","jg3534"
"46","jg3532"
"47","jg33845"
"48","jg33846"
"49","jg33847"
"50","jg33850"
"51","jg15510"
"52","jg34052"
"53","jg34084"
"54","jg34087"
"55","jg34088"
"56","jg34090"
"57","jg34105.1"
"58","jg34126"
"59","jg34266"
"60","jg34271"
"61","jg34280.1"
"62","jg34336"
"63","jg34386"
"64","jg34476"
"65","jg34485"
"66","jg34514"
"67","jg34533"
"68","jg15516"
"69","jg34584"
"70","jg34587"
"71","jg34588"
"72","jg34626"
"73","jg34704"
"74","jg34705"
"75","jg34753"
"76","jg34756"
"77","jg34817"
"78","jg7603"
"79","jg35102"
"80","jg35131"
"81","jg7623"
"82","jg20424"
"83","jg20428"
"84","jg7635"
"85","jg20578"
"86","jg20581"
"87","jg20583"
"88","jg20625"
"89","jg20667"
"90","jg20717"
"91","jg20812"
"92","jg20930"
"93","jg21025"
"94","jg21073"
"95","jg21107"
"96","jg7703"
"97","jg21136"
"98","jg7706"
"99","jg7710"
"100","jg7711"
"101","jg21239"
"102","jg21240"
"103","jg21294"
"104","jg21354"
"105","jg21373"
"106","jg21403"
"107","jg21502"
"108","jg21503"
"109","jg21682"
"110","jg21702"
"111","jg21710"
"112","jg21738"
"113","jg21739"
"114","jg21742"
"115","jg21744"
"116","jg21745"
"117","jg21758"
"118","jg21785"
"119","jg21817"
"120","jg21848"
"121","jg21863"
"122","jg21864"
"123","jg21946"
"124","jg21976"
"125","jg22077"
"126","jg22143"
"127","jg22159.1"
"128","jg22251"
"129","jg22260"
"130","jg22295"
"131","jg15538"
"132","jg22317"
"133","jg22321"
"134","jg7824"
"135","jg22423"
"136","jg7842"
"137","jg1364"
"138","jg1377"
"139","jg1433"
"140","jg1465"
"141","jg1467"
"142","jg1564"
"143","jg1572"
"144","jg1581"
"145","jg1595"
"146","jg1609"
"147","jg1694"
"148","jg1740"
"149","jg1805"
"150","jg1818"
"151","jg7890"
"152","jg1876"
"153","jg1881"
"154","jg1943"
"155","jg1964"
"156","jg1975"
"157","jg2000"
"158","jg2030"
"159","jg2049"
"160","jg2055"
"161","jg2056"
"162","jg2057"
"163","jg7916"
"164","jg2109"
"165","jg7921"
"166","jg7923"
"167","jg2166"
"168","jg2170"
"169","jg7925"
"170","jg2219"
"171","jg2237"
"172","jg2344"
"173","jg2453"
"174","jg7962"
"175","jg7965"
"176","jg2558"
"177","jg7970"
"178","jg2671"
"179","jg2714"
"180","jg2735"
"181","jg2739"
"182","jg2754"
"183","jg2767"
"184","jg2768"
"185","jg8000"
"186","jg10166"
"187","jg10200"
"188","jg10227"
"189","jg10244"
"190","jg10379"
"191","jg10390"
"192","jg8030"
"193","jg10587"
"194","jg10592"
"195","jg10769"
"196","jg8065"
"197","jg10832"
"198","jg10872"
"199","jg10926"
"200","jg10941"
"201","jg10946"
"202","jg11093"
"203","jg11128"
"204","jg11129"
"205","jg11141"
"206","jg11189"
"207","jg8123"
"208","jg22456"
"209","jg22560"
"210","jg22622"
"211","jg8143"
"212","jg22764"
"213","jg22839"
"214","jg22872.1"
"215","jg22875"
"216","jg22895"
"217","jg22943"
"218","jg22993"
"219","jg23032"
"220","jg23037"
"221","jg23063"
"222","jg23126"
"223","jg23236"
"224","jg23257"
"225","jg23276"
"226","jg8211"
"227","jg23361"
"228","jg23506"
"229","jg15576"
"230","jg23554"
"231","jg23629"
"232","jg23632"
"233","jg23706"
"234","jg23780"
"235","jg23781"
"236","jg23843"
"237","jg8263"
"238","jg8275"
"239","jg32075"
