"","x"
"1","jg24784"
"2","jg24832"
"3","jg24962"
"4","jg24976"
"5","jg2955.1"
"6","jg3005.1"
"7","jg3011"
"8","jg3062"
"9","jg3072"
"10","jg3245"
"11","jg3403"
"12","jg3404"
"13","jg3436"
"14","jg3441"
"15","jg3496"
"16","jg3517"
"17","jg3563"
"18","jg3603"
"19","jg3633"
"20","jg33799"
"21","jg33824"
"22","jg33832"
"23","jg33851"
"24","jg33874"
"25","jg33932"
"26","jg34056"
"27","jg34072"
"28","jg34101"
"29","jg34205"
"30","jg34209"
"31","jg34279"
"32","jg34535"
"33","jg7567"
"34","jg34652"
"35","jg34665"
"36","jg34671"
"37","jg34672"
"38","jg34686"
"39","jg34742"
"40","jg34743"
"41","jg34820"
"42","jg34951"
"43","jg34956"
"44","jg35038"
"45","jg35039"
"46","jg35076"
"47","jg20510"
"48","jg20666.1"
"49","jg15524"
"50","jg20707"
"51","jg20841"
"52","jg20861"
"53","jg20866"
"54","jg20871"
"55","jg20958"
"56","jg7697"
"57","jg21104"
"58","jg21143"
"59","jg21181"
"60","jg21217"
"61","jg7725"
"62","jg21325"
"63","jg21397"
"64","jg21408"
"65","jg21439"
"66","jg21816"
"67","jg21841"
"68","jg21845"
"69","jg21856"
"70","jg21983"
"71","jg22152"
"72","jg22256"
"73","jg22335"
"74","jg22339"
"75","jg22349"
"76","jg7828"
"77","jg22427"
"78","jg22433"
"79","jg1390"
"80","jg1391"
"81","jg1546"
"82","jg1557"
"83","jg1604"
"84","jg1675"
"85","jg1767"
"86","jg1782"
"87","jg1915"
"88","jg1924"
"89","jg2002"
"90","jg2010"
"91","jg2148"
"92","jg2161"
"93","jg2179"
"94","jg7945"
"95","jg2435"
"96","jg2456"
"97","jg2465"
"98","jg2518"
"99","jg2535"
"100","jg2594"
"101","jg2756"
"102","jg10127"
"103","jg10130"
"104","jg10165"
"105","jg8004"
"106","jg10185"
"107","jg10221"
"108","jg8012"
"109","jg8042"
"110","jg10548"
"111","jg10837"
"112","jg10916"
"113","jg11004"
"114","jg11112.2"
"115","jg11217"
"116","jg11324"
"117","jg11332"
"118","jg8126"
"119","jg22804"
"120","jg22858.1"
"121","jg8182"
"122","jg23029"
"123","jg23256"
"124","jg23364"
"125","jg23479"
"126","jg23571.2"
"127","jg23802"
"128","jg23826"
"129","jg32031"
"130","jg32077"
"131","jg32254"
"132","jg32406"
"133","jg32466"
"134","jg32476"
"135","jg32482"
"136","jg32546"
"137","jg32644"
"138","jg32645"
"139","jg32749"
"140","jg32750"
"141","jg32795"
"142","jg32794"
"143","jg32837"
"144","jg32880"
"145","jg32896"
"146","jg32897"
"147","jg8361"
"148","jg33096"
"149","jg33215"
"150","jg33268"
"151","jg33337.1"
"152","jg33609"
"153","jg27598"
"154","jg27644"
"155","jg27668"
"156","jg27717"
"157","jg8472"
"158","jg27985"
"159","jg27986"
"160","jg28128"
"161","jg28180"
"162","jg28187"
"163","jg28295"
"164","jg28549"
"165","jg8537"
"166","jg28606"
"167","jg28611"
"168","jg8547"
"169","jg8565"
"170","jg12735"
"171","jg8574"
"172","jg8571"
"173","jg12876"
"174","jg12929"
"175","jg12973"
"176","jg13020"
"177","jg13021"
"178","jg13471"
"179","jg13499"
"180","jg13502"
"181","jg13503"
"182","jg13613"
"183","jg13637"
"184","jg13694"
"185","jg13702"
"186","jg13735"
"187","jg13814"
"188","jg35338"
"189","jg35411"
"190","jg26525.2"
"191","jg35489"
"192","jg35566"
"193","jg35569"
"194","jg35603"
"195","jg35633"
"196","jg35654.1"
"197","jg35655"
"198","jg35678.2"
"199","jg35729"
"200","jg35795"
"201","jg35931"
"202","jg35995"
"203","jg36091"
"204","jg36209"
"205","jg36235"
"206","jg36502"
"207","jg36514"
"208","jg36656"
"209","jg36898"
"210","jg36989.1"
"211","jg36995"
"212","jg37053"
"213","jg37147"
"214","jg37160"
"215","jg37197"
"216","jg37281"
"217","jg37309"
"218","jg37352"
"219","jg16485"
"220","jg16503"
"221","jg16511"
"222","jg16519"
"223","jg16561"
"224","jg16604.2"
"225","jg16638"
"226","jg16643"
"227","jg16653"
"228","jg15646"
"229","jg16863.1"
"230","jg16902"
"231","jg16982"
"232","jg16990"
"233","jg17022"
"234","jg17029"
"235","jg17133"
"236","jg17142"
"237","jg17265"
"238","jg17413"
"239","jg17478"
"240","jg17517"
"241","jg17542"
"242","jg3696"
"243","jg3722"
"244","jg3812"
"245","jg3813"
"246","jg3820"
"247","jg3875"
"248","jg3997.1"
"249","jg4186"
"250","jg4249"
"251","jg4250"
"252","jg4298"
"253","jg4310"
"254","jg4366"
"255","jg4372"
"256","jg4405.1"
"257","jg4433"
"258","jg4434"
"259","jg4568"
"260","jg4576"
"261","jg4625"
"262","jg4637"
"263","jg4639"
"264","jg4673"
"265","jg4699"
"266","jg4755"
"267","jg15666"
"268","jg4778"
"269","jg4779"
"270","jg26949"
"271","jg4823"
"272","jg4884"
"273","jg4921"
"274","jg4938"
"275","jg15668"
"276","jg8752"
"277","jg8757"
"278","jg8781"
"279","jg15428"
"280","jg8802"
"281","jg8839"
"282","jg8907"
"283","jg8957"
"284","jg8966"
"285","jg8971"
"286","jg9138"
"287","jg9173.1"
"288","jg9222"
"289","jg9225"
"290","jg9242"
"291","jg9376"
"292","jg9412"
"293","jg27051"
"294","jg9771"
"295","jg9819"
"296","jg9856.2"
"297","jg10043"
"298","jg243"
"299","jg27121"
"300","jg317"
"301","jg319"
"302","jg342"
"303","jg377"
"304","jg409"
"305","jg865"
"306","jg27188"
"307","jg1113"
"308","jg28806"
"309","jg28819"
"310","jg28887"
"311","jg28893"
"312","jg28898"
"313","jg28906"
"314","jg28914"
"315","jg28915"
"316","jg27257"
"317","jg29031"
"318","jg29034"
"319","jg29033"
"320","jg29046"
"321","jg29071"
"322","jg29083"
"323","jg29091"
