#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
ath01100	Metabolic pathways	106	1899	0.33	6.48e-11	3702.AT1G01610.1,3702.AT1G04920.1,3702.AT1G05260.1,3702.AT1G08250.1,3702.AT1G08510.1,3702.AT1G12780.1,3702.AT1G13560.1,3702.AT1G16300.1,3702.AT1G26810.1,3702.AT1G29930.1,3702.AT1G30000.1,3702.AT1G31220.1,3702.AT1G32470.1,3702.AT1G43670.1,3702.AT1G43710.1,3702.AT1G49820.1,3702.AT1G51680.1,3702.AT1G55670.1,3702.AT1G62660.1,3702.AT1G64200.1,3702.AT1G65960.2,3702.AT1G66430.1,3702.AT1G74040.1,3702.AT1G75330.1,3702.AT1G76130.1,3702.AT1G76400.1,3702.AT1G76690.1,3702.AT1G79530.1,3702.AT2G05100.1,3702.AT2G05990.2,3702.AT2G18950.1,3702.AT2G19450.1,3702.AT2G22450.1,3702.AT2G22480.1,3702.AT2G22780.1,3702.AT2G30490.1,3702.AT2G35390.2,3702.AT2G37250.1,3702.AT2G38110.1,3702.AT2G40190.1,3702.AT2G43090.1,3702.AT2G43360.1,3702.AT2G44040.1,3702.AT2G44350.2,3702.AT2G45670.1,3702.AT3G01120.1,3702.AT3G01910.1,3702.AT3G02360.2,3702.AT3G08590.2,3702.AT3G12500.1,3702.AT3G14390.1,3702.AT3G20440.2,3702.AT3G22320.1,3702.AT3G23580.1,3702.AT3G23790.1,3702.AT3G24090.1,3702.AT3G25770.1,3702.AT3G27820.1,3702.AT3G29320.1,3702.AT3G47000.1,3702.AT3G48170.1,3702.AT3G57610.1,3702.AT4G01690.1,3702.AT4G02280.1,3702.AT4G03280.1,3702.AT4G04955.1,3702.AT4G11150.1,3702.AT4G12110.1,3702.AT4G15560.1,3702.AT4G18230.1,3702.AT4G23920.1,3702.AT4G24040.1,3702.AT4G32180.1,3702.AT4G34050.1,3702.AT4G34700.1,3702.AT4G34890.1,3702.AT4G36380.1,3702.AT4G39080.1,3702.AT5G01220.1,3702.AT5G07440.1,3702.AT5G07990.1,3702.AT5G08415.1,3702.AT5G11670.1,3702.AT5G15180.1,3702.AT5G17330.1,3702.AT5G19730.1,3702.AT5G20070.1,3702.AT5G20950.1,3702.AT5G23300.1,3702.AT5G43860.1,3702.AT5G47890.1,3702.AT5G50920.1,3702.AT5G51820.1,3702.AT5G51940.1,3702.AT5G52560.1,3702.AT5G52920.1,3702.AT5G53460.1,3702.AT5G55500.1,3702.AT5G60600.1,3702.AT5G63400.1,3702.AT5G64380.1,3702.AT5G65110.1,3702.AT5G66060.1,3702.ATCG00480.1,3702.ATCG00490.1,3702.ATCG00680.1	GPAT4,SPS3F,RCI3,ADT6,FATB,UGE1,AAPT1,GAPCP-2,GALT1,CAB1,MNS3,AT1G31220,AT1G32470,FBP,EMB1075,MTK,4CL1,PSAG,AT1G62660,VHA-E3,GAD2,AT1G66430,IMS1,OTC,AMY2,AT1G76400,OPR2,GAPCP-1,LHCB2.1,MOD1,HPT1,TAG1,RIBA2,PFK5,PMDH1,C4H,AT2G35390,ADK,GPAT6,LEW3,AT2G43090,BIO2,AT2G44040,ATCS,AT2G45670,MTO1,SOX,AT3G02360,iPGAM2,HCHIB,AT3G14390,EMB2729,NRPB5,RNR2A,AAE16,GFAT,AOC2,MDAR4,AT3G29320,AT3G47000,ALDH10A9,ADSS,PPOP1,SUS3,PETC,ALN,TUF,SMO1-1,CLA1,AT4G18230,UGE2,TRE1,PANK2,CCoAOMT1,CIB22,XDH1,ROT3,VHA-A3,SQD2,GDH2,TT7,AT5G08415,NADP-ME2,AT5G15180,GAD,AT5G19730,NUDX19,AT5G20950,PYRD,CLH2,AT5G47890,CLPC1,PGMP,NRPB6A,USP,PKP-BETA1,GLT1,XYLT,HDS,At5g63400,AT5G64380,ACX2,AT5G66060,PB,RBCL,PSBB
ath01110	Biosynthesis of secondary metabolites	55	1063	0.3	0.00016	3702.AT1G01610.1,3702.AT1G05260.1,3702.AT1G08250.1,3702.AT1G13560.1,3702.AT1G16300.1,3702.AT1G31220.1,3702.AT1G32470.1,3702.AT1G43670.1,3702.AT1G43710.1,3702.AT1G51680.1,3702.AT1G65960.2,3702.AT1G74040.1,3702.AT1G75330.1,3702.AT1G76690.1,3702.AT1G79530.1,3702.AT2G18950.1,3702.AT2G22450.1,3702.AT2G22480.1,3702.AT2G22780.1,3702.AT2G26640.1,3702.AT2G30490.1,3702.AT2G35390.2,3702.AT2G37250.1,3702.AT2G38110.1,3702.AT2G40690.1,3702.AT2G43090.1,3702.AT2G44040.1,3702.AT2G44350.2,3702.AT3G01120.1,3702.AT3G02360.2,3702.AT3G08590.2,3702.AT3G14390.1,3702.AT3G20440.2,3702.AT3G25770.1,3702.AT3G29320.1,3702.AT3G47000.1,3702.AT4G01690.1,3702.AT4G12110.1,3702.AT4G15560.1,3702.AT4G34050.1,3702.AT4G34890.1,3702.AT4G35090.1,3702.AT4G36380.1,3702.AT5G07990.1,3702.AT5G15180.1,3702.AT5G17330.1,3702.AT5G20950.1,3702.AT5G43860.1,3702.AT5G51820.1,3702.AT5G52920.1,3702.AT5G53460.1,3702.AT5G60600.1,3702.AT5G63400.1,3702.AT5G64380.1,3702.AT5G65110.1	GPAT4,RCI3,ADT6,AAPT1,GAPCP-2,AT1G31220,AT1G32470,FBP,EMB1075,4CL1,GAD2,IMS1,OTC,OPR2,GAPCP-1,HPT1,RIBA2,PFK5,PMDH1,KCS11,C4H,AT2G35390,ADK,GPAT6,GLY1,AT2G43090,AT2G44040,ATCS,MTO1,AT3G02360,iPGAM2,AT3G14390,EMB2729,AOC2,AT3G29320,AT3G47000,PPOP1,SMO1-1,CLA1,CCoAOMT1,XDH1,CAT,ROT3,TT7,AT5G15180,GAD,AT5G20950,CLH2,PGMP,PKP-BETA1,GLT1,HDS,At5g63400,AT5G64380,ACX2
ath00230	Purine metabolism	13	158	0.5	0.0165	3702.AT1G31220.1,3702.AT2G35390.2,3702.AT2G37250.1,3702.AT3G22320.1,3702.AT3G23580.1,3702.AT3G57610.1,3702.AT4G04955.1,3702.AT4G20070.1,3702.AT4G34890.1,3702.AT5G51820.1,3702.AT5G51940.1,3702.AT5G52920.1,3702.AT5G63400.1	AT1G31220,AT2G35390,ADK,NRPB5,RNR2A,ADSS,ALN,AAH,XDH1,PGMP,NRPB6A,PKP-BETA1,At5g63400
ath00250	Alanine, aspartate and glutamate metabolism	7	49	0.74	0.0165	3702.AT1G65960.2,3702.AT3G24090.1,3702.AT3G57610.1,3702.AT5G07440.1,3702.AT5G12040.1,3702.AT5G17330.1,3702.AT5G53460.1	GAD2,GFAT,ADSS,GDH2,AT5G12040,GAD,GLT1
ath03050	Proteasome	7	58	0.66	0.0278	3702.AT1G29150.1,3702.AT3G05530.1,3702.AT3G13330.1,3702.AT3G60820.1,3702.AT4G29040.1,3702.AT5G45620.1,3702.AT5G58290.1	ATS9,RPT5A,PA200,PBF1,RPT2a,AT5G45620,RPT3
ath00500	Starch and sucrose metabolism	11	147	0.46	0.0381	3702.AT1G04920.1,3702.AT1G62660.1,3702.AT1G66430.1,3702.AT1G76130.1,3702.AT3G20440.2,3702.AT3G29320.1,3702.AT3G47000.1,3702.AT4G02280.1,3702.AT4G24040.1,3702.AT5G20950.1,3702.AT5G51820.1	SPS3F,AT1G62660,AT1G66430,AMY2,EMB2729,AT3G29320,AT3G47000,SUS3,TRE1,AT5G20950,PGMP
ath00710	Carbon fixation in photosynthetic organisms	7	69	0.59	0.0381	3702.AT1G16300.1,3702.AT1G43670.1,3702.AT1G79530.1,3702.AT2G22780.1,3702.AT5G11670.1,3702.AT5G64380.1,3702.ATCG00490.1	GAPCP-2,FBP,GAPCP-1,PMDH1,NADP-ME2,AT5G64380,RBCL
ath01200	Carbon metabolism	16	261	0.37	0.0381	3702.AT1G16300.1,3702.AT1G32470.1,3702.AT1G43670.1,3702.AT1G79530.1,3702.AT2G22480.1,3702.AT2G22780.1,3702.AT2G35390.2,3702.AT2G44350.2,3702.AT3G02360.2,3702.AT3G08590.2,3702.AT4G35090.1,3702.AT5G07440.1,3702.AT5G11670.1,3702.AT5G52920.1,3702.AT5G64380.1,3702.ATCG00490.1	GAPCP-2,AT1G32470,FBP,GAPCP-1,PFK5,PMDH1,AT2G35390,ATCS,AT3G02360,iPGAM2,CAT,GDH2,NADP-ME2,PKP-BETA1,AT5G64380,RBCL
ath01230	Biosynthesis of amino acids	15	244	0.37	0.0381	3702.AT1G08250.1,3702.AT1G16300.1,3702.AT1G74040.1,3702.AT1G75330.1,3702.AT1G79530.1,3702.AT2G22480.1,3702.AT2G35390.2,3702.AT2G43090.1,3702.AT2G44040.1,3702.AT2G44350.2,3702.AT3G01120.1,3702.AT3G08590.2,3702.AT3G14390.1,3702.AT5G52920.1,3702.AT5G53460.1	ADT6,GAPCP-2,IMS1,OTC,GAPCP-1,PFK5,AT2G35390,AT2G43090,AT2G44040,ATCS,MTO1,iPGAM2,AT3G14390,PKP-BETA1,GLT1
ath03010	Ribosome	18	318	0.33	0.0381	3702.AT1G07320.1,3702.AT1G26910.1,3702.AT1G70600.1,3702.AT1G71720.1,3702.AT1G75350.1,3702.AT1G79850.1,3702.AT2G19730.3,3702.AT2G19740.1,3702.AT3G02080.1,3702.AT3G04400.1,3702.AT3G06700.1,3702.AT3G60245.1,3702.AT4G17390.1,3702.AT4G27090.1,3702.AT5G13510.1,3702.AT5G15200.1,3702.AT5G24510.1,3702.AT5G45775.2	RPL4,RPL10B,AT1G70600,PDE338,emb2184,RPS17,AT2G19730,AT2G19740,AT3G02080,emb2171,AT3G06700,AT3G60245,AT4G17390,AT4G27090,EMB3136,AT5G15200,AT5G24510,AT3G58700
