#term ID	term description	genes mapped	enrichment score	direction	false discovery rate	method	matching proteins in your input (IDs)	matching proteins in your input (labels)
CL:1160	GTP hydrolysis and joining of the 60S ribosomal subunit	48	2.09795	top	3.62e-10	ks	3702.AT1G26910.1,3702.AT1G29970.2,3702.AT1G33120.1,3702.AT1G48830.1,3702.AT1G52300.1,3702.AT1G67430.1,3702.AT1G70600.1,3702.AT1G74050.1,3702.AT1G74270.1,3702.AT1G77940.1,3702.AT2G18020.1,3702.AT2G19730.3,3702.AT2G21580.1,3702.AT2G32060.1,3702.AT2G37270.2,3702.AT2G47110.1,3702.AT3G02560.2,3702.AT3G04770.1,3702.AT3G04840.1,3702.AT3G04920.1,3702.AT3G05590.1,3702.AT3G09630.1,3702.AT3G10610.1,3702.AT3G44590.1,3702.AT3G48930.1,3702.AT3G52580.1,3702.AT3G57490.1,3702.AT3G60245.1,3702.AT3G61110.1,3702.AT4G02230.1,3702.AT4G17390.1,3702.AT4G18100.1,3702.AT4G31985.1,3702.AT5G02870.1,3702.AT5G02960.1,3702.AT5G10360.1,3702.AT5G15200.1,3702.AT5G27700.1,3702.AT5G27770.1,3702.AT5G35530.1,3702.AT5G39740.2,3702.AT5G39850.1,3702.AT5G45775.2,3702.AT5G52650.1,3702.AT5G56710.1,3702.AT5G58420.1,3702.AT5G59240.1,3702.AT5G61170.1	RPL10B,RPL18AA,RPL9B,AT1G48830,AT1G52300,AT1G67430,AT1G70600,AT1G74050,AT1G74270,AT1G77940,EMB2296,AT2G19730,AT2G21580,AT2G32060,RPS5B,UBQ6,AT3G02560,RPSAb,AT3G04840,AT3G04920,RPL18,AT3G09630,AT3G10610,AT3G44590,EMB1080,AT3G52580,AT3G57490,AT3G60245,RS27A,AT4G02230,AT4G17390,AT4G18100,AT4G31985,AT5G02870,AT5G02960,EMB3010,AT5G15200,AT5G27700,AT5G27770,AT5G35530,RPL5B,AT5G39850,AT3G58700,AT5G52650,AT5G56710,AT5G58420,AT5G59240,AT5G61170
CL:1162	GTP hydrolysis and joining of the 60S ribosomal subunit	46	2.0947	top	7.32e-10	ks	3702.AT1G26910.1,3702.AT1G29970.2,3702.AT1G33120.1,3702.AT1G48830.1,3702.AT1G52300.1,3702.AT1G67430.1,3702.AT1G70600.1,3702.AT1G74050.1,3702.AT1G74270.1,3702.AT1G77940.1,3702.AT2G18020.1,3702.AT2G19730.3,3702.AT2G21580.1,3702.AT2G32060.1,3702.AT2G37270.2,3702.AT2G47110.1,3702.AT3G02560.2,3702.AT3G04770.1,3702.AT3G04840.1,3702.AT3G05590.1,3702.AT3G09630.1,3702.AT3G10610.1,3702.AT3G44590.1,3702.AT3G48930.1,3702.AT3G52580.1,3702.AT3G57490.1,3702.AT3G60245.1,3702.AT3G61110.1,3702.AT4G02230.1,3702.AT4G17390.1,3702.AT4G18100.1,3702.AT4G31985.1,3702.AT5G02870.1,3702.AT5G02960.1,3702.AT5G10360.1,3702.AT5G15200.1,3702.AT5G27700.1,3702.AT5G27770.1,3702.AT5G35530.1,3702.AT5G39740.2,3702.AT5G39850.1,3702.AT5G45775.2,3702.AT5G52650.1,3702.AT5G56710.1,3702.AT5G58420.1,3702.AT5G59240.1	RPL10B,RPL18AA,RPL9B,AT1G48830,AT1G52300,AT1G67430,AT1G70600,AT1G74050,AT1G74270,AT1G77940,EMB2296,AT2G19730,AT2G21580,AT2G32060,RPS5B,UBQ6,AT3G02560,RPSAb,AT3G04840,RPL18,AT3G09630,AT3G10610,AT3G44590,EMB1080,AT3G52580,AT3G57490,AT3G60245,RS27A,AT4G02230,AT4G17390,AT4G18100,AT4G31985,AT5G02870,AT5G02960,EMB3010,AT5G15200,AT5G27700,AT5G27770,AT5G35530,RPL5B,AT5G39850,AT3G58700,AT5G52650,AT5G56710,AT5G58420,AT5G59240
CL:1164	GTP hydrolysis and joining of the 60S ribosomal subunit	40	2.06487	top	3.27e-08	ks	3702.AT1G26910.1,3702.AT1G48830.1,3702.AT1G52300.1,3702.AT1G67430.1,3702.AT1G70600.1,3702.AT1G74270.1,3702.AT1G77940.1,3702.AT2G18020.1,3702.AT2G19730.3,3702.AT2G21580.1,3702.AT2G32060.1,3702.AT2G37270.2,3702.AT2G47110.1,3702.AT3G02560.2,3702.AT3G04770.1,3702.AT3G04840.1,3702.AT3G05590.1,3702.AT3G09630.1,3702.AT3G10610.1,3702.AT3G44590.1,3702.AT3G48930.1,3702.AT3G52580.1,3702.AT3G60245.1,3702.AT3G61110.1,3702.AT4G18100.1,3702.AT4G31985.1,3702.AT5G02870.1,3702.AT5G02960.1,3702.AT5G10360.1,3702.AT5G15200.1,3702.AT5G27700.1,3702.AT5G27770.1,3702.AT5G35530.1,3702.AT5G39740.2,3702.AT5G39850.1,3702.AT5G45775.2,3702.AT5G52650.1,3702.AT5G56710.1,3702.AT5G58420.1,3702.AT5G59240.1	RPL10B,AT1G48830,AT1G52300,AT1G67430,AT1G70600,AT1G74270,AT1G77940,EMB2296,AT2G19730,AT2G21580,AT2G32060,RPS5B,UBQ6,AT3G02560,RPSAb,AT3G04840,RPL18,AT3G09630,AT3G10610,AT3G44590,EMB1080,AT3G52580,AT3G60245,RS27A,AT4G18100,AT4G31985,AT5G02870,AT5G02960,EMB3010,AT5G15200,AT5G27700,AT5G27770,AT5G35530,RPL5B,AT5G39850,AT3G58700,AT5G52650,AT5G56710,AT5G58420,AT5G59240
CL:12695	mixed, incl. photosystem, and Thylakoid	43	1.99058	top	1.04e-06	ks	3702.AT1G03680.1,3702.AT1G06680.1,3702.AT1G12250.1,3702.AT1G29930.1,3702.AT1G32060.1,3702.AT1G32080.1,3702.AT1G50320.1,3702.AT1G54780.1,3702.AT1G55670.1,3702.AT1G60950.1,3702.AT1G61520.1,3702.AT1G67700.2,3702.AT1G74730.1,3702.AT1G76080.1,3702.AT1G79040.1,3702.AT2G04700.1,3702.AT2G05100.1,3702.AT2G27680.1,3702.AT2G34420.1,3702.AT2G34430.1,3702.AT3G12780.1,3702.AT3G23700.1,3702.AT3G48420.1,3702.AT3G50820.1,3702.AT3G54050.1,3702.AT3G54890.1,3702.AT3G55800.1,3702.AT3G61870.1,3702.AT3G62410.1,3702.AT3G63140.1,3702.AT4G01150.1,3702.AT4G10340.1,3702.AT4G12800.1,3702.AT4G28660.2,3702.AT4G34190.1,3702.AT4G37925.1,3702.AT5G07020.1,3702.AT5G16400.1,3702.AT5G36700.1,3702.AT5G43750.1,3702.AT5G45680.1,3702.AT5G58260.1,3702.AT5G66570.1	THM1,PSBP-1,AT1G12250,CAB1,PRK,LrgB,THX,TLP18.3,PSAG,FD2,LHCA3,AT1G67700,AT1G74730,CDSP32,PSBR,AT2G04700,LHCB2.1,AT2G27680,LHB1B2,LHB1B1,PGK1,AT3G23700,AT3G48420,PSBO2,HCEF1,LHCA1,SBPASE,AT3G61870,CP12-2,CSP41A,AT4G01150,LHCB5,PSAL,PSB28,At4g34190,NdhM,AT5G07020,TRXF2,PGLP1,PnsB5,FKBP13,NdhN,PSBO1
CL:1165	GTP hydrolysis and joining of the 60S ribosomal subunit	32	2.00442	top	5.49e-06	ks	3702.AT1G26910.1,3702.AT1G48830.1,3702.AT1G52300.1,3702.AT1G70600.1,3702.AT1G74270.1,3702.AT1G77940.1,3702.AT2G18020.1,3702.AT2G19730.3,3702.AT2G21580.1,3702.AT2G32060.1,3702.AT3G02560.2,3702.AT3G04770.1,3702.AT3G05590.1,3702.AT3G09630.1,3702.AT3G44590.1,3702.AT3G48930.1,3702.AT3G52580.1,3702.AT3G60245.1,3702.AT4G18100.1,3702.AT4G31985.1,3702.AT5G02960.1,3702.AT5G10360.1,3702.AT5G27700.1,3702.AT5G27770.1,3702.AT5G35530.1,3702.AT5G39740.2,3702.AT5G39850.1,3702.AT5G45775.2,3702.AT5G52650.1,3702.AT5G56710.1,3702.AT5G58420.1,3702.AT5G59240.1	RPL10B,AT1G48830,AT1G52300,AT1G70600,AT1G74270,AT1G77940,EMB2296,AT2G19730,AT2G21580,AT2G32060,AT3G02560,RPSAb,RPL18,AT3G09630,AT3G44590,EMB1080,AT3G52580,AT3G60245,AT4G18100,AT4G31985,AT5G02960,EMB3010,AT5G27700,AT5G27770,AT5G35530,RPL5B,AT5G39850,AT3G58700,AT5G52650,AT5G56710,AT5G58420,AT5G59240
CL:12697	photosystem, and Thylakoid	39	1.91041	top	1.09e-05	ks	3702.AT1G06680.1,3702.AT1G12250.1,3702.AT1G29930.1,3702.AT1G32060.1,3702.AT1G32080.1,3702.AT1G54780.1,3702.AT1G55670.1,3702.AT1G60950.1,3702.AT1G61520.1,3702.AT1G67700.2,3702.AT1G74730.1,3702.AT1G79040.1,3702.AT2G04700.1,3702.AT2G05100.1,3702.AT2G27680.1,3702.AT2G34420.1,3702.AT2G34430.1,3702.AT3G12780.1,3702.AT3G23700.1,3702.AT3G48420.1,3702.AT3G50820.1,3702.AT3G54050.1,3702.AT3G54890.1,3702.AT3G55800.1,3702.AT3G61870.1,3702.AT3G62410.1,3702.AT3G63140.1,3702.AT4G01150.1,3702.AT4G10340.1,3702.AT4G12800.1,3702.AT4G28660.2,3702.AT4G34190.1,3702.AT4G37925.1,3702.AT5G07020.1,3702.AT5G36700.1,3702.AT5G43750.1,3702.AT5G45680.1,3702.AT5G58260.1,3702.AT5G66570.1	PSBP-1,AT1G12250,CAB1,PRK,LrgB,TLP18.3,PSAG,FD2,LHCA3,AT1G67700,AT1G74730,PSBR,AT2G04700,LHCB2.1,AT2G27680,LHB1B2,LHB1B1,PGK1,AT3G23700,AT3G48420,PSBO2,HCEF1,LHCA1,SBPASE,AT3G61870,CP12-2,CSP41A,AT4G01150,LHCB5,PSAL,PSB28,At4g34190,NdhM,AT5G07020,PGLP1,PnsB5,FKBP13,NdhN,PSBO1
CL:12698	mixed, incl. photosystem, and NAD(P)H dehydrogenase complex (plastoquinone)	34	2.00729	top	4.39e-05	ks	3702.AT1G06680.1,3702.AT1G29930.1,3702.AT1G32060.1,3702.AT1G32080.1,3702.AT1G54780.1,3702.AT1G55670.1,3702.AT1G60950.1,3702.AT1G61520.1,3702.AT1G67700.2,3702.AT1G74730.1,3702.AT1G79040.1,3702.AT2G05100.1,3702.AT2G34420.1,3702.AT2G34430.1,3702.AT3G12780.1,3702.AT3G23700.1,3702.AT3G48420.1,3702.AT3G50820.1,3702.AT3G54050.1,3702.AT3G54890.1,3702.AT3G55800.1,3702.AT3G61870.1,3702.AT3G62410.1,3702.AT4G01150.1,3702.AT4G10340.1,3702.AT4G12800.1,3702.AT4G28660.2,3702.AT4G34190.1,3702.AT4G37925.1,3702.AT5G07020.1,3702.AT5G36700.1,3702.AT5G43750.1,3702.AT5G58260.1,3702.AT5G66570.1	PSBP-1,CAB1,PRK,LrgB,TLP18.3,PSAG,FD2,LHCA3,AT1G67700,AT1G74730,PSBR,LHCB2.1,LHB1B2,LHB1B1,PGK1,AT3G23700,AT3G48420,PSBO2,HCEF1,LHCA1,SBPASE,AT3G61870,CP12-2,AT4G01150,LHCB5,PSAL,PSB28,At4g34190,NdhM,AT5G07020,PGLP1,PnsB5,NdhN,PSBO1
CL:10314	Glutathione metabolism, and Redox-active center	23	2.21444	top	8.62e-05	ks	3702.AT1G07890.8,3702.AT1G08830.1,3702.AT1G12520.1,3702.AT1G15380.1,3702.AT1G53280.1,3702.AT1G65980.1,3702.AT1G67280.1,3702.AT1G75270.1,3702.AT1G77290.1,3702.AT2G30860.1,3702.AT2G32090.1,3702.AT3G02720.1,3702.AT3G06050.1,3702.AT3G10850.1,3702.AT3G52960.1,3702.AT4G25100.1,3702.AT5G16710.1,3702.AT5G21105.1,3702.AT5G23310.1,3702.AT5G41210.1,3702.AT5G42850.1,3702.AT5G48480.1,3702.AT5G57040.1	APX1,CSD1,CCS,GLYI4,DJ1B,TPX1,AT1G67280,DHAR2,AT1G77290,GSTF9,AT2G32090,DJ1D,PRXIIF,GLY2,AT3G52960,FSD1,DHAR3,AT5G21105,FSD3,GSTT1,AT5G42850,AT5G48480,AT5G57040
CL:1167	GTP hydrolysis and joining of the 60S ribosomal subunit	21	2.29047	top	8.62e-05	ks	3702.AT1G52300.1,3702.AT1G70600.1,3702.AT1G77940.1,3702.AT2G18020.1,3702.AT2G21580.1,3702.AT2G32060.1,3702.AT3G02560.2,3702.AT3G05590.1,3702.AT3G09630.1,3702.AT3G44590.1,3702.AT3G48930.1,3702.AT4G31985.1,3702.AT5G10360.1,3702.AT5G27700.1,3702.AT5G27770.1,3702.AT5G35530.1,3702.AT5G39740.2,3702.AT5G45775.2,3702.AT5G52650.1,3702.AT5G56710.1,3702.AT5G58420.1	AT1G52300,AT1G70600,AT1G77940,EMB2296,AT2G21580,AT2G32060,AT3G02560,RPL18,AT3G09630,AT3G44590,EMB1080,AT4G31985,EMB3010,AT5G27700,AT5G27770,AT5G35530,RPL5B,AT3G58700,AT5G52650,AT5G56710,AT5G58420
CL:10315	mixed, incl. Glutathione metabolism, and superoxide metabolic process	22	2.20927	top	0.00015	ks	3702.AT1G07890.8,3702.AT1G08830.1,3702.AT1G12520.1,3702.AT1G15380.1,3702.AT1G53280.1,3702.AT1G65980.1,3702.AT1G67280.1,3702.AT1G75270.1,3702.AT1G77290.1,3702.AT2G30860.1,3702.AT2G32090.1,3702.AT3G02720.1,3702.AT3G06050.1,3702.AT3G10850.1,3702.AT3G52960.1,3702.AT4G25100.1,3702.AT5G16710.1,3702.AT5G21105.1,3702.AT5G23310.1,3702.AT5G41210.1,3702.AT5G48480.1,3702.AT5G57040.1	APX1,CSD1,CCS,GLYI4,DJ1B,TPX1,AT1G67280,DHAR2,AT1G77290,GSTF9,AT2G32090,DJ1D,PRXIIF,GLY2,AT3G52960,FSD1,DHAR3,AT5G21105,FSD3,GSTT1,AT5G48480,AT5G57040
