#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005488	binding	84	8611	0.19	0.00042	3702.AT1G01280.1,3702.AT1G06040.1,3702.AT1G06680.1,3702.AT1G07320.1,3702.AT1G08080.1,3702.AT1G10130.1,3702.AT1G11050.1,3702.AT1G15550.1,3702.AT1G23010.1,3702.AT1G26930.1,3702.AT1G27320.1,3702.AT1G31330.1,3702.AT1G48900.1,3702.AT1G49970.1,3702.AT1G50420.1,3702.AT1G50480.1,3702.AT1G51510.1,3702.AT1G66170.1,3702.AT1G66340.1,3702.AT1G68520.1,3702.AT1G74310.1,3702.AT1G75270.1,3702.AT2G01430.1,3702.AT2G26830.1,3702.AT2G31660.1,3702.AT2G40890.1,3702.AT2G41480.1,3702.AT2G41700.1,3702.AT2G41790.1,3702.AT2G43590.1,3702.AT3G07570.1,3702.AT3G07650.1,3702.AT3G10620.1,3702.AT3G12500.1,3702.AT3G12600.1,3702.AT3G18040.1,3702.AT3G20970.1,3702.AT3G46200.1,3702.AT3G47780.1,3702.AT3G49100.1,3702.AT3G49650.1,3702.AT3G54690.1,3702.AT3G55520.1,3702.AT3G61470.1,3702.AT3G62020.1,3702.AT4G00900.1,3702.AT4G01850.1,3702.AT4G05160.1,3702.AT4G09820.1,3702.AT4G10320.1,3702.AT4G10340.1,3702.AT4G24690.1,3702.AT4G33260.1,3702.AT4G37790.1,3702.AT5G03280.1,3702.AT5G03520.1,3702.AT5G04870.1,3702.AT5G06460.1,3702.AT5G06720.1,3702.AT5G06950.1,3702.AT5G09860.1,3702.AT5G14620.1,3702.AT5G15180.1,3702.AT5G16790.1,3702.AT5G18070.1,3702.AT5G20910.1,3702.AT5G21326.1,3702.AT5G23040.1,3702.AT5G23250.1,3702.AT5G26980.1,3702.AT5G35530.1,3702.AT5G35700.1,3702.AT5G36160.1,3702.AT5G39320.1,3702.AT5G51720.1,3702.AT5G51940.1,3702.AT5G56780.1,3702.AT5G58290.1,3702.AT5G59910.1,3702.AT5G60930.1,3702.AT5G64120.1,3702.AT5G64960.1,3702.AT5G67480.2,3702.ATCG00740.1	CYP703A2,STO,PSBP-1,RPL4,At1g08080,ECA3,AT1G11050,GA3OX1,LPR1,AT1G26930,HK3,PSAF,AT1G48900,CLPR1,SCL3,THFS,Y14,MMD1,ETR1,BBX14,HSP101,DHAR2,HB17,emb1187,SAD2,CYP98A3,AT2G41480,ABCA1,AT2G41790,AT2G43590,AT3G07570,COL9,NUDX26,HCHIB,NUDT16,MPK9,NFU4,NUDT9,ABCA7,AT3G49100,AT3G49650,SETH3,AT3G55520,LHCA2,GLP10,ECA2,SAM-2,AT4G05160,TT8,AT4G10320,LHCB5,NBR1,CDC20.2,HAT22,EIN2,RAB8C,CPK1,UBA2,PA2,AHBP-1B,THO1,DRM2,AT5G15180,THO7A,DRT101,AIP2,CIPK26,CPP1,AT5G23250,SYP41,AT5G35530,FIM5,AT5G36160,UDG4,NEET,NRPB6A,ET2,RPT3,HTB4,AT5G60930,AT5G64120,CDKC2,BT4,RPOA
GO:0003824	catalytic activity	73	7239	0.21	0.00059	3702.AT1G01280.1,3702.AT1G02660.1,3702.AT1G08080.1,3702.AT1G10130.1,3702.AT1G11050.1,3702.AT1G15550.1,3702.AT1G23010.1,3702.AT1G23820.1,3702.AT1G27320.1,3702.AT1G33811.1,3702.AT1G48900.1,3702.AT1G49970.1,3702.AT1G50480.1,3702.AT1G59900.1,3702.AT1G63000.1,3702.AT1G66340.1,3702.AT1G75270.1,3702.AT2G23540.1,3702.AT2G26450.1,3702.AT2G26640.1,3702.AT2G26830.1,3702.AT2G36710.1,3702.AT2G37040.1,3702.AT2G40890.1,3702.AT2G41480.1,3702.AT2G41700.1,3702.AT2G41790.1,3702.AT2G43590.1,3702.AT3G10620.1,3702.AT3G10870.1,3702.AT3G12500.1,3702.AT3G12600.1,3702.AT3G18040.1,3702.AT3G22180.1,3702.AT3G46200.1,3702.AT3G47780.1,3702.AT3G49650.1,3702.AT3G54690.1,3702.AT3G54940.2,3702.AT3G55520.1,3702.AT4G00490.1,3702.AT4G00900.1,3702.AT4G01850.1,3702.AT4G03210.1,3702.AT4G05160.1,3702.AT4G09670.1,3702.AT4G10320.1,3702.AT5G03520.1,3702.AT5G03610.1,3702.AT5G04870.1,3702.AT5G06460.1,3702.AT5G06720.1,3702.AT5G13780.1,3702.AT5G13930.1,3702.AT5G14620.1,3702.AT5G15180.1,3702.AT5G16400.1,3702.AT5G18070.1,3702.AT5G19730.1,3702.AT5G20910.1,3702.AT5G21326.1,3702.AT5G23250.1,3702.AT5G35530.1,3702.AT5G36160.1,3702.AT5G39320.1,3702.AT5G51940.1,3702.AT5G58290.1,3702.AT5G60930.1,3702.AT5G64120.1,3702.AT5G64960.1,3702.AT5G66460.1,3702.AT5G67480.2,3702.ATCG00740.1	CYP703A2,AT1G02660,At1g08080,ECA3,AT1G11050,GA3OX1,LPR1,SPDS1,HK3,AT1G33811,AT1G48900,CLPR1,THFS,At1g59900,NRS/ER,ETR1,DHAR2,AT2G23540,AT2G26450,KCS11,emb1187,AT2G36710,PAL1,CYP98A3,AT2G41480,ABCA1,AT2G41790,AT2G43590,NUDX26,MES17,HCHIB,NUDT16,MPK9,AT3G22180,NUDT9,ABCA7,AT3G49650,SETH3,AT3G54940,AT3G55520,BMY9,ECA2,SAM-2,XTH9,AT4G05160,AT4G09670,AT4G10320,RAB8C,AT5G03610,CPK1,UBA2,PA2,AT5G13780,TT4,DRM2,AT5G15180,TRXF2,DRT101,AT5G19730,AIP2,CIPK26,AT5G23250,AT5G35530,AT5G36160,UDG4,NRPB6A,RPT3,AT5G60930,AT5G64120,CDKC2,MAN7,BT4,RPOA
GO:0043167	ion binding	54	5070	0.23	0.0036	3702.AT1G01280.1,3702.AT1G06040.1,3702.AT1G06680.1,3702.AT1G08080.1,3702.AT1G10130.1,3702.AT1G11050.1,3702.AT1G15550.1,3702.AT1G23010.1,3702.AT1G48900.1,3702.AT1G50480.1,3702.AT1G66170.1,3702.AT1G66340.1,3702.AT1G68520.1,3702.AT1G74310.1,3702.AT1G75270.1,3702.AT2G26830.1,3702.AT2G40890.1,3702.AT2G41480.1,3702.AT2G41700.1,3702.AT2G41790.1,3702.AT3G07570.1,3702.AT3G07650.1,3702.AT3G10620.1,3702.AT3G12600.1,3702.AT3G18040.1,3702.AT3G20970.1,3702.AT3G46200.1,3702.AT3G47780.1,3702.AT3G49650.1,3702.AT3G54690.1,3702.AT3G61470.1,3702.AT3G62020.1,3702.AT4G00900.1,3702.AT4G01850.1,3702.AT4G05160.1,3702.AT4G10320.1,3702.AT4G10340.1,3702.AT4G24690.1,3702.AT5G03520.1,3702.AT5G04870.1,3702.AT5G06460.1,3702.AT5G06720.1,3702.AT5G15180.1,3702.AT5G18070.1,3702.AT5G20910.1,3702.AT5G21326.1,3702.AT5G23250.1,3702.AT5G36160.1,3702.AT5G51720.1,3702.AT5G58290.1,3702.AT5G60930.1,3702.AT5G64120.1,3702.AT5G64960.1,3702.AT5G67480.2	CYP703A2,STO,PSBP-1,At1g08080,ECA3,AT1G11050,GA3OX1,LPR1,AT1G48900,THFS,MMD1,ETR1,BBX14,HSP101,DHAR2,emb1187,CYP98A3,AT2G41480,ABCA1,AT2G41790,AT3G07570,COL9,NUDX26,NUDT16,MPK9,NFU4,NUDT9,ABCA7,AT3G49650,SETH3,LHCA2,GLP10,ECA2,SAM-2,AT4G05160,AT4G10320,LHCB5,NBR1,RAB8C,CPK1,UBA2,PA2,AT5G15180,DRT101,AIP2,CIPK26,AT5G23250,AT5G36160,NEET,RPT3,AT5G60930,AT5G64120,CDKC2,BT4
GO:0046872	metal ion binding	35	2940	0.28	0.0132	3702.AT1G01280.1,3702.AT1G06040.1,3702.AT1G06680.1,3702.AT1G08080.1,3702.AT1G10130.1,3702.AT1G15550.1,3702.AT1G23010.1,3702.AT1G50480.1,3702.AT1G66170.1,3702.AT1G66340.1,3702.AT1G68520.1,3702.AT2G40890.1,3702.AT2G41480.1,3702.AT2G41790.1,3702.AT3G07570.1,3702.AT3G07650.1,3702.AT3G10620.1,3702.AT3G12600.1,3702.AT3G20970.1,3702.AT3G46200.1,3702.AT3G61470.1,3702.AT3G62020.1,3702.AT4G00900.1,3702.AT4G01850.1,3702.AT4G10340.1,3702.AT4G24690.1,3702.AT5G04870.1,3702.AT5G06720.1,3702.AT5G15180.1,3702.AT5G18070.1,3702.AT5G20910.1,3702.AT5G23250.1,3702.AT5G51720.1,3702.AT5G64120.1,3702.AT5G67480.2	CYP703A2,STO,PSBP-1,At1g08080,ECA3,GA3OX1,LPR1,THFS,MMD1,ETR1,BBX14,CYP98A3,AT2G41480,AT2G41790,AT3G07570,COL9,NUDX26,NUDT16,NFU4,NUDT9,LHCA2,GLP10,ECA2,SAM-2,LHCB5,NBR1,CPK1,PA2,AT5G15180,DRT101,AIP2,AT5G23250,NEET,AT5G64120,BT4
GO:0097159	organic cyclic compound binding	56	5841	0.19	0.0214	3702.AT1G01280.1,3702.AT1G06040.1,3702.AT1G06680.1,3702.AT1G07320.1,3702.AT1G10130.1,3702.AT1G11050.1,3702.AT1G48900.1,3702.AT1G49970.1,3702.AT1G50420.1,3702.AT1G50480.1,3702.AT1G51510.1,3702.AT1G66170.1,3702.AT1G66340.1,3702.AT1G74310.1,3702.AT2G01430.1,3702.AT2G26830.1,3702.AT2G40890.1,3702.AT2G41480.1,3702.AT2G41700.1,3702.AT3G18040.1,3702.AT3G47780.1,3702.AT3G49100.1,3702.AT3G49650.1,3702.AT3G54690.1,3702.AT3G55520.1,3702.AT3G61470.1,3702.AT4G00900.1,3702.AT4G01850.1,3702.AT4G05160.1,3702.AT4G09820.1,3702.AT4G10320.1,3702.AT4G10340.1,3702.AT4G37790.1,3702.AT5G03280.1,3702.AT5G03520.1,3702.AT5G04870.1,3702.AT5G06460.1,3702.AT5G06720.1,3702.AT5G06950.1,3702.AT5G09860.1,3702.AT5G14620.1,3702.AT5G15180.1,3702.AT5G16790.1,3702.AT5G21326.1,3702.AT5G23250.1,3702.AT5G35530.1,3702.AT5G36160.1,3702.AT5G39320.1,3702.AT5G51940.1,3702.AT5G56780.1,3702.AT5G58290.1,3702.AT5G59910.1,3702.AT5G60930.1,3702.AT5G64120.1,3702.AT5G64960.1,3702.ATCG00740.1	CYP703A2,STO,PSBP-1,RPL4,ECA3,AT1G11050,AT1G48900,CLPR1,SCL3,THFS,Y14,MMD1,ETR1,HSP101,HB17,emb1187,CYP98A3,AT2G41480,ABCA1,MPK9,ABCA7,AT3G49100,AT3G49650,SETH3,AT3G55520,LHCA2,ECA2,SAM-2,AT4G05160,TT8,AT4G10320,LHCB5,HAT22,EIN2,RAB8C,CPK1,UBA2,PA2,AHBP-1B,THO1,DRM2,AT5G15180,THO7A,CIPK26,AT5G23250,AT5G35530,AT5G36160,UDG4,NRPB6A,ET2,RPT3,HTB4,AT5G60930,AT5G64120,CDKC2,RPOA
GO:1901363	heterocyclic compound binding	56	5835	0.19	0.0214	3702.AT1G01280.1,3702.AT1G06040.1,3702.AT1G06680.1,3702.AT1G07320.1,3702.AT1G10130.1,3702.AT1G11050.1,3702.AT1G48900.1,3702.AT1G49970.1,3702.AT1G50420.1,3702.AT1G50480.1,3702.AT1G51510.1,3702.AT1G66170.1,3702.AT1G66340.1,3702.AT1G74310.1,3702.AT2G01430.1,3702.AT2G26830.1,3702.AT2G40890.1,3702.AT2G41480.1,3702.AT2G41700.1,3702.AT3G18040.1,3702.AT3G47780.1,3702.AT3G49100.1,3702.AT3G49650.1,3702.AT3G54690.1,3702.AT3G55520.1,3702.AT3G61470.1,3702.AT4G00900.1,3702.AT4G01850.1,3702.AT4G05160.1,3702.AT4G09820.1,3702.AT4G10320.1,3702.AT4G10340.1,3702.AT4G37790.1,3702.AT5G03280.1,3702.AT5G03520.1,3702.AT5G04870.1,3702.AT5G06460.1,3702.AT5G06720.1,3702.AT5G06950.1,3702.AT5G09860.1,3702.AT5G14620.1,3702.AT5G15180.1,3702.AT5G16790.1,3702.AT5G21326.1,3702.AT5G23250.1,3702.AT5G35530.1,3702.AT5G36160.1,3702.AT5G39320.1,3702.AT5G51940.1,3702.AT5G56780.1,3702.AT5G58290.1,3702.AT5G59910.1,3702.AT5G60930.1,3702.AT5G64120.1,3702.AT5G64960.1,3702.ATCG00740.1	CYP703A2,STO,PSBP-1,RPL4,ECA3,AT1G11050,AT1G48900,CLPR1,SCL3,THFS,Y14,MMD1,ETR1,HSP101,HB17,emb1187,CYP98A3,AT2G41480,ABCA1,MPK9,ABCA7,AT3G49100,AT3G49650,SETH3,AT3G55520,LHCA2,ECA2,SAM-2,AT4G05160,TT8,AT4G10320,LHCB5,HAT22,EIN2,RAB8C,CPK1,UBA2,PA2,AHBP-1B,THO1,DRM2,AT5G15180,THO7A,CIPK26,AT5G23250,AT5G35530,AT5G36160,UDG4,NRPB6A,ET2,RPT3,HTB4,AT5G60930,AT5G64120,CDKC2,RPOA
GO:0046906	tetrapyrrole binding	8	299	0.63	0.0316	3702.AT1G01280.1,3702.AT2G40890.1,3702.AT2G41480.1,3702.AT3G61470.1,3702.AT4G10340.1,3702.AT5G06720.1,3702.AT5G15180.1,3702.AT5G64120.1	CYP703A2,CYP98A3,AT2G41480,LHCA2,LHCB5,PA2,AT5G15180,AT5G64120
GO:0008144	drug binding	25	2074	0.29	0.0424	3702.AT1G10130.1,3702.AT1G11050.1,3702.AT1G50480.1,3702.AT1G66340.1,3702.AT1G74310.1,3702.AT2G26830.1,3702.AT2G41700.1,3702.AT2G43590.1,3702.AT3G12500.1,3702.AT3G18040.1,3702.AT3G47780.1,3702.AT3G49650.1,3702.AT3G54690.1,3702.AT3G55520.1,3702.AT4G00900.1,3702.AT4G01850.1,3702.AT4G05160.1,3702.AT4G10320.1,3702.AT5G04870.1,3702.AT5G06460.1,3702.AT5G21326.1,3702.AT5G36160.1,3702.AT5G58290.1,3702.AT5G60930.1,3702.AT5G64960.1	ECA3,AT1G11050,THFS,ETR1,HSP101,emb1187,ABCA1,AT2G43590,HCHIB,MPK9,ABCA7,AT3G49650,SETH3,AT3G55520,ECA2,SAM-2,AT4G05160,AT4G10320,CPK1,UBA2,CIPK26,AT5G36160,RPT3,AT5G60930,CDKC2
GO:0008312	7S RNA binding	2	7	1.66	0.0424	3702.AT1G48900.1,3702.AT3G49100.1	AT1G48900,AT3G49100
GO:0016209	antioxidant activity	6	178	0.73	0.0424	3702.AT1G75270.1,3702.AT2G41480.1,3702.AT5G06720.1,3702.AT5G15180.1,3702.AT5G16400.1,3702.AT5G64120.1	DHAR2,AT2G41480,PA2,AT5G15180,TRXF2,AT5G64120
