Query	GO:EggNOG GO Biological
jg24	GO:0009059
jg24	GO:0009723
jg24	GO:0009733
jg24	GO:0009889
jg24	GO:0010467
jg24	GO:0016070
jg24	GO:0018130
jg24	GO:0019438
jg24	GO:0031323
jg24	GO:0032870
jg24	GO:0034645
jg24	GO:0034654
jg24	GO:0044271
jg24	GO:0051171
jg24	GO:0051707
jg24	GO:0060255
jg24	GO:0071310
jg24	GO:0080090
jg24	GO:0090304
jg24	GO:1901362
jg30381	GO:0010467
jg30381	GO:0016070
jg30381	GO:0040034
jg30381	GO:0090304
jg30381	GO:2000026
jg30378	GO:0001525
jg30378	GO:0001817
jg30378	GO:0001820
jg30378	GO:0001946
jg30378	GO:0002253
jg30378	GO:0002366
jg30378	GO:0002684
jg30378	GO:0002694
jg30378	GO:0002697
jg30378	GO:0002764
jg30378	GO:0006631
jg30378	GO:0006690
jg30378	GO:0006796
jg30378	GO:0006811
jg30378	GO:0006887
jg30378	GO:0006909
jg30378	GO:0006954
jg30378	GO:0007159
jg30378	GO:0007166
jg30378	GO:0007186
jg30378	GO:0007304
jg30378	GO:0007599
jg30378	GO:0008610
jg30378	GO:0009790
jg30378	GO:0009856
jg30378	GO:0009875
jg30378	GO:0009887
jg30378	GO:0009889
jg30378	GO:0009893
jg30378	GO:0009966
jg30378	GO:0010646
jg30378	GO:0015844
jg30378	GO:0016053
jg30378	GO:0016192
jg30378	GO:0016337
jg30378	GO:0016477
jg30378	GO:0016998
jg30378	GO:0019048
jg30378	GO:0022603
jg30378	GO:0023014
jg30378	GO:0023056
jg30378	GO:0030011
jg30378	GO:0030154
jg30378	GO:0031323
jg30378	GO:0032101
jg30378	GO:0032844
jg30378	GO:0032846
jg30378	GO:0032880
jg30378	GO:0032989
jg30378	GO:0033628
jg30378	GO:0034103
jg30378	GO:0034109
jg30378	GO:0035556
jg30378	GO:0036211
jg30378	GO:0036230
jg30378	GO:0036303
jg30378	GO:0040017
jg30378	GO:0042060
jg30378	GO:0042110
jg30378	GO:0042113
jg30378	GO:0042116
jg30378	GO:0042127
jg30378	GO:0043085
jg30378	GO:0043412
jg30378	GO:0043436
jg30378	GO:0044036
jg30378	GO:0044267
jg30378	GO:0044283
jg30378	GO:0045785
jg30378	GO:0046843
jg30378	GO:0046903
jg30378	GO:0048477
jg30378	GO:0048513
jg30378	GO:0048514
jg30378	GO:0048522
jg30378	GO:0048584
jg30378	GO:0048729
jg30378	GO:0048731
jg30378	GO:0050776
jg30378	GO:0050818
jg30378	GO:0050865
jg30378	GO:0051049
jg30378	GO:0051050
jg30378	GO:0051094
jg30378	GO:0051128
jg30378	GO:0051240
jg30378	GO:0051270
jg30378	GO:0051338
jg30378	GO:0051701
jg30378	GO:0051707
jg30378	GO:0051817
jg30378	GO:0060255
jg30378	GO:0060326
jg30378	GO:0060341
jg30378	GO:0060429
jg30378	GO:0061245
jg30378	GO:0071702
jg30378	GO:0071705
jg30378	GO:0080090
jg30378	GO:0080134
jg30378	GO:0080135
jg30378	GO:1901570
jg30378	GO:2000026
jg30378	GO:2000145
jg30383	GO:0015748
jg30383	GO:0051181
jg30383	GO:0055085
jg30383	GO:0071702
jg30383	GO:0071705
jg30478	GO:0006796
jg30478	GO:0036211
jg30478	GO:0043412
jg30478	GO:0044267
