#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
CL:11288	Amino sugar and nucleotide sugar metabolism, and disaccharide metabolic process	18	184	0.51	0.0137	3702.AT1G35910.1,3702.AT1G66430.1,3702.AT3G10740.1,3702.AT3G29320.1,3702.AT3G57520.1,3702.AT4G16130.1,3702.AT4G17090.1,3702.AT4G18240.1,3702.AT4G24040.1,3702.AT4G25000.1,3702.AT5G09730.1,3702.AT5G15770.1,3702.AT5G17310.2,3702.AT5G18070.1,3702.AT5G26570.1,3702.AT5G51830.1,3702.AT5G64860.1,3702.AT5G65140.1	TPPD,AT1G66430,ASD1,AT3G29320,SIP2,ARA1,CT-BMY,SS4,TRE1,AMY1,BXL3,GNA1,UGP2,DRT101,ATGWD3,AT5G51830,DPE1,TPPJ
CL:11289	Amino sugar and nucleotide sugar metabolism, and disaccharide metabolic process	17	170	0.51	0.0137	3702.AT1G35910.1,3702.AT1G66430.1,3702.AT3G10740.1,3702.AT3G29320.1,3702.AT4G16130.1,3702.AT4G17090.1,3702.AT4G18240.1,3702.AT4G24040.1,3702.AT4G25000.1,3702.AT5G09730.1,3702.AT5G15770.1,3702.AT5G17310.2,3702.AT5G18070.1,3702.AT5G26570.1,3702.AT5G51830.1,3702.AT5G64860.1,3702.AT5G65140.1	TPPD,AT1G66430,ASD1,AT3G29320,ARA1,CT-BMY,SS4,TRE1,AMY1,BXL3,GNA1,UGP2,DRT101,ATGWD3,AT5G51830,DPE1,TPPJ
CL:18418	mixed, incl. Protein processing in endoplasmic reticulum, and N-Glycan biosynthesis	19	177	0.55	0.0137	3702.AT1G14360.1,3702.AT1G32210.1,3702.AT1G35620.1,3702.AT1G56340.1,3702.AT1G65032.1,3702.AT2G25080.1,3702.AT2G25110.1,3702.AT2G40950.1,3702.AT2G44660.1,3702.AT3G09840.1,3702.AT3G23640.2,3702.AT3G53230.1,3702.AT4G04860.1,3702.AT4G16660.1,3702.AT4G16710.1,3702.AT4G24190.1,3702.AT5G35080.1,3702.AT5G49540.1,3702.AT5G51720.1	UTR3,ATDAD1,PDIL5-2,CRT1a,AT1G65032,GPX1,SDF2,BZIP17,AT2G44660,CDC48,HGL1,AtCDC48B,DER2.2,AT4G16660,AT4G16710,SHD,OS9,AT5G49540,NEET
CL:18419	mixed, incl. Protein processing in endoplasmic reticulum, and N-Glycan biosynthesis	17	148	0.57	0.0137	3702.AT1G14360.1,3702.AT1G32210.1,3702.AT1G35620.1,3702.AT1G56340.1,3702.AT1G65032.1,3702.AT2G25080.1,3702.AT2G25110.1,3702.AT2G40950.1,3702.AT2G44660.1,3702.AT3G09840.1,3702.AT3G23640.2,3702.AT3G53230.1,3702.AT4G04860.1,3702.AT4G16660.1,3702.AT4G16710.1,3702.AT4G24190.1,3702.AT5G35080.1	UTR3,ATDAD1,PDIL5-2,CRT1a,AT1G65032,GPX1,SDF2,BZIP17,AT2G44660,CDC48,HGL1,AtCDC48B,DER2.2,AT4G16660,AT4G16710,SHD,OS9
CL:18421	N-Glycan biosynthesis, and response to endoplasmic reticulum stress	12	79	0.7	0.0137	3702.AT1G14360.1,3702.AT1G32210.1,3702.AT1G35620.1,3702.AT1G56340.1,3702.AT2G25080.1,3702.AT2G25110.1,3702.AT2G40950.1,3702.AT2G44660.1,3702.AT3G23640.2,3702.AT4G16660.1,3702.AT4G16710.1,3702.AT4G24190.1	UTR3,ATDAD1,PDIL5-2,CRT1a,GPX1,SDF2,BZIP17,AT2G44660,HGL1,AT4G16660,AT4G16710,SHD
CL:18422	mixed, incl. response to endoplasmic reticulum stress, and Calreticulin family	9	47	0.8	0.0137	3702.AT1G14360.1,3702.AT1G35620.1,3702.AT1G56340.1,3702.AT2G25080.1,3702.AT2G25110.1,3702.AT2G40950.1,3702.AT3G23640.2,3702.AT4G16660.1,3702.AT4G24190.1	UTR3,PDIL5-2,CRT1a,GPX1,SDF2,BZIP17,HGL1,AT4G16660,SHD
CL:9182	Carbon metabolism, and glutamine family amino acid metabolic process	19	192	0.51	0.0137	3702.AT1G09430.1,3702.AT1G24180.1,3702.AT1G75330.1,3702.AT1G79440.1,3702.AT2G01140.1,3702.AT2G13560.1,3702.AT2G18450.1,3702.AT2G37500.1,3702.AT3G04790.1,3702.AT3G04880.1,3702.AT3G16950.2,3702.AT3G57560.1,3702.AT4G26910.1,3702.AT4G35260.1,3702.AT5G07440.1,3702.AT5G11670.1,3702.AT5G18170.1,3702.AT5G38710.1,3702.AT5G54960.1	ACLA-3,IAR4,OTC,ALDH5F1,PDE345,NAD-ME1,SDH1-2,AT2G37500,EMB3119,DRT102,LPD1,NAGK,AT4G26910,IDH1,GDH2,NADP-ME2,GDH1,AT5G38710,PDC2
CL:12700	mixed, incl. Photosystem I, and Calvin cycle	10	71	0.66	0.0288	3702.AT1G08380.1,3702.AT1G15820.1,3702.AT1G29930.1,3702.AT1G31330.1,3702.AT1G32060.1,3702.AT1G60950.1,3702.AT3G12780.1,3702.AT3G54050.1,3702.AT3G61470.1,3702.AT5G23060.1	PSAO,LHCB6,CAB1,PSAF,PRK,FD2,PGK1,HCEF1,LHCA2,CaS
CL:18426	endoplasmic reticulum lumen, and Glucosidase 2 subunit beta	6	22	0.95	0.0288	3702.AT1G14360.1,3702.AT1G56340.1,3702.AT2G25110.1,3702.AT3G23640.2,3702.AT4G16660.1,3702.AT4G24190.1	UTR3,CRT1a,SDF2,HGL1,AT4G16660,SHD
CL:18424	endoplasmic reticulum lumen, and Calnexin/calreticulin cycle	7	34	0.83	0.0314	3702.AT1G14360.1,3702.AT1G56340.1,3702.AT2G25080.1,3702.AT2G25110.1,3702.AT3G23640.2,3702.AT4G16660.1,3702.AT4G24190.1	UTR3,CRT1a,GPX1,SDF2,HGL1,AT4G16660,SHD
