"","x"
"1","jg24605"
"2","jg24615"
"3","jg24619"
"4","jg24632"
"5","jg24641"
"6","jg24670"
"7","jg24683"
"8","jg24685"
"9","jg24686"
"10","jg24720"
"11","jg24725"
"12","jg16360"
"13","jg24743"
"14","jg24744"
"15","jg24746"
"16","jg24753"
"17","jg24758"
"18","jg16365"
"19","jg24825.1"
"20","jg24826"
"21","jg24830"
"22","jg24845.1"
"23","jg16367"
"24","jg24871"
"25","jg24891"
"26","jg24933"
"27","jg24935"
"28","jg24990"
"29","jg24997"
"30","jg2858"
"31","jg2872"
"32","jg2896"
"33","jg2902"
"34","jg2903"
"35","jg16396"
"36","jg3014"
"37","jg3029"
"38","jg3035"
"39","jg3053"
"40","jg3056"
"41","jg3057"
"42","jg3058"
"43","jg3064"
"44","jg3071"
"45","jg3153"
"46","jg3162"
"47","jg16413"
"48","jg16414"
"49","jg3174"
"50","jg3189"
"51","jg3190"
"52","jg3194"
"53","jg3193"
"54","jg3213"
"55","jg3242"
"56","jg3310"
"57","jg3315"
"58","jg3334"
"59","jg3383"
"60","jg3384"
"61","jg3399"
"62","jg3401"
"63","jg3406"
"64","jg3476"
"65","jg3478"
"66","jg3480"
"67","jg3481"
"68","jg3516"
"69","jg3546"
"70","jg3570"
"71","jg3577"
"72","jg3582"
"73","jg7478"
"74","jg3629"
"75","jg3636"
"76","jg33716"
"77","jg33721"
"78","jg33738"
"79","jg33747"
"80","jg7482.2"
"81","jg33760"
"82","jg33778"
"83","jg33793"
"84","jg33822"
"85","jg33823"
"86","jg33849"
"87","jg33855"
"88","jg7493"
"89","jg33866"
"90","jg33879"
"91","jg33885.1"
"92","jg7497.2"
"93","jg33888"
"94","jg33894"
"95","jg33895"
"96","jg33915"
"97","jg33963"
"98","jg7505"
"99","jg34005"
"100","jg34015"
"101","jg34025"
"102","jg34065"
"103","jg34067"
"104","jg34133"
"105","jg34164"
"106","jg34165"
"107","jg34179"
"108","jg34206"
"109","jg34208"
"110","jg34210"
"111","jg34232"
"112","jg34244"
"113","jg34248"
"114","jg34262"
"115","jg34278"
"116","jg34281"
"117","jg34300"
"118","jg34318"
"119","jg34319.1"
"120","jg34327"
"121","jg7544"
"122","jg34367"
"123","jg34368"
"124","jg34375"
"125","jg15414"
"126","jg15514"
"127","jg7547"
"128","jg34402.1"
"129","jg34419"
"130","jg34445"
"131","jg34483"
"132","jg34494"
"133","jg34506"
"134","jg7560"
"135","jg34564"
"136","jg34594"
"137","jg34604"
"138","jg34628"
"139","jg34688"
"140","jg34711"
"141","jg34738"
"142","jg34737"
"143","jg34774"
"144","jg34838"
"145","jg34875"
"146","jg34879"
"147","jg34880"
"148","jg34881"
"149","jg34884"
"150","jg34892"
"151","jg34894"
"152","jg34913"
"153","jg34950"
"154","jg34966"
"155","jg34967"
"156","jg34986"
"157","jg35014"
"158","jg35015"
"159","jg35025"
"160","jg35123"
"161","jg15521"
"162","jg35154"
"163","jg20385"
"164","jg20386"
"165","jg20387"
"166","jg20395"
"167","jg20400"
"168","jg20410"
"169","jg20412"
"170","jg20445"
"171","jg20468"
"172","jg20478"
"173","jg20481"
"174","jg20486.1"
"175","jg20506"
"176","jg20514"
"177","jg20515"
"178","jg20527"
"179","jg20546"
"180","jg20559"
"181","jg20560"
"182","jg20582"
"183","jg20587"
"184","jg20601"
"185","jg20612"
"186","jg20610"
"187","jg7659"
"188","jg20655"
"189","jg20659"
"190","jg20660"
"191","jg20664.1"
"192","jg7664"
"193","jg20680"
"194","jg20708"
"195","jg20722"
"196","jg20742"
"197","jg20749"
"198","jg20761"
"199","jg20770"
"200","jg20795"
"201","jg7675"
"202","jg7677"
"203","jg20831"
"204","jg20855"
"205","jg20862"
"206","jg20867"
"207","jg20868"
"208","jg20880"
"209","jg20888"
"210","jg7684"
"211","jg20910"
"212","jg20923"
"213","jg20945"
"214","jg20963"
"215","jg21034"
"216","jg21088"
"217","jg21111"
"218","jg21117"
"219","jg21129"
"220","jg21130"
"221","jg21208"
"222","jg21220"
"223","jg21248"
"224","jg21273"
"225","jg21278"
"226","jg21293"
"227","jg7723"
"228","jg21313"
"229","jg21341"
"230","jg21366"
"231","jg21405"
"232","jg21420"
"233","jg21433"
"234","jg21452"
"235","jg21453"
"236","jg21461"
"237","jg21468"
"238","jg21470"
"239","jg7742"
"240","jg7738"
"241","jg21491"
"242","jg21518"
"243","jg21535"
"244","jg21568"
"245","jg21625"
"246","jg21676.2"
"247","jg21678"
"248","jg7754"
"249","jg7760"
"250","jg21717"
"251","jg21747"
"252","jg7765"
"253","jg7766"
"254","jg21774"
"255","jg21775"
"256","jg21814"
"257","jg21832"
"258","jg21835"
"259","jg7777"
"260","jg21924"
"261","jg21927"
"262","jg21975"
"263","jg21984"
"264","jg21993"
"265","jg22002"
"266","jg22003"
"267","jg22042"
"268","jg7791"
"269","jg22084"
"270","jg22100"
"271","jg22111"
"272","jg22114"
"273","jg22121"
"274","jg22127"
"275","jg22142"
"276","jg22167"
"277","jg22168"
"278","jg22191"
"279","jg22202"
"280","jg22204"
"281","jg22205"
"282","jg22214"
"283","jg22215"
"284","jg22221"
"285","jg22262"
"286","jg22287"
"287","jg22306"
"288","jg22322"
"289","jg22400"
"290","jg22403"
"291","jg22416"
"292","jg7832"
"293","jg22430"
"294","jg1319"
"295","jg7840"
"296","jg1320"
"297","jg1338.1"
"298","jg1347"
"299","jg1361"
"300","jg1374"
"301","jg1381"
"302","jg1384"
"303","jg1395"
"304","jg1404"
"305","jg1422"
"306","jg1439"
"307","jg1440"
"308","jg1456"
"309","jg1490"
"310","jg1498"
"311","jg1514"
"312","jg1515"
"313","jg1518"
"314","jg1520"
"315","jg1531.2"
"316","jg1544"
"317","jg1545"
"318","jg7864"
"319","jg1558"
"320","jg1605"
"321","jg1639"
"322","jg1663"
"323","jg1718"
"324","jg1717"
"325","jg1722"
"326","jg1723"
"327","jg1738"
"328","jg1795"
"329","jg1819"
"330","jg1825"
"331","jg1832"
"332","jg1846"
"333","jg1852"
"334","jg1861"
"335","jg1873"
"336","jg1904"
"337","jg7898"
"338","jg7899"
"339","jg1931"
"340","jg1956"
"341","jg1959"
"342","jg2001"
"343","jg2012"
"344","jg2040"
"345","jg7914"
"346","jg7915"
"347","jg2084.2"
"348","jg2125"
"349","jg2134"
"350","jg2155"
"351","jg2185"
"352","jg2188"
"353","jg2227"
"354","jg2245"
"355","jg2260"
"356","jg2263"
"357","jg2264"
"358","jg2278"
"359","jg2279.2"
"360","jg2300"
"361","jg7939"
"362","jg2312"
"363","jg2330"
"364","jg2365.2"
"365","jg2433"
"366","jg2445"
"367","jg2478.1"
"368","jg2485"
"369","jg2533"
"370","jg2545"
"371","jg2560"
"372","jg2625"
"373","jg2639"
"374","jg2646"
"375","jg2675"
"376","jg2680"
"377","jg2689"
"378","jg2703"
"379","jg2706"
"380","jg2711"
"381","jg2779"
"382","jg2785"
"383","jg2790"
"384","jg10097"
"385","jg10109"
"386","jg10134"
"387","jg10184"
"388","jg8006"
"389","jg10194"
"390","jg8008"
"391","jg10233"
"392","jg10247"
"393","jg8013"
"394","jg10272"
"395","jg10273"
"396","jg10276"
"397","jg10282"
"398","jg10332"
"399","jg10350"
"400","jg10372"
"401","jg10381"
"402","jg15418"
"403","jg10431"
"404","jg8032"
"405","jg10442"
"406","jg10451"
"407","jg10471"
"408","jg10500"
"409","jg8040"
"410","jg10561"
"411","jg10623"
"412","jg10632"
"413","jg10670"
"414","jg10678"
"415","jg10704"
"416","jg10708"
"417","jg10730"
"418","jg15561"
"419","jg10755"
"420","jg10758"
"421","jg10777"
"422","jg10787"
"423","jg10809"
"424","jg10817"
"425","jg10833.1"
"426","jg10841"
"427","jg10842"
"428","jg10839"
"429","jg10840.1"
"430","jg10855.1"
"431","jg10868"
"432","jg10875"
"433","jg10885"
"434","jg10886"
"435","jg10890"
"436","jg10891"
"437","jg10912"
"438","jg10963"
"439","jg10997"
"440","jg11018"
"441","jg11019"
"442","jg11037"
"443","jg11050"
"444","jg11075"
"445","jg11074"
"446","jg11086"
"447","jg15564"
"448","jg11144"
"449","jg11147.1"
"450","jg8102"
"451","jg11155"
"452","jg11160"
"453","jg11162"
"454","jg8115"
"455","jg11222"
"456","jg11228"
"457","jg11257"
"458","jg11270"
"459","jg11283"
"460","jg11291"
"461","jg11300"
"462","jg11311"
"463","jg11325"
"464","jg11344"
"465","jg11345"
"466","jg8125"
"467","jg22501"
"468","jg22523"
"469","jg22531"
"470","jg8134"
"471","jg22569"
"472","jg22568"
"473","jg22592"
"474","jg8138"
"475","jg22594"
"476","jg22637"
"477","jg22656"
"478","jg22700"
"479","jg22699"
"480","jg22713"
"481","jg8157"
"482","jg22772"
"483","jg22835"
"484","jg22877"
"485","jg22908"
"486","jg22918"
"487","jg22928"
"488","jg22929"
"489","jg22939"
"490","jg22952"
"491","jg22977.1"
"492","jg23019"
"493","jg23030"
"494","jg8186"
"495","jg23065"
"496","jg23069"
"497","jg23073"
"498","jg23082"
"499","jg23083"
"500","jg23131"
"501","jg23198"
"502","jg23199"
"503","jg8201"
"504","jg23214"
"505","jg23225"
"506","jg23227"
"507","jg23238"
"508","jg23287"
"509","jg23308"
"510","jg23315"
"511","jg23341"
"512","jg23360.2"
"513","jg8220"
"514","jg23393"
"515","jg23409"
"516","jg23414"
"517","jg8225"
"518","jg23514"
"519","jg8234"
"520","jg8238"
"521","jg23591"
"522","jg8239"
"523","jg23609"
"524","jg23641"
"525","jg23653"
"526","jg23657"
"527","jg23662"
"528","jg23714"
"529","jg23719"
"530","jg23720"
"531","jg23731"
"532","jg23733"
"533","jg23734"
"534","jg23743"
"535","jg23745"
"536","jg23750"
"537","jg23790.1"
"538","jg23827"
"539","jg23838"
"540","jg23847"
"541","jg23849"
"542","jg32048"
"543","jg32064"
"544","jg32152"
"545","jg32180"
"546","jg32194"
"547","jg32193"
"548","jg32198"
"549","jg32199"
"550","jg32202"
"551","jg32218"
"552","jg32223"
"553","jg32227"
"554","jg32232"
"555","jg32281"
"556","jg32292"
"557","jg32325"
"558","jg32362"
"559","jg32387"
"560","jg32399"
"561","jg32409"
"562","jg32428"
"563","jg32435"
"564","jg32467"
"565","jg32468"
"566","jg32493"
"567","jg32504"
"568","jg32544"
"569","jg32559"
"570","jg32580"
"571","jg32581"
"572","jg32586"
"573","jg8329"
"574","jg32622"
"575","jg32633"
"576","jg32655"
"577","jg32659"
"578","jg32662"
"579","jg32679"
"580","jg32682"
"581","jg32693"
"582","jg32715"
"583","jg32727"
"584","jg32739"
"585","jg32771"
"586","jg32772"
"587","jg32798"
"588","jg32807"
"589","jg32822"
"590","jg32823"
"591","jg32856"
"592","jg32862"
"593","jg32882"
"594","jg32890"
"595","jg32895"
"596","jg32902"
"597","jg32904"
"598","jg32946"
"599","jg15590"
"600","jg33011"
"601","jg33064"
"602","jg33075"
"603","jg33079"
"604","jg33080"
"605","jg15591"
"606","jg33087"
"607","jg33088"
"608","jg33094"
"609","jg33095"
"610","jg33100"
"611","jg8376"
"612","jg33181"
"613","jg33191"
"614","jg33192.2"
"615","jg33193"
"616","jg33199"
"617","jg33200"
"618","jg33202"
"619","jg33218"
"620","jg33242"
"621","jg8389"
"622","jg33262"
"623","jg33264"
"624","jg33265"
"625","jg33271"
"626","jg33273"
"627","jg33284"
"628","jg33314"
"629","jg33315"
"630","jg33317"
"631","jg33318"
"632","jg33382"
"633","jg33385"
"634","jg33400"
"635","jg33410"
"636","jg33412"
"637","jg33415"
"638","jg33420"
"639","jg33426"
"640","jg33437"
"641","jg33439"
"642","jg33458"
"643","jg8416"
"644","jg8417"
"645","jg33488"
"646","jg33490"
"647","jg33523"
"648","jg33539"
"649","jg33607"
"650","jg33663"
"651","jg27556"
"652","jg8438"
"653","jg27569"
"654","jg27572"
"655","jg27577"
"656","jg8442"
"657","jg27579"
"658","jg27583"
"659","jg27605"
"660","jg27613.2"
"661","jg27615"
"662","jg27631"
"663","jg27659"
"664","jg27681"
"665","jg27682"
"666","jg27692"
"667","jg27718"
"668","jg27726"
"669","jg27730"
"670","jg27732"
"671","jg27758"
"672","jg27761.3"
"673","jg27785"
"674","jg27825"
"675","jg27833"
"676","jg27839"
"677","jg27877"
"678","jg27876"
"679","jg27880"
"680","jg27887"
"681","jg27894"
"682","jg27898"
"683","jg27906"
"684","jg27907"
"685","jg27908"
"686","jg27916"
"687","jg27966"
"688","jg28005"
"689","jg28028"
"690","jg8485"
"691","jg28038"
"692","jg8486"
"693","jg28056"
"694","jg28074"
"695","jg28075"
"696","jg28077"
"697","jg28090"
"698","jg28095"
"699","jg28111"
"700","jg28112"
"701","jg28121.2"
"702","jg28131"
"703","jg28147"
"704","jg28151"
"705","jg28152"
"706","jg28153"
"707","jg15603"
"708","jg28164"
"709","jg28170"
"710","jg28213"
"711","jg28217"
"712","jg28220"
"713","jg28221"
"714","jg28242"
"715","jg28251"
"716","jg28267"
"717","jg8510"
"718","jg8511"
"719","jg28332"
"720","jg15605"
"721","jg8519"
"722","jg28383"
"723","jg8521"
"724","jg28401"
"725","jg28454"
"726","jg8528"
"727","jg28501"
"728","jg15607"
"729","jg28573"
"730","jg28587"
"731","jg28588"
"732","jg28590"
"733","jg28593"
"734","jg28597"
"735","jg28601"
"736","jg8546"
"737","jg28634"
"738","jg15609"
"739","jg8549"
"740","jg8550"
"741","jg28660"
"742","jg28662"
"743","jg28664"
"744","jg28690"
"745","jg28691"
"746","jg28720"
"747","jg28721"
"748","jg12628"
"749","jg12631"
"750","jg12644"
"751","jg12660"
"752","jg12662"
"753","jg12663"
"754","jg12680"
"755","jg12702"
"756","jg12704"
"757","jg12709"
"758","jg12718"
"759","jg12745"
"760","jg12750"
"761","jg8572"
"762","jg12766"
"763","jg12782"
"764","jg12802"
"765","jg12814"
"766","jg12816"
"767","jg12844"
"768","jg12849"
"769","jg12856"
"770","jg12886"
"771","jg12894"
"772","jg12911"
"773","jg12913"
"774","jg12918"
"775","jg12923"
"776","jg12936"
"777","jg12976"
"778","jg13025"
"779","jg13037"
"780","jg13039"
"781","jg13040"
"782","jg13041"
"783","jg13042"
"784","jg13066"
"785","jg13077"
"786","jg13089"
"787","jg13090"
"788","jg13110"
"789","jg13111"
"790","jg13117"
"791","jg13121"
"792","jg13141"
"793","jg13165"
"794","jg13164.1"
"795","jg13166"
"796","jg13176"
"797","jg13195"
"798","jg13212"
"799","jg13232"
"800","jg13233.1"
"801","jg13270"
"802","jg13291"
"803","jg13290"
"804","jg13308.2"
