Query Sequence	GO:EggNOG GO Cellular
jg24.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg30381.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg30378.t1	GO:0005737-cytoplasm(L=4)
jg30378.t1	GO:0005829-cytosol(L=4)
jg30378.t1	GO:0016021-integral component of membrane(L=4)
jg30378.t1	GO:0031410-cytoplasmic vesicle(L=4)
jg30378.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg30378.t1	GO:0044444-cytoplasmic part(L=4)
jg30383.t1	GO:0005737-cytoplasm(L=4)
jg30383.t1	GO:0016021-integral component of membrane(L=4)
jg30383.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg30383.t1	GO:0044444-cytoplasmic part(L=4)
jg30475.t1	GO:0005737-cytoplasm(L=4)
jg30475.t1	GO:0005783-endoplasmic reticulum(L=4)
jg30475.t1	GO:0005794-Golgi apparatus(L=4)
jg30475.t1	GO:0012506-vesicle membrane(L=4)
jg30475.t1	GO:0016021-integral component of membrane(L=4)
jg30475.t1	GO:0031410-cytoplasmic vesicle(L=4)
jg30475.t1	GO:0043005-neuron projection(L=4)
jg30475.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg30475.t1	GO:0044444-cytoplasmic part(L=4)
jg65.t1	GO:0005737-cytoplasm(L=4)
jg65.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg65.t1	GO:0044444-cytoplasmic part(L=4)
jg35230.t1	GO:0005737-cytoplasm(L=4)
jg35230.t1	GO:0009579-thylakoid(L=4)
jg35230.t1	GO:0034357-photosynthetic membrane(L=4)
jg35230.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg35230.t1	GO:0044436-thylakoid part(L=4)
jg35230.t1	GO:0044444-cytoplasmic part(L=4)
jg30398.t1	GO:0005737-cytoplasm(L=4)
jg30398.t1	GO:0005829-cytosol(L=4)
jg30398.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg30398.t1	GO:0044444-cytoplasmic part(L=4)
jg12244.t1	GO:0005737-cytoplasm(L=4)
jg12244.t1	GO:0005783-endoplasmic reticulum(L=4)
jg12244.t1	GO:0016021-integral component of membrane(L=4)
jg12244.t1	GO:0019866-organelle inner membrane(L=4)
jg12244.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12244.t1	GO:0044444-cytoplasmic part(L=4)
jg11708.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12390.t1	GO:0005635-nuclear envelope(L=4)
jg12390.t1	GO:0005737-cytoplasm(L=4)
jg12390.t1	GO:0005794-Golgi apparatus(L=4)
jg12390.t1	GO:0016021-integral component of membrane(L=4)
jg12390.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12390.t1	GO:0044444-cytoplasmic part(L=4)
jg12544.t1	GO:0005737-cytoplasm(L=4)
jg12544.t1	GO:0005794-Golgi apparatus(L=4)
jg12544.t1	GO:0016021-integral component of membrane(L=4)
jg12544.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12544.t1	GO:0044444-cytoplasmic part(L=4)
jg12496.t1	GO:0005737-cytoplasm(L=4)
jg12496.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12496.t1	GO:0044444-cytoplasmic part(L=4)
jg12485.t1	GO:0005737-cytoplasm(L=4)
jg12485.t1	GO:0005829-cytosol(L=4)
jg12485.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg12485.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12485.t1	GO:0044444-cytoplasmic part(L=4)
jg11554.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12251.t1	GO:0005737-cytoplasm(L=4)
jg12251.t1	GO:0005783-endoplasmic reticulum(L=4)
jg12251.t1	GO:0016021-integral component of membrane(L=4)
jg12251.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12251.t1	GO:0044444-cytoplasmic part(L=4)
jg12622.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12486.t1	GO:0005737-cytoplasm(L=4)
jg12486.t1	GO:0005829-cytosol(L=4)
jg12486.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg12486.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12486.t1	GO:0044444-cytoplasmic part(L=4)
jg11623.t1	GO:0005737-cytoplasm(L=4)
jg11623.t1	GO:0005829-cytosol(L=4)
jg11623.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11623.t1	GO:0044444-cytoplasmic part(L=4)
jg11726.t1	GO:0005737-cytoplasm(L=4)
jg11726.t1	GO:0005794-Golgi apparatus(L=4)
jg11726.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11726.t1	GO:0044444-cytoplasmic part(L=4)
jg12015.t1	GO:0005737-cytoplasm(L=4)
jg12015.t1	GO:0005829-cytosol(L=4)
jg12015.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12015.t1	GO:0044444-cytoplasmic part(L=4)
jg11576.t1	GO:0005737-cytoplasm(L=4)
jg11576.t1	GO:0005783-endoplasmic reticulum(L=4)
jg11576.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11576.t1	GO:0044444-cytoplasmic part(L=4)
jg12020.t1	GO:0005737-cytoplasm(L=4)
jg12020.t1	GO:0016021-integral component of membrane(L=4)
jg12020.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12020.t1	GO:0044444-cytoplasmic part(L=4)
jg12291.t1	GO:0005737-cytoplasm(L=4)
jg12291.t1	GO:0016021-integral component of membrane(L=4)
jg12291.t1	GO:0031301-integral component of organelle membrane(L=4)
jg12291.t1	GO:0031351-integral component of plastid membrane(L=4)
jg12291.t1	GO:0031968-organelle outer membrane(L=4)
jg12291.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12291.t1	GO:0044444-cytoplasmic part(L=4)
jg11924.t1	GO:0005737-cytoplasm(L=4)
jg11924.t1	GO:0031143-pseudopodium(L=4)
jg11924.t1	GO:0044444-cytoplasmic part(L=4)
jg12500.t1	GO:0005737-cytoplasm(L=4)
jg12500.t1	GO:0005794-Golgi apparatus(L=4)
jg12500.t1	GO:0005829-cytosol(L=4)
jg12500.t1	GO:0016469-proton-transporting two-sector ATPase complex(L=4)
jg12500.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg12500.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12500.t1	GO:0044444-cytoplasmic part(L=4)
jg12218.t1	GO:0005737-cytoplasm(L=4)
jg12218.t1	GO:0005829-cytosol(L=4)
jg12218.t1	GO:0044444-cytoplasmic part(L=4)
jg12347.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11833.t1	GO:0005737-cytoplasm(L=4)
jg11833.t1	GO:0005794-Golgi apparatus(L=4)
jg11833.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11833.t1	GO:0044444-cytoplasmic part(L=4)
jg11791.t1	GO:0005737-cytoplasm(L=4)
jg11791.t1	GO:0016021-integral component of membrane(L=4)
jg11791.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg11791.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11791.t1	GO:0044444-cytoplasmic part(L=4)
jg11700.t1	GO:0016021-integral component of membrane(L=4)
jg12165.t1	GO:0005737-cytoplasm(L=4)
jg12165.t1	GO:0005829-cytosol(L=4)
jg12165.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12165.t1	GO:0044444-cytoplasmic part(L=4)
jg11965.t1	GO:0005737-cytoplasm(L=4)
jg11965.t1	GO:0005794-Golgi apparatus(L=4)
jg11965.t1	GO:0016021-integral component of membrane(L=4)
jg11965.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
