#node	identifier	domain_summary_url	annotation	other_names_and_aliases
Arl15L	3218.PP1S78_167V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=120:Pfam_Gtr1_RagA(20|81)+	annotation not available	5928849,A9SH63,A9SH63_PHYPA,Arl15L,Arl15_9_10-family-like small GTPase,PHYPADRAFT_129740,PP1S78_167V6,PP1S78_167V6.1,UPI00024AF843,XP_001765708,XP_001765708.1,ppp:PHYPADRAFT_129740
CBL01	3218.PP1S28_66V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=213:EFh(71|99)+EFh(108|136)+EFh(152|180)+	Calcineurin B-like protein 01	5920677,A9RTQ5,A9RTQ5_PHYPA,C4P7X2,CBL01,Calcineurin B-like protein 01,E1C9Y5,EDQ77528.1,PHYPADRAFT_160928,PP1S28_66V6,PP1S28_66V6.1,PP1S28_66V6.2,PUT-163a-Physcomitrella_patens-31103,PUT-163a-Physcomitrella_patens-47211,Ppa.4876,Predicted protein,UPI0001620408,XM_001757419,XM_001757419.1,XP_001757471,XP_001757471.1,ppp:PHYPADRAFT_160928
CIPK02	3218.PP1S30_102V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=446:S_TKc(13|268)+Pfam_NAF(308|368)+	CBL-interacting protein kinase 02; Belongs to the protein kinase superfamily	2.7.11.11,5921109,A9RUY6,A9RUY6_PHYPA,C4P7Q7,CBL-interacting protein kinase 02,CIPK02,E1CA01,EC 2.7.11.11,EDQ77137.1,PHYPADRAFT_70892,PP1S30_102V6,PP1S30_102V6.1,PUT-163a-Physcomitrella_patens-42044,Ppa.13756,Predicted protein,UPI00016205E5,XM_001757843,XM_001757843.1,XP_001757895,XP_001757895.1,ppp:PHYPADRAFT_70892
CIPK04	3218.PP1S79_209V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=449:S_TKc(21|276)+Pfam_NAF(316|376)+	CBL-interacting protein kinase 04; Belongs to the protein kinase superfamily	5928939,A9SHK5,A9SHK5_PHYPA,C4P7Q9,CBL-interacting protein kinase 04,CIPK04,E1C9P5,EDQ69454.1,PHYPADRAFT_185055,PP1S79_209V6,PP1S79_209V6.1,PUT-163a-Physcomitrella_patens-31562,PUT-163a-Physcomitrella_patens-36874,PUT-163a-Physcomitrella_patens-36906,PUT-163a-Physcomitrella_patens-45832,Ppa.13149,Ppa.13567,Predicted protein,UPI0001622643,XM_001765811,XM_001765811.1,XP_001765863,XP_001765863.1,ppp:PHYPADRAFT_185055
CIPK05	3218.PP1S186_77V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=445:S_TKc(14|269)+Pfam_NAF(309|371)+	CBL-interacting protein kinase 05; Belongs to the protein kinase superfamily	2.7.11.11,5938309,A9T947,A9T947_PHYPA,C4P7R0,CBL-interacting protein kinase 05,CIPK05,E1C9S4,EC 2.7.11.11,EDQ60104.1,PHYPADRAFT_107706,PP1S186_77V6,PP1S186_77V6.1,Ppa.3741,Predicted protein,UPI000162517A,XM_001775080,XM_001775080.1,XP_001775132,XP_001775132.1,ppp:PHYPADRAFT_107706
CTU1	3218.PP1S54_267V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=348:Pfam_ATP_bind_3(52|249)+Pfam_zn-ribbon_14(280|311)+	Cytoplasmic tRNA 2-thiolation protein 1; Plays a central role in 2-thiolation of mcm(5)S(2)U at tRNA wobble positions of tRNA(Lys), tRNA(Glu) and tRNA(Gln). Directly binds tRNAs and probably acts by catalyzing adenylation of tRNAs, an intermediate required for 2-thiolation. It is unclear whether it acts as a sulfurtransferase that transfers sulfur from thiocarboxylated URM1 onto the uridine of tRNAs at wobble position	2.7.7.-,5925594,A9S7T3,A9S7T3_PHYPA,CTU1,Cytoplasmic tRNA 2-thiolation protein 1,Cytoplasmic tRNA adenylyltransferase 1,EC 2.7.7.-,EDQ72901.1,NCS6,PHYPADRAFT_109819,PP1S54_267V6,PP1S54_267V6.1,PUT-163a-Physcomitrella_patens-46285,Ppa.10492,Predicted protein,UPA00988,UPI0001621572,XM_001762382,XM_001762382.1,XP_001762434,XP_001762434.1,ppp:PHYPADRAFT_109819
DES6	3218.PP1S64_155V6.2	https://smart.embl.de/smart/DDvec.cgi?smart=525:Cyt-b5(105|176)+TRANS(206|228)+Pfam_FA_desaturase(230|498)+	Acyl-lipid (9-3)-desaturase; Fatty acid desaturase able to introduce a delta(6)- double bond into delta(9)-unsaturated fatty-acid substrates. Can use both linoleic acid (18:2(9Z,12Z)) and alpha-linolenic acid (18:3(9Z,12Z,15Z)) as substrates. Required for the biosynthesis of arachidonic acid (20:4(5z,8Z,11Z,14Z))	1.14.19.38,1.14.19.47,5927139,A9SC29,Acyl-lipid (9-3)-desaturase,DES6,DES6_PHYPA,E1C9Y0,E1C9Y0_PHYPA,EC 1.14.19.38,EC 1.14.19.47,EDQ71334.1,PHYPADRAFT_164045,PP1S64_155V6,PP1S64_155V6.1,PP1S64_155V6.2,PP1S64_155V6.3,PUT-163a-Physcomitrella_patens-22535,PUT-163a-Physcomitrella_patens-356,PUT-163a-Physcomitrella_patens-37262,PUT-163a-Physcomitrella_patens-500,PUT-163a-Physcomitrella_patens-62754640,PUT-163a-Physcomitrella_patens-62854637,PUT-163a-Physcomitrella_patens-62854638,Ppa.3032,Predicted protein,Q9ZNW2,UPI0000031B6E,UPI00024AF65A,XM_001763878,XM_001763878.1,XP_001763930,XP_001763930.1,ppp:PHYPADRAFT_164045
EBP1505	3218.PP1S171_11V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=213:BAH(21|136)+PHD(140|187)+	BAH-PHD domain-containing protein 	5937286,A9T602,A9T602_PHYPA,BAH-PHD domain-containing protein,EBP1505,EDQ61122.1,PHYPADRAFT_59496,PP1S171_11V6,PP1S171_11V6.1,UPI0001624E1D,XM_001774018,XM_001774018.1,XP_001774070,XP_001774070.1,ppp:PHYPADRAFT_59496
EBP1506	3218.PP1S89_91V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=192:BAH(24|139)+PHD(143|190)+	BAH-PHD domain-containing protein 	5930196,A9SL26,A9SL26_PHYPA,BAH-PHD domain-containing protein,EBP1506,EDQ68200.1,PHYPADRAFT_186044,PP1S89_91V6,PP1S89_91V6.1,PP1S89_91V6.2,PUT-163a-Physcomitrella_patens-47450,UPI0001622B2E,UPI00024AF0C0,XP_001767034,XP_001767034.1,ppp:PHYPADRAFT_186044
ETR7	3218.PP1S176_126V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=763:TRANS(21|43)+TRANS(53|75)+TRANS(82|104)+GAF(158|317)+HisKA(343|408)+HATPase_c(455|603)+REC(630|746)+	Ethylene receptor; May act early in the ethylene signal transduction pathway, possibly as an ethylene receptor, or as a regulator of the pathway	2.7.13.-,5937653,A9CPF5,A9CPF5_PHYPA,A9T757,E1C9Q8,E1C9Q8_PHYPA,EC 2.7.13.-,EDQ60772.1,ETR1,ETR7,ETR7 ethylene receptor,Ethylene receptor,PHYPADRAFT_192265,PP1S176_126V6,PP1S176_126V6.1,PUT-163a-Physcomitrella_patens-29071,PUT-163a-Physcomitrella_patens-29125,PUT-163a-Physcomitrella_patens-4663,PUT-163a-Physcomitrella_patens-49674,Ppa.1633,UPI000162480C,XM_001774357,XM_001774357.1,XP_001774409,XP_001774409.1,ppp:PHYPADRAFT_192265
