Query	GO:EggNOG GO Molecular
jg24	GO:0003677
jg30378	GO:0001883
jg30378	GO:0016301
jg30378	GO:0016773
jg30378	GO:0017076
jg30378	GO:0032549
jg30378	GO:0032555
jg30378	GO:0035639
jg30378	GO:0046872
jg30383	GO:0015291
jg30478	GO:0001883
jg30478	GO:0016301
jg30478	GO:0016773
jg30478	GO:0017076
jg30478	GO:0032549
jg30478	GO:0032555
jg30478	GO:0035639
jg30477	GO:0003677
jg30475	GO:0001883
jg30475	GO:0003723
jg30475	GO:0016779
jg30475	GO:0016818
jg30475	GO:0017076
jg30475	GO:0032549
jg30475	GO:0032555
jg30475	GO:0035639
jg30475	GO:0046872
jg35230	GO:0001883
jg35230	GO:0017076
jg35230	GO:0032549
jg35230	GO:0032555
jg35230	GO:0035639
jg35230	GO:0046872
jg30398	GO:0001883
jg30398	GO:0016301
jg30398	GO:0016831
jg30398	GO:0017076
jg30398	GO:0032549
jg30398	GO:0032555
jg30398	GO:0035639
jg12244	GO:0016717
jg12244	GO:0042389
jg11708	GO:0046872
jg12390	GO:0016758
jg12496	GO:0001883
jg12496	GO:0015399
jg12496	GO:0016818
jg12496	GO:0016820
jg12496	GO:0017076
jg12496	GO:0032549
jg12496	GO:0032555
jg12496	GO:0035639
jg11554	GO:0003677
jg11554	GO:0046872
jg12251	GO:0001883
jg12251	GO:0003995
jg12251	GO:0008940
jg12251	GO:0016818
jg12251	GO:0017076
jg12251	GO:0020037
jg12251	GO:0032549
jg12251	GO:0032555
jg12251	GO:0035639
jg12251	GO:0046857
jg12251	GO:0046872
jg12251	GO:0050660
jg12251	GO:0052722
jg12251	GO:0052890
jg12251	GO:0070011
jg12622	GO:0003677
jg11623	GO:0008168
jg11623	GO:0035091
jg11726	GO:0020037
jg11726	GO:0046872
jg12015	GO:0001883
jg12015	GO:0017076
jg12015	GO:0032549
jg12015	GO:0032555
jg12015	GO:0035639
jg11576	GO:0016620
jg12020	GO:0004659
jg11924	GO:0003779
jg12233	GO:0046872
jg12500	GO:0015075
jg12500	GO:0015399
jg12500	GO:0016747
jg12500	GO:0016818
jg12500	GO:0016820
jg12421	GO:0001883
jg12421	GO:0004518
jg12421	GO:0016301
jg12421	GO:0016773
jg12421	GO:0017076
