array_1	jg15617.t1	jg15616.t1	jg15618.t1
array_2	jg15472.t1	jg15471.t1	
array_4	jg15628.t1	jg15627.t1	
array_5	jg16451.t1	jg16450.t1	
array_6	jg15481.t1	jg15480.t1	
array_7	jg16339.t1	jg16338.t1	
array_8	jg10236.t1	jg10235.t1	
array_9	jg10159.t1	jg10158.t1	
array_10	jg11335.t1	jg11334.t1	
array_11	jg10732.t1	jg10731.t1	
array_12	jg11172.t1	jg11171.t1	
array_13	jg8834.t1	jg8833.t1	
array_14	jg9190.t1	jg9189.t1	
array_15	jg509.t1	jg510.t1	
array_16	jg1286.t1	jg1285.t1	
array_17	jg1195.t1	jg1194.t1	
array_18	jg1095.t1	jg1096.t1	
array_19	jg29592.t1	jg29593.t1	
array_20	jg30295.t1	jg30294.t1	
array_21	jg29344.t1	jg29345.t1	
array_22	jg30147.t1	jg30146.t1	
array_23	jg31315.t1	jg31314.t1	
array_24	jg31175.t1	jg31176.t1	
array_25	jg31237.t1	jg31238.t1	
array_26	jg31663.t1	jg31662.t1	
array_27	jg31057.t1	jg31056.t1	
array_28	jg31042.t1	jg31041.t1	
array_29	jg31452.t1	jg31451.t1	
array_30	jg18742.t1	jg18743.t1	
array_31	jg18753.t1	jg18752.t1	
array_32	jg18367.t1	jg18368.t1	
array_33	jg19033.t1	jg19031.t1	jg19032.t1
array_34	jg19912.t1	jg19913.t1	
array_35	jg20238.t1	jg20237.t1	
array_36	jg19385.t1	jg19386.t1	
array_37	jg19829.t1	jg19828.t1	
array_39	jg19571.t1	jg19572.t1	
array_40	jg11542.t1	jg11543.t1	
array_41	jg12210.t1	jg12209.t1	
array_42	jg11818.t1	jg11817.t1	
array_43	jg11831.t1	jg11830.t1	
array_44	jg11921.t1	jg11922.t1	
array_45	jg8309.t1	jg8308.t1	
array_46	jg7785.t1	jg7784.t1	
array_47	jg8492.t1	jg8491.t1	
array_48	jg7516.t1	jg7515.t1	
array_49	jg26894.t1	jg26893.t1	
array_50	jg26488.t1	jg26489.t1	
array_51	jg26780.t1	jg26781.t1	
array_52	jg26898.t1	jg26899.t1	
array_53	jg25270.t1	jg25271.t1	
array_54	jg25896.t1	jg25895.t1	
array_55	jg25136.t1	jg25135.t1	
array_56	jg14043.t1	jg14044.t1	
array_57	jg15035.t1	jg15036.t1	
array_58	jg15260.t1	jg15259.t1	
array_59	jg14418.t1	jg14417.t1	
array_60	jg6278.t1	jg6277.t1	
array_61	jg7201.t1	jg7202.t1	
array_62	jg7045.t1	jg7044.t1	
array_63	jg6153.t1	jg6152.t1	
array_64	jg6739.t1	jg6740.t1	
array_65	jg24591.t1	jg24590.t1	jg24589.t1
array_66	jg24093.t1	jg24094.t1	
array_67	jg24481.t1	jg24480.t1	
array_68	jg23887.t1	jg23876.t1	
array_69	jg3305.t1	jg3306.t1	
array_70	jg3303.t1	jg3302.t1	
array_71	jg3533.t1	jg3534.t1	
array_72	jg34910.t1	jg34909.t1	
array_73	jg33949.t1	jg33948.t1	
array_74	jg34973.t1	jg34974.t1	
array_75	jg34705.t1	jg34704.t1	
array_76	jg33924.t1	jg33925.t1	
array_77	jg34708.t1	jg34707.t1	
array_78	jg34671.t1	jg34672.t1	
array_79	jg22441.t1	jg22442.t1	
array_80	jg21239.t1	jg21240.t1	
array_81	jg22024.t1	jg22025.t1	
array_82	jg21917.t1	jg21916.t1	
array_83	jg21521.t1	jg21522.t1	
array_84	jg21741.t1	jg21740.t1	
array_85	jg22123.t1	jg22124.t1	
array_86	jg20503.t1	jg20504.t1	
array_87	jg20418.t1	jg20417.t1	
array_88	jg22141.t1	jg22140.t1	
array_89	jg2424.t1	jg2422.t1	jg2423.t1
array_90	jg2323.t1	jg2322.t1	
array_91	jg1937.t1	jg1936.t1	
array_92	jg1976.t1	jg1977.t1	
array_93	jg1891.t1	jg1890.t1	
array_94	jg23156.t1	jg23157.t1	
array_95	jg22926.t1	jg22927.t1	
array_96	jg22576.t1	jg22575.t1	
array_97	jg22849.t1	jg22848.t1	
array_98	jg32487.t1	jg32488.t1	
array_99	jg32734.t1	jg32733.t1	
array_100	jg32359.t1	jg32358.t1	
array_101	jg33295.t1	jg33296.t1	
array_102	jg32126.t1	jg32125.t1	jg32124.t1
array_103	jg32572.t1	jg32573.t1	
array_104	jg32320.t1	jg32321.t1	
array_105	jg32242.t1	jg32241.t1	
array_106	jg32698.t1	jg32699.t1	
array_108	jg33238.t1	jg33239.t1	
array_109	jg27628.t1	jg27539.t1	
array_110	jg28184.t1	jg28183.t1	
array_111	jg27647.t1	jg27648.t1	
array_112	jg13587.t1	jg13586.t1	
array_113	jg13241.t1	jg13242.t1	jg12943.t1
array_114	jg13020.t1	jg13021.t1	
array_115	jg13354.t1	jg13355.t1	
array_116	jg13100.t1	jg13099.t1	
array_117	jg12635.t1	jg12634.t1	
array_118	jg12875.t1	jg12876.t1	
array_119	jg35719.t1	jg35720.t1	
array_120	jg36793.t1	jg36794.t1	jg36792.t1
array_121	jg37195.t1	jg37194.t1	
array_122	jg37360.t1	jg37361.t1	
array_123	jg36184.t1	jg36185.t1	
array_124	jg17263.t1	jg17264.t1	
array_125	jg17310.t1	jg17309.t1	
array_126	jg4596.t1	jg4595.t1	
