Query Sequence	GO:EggNOG GO Molecular
jg24.t1	GO:0003677-DNA binding(L=4)
jg30378.t1	GO:0001883-purine nucleoside binding(L=4)
jg30378.t1	GO:0016301-kinase activity(L=4)
jg30378.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg30378.t1	GO:0017076-purine nucleotide binding(L=4)
jg30378.t1	GO:0032549-ribonucleoside binding(L=4)
jg30378.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg30378.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg30378.t1	GO:0046872-metal ion binding(L=4)
jg30383.t1	GO:0015291-secondary active transmembrane transporter activity(L=4)
jg30478.t1	GO:0001883-purine nucleoside binding(L=4)
jg30478.t1	GO:0016301-kinase activity(L=4)
jg30478.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg30478.t1	GO:0017076-purine nucleotide binding(L=4)
jg30478.t1	GO:0032549-ribonucleoside binding(L=4)
jg30478.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg30478.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg30477.t1	GO:0003677-DNA binding(L=4)
jg30475.t1	GO:0001883-purine nucleoside binding(L=4)
jg30475.t1	GO:0003723-RNA binding(L=4)
jg30475.t1	GO:0016779-nucleotidyltransferase activity(L=4)
jg30475.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg30475.t1	GO:0017076-purine nucleotide binding(L=4)
jg30475.t1	GO:0032549-ribonucleoside binding(L=4)
jg30475.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg30475.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg30475.t1	GO:0046872-metal ion binding(L=4)
jg35230.t1	GO:0001883-purine nucleoside binding(L=4)
jg35230.t1	GO:0017076-purine nucleotide binding(L=4)
jg35230.t1	GO:0032549-ribonucleoside binding(L=4)
jg35230.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg35230.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg35230.t1	GO:0046872-metal ion binding(L=4)
jg30398.t1	GO:0001883-purine nucleoside binding(L=4)
jg30398.t1	GO:0016301-kinase activity(L=4)
jg30398.t1	GO:0016831-carboxy-lyase activity(L=4)
jg30398.t1	GO:0017076-purine nucleotide binding(L=4)
jg30398.t1	GO:0032549-ribonucleoside binding(L=4)
jg30398.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg30398.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg12244.t1	GO:0016717-oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water(L=4)
jg12244.t1	GO:0042389-omega-3 fatty acid desaturase activity(L=4)
jg11708.t1	GO:0046872-metal ion binding(L=4)
jg12390.t1	GO:0016758-transferase activity, transferring hexosyl groups(L=4)
jg12496.t1	GO:0001883-purine nucleoside binding(L=4)
jg12496.t1	GO:0015399-primary active transmembrane transporter activity(L=4)
jg12496.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg12496.t1	GO:0016820-hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances(L=4)
jg12496.t1	GO:0017076-purine nucleotide binding(L=4)
jg12496.t1	GO:0032549-ribonucleoside binding(L=4)
jg12496.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg12496.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg11554.t1	GO:0003677-DNA binding(L=4)
jg11554.t1	GO:0046872-metal ion binding(L=4)
jg12251.t1	GO:0001883-purine nucleoside binding(L=4)
jg12251.t1	GO:0003995-acyl-CoA dehydrogenase activity(L=4)
jg12251.t1	GO:0008940-nitrate reductase activity(L=4)
jg12251.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg12251.t1	GO:0017076-purine nucleotide binding(L=4)
jg12251.t1	GO:0020037-heme binding(L=4)
jg12251.t1	GO:0032549-ribonucleoside binding(L=4)
jg12251.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg12251.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg12251.t1	GO:0046857-oxidoreductase activity, acting on other nitrogenous compounds as donors, with NAD or NADP as acceptor(L=4)
jg12251.t1	GO:0046872-metal ion binding(L=4)
jg12251.t1	GO:0050660-flavin adenine dinucleotide binding(L=4)
jg12251.t1	GO:0052722-fatty acid in-chain hydroxylase activity(L=4)
jg12251.t1	GO:0052890-oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor(L=4)
jg12251.t1	GO:0070011-peptidase activity, acting on L-amino acid peptides(L=4)
jg12622.t1	GO:0003677-DNA binding(L=4)
jg11623.t1	GO:0008168-methyltransferase activity(L=4)
jg11623.t1	GO:0035091-phosphatidylinositol binding(L=4)
jg11726.t1	GO:0020037-heme binding(L=4)
jg11726.t1	GO:0046872-metal ion binding(L=4)
jg12015.t1	GO:0001883-purine nucleoside binding(L=4)
jg12015.t1	GO:0017076-purine nucleotide binding(L=4)
jg12015.t1	GO:0032549-ribonucleoside binding(L=4)
jg12015.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg12015.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg11576.t1	GO:0016620-oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor(L=4)
jg12020.t1	GO:0004659-prenyltransferase activity(L=4)
jg11924.t1	GO:0003779-actin binding(L=4)
jg12233.t1	GO:0046872-metal ion binding(L=4)
jg12500.t1	GO:0015075-ion transmembrane transporter activity(L=4)
jg12500.t1	GO:0015399-primary active transmembrane transporter activity(L=4)
jg12500.t1	GO:0016747-transferase activity, transferring acyl groups other than amino-acyl groups(L=4)
jg12500.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg12500.t1	GO:0016820-hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances(L=4)
jg12421.t1	GO:0001883-purine nucleoside binding(L=4)
jg12421.t1	GO:0004518-nuclease activity(L=4)
jg12421.t1	GO:0016301-kinase activity(L=4)
jg12421.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg12421.t1	GO:0017076-purine nucleotide binding(L=4)
jg12421.t1	GO:0032549-ribonucleoside binding(L=4)
jg12421.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg12421.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg11532.t1	GO:0001883-purine nucleoside binding(L=4)
jg11532.t1	GO:0004842-ubiquitin-protein transferase activity(L=4)
jg11532.t1	GO:0016881-acid-amino acid ligase activity(L=4)
jg11532.t1	GO:0017076-purine nucleotide binding(L=4)
jg11532.t1	GO:0032549-ribonucleoside binding(L=4)
jg11532.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg11532.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg12347.t1	GO:0003677-DNA binding(L=4)
jg12347.t1	GO:0046872-metal ion binding(L=4)
jg11833.t1	GO:0016709-oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen(L=4)
jg11833.t1	GO:0042578-phosphoric ester hydrolase activity(L=4)
jg11833.t1	GO:0046872-metal ion binding(L=4)
jg11833.t1	GO:0050660-flavin adenine dinucleotide binding(L=4)
jg11833.t1	GO:0050661-NADP binding(L=4)
jg12362.t1	GO:0016301-kinase activity(L=4)
jg12362.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg11791.t1	GO:0015291-secondary active transmembrane transporter activity(L=4)
jg11636.t1	GO:0003677-DNA binding(L=4)
jg11636.t1	GO:0046872-metal ion binding(L=4)
jg11700.t1	GO:0008483-transaminase activity(L=4)
jg12212.t1	GO:0003723-RNA binding(L=4)
jg12212.t1	GO:0016779-nucleotidyltransferase activity(L=4)
jg12212.t1	GO:0046872-metal ion binding(L=4)
jg12212.t1	GO:0070011-peptidase activity, acting on L-amino acid peptides(L=4)
jg11965.t1	GO:0016758-transferase activity, transferring hexosyl groups(L=4)
jg12575.t1	GO:0003677-DNA binding(L=4)
jg12035.t1	GO:0003723-RNA binding(L=4)
jg11859.t1	GO:0001883-purine nucleoside binding(L=4)
jg11859.t1	GO:0003723-RNA binding(L=4)
jg11859.t1	GO:0008200-ion channel inhibitor activity(L=4)
jg11859.t1	GO:0008281-sulfonylurea receptor activity(L=4)
jg11859.t1	GO:0010290-chlorophyll catabolite transmembrane transporter activity(L=4)
jg11859.t1	GO:0015036-disulfide oxidoreductase activity(L=4)
jg11859.t1	GO:0015075-ion transmembrane transporter activity(L=4)
jg11859.t1	GO:0015203-polyamine transmembrane transporter activity(L=4)
jg11859.t1	GO:0015267-channel activity(L=4)
jg11859.t1	GO:0015399-primary active transmembrane transporter activity(L=4)
jg11859.t1	GO:0015416-ATPase-coupled organic phosphonate transmembrane transporter activity(L=4)
jg11859.t1	GO:0015605-organophosphate ester transmembrane transporter activity(L=4)
jg11859.t1	GO:0016301-kinase activity(L=4)
jg11859.t1	GO:0016616-oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(L=4)
jg11859.t1	GO:0016628-oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor(L=4)
jg11859.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg11859.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg11859.t1	GO:0016820-hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances(L=4)
jg11859.t1	GO:0017076-purine nucleotide binding(L=4)
jg11859.t1	GO:0019869-chloride channel inhibitor activity(L=4)
jg11859.t1	GO:0022838-substrate-specific channel activity(L=4)
jg11859.t1	GO:0032549-ribonucleoside binding(L=4)
jg11859.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg11859.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg11859.t1	GO:0042887-amide transmembrane transporter activity(L=4)
jg11859.t1	GO:0043211-carbohydrate-transporting ATPase activity(L=4)
jg11859.t1	GO:0046872-metal ion binding(L=4)
jg11859.t1	GO:0051119-sugar transmembrane transporter activity(L=4)
jg12275.t1	GO:0003677-DNA binding(L=4)
jg12275.t1	GO:0003723-RNA binding(L=4)
jg11496.t1	GO:0016702-oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen(L=4)
jg11622.t1	GO:0001883-purine nucleoside binding(L=4)
jg11622.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg11622.t1	GO:0017076-purine nucleotide binding(L=4)
jg11622.t1	GO:0032549-ribonucleoside binding(L=4)
jg11622.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg11622.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg11703.t1	GO:0016615-malate dehydrogenase activity(L=4)
jg11703.t1	GO:0016616-oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(L=4)
jg12036.t1	GO:0001883-purine nucleoside binding(L=4)
jg12036.t1	GO:0017076-purine nucleotide binding(L=4)
jg12036.t1	GO:0032549-ribonucleoside binding(L=4)
jg12036.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg12036.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg12036.t1	GO:0046872-metal ion binding(L=4)
jg11996.t1	GO:0004553-hydrolase activity, hydrolyzing O-glycosyl compounds(L=4)
jg11730.t1	GO:0016779-nucleotidyltransferase activity(L=4)
jg11388.t1	GO:0016620-oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor(L=4)
jg12584.t1	GO:0003677-DNA binding(L=4)
jg11518.t1	GO:0001883-purine nucleoside binding(L=4)
jg11518.t1	GO:0008194-UDP-glycosyltransferase activity(L=4)
jg11518.t1	GO:0016301-kinase activity(L=4)
jg11518.t1	GO:0016758-transferase activity, transferring hexosyl groups(L=4)
jg11518.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg11518.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg11518.t1	GO:0017076-purine nucleotide binding(L=4)
jg11518.t1	GO:0032549-ribonucleoside binding(L=4)
jg11518.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg11518.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg11518.t1	GO:0046872-metal ion binding(L=4)
jg11884.t1	GO:0016841-ammonia-lyase activity(L=4)
jg11455.t1	GO:0046872-metal ion binding(L=4)
jg11769.t1	GO:0016168-chlorophyll binding(L=4)
jg11769.t1	GO:0046872-metal ion binding(L=4)
jg11738.t1	GO:0016857-racemase and epimerase activity, acting on carbohydrates and derivatives(L=4)
jg12589.t1	GO:0016717-oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water(L=4)
jg12589.t1	GO:0042389-omega-3 fatty acid desaturase activity(L=4)
jg12156.t1	GO:0004842-ubiquitin-protein transferase activity(L=4)
jg12156.t1	GO:0016881-acid-amino acid ligase activity(L=4)
jg12289.t1	GO:0016301-kinase activity(L=4)
jg12289.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg12513.t1	GO:0004842-ubiquitin-protein transferase activity(L=4)
jg12513.t1	GO:0016881-acid-amino acid ligase activity(L=4)
jg12264.t1	GO:0046872-metal ion binding(L=4)
jg12424.t1	GO:0001883-purine nucleoside binding(L=4)
jg12424.t1	GO:0015631-tubulin binding(L=4)
jg12424.t1	GO:0016876-ligase activity, forming aminoacyl-tRNA and related compounds(L=4)
jg12424.t1	GO:0017076-purine nucleotide binding(L=4)
jg12424.t1	GO:0032549-ribonucleoside binding(L=4)
jg12424.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg12424.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg11581.t1	GO:0019888-protein phosphatase regulator activity(L=4)
jg11581.t1	GO:0042578-phosphoric ester hydrolase activity(L=4)
jg12294.t1	GO:0046872-metal ion binding(L=4)
jg12294.t1	GO:0051537-2 iron, 2 sulfur cluster binding(L=4)
jg11677.t1	GO:0001883-purine nucleoside binding(L=4)
jg11677.t1	GO:0016301-kinase activity(L=4)
jg11677.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg11677.t1	GO:0017076-purine nucleotide binding(L=4)
jg11677.t1	GO:0032549-ribonucleoside binding(L=4)
jg11677.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg11677.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg11784.t1	GO:0016635-oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor(L=4)
jg11784.t1	GO:0016719-carotene 7,8-desaturase activity(L=4)
jg11864.t1	GO:0016298-lipase activity(L=4)
jg11864.t1	GO:0042578-phosphoric ester hydrolase activity(L=4)
jg11864.t1	GO:0046872-metal ion binding(L=4)
jg12446.t1	GO:0016779-nucleotidyltransferase activity(L=4)
jg12446.t1	GO:0046872-metal ion binding(L=4)
jg11789.t1	GO:0003677-DNA binding(L=4)
jg11838.t1	GO:0001883-purine nucleoside binding(L=4)
jg11838.t1	GO:0005342-organic acid transmembrane transporter activity(L=4)
jg11838.t1	GO:0008168-methyltransferase activity(L=4)
jg11838.t1	GO:0015075-ion transmembrane transporter activity(L=4)
jg11838.t1	GO:0015291-secondary active transmembrane transporter activity(L=4)
jg11838.t1	GO:0015399-primary active transmembrane transporter activity(L=4)
jg11838.t1	GO:0016301-kinase activity(L=4)
jg11838.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg11838.t1	GO:0016884-carbon-nitrogen ligase activity, with glutamine as amido-N-donor(L=4)
jg11838.t1	GO:0017076-purine nucleotide binding(L=4)
jg11838.t1	GO:0032549-ribonucleoside binding(L=4)
jg11838.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg11838.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg11838.t1	GO:0046872-metal ion binding(L=4)
jg11838.t1	GO:0080161-auxin transmembrane transporter activity(L=4)
jg12569.t1	GO:0016706-oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors(L=4)
jg12569.t1	GO:0016780-phosphotransferase activity, for other substituted phosphate groups(L=4)
jg12569.t1	GO:0031406-carboxylic acid binding(L=4)
jg12569.t1	GO:0031418-L-ascorbic acid binding(L=4)
jg12569.t1	GO:0046872-metal ion binding(L=4)
jg12471.t1	GO:0020037-heme binding(L=4)
jg12471.t1	GO:0046872-metal ion binding(L=4)
jg12594.t1	GO:0042578-phosphoric ester hydrolase activity(L=4)
jg12594.t1	GO:0046872-metal ion binding(L=4)
jg11614.t1	GO:0001883-purine nucleoside binding(L=4)
jg11614.t1	GO:0017076-purine nucleotide binding(L=4)
jg11614.t1	GO:0032549-ribonucleoside binding(L=4)
jg11614.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg11614.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg11614.t1	GO:0046872-metal ion binding(L=4)
jg11865.t1	GO:0016298-lipase activity(L=4)
jg11865.t1	GO:0042578-phosphoric ester hydrolase activity(L=4)
jg11865.t1	GO:0046872-metal ion binding(L=4)
jg11886.t1	GO:0016841-ammonia-lyase activity(L=4)
jg12159.t1	GO:0003723-RNA binding(L=4)
jg12159.t1	GO:0004518-nuclease activity(L=4)
