Query	GO:EggNOG GO Cellular
jg24	GO:0043231
jg30381	GO:0043231
jg30378	GO:0005737
jg30378	GO:0005829
jg30378	GO:0016021
jg30378	GO:0031410
jg30378	GO:0043231
jg30378	GO:0044444
jg30383	GO:0005737
jg30383	GO:0016021
jg30383	GO:0043231
jg30383	GO:0044444
jg30475	GO:0005737
jg30475	GO:0005783
jg30475	GO:0005794
jg30475	GO:0012506
jg30475	GO:0016021
jg30475	GO:0031410
jg30475	GO:0043005
jg30475	GO:0043231
jg30475	GO:0044444
jg65	GO:0005737
jg65	GO:0043231
jg65	GO:0044444
jg35230	GO:0005737
jg35230	GO:0009579
jg35230	GO:0034357
jg35230	GO:0043231
jg35230	GO:0044436
jg35230	GO:0044444
jg30398	GO:0005737
jg30398	GO:0005829
jg30398	GO:0043231
jg30398	GO:0044444
jg12244	GO:0005737
jg12244	GO:0005783
jg12244	GO:0016021
jg12244	GO:0019866
jg12244	GO:0043231
jg12244	GO:0044444
jg11708	GO:0043231
jg12390	GO:0005635
jg12390	GO:0005737
jg12390	GO:0005794
jg12390	GO:0016021
jg12390	GO:0043231
jg12390	GO:0044444
jg12544	GO:0005737
jg12544	GO:0005794
jg12544	GO:0016021
jg12544	GO:0043231
jg12544	GO:0044444
jg12496	GO:0005737
jg12496	GO:0043231
jg12496	GO:0044444
jg12485	GO:0005737
jg12485	GO:0005829
jg12485	GO:0030529
jg12485	GO:0043231
jg12485	GO:0044444
jg11554	GO:0043231
jg12251	GO:0005737
jg12251	GO:0005783
jg12251	GO:0016021
jg12251	GO:0043231
jg12251	GO:0044444
jg12622	GO:0043231
jg12486	GO:0005737
jg12486	GO:0005829
jg12486	GO:0030529
jg12486	GO:0043231
jg12486	GO:0044444
jg11623	GO:0005737
jg11623	GO:0005829
jg11623	GO:0043231
jg11623	GO:0044444
jg11726	GO:0005737
jg11726	GO:0005794
jg11726	GO:0043231
jg11726	GO:0044444
jg12015	GO:0005737
jg12015	GO:0005829
jg12015	GO:0043231
jg12015	GO:0044444
jg11576	GO:0005737
jg11576	GO:0005783
jg11576	GO:0043231
jg11576	GO:0044444
jg12020	GO:0005737
jg12020	GO:0016021
jg12020	GO:0043231
jg12020	GO:0044444
jg12291	GO:0005737
jg12291	GO:0016021
jg12291	GO:0031301
jg12291	GO:0031351
jg12291	GO:0031968
jg12291	GO:0043231
jg12291	GO:0044444
jg11924	GO:0005737
