#node	identifier	domain_summary_url	annotation	other_names_and_aliases
ALDH6A	3218.PP1S27_198V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=574:Pfam_Aldedh(88|552)+	MM-ALDH 	1.2.1.18,1.2.1.27,5920495,A9RTB7,A9RTB7_PHYPA,ALDH6A,EC 1.2.1.18,EC 1.2.1.27,EDQ77888.1,MM-ALDH,PHYPADRAFT_205382,PP1S27_198V6,PP1S27_198V6.1,PUT-163a-Physcomitrella_patens-20300,PUT-163a-Physcomitrella_patens-31820,PWY-5642,PWY-6373,Ppa.3898,UPI000162063B,XM_001757351,XM_001757351.1,XP_001757403,XP_001757403.1,ppp:PHYPADRAFT_205382
ArfA13	3218.PP1S67_221V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=181:ARF(1|181)+	Arf1_5/ArfA-family small GTPase ; Belongs to the small GTPase superfamily. Arf family	5927503,A9SDC5,A9SDC5_PHYPA,Arf1_5/ArfA-family small GTPase,ArfA13,EDQ70929.1,PHYPADRAFT_211063,PP1S67_221V6,PP1S67_221V6.1,PUT-163a-Physcomitrella_patens-31921,PUT-163a-Physcomitrella_patens-53867,PUT-163a-Physcomitrella_patens-54004,PUT-163a-Physcomitrella_patens-9249,PUT-163a-Physcomitrella_patens-9854640,Ppa.6485,Ppa.7811,UPI0001621EE5,XM_001764323,XM_001764323.1,XP_001764375,XP_001764375.1,ppp:PHYPADRAFT_211063
ArfM11	3218.PP1S34_431V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=203:ARF(18|203)+	Arf6/ArfB-family small GTPase-like protein ; Belongs to the small GTPase superfamily. Arf family	5922158,A9RXV8,A9RXV8_PHYPA,Arf6/ArfB-family small GTPase-like protein,ArfM11,EDQ76459.1,PHYPADRAFT_228798,PP1S34_431V6,PP1S34_431V6.1,PP1S34_431V6.2,PP1S34_431V6.3,PUT-163a-Physcomitrella_patens-22471,PUT-163a-Physcomitrella_patens-36726,PUT-163a-Physcomitrella_patens-36727,UPI00016208EF,UPI0002206FBB,XM_001758901,XM_001758901.1,XP_001758953,XP_001758953.1,ppp:PHYPADRAFT_228798
CDKA	3218.PP1S281_23V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=294:S_TKc(4|287)+	Cyclin-dependent kinase A;2; Predicted protein ; Belongs to the protein kinase superfamily	2.7.11.22,5943763,A9TPJ3,A9TPJ3_PHYPA,AB547329,BAK64050.1,CDKA,Cyclin-dependent kinase A2,Cyclin-dependent kinase A;2,Cyclin-dependent kinase A;2; Predicted protein,EC 2.7.11.22,EDQ54615.1,PHYPADRAFT_171224,PP1S281_23V6,PP1S281_23V6.1,PUT-163a-Physcomitrella_patens-29564,PUT-163a-Physcomitrella_patens-40468,Ppa.5851,Predicted protein,UPI0001626181,XM_001780469,XM_001780469.1,XP_001780521,XP_001780521.1,ppp:PHYPADRAFT_171224
CIPK03	3218.PP1S58_13V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=447:S_TKc(20|275)+Pfam_NAF(315|375)+	CBL-interacting protein kinase 03; Belongs to the protein kinase superfamily	2.7.11.11,5926235,A9S987,A9S987_PHYPA,C4P7Q8,CBL-interacting protein kinase 03,CIPK03,E1C9U8,EC 2.7.11.11,EDQ72122.1,PHYPADRAFT_106015,PP1S58_13V6,PP1S58_13V6.1,PUT-163a-Physcomitrella_patens-17647,PUT-163a-Physcomitrella_patens-18503,PUT-163a-Physcomitrella_patens-38269,Ppa.15620,Ppa.16038,Ppa.16316,Predicted protein,UPI0001621845,XM_001762865,XM_001762865.1,XP_001762917,XP_001762917.1,ppp:PHYPADRAFT_106015
DES5	3218.PP1S83_225V6.2	https://smart.embl.de/smart/DDvec.cgi?smart=480:Cyt-b5(36|107)+TRANS(156|175)+Pfam_FA_desaturase(178|455)+	Acyl-lipid (8-3)-desaturase; Fatty acid desaturase that introduces a cis double bond at the 5-position in 20-carbon polyunsaturated fatty acids incorporated in a glycerolipid that contain a Delta(8) double bond	1.14.19.30,5929418,A9SIZ6,A9SIZ6_PHYPA,AN Delta(5)-fatty-acid desaturase,Acyl-lipid (8-3)-desaturase,Acyl-lipid 5-desaturase,D5FAD_PHYPA,DES5,Delta-5 desaturase,EC 1.14.19.30,EDQ68896.1,PHYPADRAFT_165175,PP1S83_225V6,PP1S83_225V6.1,PP1S83_225V6.2,PUT-163a-Physcomitrella_patens-22154632,PUT-163a-Physcomitrella_patens-22254634,PUT-163a-Physcomitrella_patens-34480,Ppa.5154,Predicted protein,UPI00004CF7D4,XM_001766212,XM_001766212.1,XP_001766264,XP_001766264.1,ppp:PHYPADRAFT_165175
EF1Bgamma4	3218.PP1S172_22V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=428:Pfam_GST_N(2|76)+Pfam_GST_C_3(99|204)+EF1G(267|375)+	EF1Bgamma class glutathione S-transferase	5937377,A9T682,A9T682_PHYPA,EDQ61062.1,EF1Bgamma class glutathione S-transferase,EF1Bgamma4,K9Y4B3,PHYPADRAFT_192023,PP1S172_22V6,PP1S172_22V6.1,PUT-163a-Physcomitrella_patens-20187,PUT-163a-Physcomitrella_patens-45983,PUT-163a-Physcomitrella_patens-45984,PUT-163a-Physcomitrella_patens-46031,PUT-163a-Physcomitrella_patens-46032,PUT-163a-Physcomitrella_patens-46033,Ppa.5334,Predicted protein,UPI0001625349,XM_001774096,XM_001774096.1,XP_001774148,XP_001774148.1,ppp:PHYPADRAFT_192023
ETR1	3218.PP1S1_338V6.3	https://smart.embl.de/smart/DDvec.cgi?smart=767:TRANS(26|43)+TRANS(53|75)+TRANS(82|104)+GAF(158|316)+HisKA(342|407)+HATPase_c(454|607)+REC(634|750)+	Ethylene receptor; May act early in the ethylene signal transduction pathway, possibly as an ethylene receptor, or as a regulator of the pathway	2.7.13.-,5914484,A9CPG0,A9CPG0_PHYPA,A9RB97,E1C9U4,E1C9U4_PHYPA,EC 2.7.13.-,EDQ83837.1,ETR1,ETR1 ethylene receptor,ETR2,Ethylene receptor,PHYPADRAFT_173828,PP1S1_338V6,PP1S1_338V6.1,PP1S1_338V6.2,PP1S1_338V6.3,PUT-163a-Physcomitrella_patens-15334,PUT-163a-Physcomitrella_patens-15335,PUT-163a-Physcomitrella_patens-37846,PUT-163a-Physcomitrella_patens-4860,PUT-163a-Physcomitrella_patens-49242,PUT-163a-Physcomitrella_patens-9489,Ppa.602,UPI000161ED3A,UPI00024ABBC2,XM_001751468,XM_001751468.1,XP_001751520,XP_001751520.1,ppp:PHYPADRAFT_173828
GLB0	3218.PP1S71_207V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=180:Pfam_Globin(28|137)+	Non-symbiotic hemoglobin 0; May not function as an oxygen storage or transport protein, but might act as an oxygen sensor	5928043,A0FKM9,A9SEU7,AAF66104.1,AAK14807.1,ABK20873.1,AF218049,AY026342,E1C9X3,EDQ70344.1,EF028055,GLB0,HBL0_PHYPA,Non-symbiotic hemoglobin 0,Non-vascular plant hemoglobin Glb0,PHYPADRAFT_184189,PP1S71_207V6,PP1S71_207V6.1,PP1S71_207V6.2,PP1S71_207V6.3,PUT-163a-Physcomitrella_patens-13870,PUT-163a-Physcomitrella_patens-20775,PUT-163a-Physcomitrella_patens-20776,PUT-163a-Physcomitrella_patens-20779,PUT-163a-Physcomitrella_patens-20791,PUT-163a-Physcomitrella_patens-20793,PUT-163a-Physcomitrella_patens-20794,PUT-163a-Physcomitrella_patens-35438,PUT-163a-Physcomitrella_patens-45079,PUT-163a-Physcomitrella_patens-46611,PUT-163a-Physcomitrella_patens-48454,PUT-163a-Physcomitrella_patens-52482,PUT-163a-Physcomitrella_patens-76654635,PUT-163a-Physcomitrella_patens-76654636,PUT-163a-Physcomitrella_patens-76654637,PUT-163a-Physcomitrella_patens-76654638,PUT-163a-Physcomitrella_patens-76654639,PUT-163a-Physcomitrella_patens-76654641,PUT-163a-Physcomitrella_patens-76754634,PUT-163a-Physcomitrella_patens-76754635,PUT-163a-Physcomitrella_patens-8320,Ppa.27,Q9M630,UPI000012C310,UPI00024AFB32,XM_001764850,XM_001764850.1,XP_001764902,XP_001764902.1,ppp:PHYPADRAFT_184189
GLP1	3218.PP1S25_331V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=336:Pfam_Chlorophyllase2(89|234)+	GLP1 GID1-like protein 	3.-.-.-,5920144,A9LY13,A9LY13_PHYPA,A9RSF8,E1C9S8,E1C9S8_PHYPA,EC 3.-.-.-,EDQ78297.1,GLP1,GLP1 GID1-like protein,Gibberellin receptor GID1-like protein,PHYPADRAFT_118478,PP1S25_331V6,PP1S25_331V6.1,PUT-163a-Physcomitrella_patens-52550,Ppa.16494,UPI00015FF416,XM_001757014,XM_001757014.1,XP_001757066,XP_001757066.1,ppp:PHYPADRAFT_118478
