#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
ath01100	Metabolic pathways	130	1899	0.35	5.03e-15	3702.AT1G04610.1,3702.AT1G06550.1,3702.AT1G08250.1,3702.AT1G08510.1,3702.AT1G09430.1,3702.AT1G09830.1,3702.AT1G11475.1,3702.AT1G12050.1,3702.AT1G15710.1,3702.AT1G15820.1,3702.AT1G17420.1,3702.AT1G19910.1,3702.AT1G24180.1,3702.AT1G24360.1,3702.AT1G25230.1,3702.AT1G29930.1,3702.AT1G31330.1,3702.AT1G31800.1,3702.AT1G32060.1,3702.AT1G32210.1,3702.AT1G35910.1,3702.AT1G48860.1,3702.AT1G58440.1,3702.AT1G63050.1,3702.AT1G63660.1,3702.AT1G63710.1,3702.AT1G63770.5,3702.AT1G64200.1,3702.AT1G66430.1,3702.AT1G67090.1,3702.AT1G69770.1,3702.AT1G74040.1,3702.AT1G74960.2,3702.AT1G75330.1,3702.AT1G76550.1,3702.AT1G79440.1,3702.AT1G79870.1,3702.AT2G01140.1,3702.AT2G13560.1,3702.AT2G18450.1,3702.AT2G19860.1,3702.AT2G20900.1,3702.AT2G21790.1,3702.AT2G22420.1,3702.AT2G22480.1,3702.AT2G29630.2,3702.AT2G36530.1,3702.AT2G37500.1,3702.AT2G38010.2,3702.AT2G38110.1,3702.AT2G41480.1,3702.AT2G42490.1,3702.AT2G44520.1,3702.AT2G44660.1,3702.AT3G02870.1,3702.AT3G04790.1,3702.AT3G05610.1,3702.AT3G08590.2,3702.AT3G11670.1,3702.AT3G12780.1,3702.AT3G16950.2,3702.AT3G17070.1,3702.AT3G17810.1,3702.AT3G21720.1,3702.AT3G23790.1,3702.AT3G29320.1,3702.AT3G42050.1,3702.AT3G45770.1,3702.AT3G51840.1,3702.AT3G54050.1,3702.AT3G54470.1,3702.AT3G57170.1,3702.AT3G57560.1,3702.AT3G59970.3,3702.AT4G11030.1,3702.AT4G13260.1,3702.AT4G15560.1,3702.AT4G16130.1,3702.AT4G16710.1,3702.AT4G19860.1,3702.AT4G20930.1,3702.AT4G24040.1,3702.AT4G25000.1,3702.AT4G25420.1,3702.AT4G26910.1,3702.AT4G27070.1,3702.AT4G34240.1,3702.AT4G34640.1,3702.AT4G35260.1,3702.AT4G36430.1,3702.AT4G39080.1,3702.AT4G39120.1,3702.AT5G06730.1,3702.AT5G07440.1,3702.AT5G07990.1,3702.AT5G08570.1,3702.AT5G09730.1,3702.AT5G11670.1,3702.AT5G13050.1,3702.AT5G13930.1,3702.AT5G16710.1,3702.AT5G17250.1,3702.AT5G17310.2,3702.AT5G17920.1,3702.AT5G18070.1,3702.AT5G18170.1,3702.AT5G19200.1,3702.AT5G19730.1,3702.AT5G21105.1,3702.AT5G26710.1,3702.AT5G27730.1,3702.AT5G34930.1,3702.AT5G38710.1,3702.AT5G40810.1,3702.AT5G42810.1,3702.AT5G43860.1,3702.AT5G47890.1,3702.AT5G48930.1,3702.AT5G51810.1,3702.AT5G51830.1,3702.AT5G54190.1,3702.AT5G54960.1,3702.AT5G57590.1,3702.AT5G63400.1,3702.AT5G64120.1,3702.AT5G64860.1,3702.AT5G65110.1,3702.AT5G65140.1,3702.AT5G65720.1,3702.AT5G66390.1	YUC3,AT1G06550,ADT6,FATB,ACLA-3,PUR2,NRPB10,AT1G12050,AT1G15710,LHCB6,LOX3,AVA-P2,IAR4,AT1G24360,AT1G25230,CAB1,PSAF,CYP97A3,PRK,ATDAD1,TPPD,AT1G48860,XF1,LPLAT2,AT1G63660,CYP86A7,AT1G63770,VHA-E3,AT1G66430,RBCS1A,CMT3,IMS1,FAB1,OTC,AT1G76550,ALDH5F1,AT1G79870,PDE345,NAD-ME1,SDH1-2,HXK2,DGK5,RNR1,AT2G22420,PFK5,THIC,LOS2,AT2G37500,AT2G38010,GPAT6,AT2G41480,AT2G42490,COX10,AT2G44660,VTC4,EMB3119,AT3G05610,iPGAM2,DGD1,PGK1,LPD1,AT3G17070,PYD1,ICL,AAE16,AT3G29320,AT3G42050,AT3G45770,ACX4,HCEF1,AT3G54470,AT3G57170,NAGK,MTHFR1,AT4G11030,YUC2,CLA1,ARA1,AT4G16710,AT4G19860,AT4G20930,TRE1,AMY1,GA20OX1,AT4G26910,TSB2,ALDH3I1,SQS1,IDH1,AT4G36430,VHA-A3,IMPL2,AT5G06730,GDH2,TT7,AT5G08570,BXL3,NADP-ME2,5-FCL,TT4,DHAR3,AT5G17250,UGP2,ATMS1,DRT101,GDH1,TSC10B,AT5G19730,AT5G21105,AT5G26710,AT5G27730,AT5G34930,AT5G38710,AT5G40810,IPK1,CLH2,AT5G47890,HCT,GA20OX2,AT5G51830,PORA,PDC2,BIO1,At5g63400,AT5G64120,DPE1,ACX2,TPPJ,NFS1,AT5G66390
ath01110	Biosynthesis of secondary metabolites	69	1063	0.33	7.79e-07	3702.AT1G01120.1,3702.AT1G08250.1,3702.AT1G09430.1,3702.AT1G09830.1,3702.AT1G15710.1,3702.AT1G17420.1,3702.AT1G19440.1,3702.AT1G20630.1,3702.AT1G24180.1,3702.AT1G31800.1,3702.AT1G48860.1,3702.AT1G58440.1,3702.AT1G63050.1,3702.AT1G74040.1,3702.AT1G75330.1,3702.AT1G76550.1,3702.AT1G79870.1,3702.AT2G01140.1,3702.AT2G18450.1,3702.AT2G19860.1,3702.AT2G20900.1,3702.AT2G22420.1,3702.AT2G22480.1,3702.AT2G26640.1,3702.AT2G36530.1,3702.AT2G37500.1,3702.AT2G38110.1,3702.AT2G41480.1,3702.AT2G42490.1,3702.AT2G44520.1,3702.AT3G02870.1,3702.AT3G04790.1,3702.AT3G08590.2,3702.AT3G12780.1,3702.AT3G16950.2,3702.AT3G17070.1,3702.AT3G21720.1,3702.AT3G29320.1,3702.AT3G51840.1,3702.AT3G54050.1,3702.AT3G55360.1,3702.AT3G57560.1,3702.AT4G15560.1,3702.AT4G19860.1,3702.AT4G25420.1,3702.AT4G26910.1,3702.AT4G27070.1,3702.AT4G34240.1,3702.AT4G34640.1,3702.AT4G35260.1,3702.AT4G36430.1,3702.AT4G39120.1,3702.AT5G06730.1,3702.AT5G07990.1,3702.AT5G08570.1,3702.AT5G13930.1,3702.AT5G17920.1,3702.AT5G26710.1,3702.AT5G34930.1,3702.AT5G38710.1,3702.AT5G43860.1,3702.AT5G48930.1,3702.AT5G51810.1,3702.AT5G54190.1,3702.AT5G54960.1,3702.AT5G63400.1,3702.AT5G64120.1,3702.AT5G65110.1,3702.AT5G66390.1	KCS1,ADT6,ACLA-3,PUR2,AT1G15710,LOX3,KCS4,CAT1,IAR4,CYP97A3,AT1G48860,XF1,LPLAT2,IMS1,OTC,AT1G76550,AT1G79870,PDE345,SDH1-2,HXK2,DGK5,AT2G22420,PFK5,KCS11,LOS2,AT2G37500,GPAT6,AT2G41480,AT2G42490,COX10,VTC4,EMB3119,iPGAM2,PGK1,LPD1,AT3G17070,ICL,AT3G29320,ACX4,HCEF1,CER10,NAGK,CLA1,AT4G19860,GA20OX1,AT4G26910,TSB2,ALDH3I1,SQS1,IDH1,AT4G36430,IMPL2,AT5G06730,TT7,AT5G08570,TT4,ATMS1,AT5G26710,AT5G34930,AT5G38710,CLH2,HCT,GA20OX2,PORA,PDC2,At5g63400,AT5G64120,ACX2,AT5G66390
ath01200	Carbon metabolism	25	261	0.5	6.06e-05	3702.AT1G06550.1,3702.AT1G20630.1,3702.AT1G24180.1,3702.AT1G32060.1,3702.AT1G67090.1,3702.AT1G79870.1,3702.AT2G01140.1,3702.AT2G13560.1,3702.AT2G18450.1,3702.AT2G19860.1,3702.AT2G22480.1,3702.AT2G36530.1,3702.AT3G04790.1,3702.AT3G08590.2,3702.AT3G12780.1,3702.AT3G16950.2,3702.AT3G21720.1,3702.AT3G54050.1,3702.AT3G59970.3,3702.AT4G26910.1,3702.AT4G35260.1,3702.AT5G07440.1,3702.AT5G08570.1,3702.AT5G11670.1,3702.AT5G18170.1	AT1G06550,CAT1,IAR4,PRK,RBCS1A,AT1G79870,PDE345,NAD-ME1,SDH1-2,HXK2,PFK5,LOS2,EMB3119,iPGAM2,PGK1,LPD1,ICL,HCEF1,MTHFR1,AT4G26910,IDH1,GDH2,AT5G08570,NADP-ME2,GDH1
ath04141	Protein processing in endoplasmic reticulum	19	205	0.48	0.0012	3702.AT1G19310.1,3702.AT1G32210.1,3702.AT1G35620.1,3702.AT1G56340.1,3702.AT2G04030.1,3702.AT2G40290.1,3702.AT3G09840.1,3702.AT3G46230.1,3702.AT3G53230.1,3702.AT3G63460.1,3702.AT4G04860.1,3702.AT4G16660.1,3702.AT4G22150.1,3702.AT4G24190.1,3702.AT5G02490.1,3702.AT5G12020.1,3702.AT5G12030.1,3702.AT5G35080.1,3702.AT5G50460.1	AT1G19310,ATDAD1,PDIL5-2,CRT1a,CR88,AT2G40290,CDC48,HSP17.4,AtCDC48B,AT3G63460,DER2.2,AT4G16660,PUX3,SHD,Hsp70-2,HSP17.6II,HSP17.6A,OS9,AT4G24920
ath00010	Glycolysis / Gluconeogenesis	13	115	0.57	0.0025	3702.AT1G24180.1,3702.AT1G76550.1,3702.AT2G01140.1,3702.AT2G19860.1,3702.AT2G22480.1,3702.AT2G36530.1,3702.AT3G08590.2,3702.AT3G12780.1,3702.AT3G16950.2,3702.AT3G54050.1,3702.AT4G34240.1,3702.AT5G08570.1,3702.AT5G54960.1	IAR4,AT1G76550,PDE345,HXK2,PFK5,LOS2,iPGAM2,PGK1,LPD1,HCEF1,ALDH3I1,AT5G08570,PDC2
ath01212	Fatty acid metabolism	9	67	0.64	0.0064	3702.AT1G08510.1,3702.AT1G24360.1,3702.AT1G74960.2,3702.AT3G23790.1,3702.AT3G45770.1,3702.AT3G51840.1,3702.AT3G55360.1,3702.AT4G11030.1,3702.AT5G65110.1	FATB,AT1G24360,FAB1,AAE16,AT3G45770,ACX4,CER10,AT4G11030,ACX2
ath01230	Biosynthesis of amino acids	19	244	0.41	0.0064	3702.AT1G08250.1,3702.AT1G15710.1,3702.AT1G48860.1,3702.AT1G74040.1,3702.AT1G75330.1,3702.AT2G01140.1,3702.AT2G22480.1,3702.AT2G36530.1,3702.AT2G37500.1,3702.AT3G04790.1,3702.AT3G08590.2,3702.AT3G12780.1,3702.AT3G57560.1,3702.AT4G27070.1,3702.AT4G35260.1,3702.AT4G39120.1,3702.AT5G08570.1,3702.AT5G17920.1,3702.AT5G34930.1	ADT6,AT1G15710,AT1G48860,IMS1,OTC,PDE345,PFK5,LOS2,AT2G37500,EMB3119,iPGAM2,PGK1,NAGK,TSB2,IDH1,IMPL2,AT5G08570,ATMS1,AT5G34930
ath04130	SNARE interactions in vesicular transport	7	43	0.73	0.0087	3702.AT1G11250.1,3702.AT1G15880.1,3702.AT1G26670.1,3702.AT1G51740.1,3702.AT1G79590.2,3702.AT3G58170.1,3702.AT5G26980.1	SYP125,GOS11,VTI1B,SYP81,SYP52,BS14A,SYP41
ath00051	Fructose and mannose metabolism	8	64	0.61	0.0156	3702.AT1G66430.1,3702.AT1G76550.1,3702.AT2G01140.1,3702.AT2G19860.1,3702.AT2G22480.1,3702.AT3G54050.1,3702.AT4G28320.1,3702.AT5G51830.1	AT1G66430,AT1G76550,PDE345,HXK2,PFK5,HCEF1,MAN5,AT5G51830
ath03010	Ribosome	21	318	0.33	0.0156	3702.AT1G08360.1,3702.AT1G16740.1,3702.AT1G48350.1,3702.AT1G71720.1,3702.AT2G20450.1,3702.AT2G24090.1,3702.AT2G37600.2,3702.AT2G40010.1,3702.AT3G04400.1,3702.AT3G22300.1,3702.AT3G25920.1,3702.AT3G61110.1,3702.AT3G62870.1,3702.AT4G01310.1,3702.AT4G31985.1,3702.AT4G35490.1,3702.AT5G27770.1,3702.AT5G48760.2,3702.AT5G58420.1,3702.AT5G59240.1,3702.AT5G61170.1	AT1G08360,AT1G16740,EMB3105,PDE338,AT2G20450,PRPL35,AT2G37600,AT2G40010,emb2171,RPS10,RPL15,RS27A,AT3G62870,AT4G01310,AT4G31985,MRPL11,AT5G27770,AT5G48760,AT5G58420,AT5G59240,AT5G61170
