#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0110165	cellular anatomical entity	43	13776	0.25	2.09e-05	3702.AT1G01620.1,3702.AT1G02660.1,3702.AT1G03905.1,3702.AT1G06680.1,3702.AT1G08080.1,3702.AT1G14850.1,3702.AT1G19440.1,3702.AT1G30360.1,3702.AT1G33811.1,3702.AT1G67280.1,3702.AT1G69500.1,3702.AT1G70600.1,3702.AT2G23810.1,3702.AT2G26830.1,3702.AT2G34770.1,3702.AT2G38290.1,3702.AT2G38330.1,3702.AT2G41700.1,3702.AT2G43590.1,3702.AT3G12500.1,3702.AT3G12780.1,3702.AT3G14310.1,3702.AT3G27820.1,3702.AT3G58490.1,3702.AT4G00490.1,3702.AT4G25420.1,3702.AT4G29160.3,3702.AT4G34850.1,3702.AT5G03520.1,3702.AT5G03610.1,3702.AT5G13870.1,3702.AT5G15180.1,3702.AT5G26820.1,3702.AT5G33340.1,3702.AT5G36160.1,3702.AT5G41610.1,3702.AT5G51720.1,3702.AT5G51940.1,3702.AT5G51990.1,3702.AT5G60770.1,3702.AT5G64120.1,3702.AT5G64960.1,3702.AT5G67250.1	PIP1C,AT1G02660,ABCI19,PSBP-1,ACA7,NUP155,KCS4,ERD4,AT1G33811,AT1G67280,CYP704B1,AT1G70600,TET8,emb1187,T29F13.2,AMT2,AT2G38330,ABCA1,AT2G43590,HCHIB,PGK1,PME3,MDAR4,AT3G58490,BMY9,GA20OX1,SNF7.1,LAP5,RAB8C,AT5G03610,XTH5,AT5G15180,IREG3,CDR1,AT5G36160,CHX18,NEET,NRPB6A,CBF4,NRT2.4,AT5G64120,CDKC2,SKIP2
GO:0005737	cytoplasm	31	7911	0.35	0.00039	3702.AT1G01620.1,3702.AT1G02660.1,3702.AT1G03905.1,3702.AT1G06680.1,3702.AT1G08080.1,3702.AT1G30360.1,3702.AT1G67280.1,3702.AT1G70600.1,3702.AT2G23810.1,3702.AT2G34770.1,3702.AT2G38330.1,3702.AT2G41700.1,3702.AT2G43590.1,3702.AT3G12500.1,3702.AT3G12780.1,3702.AT3G14310.1,3702.AT3G27820.1,3702.AT3G58490.1,3702.AT4G00490.1,3702.AT4G25420.1,3702.AT4G29160.3,3702.AT4G34850.1,3702.AT5G03520.1,3702.AT5G26820.1,3702.AT5G36160.1,3702.AT5G41610.1,3702.AT5G51720.1,3702.AT5G60770.1,3702.AT5G64120.1,3702.AT5G64960.1,3702.AT5G67250.1	PIP1C,AT1G02660,ABCI19,PSBP-1,ACA7,ERD4,AT1G67280,AT1G70600,TET8,T29F13.2,AT2G38330,ABCA1,AT2G43590,HCHIB,PGK1,PME3,MDAR4,AT3G58490,BMY9,GA20OX1,SNF7.1,LAP5,RAB8C,IREG3,AT5G36160,CHX18,NEET,NRT2.4,AT5G64120,CDKC2,SKIP2
GO:0005622	intracellular	34	10863	0.25	0.0081	3702.AT1G01620.1,3702.AT1G02660.1,3702.AT1G03905.1,3702.AT1G06680.1,3702.AT1G08080.1,3702.AT1G14850.1,3702.AT1G30360.1,3702.AT1G67280.1,3702.AT1G70600.1,3702.AT2G23810.1,3702.AT2G34770.1,3702.AT2G38330.1,3702.AT2G41700.1,3702.AT2G43590.1,3702.AT3G12500.1,3702.AT3G12780.1,3702.AT3G14310.1,3702.AT3G27820.1,3702.AT3G58490.1,3702.AT4G00490.1,3702.AT4G25420.1,3702.AT4G29160.3,3702.AT4G34850.1,3702.AT5G03520.1,3702.AT5G26820.1,3702.AT5G36160.1,3702.AT5G41610.1,3702.AT5G51720.1,3702.AT5G51940.1,3702.AT5G51990.1,3702.AT5G60770.1,3702.AT5G64120.1,3702.AT5G64960.1,3702.AT5G67250.1	PIP1C,AT1G02660,ABCI19,PSBP-1,ACA7,NUP155,ERD4,AT1G67280,AT1G70600,TET8,T29F13.2,AT2G38330,ABCA1,AT2G43590,HCHIB,PGK1,PME3,MDAR4,AT3G58490,BMY9,GA20OX1,SNF7.1,LAP5,RAB8C,IREG3,AT5G36160,CHX18,NEET,NRPB6A,CBF4,NRT2.4,AT5G64120,CDKC2,SKIP2
GO:0009526	plastid envelope	8	603	0.88	0.0081	3702.AT1G02660.1,3702.AT1G06680.1,3702.AT1G30360.1,3702.AT1G67280.1,3702.AT2G38330.1,3702.AT3G12780.1,3702.AT3G27820.1,3702.AT5G26820.1	AT1G02660,PSBP-1,ERD4,AT1G67280,AT2G38330,PGK1,MDAR4,IREG3
GO:0009570	chloroplast stroma	8	682	0.83	0.0116	3702.AT1G02660.1,3702.AT1G06680.1,3702.AT1G08080.1,3702.AT1G67280.1,3702.AT3G12780.1,3702.AT3G27820.1,3702.AT4G00490.1,3702.AT5G51720.1	AT1G02660,PSBP-1,ACA7,AT1G67280,PGK1,MDAR4,BMY9,NEET
GO:0043227	membrane-bounded organelle	31	9634	0.26	0.0116	3702.AT1G01620.1,3702.AT1G02660.1,3702.AT1G06680.1,3702.AT1G08080.1,3702.AT1G14850.1,3702.AT1G30360.1,3702.AT1G67280.1,3702.AT1G70600.1,3702.AT2G23810.1,3702.AT2G34770.1,3702.AT2G38330.1,3702.AT2G41700.1,3702.AT2G43590.1,3702.AT3G12500.1,3702.AT3G12780.1,3702.AT3G27820.1,3702.AT3G58490.1,3702.AT4G00490.1,3702.AT4G29160.3,3702.AT4G34850.1,3702.AT5G03520.1,3702.AT5G26820.1,3702.AT5G36160.1,3702.AT5G41610.1,3702.AT5G51720.1,3702.AT5G51940.1,3702.AT5G51990.1,3702.AT5G60770.1,3702.AT5G64120.1,3702.AT5G64960.1,3702.AT5G67250.1	PIP1C,AT1G02660,PSBP-1,ACA7,NUP155,ERD4,AT1G67280,AT1G70600,TET8,T29F13.2,AT2G38330,ABCA1,AT2G43590,HCHIB,PGK1,MDAR4,AT3G58490,BMY9,SNF7.1,LAP5,RAB8C,IREG3,AT5G36160,CHX18,NEET,NRPB6A,CBF4,NRT2.4,AT5G64120,CDKC2,SKIP2
GO:0009506	plasmodesma	8	741	0.79	0.0130	3702.AT1G01620.1,3702.AT1G14850.1,3702.AT1G30360.1,3702.AT1G70600.1,3702.AT2G23810.1,3702.AT2G38290.1,3702.AT5G15180.1,3702.AT5G64120.1	PIP1C,NUP155,ERD4,AT1G70600,TET8,AMT2,AT5G15180,AT5G64120
GO:0009941	chloroplast envelope	7	591	0.83	0.0130	3702.AT1G02660.1,3702.AT1G06680.1,3702.AT1G30360.1,3702.AT2G38330.1,3702.AT3G12780.1,3702.AT3G27820.1,3702.AT5G26820.1	AT1G02660,PSBP-1,ERD4,AT2G38330,PGK1,MDAR4,IREG3
GO:0016020	membrane	22	5659	0.35	0.0130	3702.AT1G01620.1,3702.AT1G02660.1,3702.AT1G06680.1,3702.AT1G14850.1,3702.AT1G19440.1,3702.AT1G30360.1,3702.AT1G69500.1,3702.AT2G23810.1,3702.AT2G26830.1,3702.AT2G34770.1,3702.AT2G38290.1,3702.AT2G38330.1,3702.AT2G41700.1,3702.AT3G12500.1,3702.AT3G14310.1,3702.AT3G27820.1,3702.AT3G58490.1,3702.AT4G29160.3,3702.AT5G03520.1,3702.AT5G26820.1,3702.AT5G41610.1,3702.AT5G60770.1	PIP1C,AT1G02660,PSBP-1,NUP155,KCS4,ERD4,CYP704B1,TET8,emb1187,T29F13.2,AMT2,AT2G38330,ABCA1,HCHIB,PME3,MDAR4,AT3G58490,SNF7.1,RAB8C,IREG3,CHX18,NRT2.4
GO:0031967	organelle envelope	9	1017	0.7	0.0130	3702.AT1G02660.1,3702.AT1G06680.1,3702.AT1G14850.1,3702.AT1G30360.1,3702.AT1G67280.1,3702.AT2G38330.1,3702.AT3G12780.1,3702.AT3G27820.1,3702.AT5G26820.1	AT1G02660,PSBP-1,NUP155,ERD4,AT1G67280,AT2G38330,PGK1,MDAR4,IREG3
